,group,variable,month,TOTAL 4.2 NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTAL 4.2 NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
ENTRE RIOS CBBA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,35,0,35
ESCOMA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,8,0,8
EUCALIPTUS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,0,2
EUREKA (SANTOS MERCADO),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,1,3
EXALTACION,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
FERNANDEZ ALONSO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,0,5
FILADELFIA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,1,2
GENERAL SAAVEDRA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,16,0,16
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,1,4
GUANAY,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
GUAQUI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,0,2
GUAYARAMERIN,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,48,0,48
GUTIERREZ,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,14,0,14
HUACARETA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,1,2
HUACAYA (VILLA DE HUACAYA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,0,3,3
HUANUNI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,30,0,30
HUARACAJE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
HUARINA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,1,4
HUATAJATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,1,8
HUMANATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,2,3
ICHOCA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,1,2
ICLA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,0,2
INCAHUASI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,0,2,2
INGAVI (HUMAITA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,0,4
INQUISIVI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,0,5
IRUPANA (VILLA DE LANZA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,0,7
IXIAMAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,0,6
JESUS DE MACHACA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,0,4
LA ASUNTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,36,0,36
LA GUARDIA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,53,0,53
LA PAZ,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1310,0,1310
LAGUNILLAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,0,3
LAJA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,12,1,13
LAS CARRERAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
LICOMA PAMPA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,1,3
LLALLAGUA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,66,0,66
LLICA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,3,7
LURIBAY,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,1,6
MACHACAMARCA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
MAGDALENA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,12,1,13
MAIRANA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,0,4
MALLA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,0,1,1
MAPIRI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,0,4
MECAPACA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,5,11
MINEROS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,11,0,11
MIZQUE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,10,0,10
MOCOMOCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,0,7
MOJINETE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
MOJOCOYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,0,2
MONTEAGUDO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,0,5
MONTERO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,118,0,118
MOROCHATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,8,2,10
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
OCURI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,2,6
OKINAWA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,9,0,9
OMEREQUE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,12,0,12
ORURO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,418,0,418
PADCAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,0,6
PADILLA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
PAILON,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,45,3,48
PALCA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,8,1,9
PALOS BLANCOS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,8,0,8
PAMPA AULLAGAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
PAMPA GRANDE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
PAPEL PAMPA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,3,7
PATACAMAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,25,0,25
PAZÑA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
PELECHUCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,0,6
POCOATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,3,9
POCONA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,0,7
POJO (CBBA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,12,0,12
POOPO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
PORCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,9,1,10
POROMA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,1,6
PORONGO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,1,8
PORTACHUELO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,14,0,14
PORVENIR,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,2,5
POSTRER VALLE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
POTOSI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,591,1,592
PRESTO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,0,1,1
PUCARANI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,20,5,25
PUERTO ACOSTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,1,7
PUERTO CARABUCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
PUERTO GONZALO MORENO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,0,4
PUERTO PEREZ,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,1,3
PUERTO QUIJARRO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,43,0,43
PUERTO RICO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,9,2,11
PUERTO SUAREZ,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,23,0,23
PUERTO VILLARROEL,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,116,1,117
PUNA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,11,1,12
PUNATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,30,0,30
QUIABAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
QUILLACOLLO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,147,10,157
QUIME,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,0,4
RAVELO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,8,9
REYES,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,12,0,12
RIBERALTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,173,2,175
ROBORE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,10,0,10
RURRENABAQUE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,1,3
SABAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,0,2
SACABA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,166,1,167
SACABAMBA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,1,4
SACACA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,13,2,15
SAIPINA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,0,2
SALINAS DE GARCI MENDOZA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,8,2,10
SAMAIPATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,0,7
SAN AGUSTIN,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,0,2
SAN ANDRES,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,11,0,11
SAN ANDRES DE MACHACA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
SAN ANTONIO DE ESMORUCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
SAN ANTONIO DE LOMERIO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,1,6
SAN BENITO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
SAN BORJA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,23,0,23
SAN BUENA VENTURA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,10,0,10
SAN CARLOS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,20,0,20
SAN IGNACIO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,38,1,39
SAN IGNACIO DE VELASCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,54,4,58
SAN JAVIER(BNI),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,1,2
SAN JAVIER(STC),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,22,0,22
SAN JOAQUIN,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,8,0,8
SAN JOSE DE CHIQUITOS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,17,0,17
SAN JUAN DE YAPACANI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,0,4
SAN JULIAN,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,29,3,32
SAN LORENZO(PND),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,0,5
SAN LORENZO(TJA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,13,1,14
SAN LUCAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,10,2,12
SAN MATIAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,20,0,20
SAN MIGUEL DE VELASCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,0,2
SAN PABLO DE LIPEZ,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,0,2
SAN PEDRO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,0,3
SAN PEDRO DE BUENA VISTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,9,4,13
SAN PEDRO DE CURAHUARA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,2,7
SAN PEDRO DE TIQUINA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,1,3
SAN RAFAEL,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,0,3
SAN RAMON BENI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,0,3
SAN RAMON SCZ,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,9,1,10
SANTA ANA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,26,0,26
SANTA CRUZ DE LA SIERRA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3828,0,3828
SANTA ROSA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,0,5
SANTA ROSA DEL SARA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,12,0,12
SANTIAGO DE CALLAPA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
SANTIAGO DE HUARI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,0,6
SANTIAGO DE HUATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,0,4
SANTIAGO DE MACHACA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,0,3
SANTIVAÑES,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
SANTUARIO DE QUILLACAS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
SAPAHAQUI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,2,5
SENA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,0,6
SHINAOTA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,13,0,13
SICA SICA (VILLA AROMA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,16,0,16
SICAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,0,4
SIPE SIPE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,73,1,74
SORACACHI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,16,0,16
SORATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,10,1,11
SUCRE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,82,2,84
TACACOMA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,4,10
TACOBAMBA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,3,5
TACOPAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,6,0,6
TAPACARI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,15,2,17
TARABUCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,1,6
TARACO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
TARATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,7,0,7
TARIJA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,198,2,200
TARVITA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,1,4
TEOPONTE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,4,2,6
TIAWANACU,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,12,0,12
TINGUIPAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,11,5,16
TIPUANI,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,0,2
TIQUIPAYA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,102,1,103
TIRAQUE (CBBA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,27,0,27
TOCO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,1,6
TODOS SANTOS,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,1,0,1
TOLATA,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,5,0,5
TOLEDO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,1,4
TOMAVE,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,8,3,11
TORO TORO,consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,2,2,4
TOTORA(CBBA),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,19,1,20
TOTORA(ORR),consultas prenatales, nuevas a partir del 5to mes de embarazo,2014-01-01,3,0,3
