municipality,group,variable,month,Antirrábica humana esquema completo,TOTAL
SAN BENITO,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,2,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,10,10
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,2,2
SAN RAMON,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,5,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,178,178
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,2,2
SANTIVAÑES,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,4,4
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,1,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,55,55
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,4,4
TOCO,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,1,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,3,3
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,1,1
VILLA MONTES,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,2,2
VILLAZON,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,1,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,5,5
WARNES,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,11,11
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2008-03-01,4,4
ACHACACHI,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
ARAMPAMPA,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,2,2
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,2,2
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
BETANZOS,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
CAMARGO,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,3,3
CARMEN RIVERO TORREZ,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
CHALLAPATA,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
CHIMORE,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,2,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,54,54
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,10,10
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,2,2
FERNANDEZ ALONSO,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,2,2
GUANAY,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,2,2
GUAQUI,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
HUANUNI,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,15,15
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,61,61
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,6,6
ORURO,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
PAILON,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
PAMPA GRANDE,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,2,2
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,12,12
PUERTO QUIJARRO,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
PUERTO SUAREZ,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,8,8
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,2,2
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,8,8
SACABA,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,11,11
SAN JOSE DE CHIQUITOS,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,4,4
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,4,4
SAN RAMON,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,427,427
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,5,5
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,48,48
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,5,5
TIRAQUE (CBBA),otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
TOCO,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
TOLEDO,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
TOMAVE,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
TOTORA(CBBA),otras vacunaciones,antirrabica humana esquema completo,2008-04-01,2,2
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,22,22
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,2,2
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,1,1
VILLA MONTES,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,2,2
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,2,2
VILLAZON,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,4,4
WARNES,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,3,3
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2008-04-01,20,20
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,4,4
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,2,2
CHIMORE,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,57,57
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,4,4
COTAGAITA,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,4,4
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,4,4
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
EL PUENTE(STC),otras vacunaciones,antirrabica humana esquema completo,2008-05-01,2,2
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,16,16
GUAQUI,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,2,2
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,75,75
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
MIZQUE,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,12,12
PAILON,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,6,6
PAMPA GRANDE,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
PATACAMAYA,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
POCONA,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,6,6
PUERTO QUIJARRO,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,9,9
SACABA,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
SAN CARLOS,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,110,110
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,52,52
TOCO,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
TOLATA,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,3,3
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,3,3
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2008-05-01,1,1
ANZALDO,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,2,2
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,6,6
CABEZAS,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
CAMARGO,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
CHIMORE,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,62,62
COROICO,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
COTAGAITA,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,8,8
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
EL PUENTE(STC),otras vacunaciones,antirrabica humana esquema completo,2008-06-01,2,2
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,19,19
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,4,4
GENERAL SAAVEDRA,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,16,16
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,65,65
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,2,2
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,24,24
ORURO,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
PALOS BLANCOS,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,17,17
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
SAMAIPATA,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,2,2
SAN BORJA,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
SAN CARLOS,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
SAN JUAN DE YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,4,4
SAN LORENZO(TJA),otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,91,91
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,31,31
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,4,4
TOCO,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,2,2
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
VILLA SERRANO,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,5,5
VINTO,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,13,13
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,4,4
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2008-06-01,1,1
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,2,2
ANZALDO,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,1,1
ARANI,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,2,2
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,2,2
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,1,1
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,2,2
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,8,8
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,2,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,55,55
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,4,4
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,1,1
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,56,56
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,2,2
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,1,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,4,4
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,49,49
LAGUNILLAS,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,1,1
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,2,2
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,21,21
MOROCHATA,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,1,1
PAMPA GRANDE,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,2,2
PAZÑA,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,1,1
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,1,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,15,15
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,4,4
SACABA,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,2,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,7,7
SAN JUAN DE YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,1,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,4,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,180,180
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,1,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,39,39
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,2,2
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,3,3
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,4,4
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,2,2
UNCIA,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,1,1
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,1,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,7,7
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2008-07-01,7,7
ACHACACHI,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,3,3
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,2,2
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,3,3
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,1,1
CHALLAPATA,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,2,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,43,43
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,1,1
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,12,12
ENTRE RIOS,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,1,1
FERNANDEZ ALONSO,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,1,1
ICLA,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,3,3
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,2,2
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,78,78
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,2,2
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,19,19
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,2,2
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,13,13
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,206,206
PUNA,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,1,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,7,7
ROBORE,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,1,1
SACABA,otras vacunaciones,antirrabica humana esquema completo,2008-08-01,1,1
