municipality,group,variable,month,Antirrábica canina,TOTAL
COTAGAITA,otras vacunaciones,antirrabica canina,2008-01-01,61,61
COTOCA,otras vacunaciones,antirrabica canina,2008-01-01,12,12
CUEVO,otras vacunaciones,antirrabica canina,2008-01-01,10,10
CULPINA,otras vacunaciones,antirrabica canina,2008-01-01,6,6
EL ALTO,otras vacunaciones,antirrabica canina,2008-01-01,2340,2340
EL CHORO,otras vacunaciones,antirrabica canina,2008-01-01,10,10
EL PUENTE(STC),otras vacunaciones,antirrabica canina,2008-01-01,117,117
EL PUENTE(TJA),otras vacunaciones,antirrabica canina,2008-01-01,46,46
EL TORNO,otras vacunaciones,antirrabica canina,2008-01-01,510,510
ENTRE RIOS,otras vacunaciones,antirrabica canina,2008-01-01,27,27
ENTRE RIOS,otras vacunaciones,antirrabica canina,2008-01-01,24,24
FERNANDEZ ALONSO,otras vacunaciones,antirrabica canina,2008-01-01,9,9
GENERAL SAAVEDRA,otras vacunaciones,antirrabica canina,2008-01-01,10,10
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,antirrabica canina,2008-01-01,8,8
GUANAY,otras vacunaciones,antirrabica canina,2008-01-01,10,10
GUAQUI,otras vacunaciones,antirrabica canina,2008-01-01,2,2
GUAYARAMERIN,otras vacunaciones,antirrabica canina,2008-01-01,146,146
HUANUNI,otras vacunaciones,antirrabica canina,2008-01-01,57,57
ICHOCA,otras vacunaciones,antirrabica canina,2008-01-01,34,34
INQUISIVI,otras vacunaciones,antirrabica canina,2008-01-01,28,28
JESUS DE MACHACA,otras vacunaciones,antirrabica canina,2008-01-01,27,27
LA ASUNTA,otras vacunaciones,antirrabica canina,2008-01-01,10,10
LA GUARDIA,otras vacunaciones,antirrabica canina,2008-01-01,1082,1082
LA PAZ,otras vacunaciones,antirrabica canina,2008-01-01,2591,2591
LAGUNILLAS,otras vacunaciones,antirrabica canina,2008-01-01,46,46
LAS CARRERAS,otras vacunaciones,antirrabica canina,2008-01-01,43,43
MAGDALENA,otras vacunaciones,antirrabica canina,2008-01-01,326,326
MAPIRI,otras vacunaciones,antirrabica canina,2008-01-01,5,5
MECAPACA,otras vacunaciones,antirrabica canina,2008-01-01,4,4
MIZQUE,otras vacunaciones,antirrabica canina,2008-01-01,48,48
MOCOMOCO,otras vacunaciones,antirrabica canina,2008-01-01,90,90
MONTERO,otras vacunaciones,antirrabica canina,2008-01-01,1902,1902
MOROCHATA,otras vacunaciones,antirrabica canina,2008-01-01,85,85
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,antirrabica canina,2008-01-01,33,33
OCURI,otras vacunaciones,antirrabica canina,2008-01-01,28,28
OMEREQUE,otras vacunaciones,antirrabica canina,2008-01-01,56,56
ORURO,otras vacunaciones,antirrabica canina,2008-01-01,15,15
PADILLA,otras vacunaciones,antirrabica canina,2008-01-01,10,10
PALCA,otras vacunaciones,antirrabica canina,2008-01-01,30,30
PALOS BLANCOS,otras vacunaciones,antirrabica canina,2008-01-01,5,5
PAPEL PAMPA,otras vacunaciones,antirrabica canina,2008-01-01,61,61
PASORAPA,otras vacunaciones,antirrabica canina,2008-01-01,3,3
PELECHUCO,otras vacunaciones,antirrabica canina,2008-01-01,12,12
POCOATA,otras vacunaciones,antirrabica canina,2008-01-01,14,14
POCONA,otras vacunaciones,antirrabica canina,2008-01-01,4,4
POJO (CBBA),otras vacunaciones,antirrabica canina,2008-01-01,26,26
PORVENIR,otras vacunaciones,antirrabica canina,2008-01-01,478,478
POTOSI,otras vacunaciones,antirrabica canina,2008-01-01,367,367
PUERTO ACOSTA,otras vacunaciones,antirrabica canina,2008-01-01,117,117
PUERTO PEREZ,otras vacunaciones,antirrabica canina,2008-01-01,3,3
PUERTO QUIJARRO,otras vacunaciones,antirrabica canina,2008-01-01,43,43
PUERTO VILLARROEL,otras vacunaciones,antirrabica canina,2008-01-01,123,123
PUNATA,otras vacunaciones,antirrabica canina,2008-01-01,20,20
QUILLACOLLO,otras vacunaciones,antirrabica canina,2008-01-01,2760,2760
ROBORE,otras vacunaciones,antirrabica canina,2008-01-01,99,99
SACABA,otras vacunaciones,antirrabica canina,2008-01-01,753,753
SALINAS DE GARCI MENDOZA,otras vacunaciones,antirrabica canina,2008-01-01,3,3
SAMAIPATA,otras vacunaciones,antirrabica canina,2008-01-01,11,11
SAN BENITO,otras vacunaciones,antirrabica canina,2008-01-01,29,29
SAN BORJA,otras vacunaciones,antirrabica canina,2008-01-01,10,10
SAN CARLOS,otras vacunaciones,antirrabica canina,2008-01-01,99,99
SAN JULIAN,otras vacunaciones,antirrabica canina,2008-01-01,5,5
SAN LORENZO(TJA),otras vacunaciones,antirrabica canina,2008-01-01,107,107
SAN LUCAS,otras vacunaciones,antirrabica canina,2008-01-01,433,433
SAN PEDRO,otras vacunaciones,antirrabica canina,2008-01-01,3,3
SAN RAFAEL,otras vacunaciones,antirrabica canina,2008-01-01,101,101
SAN RAMON,otras vacunaciones,antirrabica canina,2008-01-01,5,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica canina,2008-01-01,6585,6585
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica canina,2008-01-01,68,68
SANTIAGO DE HUARI,otras vacunaciones,antirrabica canina,2008-01-01,20,20
SANTIVAÑES,otras vacunaciones,antirrabica canina,2008-01-01,33,33
SAPAHAQUI,otras vacunaciones,antirrabica canina,2008-01-01,16,16
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica canina,2008-01-01,220,220
SICAYA,otras vacunaciones,antirrabica canina,2008-01-01,17,17
SIPE SIPE,otras vacunaciones,antirrabica canina,2008-01-01,872,872
SUCRE,otras vacunaciones,antirrabica canina,2008-01-01,66,66
TACACOMA,otras vacunaciones,antirrabica canina,2008-01-01,18,18
TACOPAYA,otras vacunaciones,antirrabica canina,2008-01-01,4,4
TAPACARI,otras vacunaciones,antirrabica canina,2008-01-01,24,24
TARABUCO,otras vacunaciones,antirrabica canina,2008-01-01,357,357
TARATA,otras vacunaciones,antirrabica canina,2008-01-01,175,175
TARIJA,otras vacunaciones,antirrabica canina,2008-01-01,1156,1156
TIAWANACU,otras vacunaciones,antirrabica canina,2008-01-01,29,29
TIQUIPAYA,otras vacunaciones,antirrabica canina,2008-01-01,358,358
TIRAQUE (CBBA),otras vacunaciones,antirrabica canina,2008-01-01,43,43
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,antirrabica canina,2008-01-01,4,4
TOCO,otras vacunaciones,antirrabica canina,2008-01-01,76,76
TOLATA,otras vacunaciones,antirrabica canina,2008-01-01,95,95
TOMAVE,otras vacunaciones,antirrabica canina,2008-01-01,42,42
TOMINA,otras vacunaciones,antirrabica canina,2008-01-01,375,375
TOTORA(CBBA),otras vacunaciones,antirrabica canina,2008-01-01,33,33
TRINIDAD,otras vacunaciones,antirrabica canina,2008-01-01,20,20
TURCO,otras vacunaciones,antirrabica canina,2008-01-01,10,10
UMALA,otras vacunaciones,antirrabica canina,2008-01-01,31,31
URIONDO (A. CONCEPCION),otras vacunaciones,antirrabica canina,2008-01-01,8,8
VACAS,otras vacunaciones,antirrabica canina,2008-01-01,6,6
VILLA SERRANO,otras vacunaciones,antirrabica canina,2008-01-01,686,686
VILLA TUNARI,otras vacunaciones,antirrabica canina,2008-01-01,157,157
VINTO,otras vacunaciones,antirrabica canina,2008-01-01,700,700
VITICHI,otras vacunaciones,antirrabica canina,2008-01-01,234,234
WARNES,otras vacunaciones,antirrabica canina,2008-01-01,41,41
YANACACHI,otras vacunaciones,antirrabica canina,2008-01-01,6,6
YAPACANI,otras vacunaciones,antirrabica canina,2008-01-01,1,1
ACHACACHI,otras vacunaciones,antirrabica canina,2008-02-01,26,26
AIQUILE,otras vacunaciones,antirrabica canina,2008-02-01,276,276
ALCALA,otras vacunaciones,antirrabica canina,2008-02-01,6,6
ANDAMARCA,otras vacunaciones,antirrabica canina,2008-02-01,5,5
ANZALDO,otras vacunaciones,antirrabica canina,2008-02-01,129,129
ARANI,otras vacunaciones,antirrabica canina,2008-02-01,13,13
ARBIETO,otras vacunaciones,antirrabica canina,2008-02-01,271,271
ARQUE,otras vacunaciones,antirrabica canina,2008-02-01,430,430
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica canina,2008-02-01,26,26
BETANZOS,otras vacunaciones,antirrabica canina,2008-02-01,163,163
BOLIVAR,otras vacunaciones,antirrabica canina,2008-02-01,117,117
CALAMARCA,otras vacunaciones,antirrabica canina,2008-02-01,20,20
CAMARGO,otras vacunaciones,antirrabica canina,2008-02-01,3,3
CAMIRI,otras vacunaciones,antirrabica canina,2008-02-01,180,180
CAPINOTA,otras vacunaciones,antirrabica canina,2008-02-01,491,491
CARACOLLO,otras vacunaciones,antirrabica canina,2008-02-01,156,156
CARANAVI,otras vacunaciones,antirrabica canina,2008-02-01,1662,1662
CATACORA,otras vacunaciones,antirrabica canina,2008-02-01,7,7
CHALLAPATA,otras vacunaciones,antirrabica canina,2008-02-01,128,128
CHAQUI,otras vacunaciones,antirrabica canina,2008-02-01,40,40
CHAYANTA,otras vacunaciones,antirrabica canina,2008-02-01,20,20
CHIMORE,otras vacunaciones,antirrabica canina,2008-02-01,26,26
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica canina,2008-02-01,54,54
CHUMA,otras vacunaciones,antirrabica canina,2008-02-01,6,6
CLIZA,otras vacunaciones,antirrabica canina,2008-02-01,522,522
COCHABAMBA,otras vacunaciones,antirrabica canina,2008-02-01,4579,4579
COLCAPIRHUA,otras vacunaciones,antirrabica canina,2008-02-01,1372,1372
COLLANA,otras vacunaciones,antirrabica canina,2008-02-01,30,30
COLOMI,otras vacunaciones,antirrabica canina,2008-02-01,100,100
COLQUENCHA,otras vacunaciones,antirrabica canina,2008-02-01,82,82
COLQUIRI,otras vacunaciones,antirrabica canina,2008-02-01,10,10
CORIPATA,otras vacunaciones,antirrabica canina,2008-02-01,188,188
COROICO,otras vacunaciones,antirrabica canina,2008-02-01,438,438
COTOCA,otras vacunaciones,antirrabica canina,2008-02-01,1769,1769
DESAGUADERO,otras vacunaciones,antirrabica canina,2008-02-01,5,5
EL ALTO,otras vacunaciones,antirrabica canina,2008-02-01,5557,5557
EL PUENTE(STC),otras vacunaciones,antirrabica canina,2008-02-01,6,6
EL TORNO,otras vacunaciones,antirrabica canina,2008-02-01,3066,3066
ENTRE RIOS,otras vacunaciones,antirrabica canina,2008-02-01,203,203
ENTRE RIOS,otras vacunaciones,antirrabica canina,2008-02-01,282,282
EUCALIPTUS,otras vacunaciones,antirrabica canina,2008-02-01,4,4
FERNANDEZ ALONSO,otras vacunaciones,antirrabica canina,2008-02-01,787,787
GENERAL SAAVEDRA,otras vacunaciones,antirrabica canina,2008-02-01,653,653
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,antirrabica canina,2008-02-01,2,2
GUAQUI,otras vacunaciones,antirrabica canina,2008-02-01,112,112
HUANUNI,otras vacunaciones,antirrabica canina,2008-02-01,225,225
ICHOCA,otras vacunaciones,antirrabica canina,2008-02-01,17,17
INCAHUASI,otras vacunaciones,antirrabica canina,2008-02-01,70,70
INQUISIVI,otras vacunaciones,antirrabica canina,2008-02-01,13,13
JESUS DE MACHACA,otras vacunaciones,antirrabica canina,2008-02-01,300,300
LA ASUNTA,otras vacunaciones,antirrabica canina,2008-02-01,17,17
LA GUARDIA,otras vacunaciones,antirrabica canina,2008-02-01,244,244
LA PAZ,otras vacunaciones,antirrabica canina,2008-02-01,6802,6802
LAGUNILLAS,otras vacunaciones,antirrabica canina,2008-02-01,113,113
LAJA,otras vacunaciones,antirrabica canina,2008-02-01,27,27
LLALLAGUA,otras vacunaciones,antirrabica canina,2008-02-01,3,3
MAIRANA,otras vacunaciones,antirrabica canina,2008-02-01,68,68
MAPIRI,otras vacunaciones,antirrabica canina,2008-02-01,75,75
MECAPACA,otras vacunaciones,antirrabica canina,2008-02-01,107,107
MINEROS,otras vacunaciones,antirrabica canina,2008-02-01,890,890
MIZQUE,otras vacunaciones,antirrabica canina,2008-02-01,57,57
MOCOMOCO,otras vacunaciones,antirrabica canina,2008-02-01,107,107
MONTERO,otras vacunaciones,antirrabica canina,2008-02-01,1774,1774
MOROCHATA,otras vacunaciones,antirrabica canina,2008-02-01,139,139
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,antirrabica canina,2008-02-01,7,7
OMEREQUE,otras vacunaciones,antirrabica canina,2008-02-01,8,8
ORURO,otras vacunaciones,antirrabica canina,2008-02-01,249,249
PADILLA,otras vacunaciones,antirrabica canina,2008-02-01,465,465
PAILON,otras vacunaciones,antirrabica canina,2008-02-01,50,50
PALCA,otras vacunaciones,antirrabica canina,2008-02-01,26,26
PALOS BLANCOS,otras vacunaciones,antirrabica canina,2008-02-01,8,8
PAPEL PAMPA,otras vacunaciones,antirrabica canina,2008-02-01,9,9
PATACAMAYA,otras vacunaciones,antirrabica canina,2008-02-01,223,223
PELECHUCO,otras vacunaciones,antirrabica canina,2008-02-01,15,15
POCONA,otras vacunaciones,antirrabica canina,2008-02-01,1077,1077
POJO (CBBA),otras vacunaciones,antirrabica canina,2008-02-01,582,582
PORONGO,otras vacunaciones,antirrabica canina,2008-02-01,3,3
PUERTO ACOSTA,otras vacunaciones,antirrabica canina,2008-02-01,157,157
PUERTO CARABUCO,otras vacunaciones,antirrabica canina,2008-02-01,166,166
PUERTO PEREZ,otras vacunaciones,antirrabica canina,2008-02-01,3,3
PUERTO QUIJARRO,otras vacunaciones,antirrabica canina,2008-02-01,152,152
PUERTO VILLARROEL,otras vacunaciones,antirrabica canina,2008-02-01,289,289
PUNA,otras vacunaciones,antirrabica canina,2008-02-01,7,7
PUNATA,otras vacunaciones,antirrabica canina,2008-02-01,28,28
QUIABAYA,otras vacunaciones,antirrabica canina,2008-02-01,6,6
QUILLACOLLO,otras vacunaciones,antirrabica canina,2008-02-01,1321,1321
QUIRUSILLAS,otras vacunaciones,antirrabica canina,2008-02-01,2,2
SABAYA,otras vacunaciones,antirrabica canina,2008-02-01,2,2
SACABA,otras vacunaciones,antirrabica canina,2008-02-01,810,810
SACABAMBA,otras vacunaciones,antirrabica canina,2008-02-01,10,10
SALINAS DE GARCI MENDOZA,otras vacunaciones,antirrabica canina,2008-02-01,31,31
SAN ANDRES DE MACHACA,otras vacunaciones,antirrabica canina,2008-02-01,5,5
SAN BENITO,otras vacunaciones,antirrabica canina,2008-02-01,4,4
SAN BORJA,otras vacunaciones,antirrabica canina,2008-02-01,6,6
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica canina,2008-02-01,2125,2125
SAN JAVIER(STC),otras vacunaciones,antirrabica canina,2008-02-01,441,441
SAN JULIAN,otras vacunaciones,antirrabica canina,2008-02-01,12,12
SAN LORENZO(TJA),otras vacunaciones,antirrabica canina,2008-02-01,20,20
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica canina,2008-02-01,3,3
SAN PEDRO,otras vacunaciones,antirrabica canina,2008-02-01,170,170
SAN PEDRO DE CURAHUARA,otras vacunaciones,antirrabica canina,2008-02-01,21,21
SAN PEDRO DE TIQUINA,otras vacunaciones,antirrabica canina,2008-02-01,49,49
SAN RAMON,otras vacunaciones,antirrabica canina,2008-02-01,6,6
SANTA ANA,otras vacunaciones,antirrabica canina,2008-02-01,70,70
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica canina,2008-02-01,4645,4645
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica canina,2008-02-01,5,5
SANTIAGO DE CALLAPA,otras vacunaciones,antirrabica canina,2008-02-01,19,19
SANTIVAÑES,otras vacunaciones,antirrabica canina,2008-02-01,84,84
SAPAHAQUI,otras vacunaciones,antirrabica canina,2008-02-01,10,10
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica canina,2008-02-01,603,603
SICAYA,otras vacunaciones,antirrabica canina,2008-02-01,10,10
SIPE SIPE,otras vacunaciones,antirrabica canina,2008-02-01,611,611
SUCRE,otras vacunaciones,antirrabica canina,2008-02-01,145,145
TACACOMA,otras vacunaciones,antirrabica canina,2008-02-01,50,50
TAPACARI,otras vacunaciones,antirrabica canina,2008-02-01,66,66
TARABUCO,otras vacunaciones,antirrabica canina,2008-02-01,10,10
TARACO,otras vacunaciones,antirrabica canina,2008-02-01,94,94
TARATA,otras vacunaciones,antirrabica canina,2008-02-01,135,135
TIAWANACU,otras vacunaciones,antirrabica canina,2008-02-01,111,111
TIQUIPAYA,otras vacunaciones,antirrabica canina,2008-02-01,278,278
TIRAQUE (CBBA),otras vacunaciones,antirrabica canina,2008-02-01,15,15
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,antirrabica canina,2008-02-01,2,2
TOCO,otras vacunaciones,antirrabica canina,2008-02-01,17,17
TOLATA,otras vacunaciones,antirrabica canina,2008-02-01,12,12
TOLEDO,otras vacunaciones,antirrabica canina,2008-02-01,87,87
TOTORA(CBBA),otras vacunaciones,antirrabica canina,2008-02-01,197,197
TRINIDAD,otras vacunaciones,antirrabica canina,2008-02-01,9603,9603
TURCO,otras vacunaciones,antirrabica canina,2008-02-01,5,5
UMALA,otras vacunaciones,antirrabica canina,2008-02-01,32,32
URIONDO (A. CONCEPCION),otras vacunaciones,antirrabica canina,2008-02-01,14,14
VIACHA,otras vacunaciones,antirrabica canina,2008-02-01,4,4
VILLA RIVERO,otras vacunaciones,antirrabica canina,2008-02-01,10,10
VILLA SERRANO,otras vacunaciones,antirrabica canina,2008-02-01,559,559
VILLA TUNARI,otras vacunaciones,antirrabica canina,2008-02-01,155,155
VINTO,otras vacunaciones,antirrabica canina,2008-02-01,6259,6259
WARNES,otras vacunaciones,antirrabica canina,2008-02-01,1199,1199
YAMPARAEZ,otras vacunaciones,antirrabica canina,2008-02-01,161,161
YAPACANI,otras vacunaciones,antirrabica canina,2008-02-01,7,7
ACHACACHI,otras vacunaciones,antirrabica canina,2008-03-01,354,354
AIQUILE,otras vacunaciones,antirrabica canina,2008-03-01,318,318
ALALAY,otras vacunaciones,antirrabica canina,2008-03-01,89,89
ANDAMARCA,otras vacunaciones,antirrabica canina,2008-03-01,6,6
ANZALDO,otras vacunaciones,antirrabica canina,2008-03-01,72,72
ARANI,otras vacunaciones,antirrabica canina,2008-03-01,2273,2273
ARBIETO,otras vacunaciones,antirrabica canina,2008-03-01,41,41
AYO AYO,otras vacunaciones,antirrabica canina,2008-03-01,16,16
BOLIVAR,otras vacunaciones,antirrabica canina,2008-03-01,10,10
BUENA VISTA,otras vacunaciones,antirrabica canina,2008-03-01,170,170
CALAMARCA,otras vacunaciones,antirrabica canina,2008-03-01,69,69
CAMIRI,otras vacunaciones,antirrabica canina,2008-03-01,200,200
CAPINOTA,otras vacunaciones,antirrabica canina,2008-03-01,163,163
CAQUIAVIRI,otras vacunaciones,antirrabica canina,2008-03-01,8,8
CARACOLLO,otras vacunaciones,antirrabica canina,2008-03-01,5,5
CARANAVI,otras vacunaciones,antirrabica canina,2008-03-01,489,489
CATACORA,otras vacunaciones,antirrabica canina,2008-03-01,2,2
CHALLAPATA,otras vacunaciones,antirrabica canina,2008-03-01,24,24
CHARAÑA,otras vacunaciones,antirrabica canina,2008-03-01,10,10
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica canina,2008-03-01,37,37
CHUMA,otras vacunaciones,antirrabica canina,2008-03-01,3,3
CLIZA,otras vacunaciones,antirrabica canina,2008-03-01,486,486
COCHABAMBA,otras vacunaciones,antirrabica canina,2008-03-01,1520,1520
COLCAPIRHUA,otras vacunaciones,antirrabica canina,2008-03-01,2054,2054
COLLANA,otras vacunaciones,antirrabica canina,2008-03-01,187,187
COLOMI,otras vacunaciones,antirrabica canina,2008-03-01,119,119
COLQUENCHA,otras vacunaciones,antirrabica canina,2008-03-01,22,22
COMANCHE,otras vacunaciones,antirrabica canina,2008-03-01,5,5
CONCEPCION,otras vacunaciones,antirrabica canina,2008-03-01,774,774
CORIPATA,otras vacunaciones,antirrabica canina,2008-03-01,427,427
COROICO,otras vacunaciones,antirrabica canina,2008-03-01,57,57
CORQUE,otras vacunaciones,antirrabica canina,2008-03-01,30,30
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,antirrabica canina,2008-03-01,530,530
CULPINA,otras vacunaciones,antirrabica canina,2008-03-01,198,198
EL ALTO,otras vacunaciones,antirrabica canina,2008-03-01,8680,8680
EL PUENTE(STC),otras vacunaciones,antirrabica canina,2008-03-01,60,60
EL TORNO,otras vacunaciones,antirrabica canina,2008-03-01,867,867
GENERAL SAAVEDRA,otras vacunaciones,antirrabica canina,2008-03-01,302,302
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,antirrabica canina,2008-03-01,11,11
GUAYARAMERIN,otras vacunaciones,antirrabica canina,2008-03-01,50,50
ICHOCA,otras vacunaciones,antirrabica canina,2008-03-01,20,20
INQUISIVI,otras vacunaciones,antirrabica canina,2008-03-01,27,27
LA ASUNTA,otras vacunaciones,antirrabica canina,2008-03-01,208,208
LA GUARDIA,otras vacunaciones,antirrabica canina,2008-03-01,3,3
LA PAZ,otras vacunaciones,antirrabica canina,2008-03-01,719,719
LAGUNILLAS,otras vacunaciones,antirrabica canina,2008-03-01,30,30
LICOMA PAMPA,otras vacunaciones,antirrabica canina,2008-03-01,10,10
LURIBAY,otras vacunaciones,antirrabica canina,2008-03-01,3,3
MACHARETI,otras vacunaciones,antirrabica canina,2008-03-01,7,7
MAIRANA,otras vacunaciones,antirrabica canina,2008-03-01,114,114
MECAPACA,otras vacunaciones,antirrabica canina,2008-03-01,42,42
MIZQUE,otras vacunaciones,antirrabica canina,2008-03-01,247,247
MONTERO,otras vacunaciones,antirrabica canina,2008-03-01,102,102
MOROCHATA,otras vacunaciones,antirrabica canina,2008-03-01,71,71
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,antirrabica canina,2008-03-01,5,5
OCURI,otras vacunaciones,antirrabica canina,2008-03-01,83,83
OMEREQUE,otras vacunaciones,antirrabica canina,2008-03-01,9,9
ORURO,otras vacunaciones,antirrabica canina,2008-03-01,64,64
PALCA,otras vacunaciones,antirrabica canina,2008-03-01,33,33
PELECHUCO,otras vacunaciones,antirrabica canina,2008-03-01,5,5
POCONA,otras vacunaciones,antirrabica canina,2008-03-01,652,652
POJO (CBBA),otras vacunaciones,antirrabica canina,2008-03-01,138,138
PORONGO,otras vacunaciones,antirrabica canina,2008-03-01,1109,1109
POTOSI,otras vacunaciones,antirrabica canina,2008-03-01,467,467
PUCARANI,otras vacunaciones,antirrabica canina,2008-03-01,14,14
PUERTO SILES,otras vacunaciones,antirrabica canina,2008-03-01,14,14
PUERTO SUAREZ,otras vacunaciones,antirrabica canina,2008-03-01,503,503
PUERTO VILLARROEL,otras vacunaciones,antirrabica canina,2008-03-01,232,232
PUNATA,otras vacunaciones,antirrabica canina,2008-03-01,3218,3218
QUIABAYA,otras vacunaciones,antirrabica canina,2008-03-01,7,7
QUILLACOLLO,otras vacunaciones,antirrabica canina,2008-03-01,10321,10321
ROBORE,otras vacunaciones,antirrabica canina,2008-03-01,115,115
SACABA,otras vacunaciones,antirrabica canina,2008-03-01,1549,1549
SACABAMBA,otras vacunaciones,antirrabica canina,2008-03-01,31,31
SAN AGUSTIN,otras vacunaciones,antirrabica canina,2008-03-01,3,3
SAN ANDRES DE MACHACA,otras vacunaciones,antirrabica canina,2008-03-01,11,11
SAN BENITO,otras vacunaciones,antirrabica canina,2008-03-01,2152,2152
SAN BORJA,otras vacunaciones,antirrabica canina,2008-03-01,107,107
SAN IGNACIO,otras vacunaciones,antirrabica canina,2008-03-01,2050,2050
SAN JAVIER(BNI),otras vacunaciones,antirrabica canina,2008-03-01,88,88
SAN JAVIER(STC),otras vacunaciones,antirrabica canina,2008-03-01,229,229
SAN JULIAN,otras vacunaciones,antirrabica canina,2008-03-01,25,25
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica canina,2008-03-01,118,118
SAN PEDRO DE CURAHUARA,otras vacunaciones,antirrabica canina,2008-03-01,9,9
SAN PEDRO DE TIQUINA,otras vacunaciones,antirrabica canina,2008-03-01,13,13
SAN RAFAEL,otras vacunaciones,antirrabica canina,2008-03-01,22,22
SANTA ANA,otras vacunaciones,antirrabica canina,2008-03-01,3007,3007
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica canina,2008-03-01,5743,5743
SANTA ROSA,otras vacunaciones,antirrabica canina,2008-03-01,654,654
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica canina,2008-03-01,3,3
SANTIAGO DE CALLAPA,otras vacunaciones,antirrabica canina,2008-03-01,8,8
SANTIVAÑES,otras vacunaciones,antirrabica canina,2008-03-01,41,41
SAPAHAQUI,otras vacunaciones,antirrabica canina,2008-03-01,15,15
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica canina,2008-03-01,256,256
