,group,variable,month,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES,TOTALES
TOTORA(CBBA),chagas,tratamientos de 15 anos y mas,2013-01-01,5,2,0,0,5,2,7
TUPIZA,chagas,tratamientos de 15 anos y mas,2013-01-01,22,31,22,36,44,67,111
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2013-01-01,1,1,0,0,1,1,2
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2013-01-01,0,2,2,2,2,4,6
VINTO,chagas,tratamientos de 15 anos y mas,2013-01-01,0,1,0,0,0,1,1
VITICHI,chagas,tratamientos de 15 anos y mas,2013-01-01,0,0,1,3,1,3,4
AIQUILE,chagas,tratamientos de 15 anos y mas,2013-02-01,1,0,4,6,5,6,11
ARAMPAMPA,chagas,tratamientos de 15 anos y mas,2013-02-01,1,1,1,1,2,2,4
"CAIZA ""D""",chagas,tratamientos de 15 anos y mas,2013-02-01,0,1,1,1,1,2,3
CAPINOTA,chagas,tratamientos de 15 anos y mas,2013-02-01,1,3,0,0,1,3,4
CLIZA,chagas,tratamientos de 15 anos y mas,2013-02-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2013-02-01,25,54,11,18,36,72,108
COTAGAITA,chagas,tratamientos de 15 anos y mas,2013-02-01,0,1,0,0,0,1,1
EL TORNO,chagas,tratamientos de 15 anos y mas,2013-02-01,2,3,0,0,2,3,5
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2013-02-01,4,2,0,2,4,4,8
PASORAPA,chagas,tratamientos de 15 anos y mas,2013-02-01,2,1,0,0,2,1,3
SACABA,chagas,tratamientos de 15 anos y mas,2013-02-01,2,10,0,0,2,10,12
SAMAIPATA,chagas,tratamientos de 15 anos y mas,2013-02-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2013-02-01,0,0,0,1,0,1,1
SUCRE,chagas,tratamientos de 15 anos y mas,2013-02-01,25,34,5,5,30,39,69
TAPACARI,chagas,tratamientos de 15 anos y mas,2013-02-01,1,0,0,0,1,0,1
TARABUCO,chagas,tratamientos de 15 anos y mas,2013-02-01,1,0,0,0,1,0,1
TARIJA,chagas,tratamientos de 15 anos y mas,2013-02-01,8,28,4,10,12,38,50
TOTORA(CBBA),chagas,tratamientos de 15 anos y mas,2013-02-01,0,0,1,1,1,1,2
TUPIZA,chagas,tratamientos de 15 anos y mas,2013-02-01,16,17,12,14,28,31,59
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2013-02-01,0,2,2,1,2,3,5
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2013-02-01,15,17,0,0,15,17,32
VINTO,chagas,tratamientos de 15 anos y mas,2013-02-01,0,0,0,1,0,1,1
ACACIO,chagas,tratamientos de 15 anos y mas,2013-03-01,1,0,0,0,1,0,1
AIQUILE,chagas,tratamientos de 15 anos y mas,2013-03-01,5,4,17,14,22,18,40
ARBIETO,chagas,tratamientos de 15 anos y mas,2013-03-01,0,1,0,0,0,1,1
BERMEJO,chagas,tratamientos de 15 anos y mas,2013-03-01,1,2,0,3,1,5,6
CAPINOTA,chagas,tratamientos de 15 anos y mas,2013-03-01,1,1,1,0,2,1,3
CHAQUI,chagas,tratamientos de 15 anos y mas,2013-03-01,1,0,0,4,1,4,5
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2013-03-01,28,75,3,6,31,81,112
COROICO,chagas,tratamientos de 15 anos y mas,2013-03-01,0,1,0,0,0,1,1
COTAGAITA,chagas,tratamientos de 15 anos y mas,2013-03-01,1,0,0,1,1,1,2
EL TORNO,chagas,tratamientos de 15 anos y mas,2013-03-01,0,0,1,1,1,1,2
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2013-03-01,4,4,1,1,5,5,10
OMEREQUE,chagas,tratamientos de 15 anos y mas,2013-03-01,4,12,0,0,4,12,16
PORTACHUELO,chagas,tratamientos de 15 anos y mas,2013-03-01,1,0,0,0,1,0,1
SACABA,chagas,tratamientos de 15 anos y mas,2013-03-01,7,16,0,1,7,17,24
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2013-03-01,0,0,0,1,0,1,1
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2013-03-01,1,3,0,0,1,3,4
SOPACHUY,chagas,tratamientos de 15 anos y mas,2013-03-01,0,2,0,0,0,2,2
SUCRE,chagas,tratamientos de 15 anos y mas,2013-03-01,26,30,12,20,38,50,88
TAPACARI,chagas,tratamientos de 15 anos y mas,2013-03-01,1,0,0,0,1,0,1
TARABUCO,chagas,tratamientos de 15 anos y mas,2013-03-01,1,0,0,0,1,0,1
TARIJA,chagas,tratamientos de 15 anos y mas,2013-03-01,3,3,0,0,3,3,6
TOMAVE,chagas,tratamientos de 15 anos y mas,2013-03-01,0,1,0,0,0,1,1
TUPIZA,chagas,tratamientos de 15 anos y mas,2013-03-01,14,24,22,31,36,55,91
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2013-03-01,1,0,0,0,1,0,1
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2013-03-01,8,12,2,7,10,19,29
AIQUILE,chagas,tratamientos de 15 anos y mas,2013-04-01,4,12,1,0,5,12,17
BOYUIBE,chagas,tratamientos de 15 anos y mas,2013-04-01,0,1,0,0,0,1,1
CAPINOTA,chagas,tratamientos de 15 anos y mas,2013-04-01,0,1,1,2,1,3,4
CHAQUI,chagas,tratamientos de 15 anos y mas,2013-04-01,0,0,1,0,1,0,1
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2013-04-01,24,86,7,14,31,100,131
EL ALTO,chagas,tratamientos de 15 anos y mas,2013-04-01,1,0,0,0,1,0,1
EL TORNO,chagas,tratamientos de 15 anos y mas,2013-04-01,0,0,1,2,1,2,3
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2013-04-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2013-04-01,1,3,0,0,1,3,4
OMEREQUE,chagas,tratamientos de 15 anos y mas,2013-04-01,6,6,0,0,6,6,12
PASORAPA,chagas,tratamientos de 15 anos y mas,2013-04-01,0,4,0,0,0,4,4
SACABAMBA,chagas,tratamientos de 15 anos y mas,2013-04-01,4,3,0,0,4,3,7
SAMAIPATA,chagas,tratamientos de 15 anos y mas,2013-04-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2013-04-01,14,23,2,3,16,26,42
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2013-04-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos de 15 anos y mas,2013-04-01,41,68,8,18,49,86,135
TAPACARI,chagas,tratamientos de 15 anos y mas,2013-04-01,2,2,1,0,3,2,5
TARABUCO,chagas,tratamientos de 15 anos y mas,2013-04-01,1,0,1,0,2,0,2
TARIJA,chagas,tratamientos de 15 anos y mas,2013-04-01,26,24,11,18,37,42,79
TIQUIPAYA,chagas,tratamientos de 15 anos y mas,2013-04-01,0,1,0,0,0,1,1
TUPIZA,chagas,tratamientos de 15 anos y mas,2013-04-01,18,18,21,30,39,48,87
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2013-04-01,0,1,0,0,0,1,1
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2013-04-01,1,2,1,0,2,2,4
AIQUILE,chagas,tratamientos de 15 anos y mas,2013-05-01,5,22,3,5,8,27,35
BERMEJO,chagas,tratamientos de 15 anos y mas,2013-05-01,0,0,1,0,1,0,1
BETANZOS,chagas,tratamientos de 15 anos y mas,2013-05-01,1,0,0,0,1,0,1
CAPINOTA,chagas,tratamientos de 15 anos y mas,2013-05-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2013-05-01,0,2,0,0,0,2,2
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2013-05-01,15,32,27,51,42,83,125
COTAGAITA,chagas,tratamientos de 15 anos y mas,2013-05-01,0,2,0,0,0,2,2
EL TORNO,chagas,tratamientos de 15 anos y mas,2013-05-01,1,0,0,0,1,0,1
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2013-05-01,3,0,0,0,3,0,3
MAIRANA,chagas,tratamientos de 15 anos y mas,2013-05-01,0,1,0,0,0,1,1
MIZQUE,chagas,tratamientos de 15 anos y mas,2013-05-01,6,5,2,1,8,6,14
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2013-05-01,4,1,0,0,4,1,5
OMEREQUE,chagas,tratamientos de 15 anos y mas,2013-05-01,2,8,3,6,5,14,19
PADILLA,chagas,tratamientos de 15 anos y mas,2013-05-01,0,2,0,0,0,2,2
PASORAPA,chagas,tratamientos de 15 anos y mas,2013-05-01,0,6,1,0,1,6,7
SACABAMBA,chagas,tratamientos de 15 anos y mas,2013-05-01,4,2,0,0,4,2,6
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2013-05-01,3,7,3,4,6,11,17
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2013-05-01,0,3,1,1,1,4,5
SOPACHUY,chagas,tratamientos de 15 anos y mas,2013-05-01,2,0,0,0,2,0,2
SUCRE,chagas,tratamientos de 15 anos y mas,2013-05-01,15,35,15,21,30,56,86
TAPACARI,chagas,tratamientos de 15 anos y mas,2013-05-01,1,2,1,1,2,3,5
TARABUCO,chagas,tratamientos de 15 anos y mas,2013-05-01,0,0,1,0,1,0,1
TARIJA,chagas,tratamientos de 15 anos y mas,2013-05-01,21,46,30,37,51,83,134
TOCO,chagas,tratamientos de 15 anos y mas,2013-05-01,0,1,0,0,0,1,1
TOTORA(CBBA),chagas,tratamientos de 15 anos y mas,2013-05-01,0,1,0,0,0,1,1
TUPIZA,chagas,tratamientos de 15 anos y mas,2013-05-01,11,14,14,23,25,37,62
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2013-05-01,1,0,0,0,1,0,1
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2013-05-01,9,21,4,9,13,30,43
AIQUILE,chagas,tratamientos de 15 anos y mas,2013-06-01,6,11,3,5,9,16,25
ARBIETO,chagas,tratamientos de 15 anos y mas,2013-06-01,0,4,0,0,0,4,4
CAPINOTA,chagas,tratamientos de 15 anos y mas,2013-06-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2013-06-01,1,2,0,0,1,2,3
CKOCHAS,chagas,tratamientos de 15 anos y mas,2013-06-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2013-06-01,41,66,20,66,61,132,193
COTAGAITA,chagas,tratamientos de 15 anos y mas,2013-06-01,1,3,0,0,1,3,4
EL TORNO,chagas,tratamientos de 15 anos y mas,2013-06-01,1,2,0,0,1,2,3
GENERAL SAAVEDRA,chagas,tratamientos de 15 anos y mas,2013-06-01,0,1,0,0,0,1,1
GUTIERREZ,chagas,tratamientos de 15 anos y mas,2013-06-01,0,4,0,0,0,4,4
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2013-06-01,1,1,1,0,2,1,3
MIZQUE,chagas,tratamientos de 15 anos y mas,2013-06-01,3,2,0,0,3,2,5
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2013-06-01,0,2,1,2,1,4,5
OMEREQUE,chagas,tratamientos de 15 anos y mas,2013-06-01,10,3,6,4,16,7,23
PUNA,chagas,tratamientos de 15 anos y mas,2013-06-01,0,3,0,0,0,3,3
SAMAIPATA,chagas,tratamientos de 15 anos y mas,2013-06-01,0,1,1,0,1,1,2
SAN PEDRO DE BUENA VISTA,chagas,tratamientos de 15 anos y mas,2013-06-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2013-06-01,19,19,9,10,28,29,57
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2013-06-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos de 15 anos y mas,2013-06-01,12,33,3,12,15,45,60
TAPACARI,chagas,tratamientos de 15 anos y mas,2013-06-01,0,0,2,1,2,1,3
TARIJA,chagas,tratamientos de 15 anos y mas,2013-06-01,29,39,34,28,63,67,130
TOMAVE,chagas,tratamientos de 15 anos y mas,2013-06-01,0,1,0,0,0,1,1
TOTORA(CBBA),chagas,tratamientos de 15 anos y mas,2013-06-01,14,1,0,0,14,1,15
TUPIZA,chagas,tratamientos de 15 anos y mas,2013-06-01,16,17,10,12,26,29,55
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2013-06-01,0,2,0,1,0,3,3
ACACIO,chagas,tratamientos de 15 anos y mas,2013-07-01,0,1,0,0,0,1,1
AIQUILE,chagas,tratamientos de 15 anos y mas,2013-07-01,3,3,0,10,3,13,16
ARAMPAMPA,chagas,tratamientos de 15 anos y mas,2013-07-01,1,1,0,0,1,1,2
BERMEJO,chagas,tratamientos de 15 anos y mas,2013-07-01,0,0,1,5,1,5,6
CAJUATA,chagas,tratamientos de 15 anos y mas,2013-07-01,1,5,0,0,1,5,6
CAPINOTA,chagas,tratamientos de 15 anos y mas,2013-07-01,0,2,0,1,0,3,3
CARAPARI,chagas,tratamientos de 15 anos y mas,2013-07-01,0,2,0,0,0,2,2
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2013-07-01,1,2,0,0,1,2,3
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2013-07-01,34,60,36,45,70,105,175
EL TORNO,chagas,tratamientos de 15 anos y mas,2013-07-01,0,2,1,1,1,3,4
GUAYARAMERIN,chagas,tratamientos de 15 anos y mas,2013-07-01,1,2,0,0,1,2,3
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2013-07-01,2,1,0,1,2,2,4
LA PAZ,chagas,tratamientos de 15 anos y mas,2013-07-01,1,0,0,0,1,0,1
MIZQUE,chagas,tratamientos de 15 anos y mas,2013-07-01,3,7,0,1,3,8,11
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2013-07-01,2,5,0,0,2,5,7
OMEREQUE,chagas,tratamientos de 15 anos y mas,2013-07-01,1,0,1,0,2,0,2
PASORAPA,chagas,tratamientos de 15 anos y mas,2013-07-01,0,2,0,0,0,2,2
PUNA,chagas,tratamientos de 15 anos y mas,2013-07-01,3,10,0,0,3,10,13
SACABAMBA,chagas,tratamientos de 15 anos y mas,2013-07-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2013-07-01,9,12,5,11,14,23,37
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2013-07-01,1,0,0,0,1,0,1
SOPACHUY,chagas,tratamientos de 15 anos y mas,2013-07-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos de 15 anos y mas,2013-07-01,9,20,54,57,63,77,140
TAPACARI,chagas,tratamientos de 15 anos y mas,2013-07-01,0,2,1,2,1,4,5
TARIJA,chagas,tratamientos de 15 anos y mas,2013-07-01,10,13,3,0,13,13,26
TOCO,chagas,tratamientos de 15 anos y mas,2013-07-01,0,1,0,0,0,1,1
TOMAVE,chagas,tratamientos de 15 anos y mas,2013-07-01,0,0,0,1,0,1,1
TOTORA(CBBA),chagas,tratamientos de 15 anos y mas,2013-07-01,3,1,0,0,3,1,4
TUPIZA,chagas,tratamientos de 15 anos y mas,2013-07-01,22,44,14,23,36,67,103
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2013-07-01,7,1,1,0,8,1,9
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2013-07-01,12,18,11,9,23,27,50
AIQUILE,chagas,tratamientos de 15 anos y mas,2013-08-01,8,7,0,1,8,8,16
ARAMPAMPA,chagas,tratamientos de 15 anos y mas,2013-08-01,1,1,0,0,1,1,2
ARBIETO,chagas,tratamientos de 15 anos y mas,2013-08-01,0,2,0,0,0,2,2
BERMEJO,chagas,tratamientos de 15 anos y mas,2013-08-01,0,0,1,0,1,0,1
CAPINOTA,chagas,tratamientos de 15 anos y mas,2013-08-01,3,6,0,0,3,6,9
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2013-08-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2013-08-01,1,1,3,2,4,3,7
COTAGAITA,chagas,tratamientos de 15 anos y mas,2013-08-01,1,0,0,0,1,0,1
EL ALTO,chagas,tratamientos de 15 anos y mas,2013-08-01,0,2,0,0,0,2,2
EL TORNO,chagas,tratamientos de 15 anos y mas,2013-08-01,3,2,0,1,3,3,6
GUAYARAMERIN,chagas,tratamientos de 15 anos y mas,2013-08-01,1,1,0,0,1,1,2
GUTIERREZ,chagas,tratamientos de 15 anos y mas,2013-08-01,0,0,0,2,0,2,2
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2013-08-01,0,1,0,0,0,1,1
LA PAZ,chagas,tratamientos de 15 anos y mas,2013-08-01,1,0,0,0,1,0,1
MIZQUE,chagas,tratamientos de 15 anos y mas,2013-08-01,4,3,1,0,5,3,8
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2013-08-01,3,5,0,1,3,6,9
OMEREQUE,chagas,tratamientos de 15 anos y mas,2013-08-01,2,1,2,2,4,3,7
PASORAPA,chagas,tratamientos de 15 anos y mas,2013-08-01,1,6,0,0,1,6,7
PUNA,chagas,tratamientos de 15 anos y mas,2013-08-01,1,4,0,1,1,5,6
SAN LORENZO(TJA),chagas,tratamientos de 15 anos y mas,2013-08-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2013-08-01,3,7,4,1,7,8,15
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2013-08-01,1,0,0,0,1,0,1
SOPACHUY,chagas,tratamientos de 15 anos y mas,2013-08-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos de 15 anos y mas,2013-08-01,10,13,11,29,21,42,63
TAPACARI,chagas,tratamientos de 15 anos y mas,2013-08-01,0,0,0,1,0,1,1
TARATA,chagas,tratamientos de 15 anos y mas,2013-08-01,3,0,0,0,3,0,3
TARIJA,chagas,tratamientos de 15 anos y mas,2013-08-01,27,76,25,44,52,120,172
TIQUIPAYA,chagas,tratamientos de 15 anos y mas,2013-08-01,2,1,0,0,2,1,3
TOMAVE,chagas,tratamientos de 15 anos y mas,2013-08-01,0,1,0,0,0,1,1
TOTORA(CBBA),chagas,tratamientos de 15 anos y mas,2013-08-01,5,6,0,0,5,6,11
TUPIZA,chagas,tratamientos de 15 anos y mas,2013-08-01,19,41,16,17,35,58,93
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2013-08-01,0,4,0,2,0,6,6
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2013-08-01,1,2,1,1,2,3,5
YACUIBA,chagas,tratamientos de 15 anos y mas,2013-08-01,1,0,0,0,1,0,1
YANACACHI,chagas,tratamientos de 15 anos y mas,2013-08-01,4,6,0,0,4,6,10
ACACIO,chagas,tratamientos de 15 anos y mas,2013-09-01,1,0,1,1,2,1,3
AIQUILE,chagas,tratamientos de 15 anos y mas,2013-09-01,6,7,0,0,6,7,13
ARBIETO,chagas,tratamientos de 15 anos y mas,2013-09-01,0,2,0,0,0,2,2
BETANZOS,chagas,tratamientos de 15 anos y mas,2013-09-01,1,17,0,0,1,17,18
CAJUATA,chagas,tratamientos de 15 anos y mas,2013-09-01,0,0,5,9,5,9,14
CAPINOTA,chagas,tratamientos de 15 anos y mas,2013-09-01,0,1,0,2,0,3,3
CARAPARI,chagas,tratamientos de 15 anos y mas,2013-09-01,0,0,1,2,1,2,3
CLIZA,chagas,tratamientos de 15 anos y mas,2013-09-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2013-09-01,25,49,24,33,49,82,131
COTAGAITA,chagas,tratamientos de 15 anos y mas,2013-09-01,2,1,0,0,2,1,3
EL ALTO,chagas,tratamientos de 15 anos y mas,2013-09-01,0,1,0,0,0,1,1
EL TORNO,chagas,tratamientos de 15 anos y mas,2013-09-01,3,4,0,1,3,5,8
GUAYARAMERIN,chagas,tratamientos de 15 anos y mas,2013-09-01,0,1,0,0,0,1,1
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2013-09-01,1,1,4,0,5,1,6
LA PAZ,chagas,tratamientos de 15 anos y mas,2013-09-01,1,0,0,0,1,0,1
MACHARETI,chagas,tratamientos de 15 anos y mas,2013-09-01,1,1,0,0,1,1,2
MIZQUE,chagas,tratamientos de 15 anos y mas,2013-09-01,4,1,1,1,5,2,7
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2013-09-01,5,1,2,1,7,2,9
MONTERO,chagas,tratamientos de 15 anos y mas,2013-09-01,1,0,0,0,1,0,1
OMEREQUE,chagas,tratamientos de 15 anos y mas,2013-09-01,8,9,2,0,10,9,19
PASORAPA,chagas,tratamientos de 15 anos y mas,2013-09-01,1,0,0,0,1,0,1
POSTRER VALLE,chagas,tratamientos de 15 anos y mas,2013-09-01,0,1,0,0,0,1,1
PUNA,chagas,tratamientos de 15 anos y mas,2013-09-01,1,1,0,0,1,1,2
RAVELO,chagas,tratamientos de 15 anos y mas,2013-09-01,2,3,0,0,2,3,5
SAMAIPATA,chagas,tratamientos de 15 anos y mas,2013-09-01,0,0,1,0,1,0,1
SAN LORENZO(TJA),chagas,tratamientos de 15 anos y mas,2013-09-01,3,1,0,0,3,1,4
SAN PEDRO DE BUENA VISTA,chagas,tratamientos de 15 anos y mas,2013-09-01,3,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2013-09-01,10,20,12,11,22,31,53
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2013-09-01,1,0,1,0,2,0,2
SOPACHUY,chagas,tratamientos de 15 anos y mas,2013-09-01,0,0,1,0,1,0,1
SUCRE,chagas,tratamientos de 15 anos y mas,2013-09-01,10,21,61,50,71,71,142
TAPACARI,chagas,tratamientos de 15 anos y mas,2013-09-01,2,3,0,1,2,4,6
TARIJA,chagas,tratamientos de 15 anos y mas,2013-09-01,20,39,22,32,42,71,113
TOTORA(CBBA),chagas,tratamientos de 15 anos y mas,2013-09-01,4,4,0,0,4,4,8
TUPIZA,chagas,tratamientos de 15 anos y mas,2013-09-01,18,30,22,42,40,72,112
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2013-09-01,2,3,3,0,5,3,8
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2013-09-01,8,11,10,15,18,26,44
AIQUILE,chagas,tratamientos de 15 anos y mas,2013-10-01,3,1,0,0,3,1,4
ARAMPAMPA,chagas,tratamientos de 15 anos y mas,2013-10-01,2,1,1,0,3,1,4
ARBIETO,chagas,tratamientos de 15 anos y mas,2013-10-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),chagas,tratamientos de 15 anos y mas,2013-10-01,0,1,0,0,0,1,1
BETANZOS,chagas,tratamientos de 15 anos y mas,2013-10-01,1,0,0,0,1,0,1
CAPINOTA,chagas,tratamientos de 15 anos y mas,2013-10-01,1,1,0,2,1,3,4
CARAPARI,chagas,tratamientos de 15 anos y mas,2013-10-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2013-10-01,41,75,19,41,60,116,176
GUAYARAMERIN,chagas,tratamientos de 15 anos y mas,2013-10-01,1,0,1,1,2,1,3
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2013-10-01,0,0,3,1,3,1,4
LA PAZ,chagas,tratamientos de 15 anos y mas,2013-10-01,2,2,1,0,3,2,5
MAIRANA,chagas,tratamientos de 15 anos y mas,2013-10-01,0,3,0,0,0,3,3
MIZQUE,chagas,tratamientos de 15 anos y mas,2013-10-01,4,3,1,2,5,5,10
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2013-10-01,4,2,0,1,4,3,7
OMEREQUE,chagas,tratamientos de 15 anos y mas,2013-10-01,6,5,4,1,10,6,16
PASORAPA,chagas,tratamientos de 15 anos y mas,2013-10-01,0,0,1,6,1,6,7
POSTRER VALLE,chagas,tratamientos de 15 anos y mas,2013-10-01,4,3,0,0,4,3,7
RAVELO,chagas,tratamientos de 15 anos y mas,2013-10-01,2,2,0,0,2,2,4
SAN LORENZO(TJA),chagas,tratamientos de 15 anos y mas,2013-10-01,1,0,0,0,1,0,1
SAN LUCAS,chagas,tratamientos de 15 anos y mas,2013-10-01,1,2,0,0,1,2,3
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2013-10-01,11,21,9,14,20,35,55
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2013-10-01,0,1,1,0,1,1,2
SUCRE,chagas,tratamientos de 15 anos y mas,2013-10-01,48,64,10,8,58,72,130
TAPACARI,chagas,tratamientos de 15 anos y mas,2013-10-01,1,0,0,0,1,0,1
TARATA,chagas,tratamientos de 15 anos y mas,2013-10-01,1,0,3,0,4,0,4
TARIJA,chagas,tratamientos de 15 anos y mas,2013-10-01,7,11,0,8,7,19,26
