,group,variable,month,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
WARNES,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-01-01,0,0,1,0,1,0,1
AIQUILE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-02-01,0,0,1,0,1,0,1
BERMEJO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-02-01,1,2,0,0,1,2,3
"CAIZA ""D""",chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-02-01,0,0,2,1,2,1,3
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-02-01,0,0,0,1,0,1,1
COMARAPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-02-01,0,1,0,0,0,1,1
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-02-01,1,2,0,0,1,2,3
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-02-01,1,0,0,0,1,0,1
MONTERO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-02-01,2,2,7,3,9,5,14
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-02-01,0,1,0,0,0,1,1
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-02-01,1,1,0,0,1,1,2
TARABUCO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-02-01,1,0,0,0,1,0,1
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-02-01,1,2,0,2,1,4,5
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-02-01,1,0,0,0,1,0,1
VINTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-02-01,0,1,0,0,0,1,1
BOYUIBE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-03-01,0,1,0,0,0,1,1
CHAQUI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-03-01,0,0,3,0,3,0,3
COMARAPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-03-01,0,0,0,1,0,1,1
COTAGAITA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-03-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-03-01,0,0,0,2,0,2,2
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-03-01,0,0,1,1,1,1,2
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-03-01,3,1,0,0,3,1,4
MONTERO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-03-01,0,2,2,2,2,4,6
OMEREQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-03-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-03-01,0,1,0,0,0,1,1
TAPACARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-03-01,1,0,0,0,1,0,1
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-03-01,3,2,0,1,3,3,6
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,0,0,0,1,0,1,1
COMARAPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,0,0,0,1,0,1,1
COROICO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,0,0,0,1,0,1,1
COTAGAITA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,0,0,0,1,0,1,1
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,0,0,2,1,2,1,3
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,7,6,0,0,7,6,13
MIZQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,8,11,0,0,8,11,19
OMEREQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,0,1,0,0,0,1,1
PAILON,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,1,1,0,0,1,1,2
PUERTO VILLARROEL,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,1,2,0,0,1,2,3
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,0,1,1,0,1,1,2
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,2,1,0,0,2,1,3
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,5,3,0,1,5,4,9
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,0,0,1,0,1,0,1
WARNES,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-04-01,8,3,0,0,8,3,11
AIQUILE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-05-01,1,1,0,0,1,1,2
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-05-01,0,0,1,0,1,0,1
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-05-01,0,0,0,1,0,1,1
MONTERO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-05-01,0,0,0,3,0,3,3
OMEREQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-05-01,2,0,0,0,2,0,2
PAILON,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-05-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-05-01,4,9,0,1,4,10,14
TAPACARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-05-01,0,2,1,0,1,2,3
TARABUCO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-05-01,0,0,1,0,1,0,1
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-05-01,2,3,3,1,5,4,9
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-05-01,0,0,0,1,0,1,1
VILLAZON,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-05-01,0,1,0,0,0,1,1
BERMEJO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-06-01,2,5,1,3,3,8,11
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-06-01,1,0,0,0,1,0,1
COTAGAITA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-06-01,1,0,0,0,1,0,1
GUTIERREZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-06-01,8,4,0,0,8,4,12
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-06-01,0,2,7,6,7,8,15
OMEREQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-06-01,1,1,0,1,1,2,3
SAMAIPATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-06-01,0,0,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-06-01,0,1,0,0,0,1,1
SIPE SIPE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-06-01,0,0,0,1,0,1,1
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-06-01,0,1,2,1,2,2,4
TARABUCO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-06-01,0,0,1,0,1,0,1
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-06-01,7,2,6,3,13,5,18
TOMAVE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-06-01,1,4,0,0,1,4,5
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-06-01,1,1,0,0,1,1,2
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-06-01,15,20,9,6,24,26,50
WARNES,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-06-01,0,0,3,2,3,2,5
ACACIO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-07-01,1,1,0,0,1,1,2
AIQUILE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-07-01,0,0,0,1,0,1,1
CAJUATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-07-01,1,4,0,0,1,4,5
CAMIRI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-07-01,0,1,0,0,0,1,1
CAPINOTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-07-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-07-01,1,0,0,0,1,0,1
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-07-01,0,0,0,1,0,1,1
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-07-01,1,4,0,0,1,4,5
OMEREQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-07-01,0,0,1,1,1,1,2
PUNA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-07-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-07-01,2,6,0,0,2,6,8
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-07-01,0,1,0,0,0,1,1
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-07-01,9,5,0,1,9,6,15
TOMAVE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-07-01,1,1,1,0,2,1,3
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-07-01,6,0,0,0,6,0,6
WARNES,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-07-01,0,1,0,0,0,1,1
ACACIO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,2,0,0,0,2,0,2
ARBIETO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,1,3,0,0,1,3,4
AZURDUY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,0,0,1,0,1,0,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,21,52,23,31,44,83,127
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,0,0,1,0,1,0,1
GUTIERREZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,0,0,7,3,7,3,10
ICLA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,0,0,1,0,1,0,1
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,1,0,0,4,1,4,5
MONTERO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,2,5,0,0,2,5,7
OMEREQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,1,3,1,2,2,5,7
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,4,6,4,6,8,12,20
SOPACHUY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,0,1,0,0,0,1,1
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,1,3,33,50,34,53,87
TARABUCO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,7,2,0,0,7,2,9
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,3,10,5,3,8,13,21
TOLATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,1,0,0,0,1,0,1
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,0,0,1,1,1,1,2
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,6,3,13,17,19,20,39
YANACACHI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-08-01,1,1,0,0,1,1,2
ACACIO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,0,0,0,1,0,1,1
ARAMPAMPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,2,2,0,0,2,2,4
BETANZOS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,3,2,0,0,3,2,5
CAJUATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,0,0,2,8,2,8,10
CAMIRI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,0,3,0,2,0,5,5
EL ALTO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,0,1,0,0,0,1,1
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,1,1,0,0,1,1,2
MONTERO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,0,1,4,4,4,5,9
MORO MORO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,1,1,0,0,1,1,2
OMEREQUE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,0,0,1,0,1,0,1
POSTRER VALLE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,1,1,0,0,1,1,2
RAVELO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,2,4,0,0,2,4,6
SAN LORENZO(TJA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,0,1,0,0,0,1,1
SAN PEDRO(PND),chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,0,3,2,2,2,5,7
SOPACHUY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,5,2,0,0,5,2,7
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,0,3,0,0,0,3,3
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,2,9,8,1,10,10,20
TIQUIPAYA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,1,0,0,0,1,0,1
TOMAVE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,0,0,0,2,0,2,2
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,1,0,5,0,6,0,6
WARNES,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-09-01,1,1,0,1,1,2,3
ARBIETO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,0,1,0,0,0,1,1
CAJUATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,0,0,1,1,1,1,2
CHARAGUA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,0,1,0,0,0,1,1
COTAGAITA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,0,1,0,0,0,1,1
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,1,0,1,0,2,0,2
GUTIERREZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,7,13,0,0,7,13,20
LA GUARDIA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,0,1,1,0,1,1,2
MONTERO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,0,1,3,4,3,5,8
PAMPA GRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,0,1,0,0,0,1,1
PUNA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,0,1,2,4,2,5,7
RAVELO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,2,3,0,0,2,3,5
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,4,3,0,0,4,3,7
SIPE SIPE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,1,0,0,0,1,0,1
SOPACHUY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,1,1,0,0,1,1,2
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,1,1,1,0,2,1,3
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,11,16,2,7,13,23,36
TOMAVE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,0,2,0,0,0,2,2
TOMINA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,1,0,0,0,1,0,1
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,0,0,1,0,1,0,1
WARNES,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,1,2,0,0,1,2,3
YANACACHI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-10-01,0,0,1,0,1,0,1
BERMEJO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,0,2,0,0,0,2,2
BETANZOS,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,0,0,4,1,4,1,5
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,0,0,1,0,1,0,1
EL TORNO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,0,0,1,0,1,0,1
GUTIERREZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,11,6,0,0,11,6,17
MAIRANA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,0,1,0,2,0,3,3
MONTEAGUDO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,1,0,0,2,1,2,3
PASORAPA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,0,0,0,2,0,2,2
RAVELO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,0,1,2,3,2,4,6
SAMAIPATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,3,0,0,0,3,0,3
SAN LORENZO(TJA),chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,0,0,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,1,6,0,3,1,9,10
SIPE SIPE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,1,0,0,0,1,0,1
SOPACHUY,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,0,0,4,1,4,1,5
SUCRE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,7,2,29,24,36,26,62
TARABUCO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,0,0,7,1,7,1,8
TARATA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,0,1,0,1,0,2,2
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,10,8,1,5,11,13,24
TIQUIPAYA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,0,0,1,0,1,0,1
VALLEGRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,0,0,0,1,0,1,1
VILLA TUNARI,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,0,1,0,0,0,1,1
YOTALA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-11-01,2,3,2,3,4,6,10
CAPINOTA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-12-01,0,0,1,0,1,0,1
CHARAGUA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-12-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-12-01,1,0,1,0,2,0,2
COTAGAITA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-12-01,0,1,0,0,0,1,1
GUTIERREZ,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-12-01,2,0,6,8,8,8,16
MONTERO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-12-01,1,1,0,1,1,2,3
PAMPA GRANDE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-12-01,0,0,0,1,0,1,1
RAVELO,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-12-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-12-01,4,1,0,1,4,2,6
SIPE SIPE,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-12-01,3,2,0,0,3,2,5
TARIJA,chagas,tratamientos 5 anos a menores de 15 anos de edad,2013-12-01,1,0,0,0,1,0,1
