,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
GUAYARAMERIN,chagas,tratamientos rn a menores de 1 ano de edad,2013-03-01,2,3,0,0,2,3,5
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2013-03-01,3,3,0,0,3,3,6
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2013-03-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2013-03-01,0,3,0,0,0,3,3
EL TORNO,chagas,tratamientos rn a menores de 1 ano de edad,2013-04-01,0,0,1,0,1,0,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2013-04-01,1,2,2,2,3,4,7
MIZQUE,chagas,tratamientos rn a menores de 1 ano de edad,2013-04-01,1,0,0,0,1,0,1
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2013-04-01,0,1,0,0,0,1,1
PAMPA GRANDE,chagas,tratamientos rn a menores de 1 ano de edad,2013-04-01,2,0,0,0,2,0,2
POROMA,chagas,tratamientos rn a menores de 1 ano de edad,2013-04-01,0,1,0,0,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos rn a menores de 1 ano de edad,2013-04-01,0,1,0,0,0,1,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2013-04-01,0,0,1,1,1,1,2
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2013-05-01,0,1,1,2,1,3,4
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2013-05-01,1,0,0,0,1,0,1
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2013-05-01,2,2,0,0,2,2,4
SOPACHUY,chagas,tratamientos rn a menores de 1 ano de edad,2013-05-01,1,0,0,0,1,0,1
TARIJA,chagas,tratamientos rn a menores de 1 ano de edad,2013-05-01,0,1,0,0,0,1,1
TIQUIPAYA,chagas,tratamientos rn a menores de 1 ano de edad,2013-05-01,1,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos rn a menores de 1 ano de edad,2013-05-01,0,0,1,0,1,0,1
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2013-05-01,0,0,1,0,1,0,1
CAMIRI,chagas,tratamientos rn a menores de 1 ano de edad,2013-06-01,0,1,0,0,0,1,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2013-06-01,1,0,0,0,1,0,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2013-06-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2013-06-01,0,0,1,0,1,0,1
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2013-06-01,2,2,3,2,5,4,9
POROMA,chagas,tratamientos rn a menores de 1 ano de edad,2013-06-01,0,0,0,1,0,1,1
TOMINA,chagas,tratamientos rn a menores de 1 ano de edad,2013-06-01,0,1,0,0,0,1,1
TUPIZA,chagas,tratamientos rn a menores de 1 ano de edad,2013-06-01,0,1,0,0,0,1,1
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2013-06-01,1,0,0,0,1,0,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2013-06-01,1,0,0,0,1,0,1
CAMIRI,chagas,tratamientos rn a menores de 1 ano de edad,2013-07-01,0,0,0,1,0,1,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2013-07-01,0,0,1,0,1,0,1
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2013-07-01,0,0,2,1,2,1,3
PAMPA GRANDE,chagas,tratamientos rn a menores de 1 ano de edad,2013-07-01,0,0,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2013-07-01,2,1,0,0,2,1,3
SANTA ROSA DEL SARA,chagas,tratamientos rn a menores de 1 ano de edad,2013-07-01,0,1,0,0,0,1,1
TARIJA,chagas,tratamientos rn a menores de 1 ano de edad,2013-07-01,0,1,0,0,0,1,1
TIQUIPAYA,chagas,tratamientos rn a menores de 1 ano de edad,2013-07-01,2,0,0,0,2,0,2
TOMINA,chagas,tratamientos rn a menores de 1 ano de edad,2013-07-01,0,1,0,1,0,2,2
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2013-07-01,0,0,2,0,2,0,2
CAMARGO,chagas,tratamientos rn a menores de 1 ano de edad,2013-08-01,1,0,0,0,1,0,1
CAPINOTA,chagas,tratamientos rn a menores de 1 ano de edad,2013-08-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2013-08-01,1,1,0,0,1,1,2
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2013-08-01,1,0,1,0,2,0,2
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2013-08-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2013-08-01,1,2,3,1,4,3,7
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2013-08-01,1,1,0,0,1,1,2
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2013-08-01,1,0,0,0,1,0,1
TIQUIPAYA,chagas,tratamientos rn a menores de 1 ano de edad,2013-08-01,0,0,2,1,2,1,3
TOMINA,chagas,tratamientos rn a menores de 1 ano de edad,2013-08-01,1,1,0,1,1,2,3
TUPIZA,chagas,tratamientos rn a menores de 1 ano de edad,2013-08-01,0,0,0,1,0,1,1
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2013-08-01,0,1,0,0,0,1,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2013-08-01,0,1,1,0,1,1,2
CAMARGO,chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,1,0,1,0,2,0,2
CAPINOTA,chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,1,0,0,0,1,0,1
GENERAL SAAVEDRA,chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,1,0,1,0,2,0,2
IRUPANA (VILLA DE LANZA),chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,0,1,0,0,0,1,1
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,1,0,0,0,1,0,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,0,0,0,1,0,1,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,0,0,2,0,2,0,2
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,0,0,1,0,1,0,1
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,0,0,1,0,1,0,1
SAN PEDRO(PND),chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,7,9,0,0,7,9,16
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,0,0,1,1,1,1,2
TARVITA,chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,0,2,0,0,0,2,2
TOMINA,chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,0,0,1,1,1,1,2
TUPIZA,chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,0,1,0,0,0,1,1
VILLA TUNARI,chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,1,0,0,0,1,0,1
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,1,2,0,1,1,3,4
ZUDAÑEZ,chagas,tratamientos rn a menores de 1 ano de edad,2013-09-01,1,0,0,0,1,0,1
ARBIETO,chagas,tratamientos rn a menores de 1 ano de edad,2013-10-01,1,0,0,0,1,0,1
CAMARGO,chagas,tratamientos rn a menores de 1 ano de edad,2013-10-01,0,0,1,0,1,0,1
COTOCA,chagas,tratamientos rn a menores de 1 ano de edad,2013-10-01,1,0,0,0,1,0,1
EL TORNO,chagas,tratamientos rn a menores de 1 ano de edad,2013-10-01,0,1,0,0,0,1,1
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2013-10-01,0,0,1,0,1,0,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2013-10-01,1,0,0,0,1,0,1
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2013-10-01,0,0,1,0,1,0,1
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2013-10-01,0,1,0,0,0,1,1
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2013-10-01,0,0,1,0,1,0,1
TIQUIPAYA,chagas,tratamientos rn a menores de 1 ano de edad,2013-10-01,0,1,0,0,0,1,1
VILLA MONTES,chagas,tratamientos rn a menores de 1 ano de edad,2013-10-01,0,1,0,0,0,1,1
VILLA TUNARI,chagas,tratamientos rn a menores de 1 ano de edad,2013-10-01,0,0,1,0,1,0,1
WARNES,chagas,tratamientos rn a menores de 1 ano de edad,2013-10-01,0,0,0,1,0,1,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2013-10-01,1,1,0,0,1,1,2
BERMEJO,chagas,tratamientos rn a menores de 1 ano de edad,2013-11-01,1,1,0,0,1,1,2
CAMIRI,chagas,tratamientos rn a menores de 1 ano de edad,2013-11-01,1,1,0,0,1,1,2
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2013-11-01,1,0,0,0,1,0,1
MAPIRI,chagas,tratamientos rn a menores de 1 ano de edad,2013-11-01,0,0,1,0,1,0,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2013-11-01,1,2,0,0,1,2,3
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2013-11-01,0,1,1,0,1,1,2
PADCAYA,chagas,tratamientos rn a menores de 1 ano de edad,2013-11-01,1,0,0,0,1,0,1
SIPE SIPE,chagas,tratamientos rn a menores de 1 ano de edad,2013-11-01,1,0,0,0,1,0,1
TARIJA,chagas,tratamientos rn a menores de 1 ano de edad,2013-11-01,0,1,0,0,0,1,1
TIQUIPAYA,chagas,tratamientos rn a menores de 1 ano de edad,2013-11-01,0,0,0,1,0,1,1
TUPIZA,chagas,tratamientos rn a menores de 1 ano de edad,2013-11-01,0,0,0,1,0,1,1
VILLA TUNARI,chagas,tratamientos rn a menores de 1 ano de edad,2013-11-01,1,0,0,0,1,0,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2013-11-01,0,0,1,1,1,1,2
ZUDAÑEZ,chagas,tratamientos rn a menores de 1 ano de edad,2013-11-01,0,0,1,0,1,0,1
CAMIRI,chagas,tratamientos rn a menores de 1 ano de edad,2013-12-01,0,0,1,1,1,1,2
EL TORNO,chagas,tratamientos rn a menores de 1 ano de edad,2013-12-01,0,0,0,1,0,1,1
GUAYARAMERIN,chagas,tratamientos rn a menores de 1 ano de edad,2013-12-01,1,1,0,0,1,1,2
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2013-12-01,1,0,1,2,2,2,4
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2013-12-01,0,0,0,1,0,1,1
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2013-12-01,1,1,0,0,1,1,2
PADCAYA,chagas,tratamientos rn a menores de 1 ano de edad,2013-12-01,0,0,1,0,1,0,1
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2013-12-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2013-12-01,0,1,0,0,0,1,1
SHINAOTA,chagas,tratamientos rn a menores de 1 ano de edad,2013-12-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2013-12-01,0,1,0,0,0,1,1
VILLA MONTES,chagas,tratamientos rn a menores de 1 ano de edad,2013-12-01,0,1,0,0,0,1,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2013-12-01,1,1,0,1,1,2,3
