,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVA,PERSONAS DE 5 A 9 AÑOS NUEVA,PERSONAS DE 5 A 9 AÑOS REPETIDAS,PERSONAS DE 5 A 9 AÑOS REPETIDAS,TOTALES,TOTALES,TOTALES
BATALLAS,consulta externa,personas de 5 a 9 anos,2008-01-01,15,12,0,0,15,12,27
BAURES,consulta externa,personas de 5 a 9 anos,2008-01-01,19,17,2,1,21,18,39
BELEN DE ANDAMARCA,consulta externa,personas de 5 a 9 anos,2008-01-01,7,0,0,0,7,0,7
BELEN DE URMIRI,consulta externa,personas de 5 a 9 anos,2008-01-01,6,4,0,0,6,4,10
BELLA FLOR,consulta externa,personas de 5 a 9 anos,2008-01-01,14,10,0,0,14,10,24
BERMEJO,consulta externa,personas de 5 a 9 anos,2008-01-01,336,345,40,35,376,380,756
BETANZOS,consulta externa,personas de 5 a 9 anos,2008-01-01,70,70,1,3,71,73,144
BOLPEBRA,consulta externa,personas de 5 a 9 anos,2008-01-01,5,16,2,0,7,16,23
BOYUIBE,consulta externa,personas de 5 a 9 anos,2008-01-01,15,29,0,0,15,29,44
BUENA VISTA,consulta externa,personas de 5 a 9 anos,2008-01-01,103,89,9,9,112,98,210
CABEZAS,consulta externa,personas de 5 a 9 anos,2008-01-01,67,53,3,4,70,57,127
CAIROMA,consulta externa,personas de 5 a 9 anos,2008-01-01,38,56,0,2,38,58,96
"CAIZA ""D""",consulta externa,personas de 5 a 9 anos,2008-01-01,61,49,1,0,62,49,111
CAJUATA,consulta externa,personas de 5 a 9 anos,2008-01-01,24,24,0,0,24,24,48
CALACOTO,consulta externa,personas de 5 a 9 anos,2008-01-01,8,9,1,0,9,9,18
CALAMARCA,consulta externa,personas de 5 a 9 anos,2008-01-01,11,7,3,0,14,7,21
CAMARGO,consulta externa,personas de 5 a 9 anos,2008-01-01,47,55,0,0,47,55,102
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 5 a 9 anos,2008-01-01,15,24,0,0,15,24,39
CAMIRI,consulta externa,personas de 5 a 9 anos,2008-01-01,328,378,50,38,378,416,794
CAQUIAVIRI,consulta externa,personas de 5 a 9 anos,2008-01-01,12,12,0,0,12,12,24
CARACOLLO,consulta externa,personas de 5 a 9 anos,2008-01-01,19,30,1,0,20,30,50
CARANAVI,consulta externa,personas de 5 a 9 anos,2008-01-01,231,275,30,22,261,297,558
CARANGAS,consulta externa,personas de 5 a 9 anos,2008-01-01,1,0,0,0,1,0,1
CARAPARI,consulta externa,personas de 5 a 9 anos,2008-01-01,113,128,1,1,114,129,243
CARIPUYO,consulta externa,personas de 5 a 9 anos,2008-01-01,7,6,0,0,7,6,13
CARMEN RIVERO TORREZ,consulta externa,personas de 5 a 9 anos,2008-01-01,26,18,0,1,26,19,45
CATACORA,consulta externa,personas de 5 a 9 anos,2008-01-01,2,4,0,0,2,4,6
CHACARILLA,consulta externa,personas de 5 a 9 anos,2008-01-01,1,3,0,0,1,3,4
CHALLAPATA,consulta externa,personas de 5 a 9 anos,2008-01-01,58,61,1,2,59,63,122
CHAQUI,consulta externa,personas de 5 a 9 anos,2008-01-01,6,13,0,0,6,13,19
CHARAGUA,consulta externa,personas de 5 a 9 anos,2008-01-01,103,91,3,5,106,96,202
CHARAÑA,consulta externa,personas de 5 a 9 anos,2008-01-01,5,0,0,0,5,0,5
CHAYANTA,consulta externa,personas de 5 a 9 anos,2008-01-01,12,19,0,0,12,19,31
CHIMORE,consulta externa,personas de 5 a 9 anos,2008-01-01,129,98,4,5,133,103,236
CHIPAYA,consulta externa,personas de 5 a 9 anos,2008-01-01,2,1,0,0,2,1,3
CHOQUE COTA,consulta externa,personas de 5 a 9 anos,2008-01-01,1,4,0,0,1,4,5
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 5 a 9 anos,2008-01-01,50,43,0,3,50,46,96
CHUMA,consulta externa,personas de 5 a 9 anos,2008-01-01,21,20,0,0,21,20,41
CLIZA,consulta externa,personas de 5 a 9 anos,2008-01-01,42,32,16,21,58,53,111
COBIJA,consulta externa,personas de 5 a 9 anos,2008-01-01,416,352,39,36,455,388,843
COCHABAMBA,consulta externa,personas de 5 a 9 anos,2008-01-01,4853,5018,2980,2930,7833,7948,15781
COIPASA,consulta externa,personas de 5 a 9 anos,2008-01-01,1,2,0,0,1,2,3
COLCAPIRHUA,consulta externa,personas de 5 a 9 anos,2008-01-01,109,100,21,19,130,119,249
"COLCHA ""K""",consulta externa,personas de 5 a 9 anos,2008-01-01,14,22,0,0,14,22,36
COLLANA,consulta externa,personas de 5 a 9 anos,2008-01-01,2,2,0,1,2,3,5
COLOMI,consulta externa,personas de 5 a 9 anos,2008-01-01,20,25,3,1,23,26,49
COLPA BELGICA,consulta externa,personas de 5 a 9 anos,2008-01-01,16,5,4,3,20,8,28
COLQUECHACA,consulta externa,personas de 5 a 9 anos,2008-01-01,79,81,0,2,79,83,162
COLQUENCHA,consulta externa,personas de 5 a 9 anos,2008-01-01,9,7,0,0,9,7,16
COLQUIRI,consulta externa,personas de 5 a 9 anos,2008-01-01,29,26,2,3,31,29,60
COMANCHE,consulta externa,personas de 5 a 9 anos,2008-01-01,5,4,1,0,6,4,10
COMARAPA,consulta externa,personas de 5 a 9 anos,2008-01-01,92,55,1,1,93,56,149
COMBAYA,consulta externa,personas de 5 a 9 anos,2008-01-01,2,4,0,0,2,4,6
CONCEPCION,consulta externa,personas de 5 a 9 anos,2008-01-01,65,42,1,1,66,43,109
COPACABANA,consulta externa,personas de 5 a 9 anos,2008-01-01,22,20,0,0,22,20,42
CORIPATA,consulta externa,personas de 5 a 9 anos,2008-01-01,32,25,0,0,32,25,57
CORO CORO,consulta externa,personas de 5 a 9 anos,2008-01-01,12,8,0,0,12,8,20
COROICO,consulta externa,personas de 5 a 9 anos,2008-01-01,42,53,5,3,47,56,103
CORQUE,consulta externa,personas de 5 a 9 anos,2008-01-01,9,14,1,0,10,14,24
COTAGAITA,consulta externa,personas de 5 a 9 anos,2008-01-01,125,138,9,5,134,143,277
CUATRO CAÑADAS,consulta externa,personas de 5 a 9 anos,2008-01-01,104,99,14,7,118,106,224
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 5 a 9 anos,2008-01-01,5,2,1,0,6,2,8
CUEVO,consulta externa,personas de 5 a 9 anos,2008-01-01,30,28,4,1,34,29,63
CULPINA,consulta externa,personas de 5 a 9 anos,2008-01-01,36,27,0,0,36,27,63
CURAHUARA DE CARANGAS,consulta externa,personas de 5 a 9 anos,2008-01-01,10,16,0,1,10,17,27
CURVA,consulta externa,personas de 5 a 9 anos,2008-01-01,7,7,0,0,7,7,14
DESAGUADERO,consulta externa,personas de 5 a 9 anos,2008-01-01,5,10,2,0,7,10,17
EL ALTO,consulta externa,personas de 5 a 9 anos,2008-01-01,3763,2801,1758,1840,5521,4641,10162
EL CHORO,consulta externa,personas de 5 a 9 anos,2008-01-01,12,12,1,0,13,12,25
EL PUENTE(STC),consulta externa,personas de 5 a 9 anos,2008-01-01,65,79,3,2,68,81,149
EL PUENTE(TJA),consulta externa,personas de 5 a 9 anos,2008-01-01,90,101,2,2,92,103,195
EL VILLAR,consulta externa,personas de 5 a 9 anos,2008-01-01,21,22,0,0,21,22,43
ENTRE RIOS,consulta externa,personas de 5 a 9 anos,2008-01-01,80,75,8,14,88,89,177
ENTRE RIOS,consulta externa,personas de 5 a 9 anos,2008-01-01,177,164,1,1,178,165,343
ESMERALDA,consulta externa,personas de 5 a 9 anos,2008-01-01,1,5,1,0,2,5,7
EUCALIPTUS,consulta externa,personas de 5 a 9 anos,2008-01-01,15,12,3,1,18,13,31
EUREKA (SANTOS MERCADO),consulta externa,personas de 5 a 9 anos,2008-01-01,3,3,0,0,3,3,6
EXALTACION,consulta externa,personas de 5 a 9 anos,2008-01-01,13,21,0,2,13,23,36
FERNANDEZ ALONSO,consulta externa,personas de 5 a 9 anos,2008-01-01,68,81,1,1,69,82,151
FILADELFIA,consulta externa,personas de 5 a 9 anos,2008-01-01,35,29,1,0,36,29,65
GENERAL SAAVEDRA,consulta externa,personas de 5 a 9 anos,2008-01-01,142,147,5,4,147,151,298
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 5 a 9 anos,2008-01-01,17,23,0,1,17,24,41
GUANAY,consulta externa,personas de 5 a 9 anos,2008-01-01,27,15,0,0,27,15,42
GUAQUI,consulta externa,personas de 5 a 9 anos,2008-01-01,11,9,6,0,17,9,26
GUAYARAMERIN,consulta externa,personas de 5 a 9 anos,2008-01-01,365,446,154,114,519,560,1079
GUTIERREZ,consulta externa,personas de 5 a 9 anos,2008-01-01,64,66,2,2,66,68,134
HUACARETA,consulta externa,personas de 5 a 9 anos,2008-01-01,40,45,5,5,45,50,95
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 5 a 9 anos,2008-01-01,5,9,0,0,5,9,14
HUACHACALLA,consulta externa,personas de 5 a 9 anos,2008-01-01,24,15,0,1,24,16,40
HUANUNI,consulta externa,personas de 5 a 9 anos,2008-01-01,68,62,12,5,80,67,147
HUARACAJE,consulta externa,personas de 5 a 9 anos,2008-01-01,25,21,4,1,29,22,51
HUAYLLAMARCA,consulta externa,personas de 5 a 9 anos,2008-01-01,12,9,0,0,12,9,21
ICHOCA,consulta externa,personas de 5 a 9 anos,2008-01-01,7,4,0,0,7,4,11
ICLA,consulta externa,personas de 5 a 9 anos,2008-01-01,23,12,1,1,24,13,37
INGAVI (HUMAITA),consulta externa,personas de 5 a 9 anos,2008-01-01,2,2,0,0,2,2,4
INQUISIVI,consulta externa,personas de 5 a 9 anos,2008-01-01,11,26,0,0,11,26,37
IRUPANA (VILLA DE LANZA),consulta externa,personas de 5 a 9 anos,2008-01-01,33,33,3,0,36,33,69
IXIAMAS,consulta externa,personas de 5 a 9 anos,2008-01-01,23,11,2,0,25,11,36
JESUS DE MACHACA,consulta externa,personas de 5 a 9 anos,2008-01-01,23,13,1,3,24,16,40
LA ASUNTA,consulta externa,personas de 5 a 9 anos,2008-01-01,63,58,1,4,64,62,126
LA PAZ,consulta externa,personas de 5 a 9 anos,2008-01-01,4304,4253,1642,1978,5946,6231,12177
LA RIVERA,consulta externa,personas de 5 a 9 anos,2008-01-01,2,2,0,0,2,2,4
LAGUNILLAS,consulta externa,personas de 5 a 9 anos,2008-01-01,42,40,1,0,43,40,83
LAJA,consulta externa,personas de 5 a 9 anos,2008-01-01,13,13,0,0,13,13,26
LAS CARRERAS,consulta externa,personas de 5 a 9 anos,2008-01-01,7,6,1,0,8,6,14
LICOMA PAMPA,consulta externa,personas de 5 a 9 anos,2008-01-01,4,5,0,0,4,5,9
LLALLAGUA,consulta externa,personas de 5 a 9 anos,2008-01-01,58,37,0,2,58,39,97
LLICA,consulta externa,personas de 5 a 9 anos,2008-01-01,10,12,0,0,10,12,22
LORETO,consulta externa,personas de 5 a 9 anos,2008-01-01,4,13,5,5,9,18,27
LURIBAY,consulta externa,personas de 5 a 9 anos,2008-01-01,27,14,3,0,30,14,44
MACHACAMARCA,consulta externa,personas de 5 a 9 anos,2008-01-01,14,15,0,0,14,15,29
MACHARETI,consulta externa,personas de 5 a 9 anos,2008-01-01,51,44,2,0,53,44,97
MAGDALENA,consulta externa,personas de 5 a 9 anos,2008-01-01,37,30,18,23,55,53,108
MAIRANA,consulta externa,personas de 5 a 9 anos,2008-01-01,50,28,1,2,51,30,81
MALLA,consulta externa,personas de 5 a 9 anos,2008-01-01,7,10,0,0,7,10,17
MAPIRI,consulta externa,personas de 5 a 9 anos,2008-01-01,32,45,0,7,32,52,84
MECAPACA,consulta externa,personas de 5 a 9 anos,2008-01-01,26,28,1,1,27,29,56
MINEROS,consulta externa,personas de 5 a 9 anos,2008-01-01,47,39,0,1,47,40,87
MIZQUE,consulta externa,personas de 5 a 9 anos,2008-01-01,24,21,9,16,33,37,70
MOCOMOCO,consulta externa,personas de 5 a 9 anos,2008-01-01,20,15,1,0,21,15,36
MOJINETE,consulta externa,personas de 5 a 9 anos,2008-01-01,4,3,0,0,4,3,7
MOJOCOYA,consulta externa,personas de 5 a 9 anos,2008-01-01,5,3,0,0,5,3,8
MONTEAGUDO,consulta externa,personas de 5 a 9 anos,2008-01-01,183,166,19,21,202,187,389
MONTERO,consulta externa,personas de 5 a 9 anos,2008-01-01,901,974,430,471,1331,1445,2776
MORO MORO,consulta externa,personas de 5 a 9 anos,2008-01-01,13,7,1,0,14,7,21
MOROCHATA,consulta externa,personas de 5 a 9 anos,2008-01-01,23,21,1,1,24,22,46
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 5 a 9 anos,2008-01-01,58,68,4,5,62,73,135
NAZACARA DE PACAJES,consulta externa,personas de 5 a 9 anos,2008-01-01,3,0,0,0,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 5 a 9 anos,2008-01-01,22,12,16,5,38,17,55
OCURI,consulta externa,personas de 5 a 9 anos,2008-01-01,25,20,1,1,26,21,47
OKINAWA,consulta externa,personas de 5 a 9 anos,2008-01-01,109,135,4,0,113,135,248
OMEREQUE,consulta externa,personas de 5 a 9 anos,2008-01-01,22,15,0,2,22,17,39
ORURO,consulta externa,personas de 5 a 9 anos,2008-01-01,1769,1877,412,456,2181,2333,4514
PADCAYA,consulta externa,personas de 5 a 9 anos,2008-01-01,128,153,8,1,136,154,290
PADILLA,consulta externa,personas de 5 a 9 anos,2008-01-01,51,49,1,0,52,49,101
PAILON,consulta externa,personas de 5 a 9 anos,2008-01-01,237,286,9,1,246,287,533
PALCA,consulta externa,personas de 5 a 9 anos,2008-01-01,16,21,0,0,16,21,37
PALOS BLANCOS,consulta externa,personas de 5 a 9 anos,2008-01-01,95,65,2,1,97,66,163
PAMPA AULLAGAS,consulta externa,personas de 5 a 9 anos,2008-01-01,9,9,0,1,9,10,19
PAMPA GRANDE,consulta externa,personas de 5 a 9 anos,2008-01-01,41,37,2,2,43,39,82
PAPEL PAMPA,consulta externa,personas de 5 a 9 anos,2008-01-01,9,2,1,0,10,2,12
PASORAPA,consulta externa,personas de 5 a 9 anos,2008-01-01,12,19,0,0,12,19,31
PATACAMAYA,consulta externa,personas de 5 a 9 anos,2008-01-01,18,13,0,0,18,13,31
PAZÑA,consulta externa,personas de 5 a 9 anos,2008-01-01,14,7,0,0,14,7,21
PELECHUCO,consulta externa,personas de 5 a 9 anos,2008-01-01,19,19,0,2,19,21,40
POCOATA,consulta externa,personas de 5 a 9 anos,2008-01-01,36,25,0,0,36,25,61
POCONA,consulta externa,personas de 5 a 9 anos,2008-01-01,28,15,0,1,28,16,44
POJO (CBBA),consulta externa,personas de 5 a 9 anos,2008-01-01,10,12,0,1,10,13,23
POOPO,consulta externa,personas de 5 a 9 anos,2008-01-01,9,11,0,0,9,11,20
PORCO,consulta externa,personas de 5 a 9 anos,2008-01-01,18,11,0,0,18,11,29
POROMA,consulta externa,personas de 5 a 9 anos,2008-01-01,8,8,0,0,8,8,16
PORTACHUELO,consulta externa,personas de 5 a 9 anos,2008-01-01,79,68,3,6,82,74,156
PORVENIR,consulta externa,personas de 5 a 9 anos,2008-01-01,50,45,1,0,51,45,96
POSTRER VALLE,consulta externa,personas de 5 a 9 anos,2008-01-01,10,23,0,0,10,23,33
POTOSI,consulta externa,personas de 5 a 9 anos,2008-01-01,1147,1176,456,434,1603,1610,3213
PRESTO,consulta externa,personas de 5 a 9 anos,2008-01-01,9,8,0,0,9,8,17
PUCARA,consulta externa,personas de 5 a 9 anos,2008-01-01,8,8,0,1,8,9,17
PUCARANI,consulta externa,personas de 5 a 9 anos,2008-01-01,20,15,0,1,20,16,36
PUERTO ACOSTA,consulta externa,personas de 5 a 9 anos,2008-01-01,25,35,2,0,27,35,62
PUERTO CARABUCO,consulta externa,personas de 5 a 9 anos,2008-01-01,17,14,1,3,18,17,35
PUERTO GONZALO MORENO,consulta externa,personas de 5 a 9 anos,2008-01-01,41,54,4,2,45,56,101
PUERTO PEREZ,consulta externa,personas de 5 a 9 anos,2008-01-01,3,4,2,2,5,6,11
PUERTO QUIJARRO,consulta externa,personas de 5 a 9 anos,2008-01-01,230,70,3,2,233,72,305
PUERTO RICO,consulta externa,personas de 5 a 9 anos,2008-01-01,140,137,0,4,140,141,281
PUERTO SILES,consulta externa,personas de 5 a 9 anos,2008-01-01,1,0,0,0,1,0,1
PUERTO SUAREZ,consulta externa,personas de 5 a 9 anos,2008-01-01,117,104,4,6,121,110,231
PUERTO VILLARROEL,consulta externa,personas de 5 a 9 anos,2008-01-01,208,160,4,6,212,166,378
PUNA,consulta externa,personas de 5 a 9 anos,2008-01-01,69,62,2,1,71,63,134
PUNATA,consulta externa,personas de 5 a 9 anos,2008-01-01,81,109,13,19,94,128,222
QUIABAYA,consulta externa,personas de 5 a 9 anos,2008-01-01,4,1,0,0,4,1,5
QUILLACOLLO,consulta externa,personas de 5 a 9 anos,2008-01-01,214,242,51,51,265,293,558
QUIME,consulta externa,personas de 5 a 9 anos,2008-01-01,19,26,1,1,20,27,47
QUIRUSILLAS,consulta externa,personas de 5 a 9 anos,2008-01-01,16,15,1,1,17,16,33
RAVELO,consulta externa,personas de 5 a 9 anos,2008-01-01,16,9,0,0,16,9,25
REYES,consulta externa,personas de 5 a 9 anos,2008-01-01,72,85,5,10,77,95,172
RIBERALTA,consulta externa,personas de 5 a 9 anos,2008-01-01,478,439,23,23,501,462,963
ROBORE,consulta externa,personas de 5 a 9 anos,2008-01-01,103,93,10,7,113,100,213
RURRENABAQUE,consulta externa,personas de 5 a 9 anos,2008-01-01,63,69,8,13,71,82,153
SABAYA,consulta externa,personas de 5 a 9 anos,2008-01-01,22,4,0,0,22,4,26
SACABA,consulta externa,personas de 5 a 9 anos,2008-01-01,198,165,58,74,256,239,495
SACABAMBA,consulta externa,personas de 5 a 9 anos,2008-01-01,9,5,0,0,9,5,14
SACACA,consulta externa,personas de 5 a 9 anos,2008-01-01,25,33,0,0,25,33,58
SAIPINA,consulta externa,personas de 5 a 9 anos,2008-01-01,62,48,3,8,65,56,121
SALINAS DE GARCI MENDOZA,consulta externa,personas de 5 a 9 anos,2008-01-01,11,19,0,2,11,21,32
SAMAIPATA,consulta externa,personas de 5 a 9 anos,2008-01-01,62,50,3,1,65,51,116
SAN AGUSTIN,consulta externa,personas de 5 a 9 anos,2008-01-01,5,6,0,0,5,6,11
SAN ANDRES,consulta externa,personas de 5 a 9 anos,2008-01-01,53,52,2,0,55,52,107
SAN ANDRES DE MACHACA,consulta externa,personas de 5 a 9 anos,2008-01-01,7,10,0,0,7,10,17
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 5 a 9 anos,2008-01-01,5,10,0,0,5,10,15
SAN ANTONIO DE LOMERIO,consulta externa,personas de 5 a 9 anos,2008-01-01,33,32,0,0,33,32,65
SAN BENITO,consulta externa,personas de 5 a 9 anos,2008-01-01,9,13,1,3,10,16,26
SAN BORJA,consulta externa,personas de 5 a 9 anos,2008-01-01,43,53,2,1,45,54,99
SAN BUENA VENTURA,consulta externa,personas de 5 a 9 anos,2008-01-01,62,48,4,4,66,52,118
SAN CARLOS,consulta externa,personas de 5 a 9 anos,2008-01-01,178,215,4,3,182,218,400
SAN IGNACIO,consulta externa,personas de 5 a 9 anos,2008-01-01,134,134,48,41,182,175,357
SAN IGNACIO DE VELASCO,consulta externa,personas de 5 a 9 anos,2008-01-01,165,139,15,17,180,156,336
SAN JAVIER(BNI),consulta externa,personas de 5 a 9 anos,2008-01-01,38,26,0,0,38,26,64
SAN JAVIER(STC),consulta externa,personas de 5 a 9 anos,2008-01-01,121,139,3,2,124,141,265
SAN JOSE DE CHIQUITOS,consulta externa,personas de 5 a 9 anos,2008-01-01,124,116,0,0,124,116,240
SAN JUAN DE YAPACANI,consulta externa,personas de 5 a 9 anos,2008-01-01,119,108,7,15,126,123,249
SAN JULIAN,consulta externa,personas de 5 a 9 anos,2008-01-01,311,243,17,13,328,256,584
SAN LORENZO(PND),consulta externa,personas de 5 a 9 anos,2008-01-01,36,38,0,0,36,38,74
SAN LORENZO(TJA),consulta externa,personas de 5 a 9 anos,2008-01-01,142,167,3,3,145,170,315
SAN LUCAS,consulta externa,personas de 5 a 9 anos,2008-01-01,96,80,9,3,105,83,188
SAN MATIAS,consulta externa,personas de 5 a 9 anos,2008-01-01,48,43,2,1,50,44,94
SAN MIGUEL DE VELASCO,consulta externa,personas de 5 a 9 anos,2008-01-01,42,35,3,5,45,40,85
SAN PABLO DE LIPEZ,consulta externa,personas de 5 a 9 anos,2008-01-01,7,12,0,0,7,12,19
SAN PEDRO,consulta externa,personas de 5 a 9 anos,2008-01-01,209,217,19,13,228,230,458
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 5 a 9 anos,2008-01-01,23,22,0,0,23,22,45
SAN PEDRO DE CURAHUARA,consulta externa,personas de 5 a 9 anos,2008-01-01,25,22,3,1,28,23,51
SAN PEDRO DE QUEMES,consulta externa,personas de 5 a 9 anos,2008-01-01,1,3,0,0,1,3,4
SAN PEDRO DE TIQUINA,consulta externa,personas de 5 a 9 anos,2008-01-01,8,5,0,2,8,7,15
SAN PEDRO(PND),consulta externa,personas de 5 a 9 anos,2008-01-01,16,11,1,0,17,11,28
SAN RAFAEL,consulta externa,personas de 5 a 9 anos,2008-01-01,5,9,0,0,5,9,14
SAN RAMON,consulta externa,personas de 5 a 9 anos,2008-01-01,61,56,8,23,69,79,148
SAN RAMON,consulta externa,personas de 5 a 9 anos,2008-01-01,35,23,10,1,45,24,69
SANTA ANA,consulta externa,personas de 5 a 9 anos,2008-01-01,45,78,1,12,46,90,136
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 5 a 9 anos,2008-01-01,9844,10030,2186,2519,12030,12549,24579
SANTA ROSA,consulta externa,personas de 5 a 9 anos,2008-01-01,29,41,0,2,29,43,72
SANTA ROSA DEL SARA,consulta externa,personas de 5 a 9 anos,2008-01-01,50,47,0,1,50,48,98
SANTIAGO DE CALLAPA,consulta externa,personas de 5 a 9 anos,2008-01-01,6,6,0,0,6,6,12
SANTIAGO DE HUARI,consulta externa,personas de 5 a 9 anos,2008-01-01,0,2,0,0,0,2,2
SANTIAGO DE MACHACA,consulta externa,personas de 5 a 9 anos,2008-01-01,0,4,0,0,0,4,4
SAPAHAQUI,consulta externa,personas de 5 a 9 anos,2008-01-01,31,19,0,0,31,19,50
SENA,consulta externa,personas de 5 a 9 anos,2008-01-01,16,13,0,0,16,13,29
SICA SICA (VILLA AROMA),consulta externa,personas de 5 a 9 anos,2008-01-01,12,13,0,0,12,13,25
SIPE SIPE,consulta externa,personas de 5 a 9 anos,2008-01-01,49,70,20,13,69,83,152
SOPACHUY,consulta externa,personas de 5 a 9 anos,2008-01-01,282,27,1,0,283,27,310
SORACACHI,consulta externa,personas de 5 a 9 anos,2008-01-01,14,14,0,0,14,14,28
SORATA,consulta externa,personas de 5 a 9 anos,2008-01-01,13,16,0,0,13,16,29
SUCRE,consulta externa,personas de 5 a 9 anos,2008-01-01,2111,2155,667,662,2778,2817,5595
TACACOMA,consulta externa,personas de 5 a 9 anos,2008-01-01,9,7,0,0,9,7,16
TACOBAMBA,consulta externa,personas de 5 a 9 anos,2008-01-01,20,24,0,0,20,24,44
TACOPAYA,consulta externa,personas de 5 a 9 anos,2008-01-01,7,5,0,0,7,5,12
TAHUA,consulta externa,personas de 5 a 9 anos,2008-01-01,2,3,0,0,2,3,5
TAPACARI,consulta externa,personas de 5 a 9 anos,2008-01-01,64,41,0,2,64,43,107
TARABUCO,consulta externa,personas de 5 a 9 anos,2008-01-01,41,41,0,4,41,45,86
TARACO,consulta externa,personas de 5 a 9 anos,2008-01-01,3,1,0,0,3,1,4
TARATA,consulta externa,personas de 5 a 9 anos,2008-01-01,24,34,0,0,24,34,58
TARIJA,consulta externa,personas de 5 a 9 anos,2008-01-01,1387,1916,328,705,1715,2621,4336
TARVITA,consulta externa,personas de 5 a 9 anos,2008-01-01,29,41,1,0,30,41,71
TEOPONTE,consulta externa,personas de 5 a 9 anos,2008-01-01,13,14,1,6,14,20,34
TIAWANACU,consulta externa,personas de 5 a 9 anos,2008-01-01,20,9,2,0,22,9,31
TINGUIPAYA,consulta externa,personas de 5 a 9 anos,2008-01-01,19,17,2,0,21,17,38
TIPUANI,consulta externa,personas de 5 a 9 anos,2008-01-01,19,18,0,0,19,18,37
TIQUIPAYA,consulta externa,personas de 5 a 9 anos,2008-01-01,103,112,6,2,109,114,223
TIRAQUE (CBBA),consulta externa,personas de 5 a 9 anos,2008-01-01,111,106,3,2,114,108,222
TITO YUPANQUI (PARQUIPUJIO),consulta externa,personas de 5 a 9 anos,2008-01-01,7,3,8,1,15,4,19
TOCO,consulta externa,personas de 5 a 9 anos,2008-01-01,12,12,0,1,12,13,25
TOLATA,consulta externa,personas de 5 a 9 anos,2008-01-01,12,3,1,0,13,3,16
TOLEDO,consulta externa,personas de 5 a 9 anos,2008-01-01,21,20,0,0,21,20,41
TOMAVE,consulta externa,personas de 5 a 9 anos,2008-01-01,32,37,4,1,36,38,74
TOMINA,consulta externa,personas de 5 a 9 anos,2008-01-01,40,46,1,1,41,47,88
TORO TORO,consulta externa,personas de 5 a 9 anos,2008-01-01,13,6,0,0,13,6,19
TOTORA(CBBA),consulta externa,personas de 5 a 9 anos,2008-01-01,6,13,2,0,8,13,21
