,group,variable,month,MENORES DE 5 AÑOS NUEVA,MENORES DE 5 AÑOS NUEVA,MENORES DE 5 AÑOS REPETIDAS,MENORES DE 5 AÑOS REPETIDAS,TOTALES,TOTALES,TOTALES
BAURES,consulta externa,menores de 5 anos,2008-01-01,109,91,16,9,125,100,225
BELEN DE ANDAMARCA,consulta externa,menores de 5 anos,2008-01-01,6,10,0,0,6,10,16
BELEN DE URMIRI,consulta externa,menores de 5 anos,2008-01-01,32,34,1,1,33,35,68
BELLA FLOR,consulta externa,menores de 5 anos,2008-01-01,44,32,1,1,45,33,78
BERMEJO,consulta externa,menores de 5 anos,2008-01-01,812,725,54,76,866,801,1667
BETANZOS,consulta externa,menores de 5 anos,2008-01-01,466,430,4,11,470,441,911
BOLIVAR,consulta externa,menores de 5 anos,2008-01-01,87,71,0,0,87,71,158
BOLPEBRA,consulta externa,menores de 5 anos,2008-01-01,26,22,5,7,31,29,60
BOYUIBE,consulta externa,menores de 5 anos,2008-01-01,97,92,1,3,98,95,193
BUENA VISTA,consulta externa,menores de 5 anos,2008-01-01,330,364,31,42,361,406,767
CABEZAS,consulta externa,menores de 5 anos,2008-01-01,747,653,32,28,779,681,1460
CAIROMA,consulta externa,menores de 5 anos,2008-01-01,173,141,3,1,176,142,318
"CAIZA ""D""",consulta externa,menores de 5 anos,2008-01-01,129,97,4,1,133,98,231
CAJUATA,consulta externa,menores de 5 anos,2008-01-01,177,205,3,7,180,212,392
CALACOTO,consulta externa,menores de 5 anos,2008-01-01,44,60,0,0,44,60,104
CALAMARCA,consulta externa,menores de 5 anos,2008-01-01,107,122,2,6,109,128,237
CAMARGO,consulta externa,menores de 5 anos,2008-01-01,314,345,1,3,315,348,663
CAMATAQUI (C. VILLA ABECIA),consulta externa,menores de 5 anos,2008-01-01,83,92,4,2,87,94,181
CAMIRI,consulta externa,menores de 5 anos,2008-01-01,1216,1189,73,81,1289,1270,2559
CAPINOTA,consulta externa,menores de 5 anos,2008-01-01,385,334,49,30,434,364,798
CAQUIAVIRI,consulta externa,menores de 5 anos,2008-01-01,49,48,1,1,50,49,99
CARACOLLO,consulta externa,menores de 5 anos,2008-01-01,168,161,2,4,170,165,335
CARANAVI,consulta externa,menores de 5 anos,2008-01-01,914,889,93,104,1007,993,2000
CARANGAS,consulta externa,menores de 5 anos,2008-01-01,7,5,0,0,7,5,12
CARAPARI,consulta externa,menores de 5 anos,2008-01-01,280,253,3,3,283,256,539
CARIPUYO,consulta externa,menores de 5 anos,2008-01-01,132,127,3,1,135,128,263
CARMEN RIVERO TORREZ,consulta externa,menores de 5 anos,2008-01-01,58,77,5,4,63,81,144
CATACORA,consulta externa,menores de 5 anos,2008-01-01,40,20,0,0,40,20,60
CHACARILLA,consulta externa,menores de 5 anos,2008-01-01,9,5,0,0,9,5,14
CHALLAPATA,consulta externa,menores de 5 anos,2008-01-01,336,272,10,13,346,285,631
CHAQUI,consulta externa,menores de 5 anos,2008-01-01,95,73,0,1,95,74,169
CHARAGUA,consulta externa,menores de 5 anos,2008-01-01,1716,928,109,97,1825,1025,2850
CHARAÑA,consulta externa,menores de 5 anos,2008-01-01,24,26,1,1,25,27,52
CHAYANTA,consulta externa,menores de 5 anos,2008-01-01,261,235,1,1,262,236,498
CHIMORE,consulta externa,menores de 5 anos,2008-01-01,558,527,20,21,578,548,1126
CHIPAYA,consulta externa,menores de 5 anos,2008-01-01,7,12,0,0,7,12,19
CHOQUE COTA,consulta externa,menores de 5 anos,2008-01-01,20,12,1,0,21,12,33
CHULUMANI (V. DE LA LIBERTAD),consulta externa,menores de 5 anos,2008-01-01,208,164,17,11,225,175,400
CHUMA,consulta externa,menores de 5 anos,2008-01-01,134,106,1,3,135,109,244
CLIZA,consulta externa,menores de 5 anos,2008-01-01,239,182,116,93,355,275,630
COBIJA,consulta externa,menores de 5 anos,2008-01-01,798,889,135,143,933,1032,1965
COCHABAMBA,consulta externa,menores de 5 anos,2008-01-01,8510,8289,3623,3373,12133,11662,23795
COIPASA,consulta externa,menores de 5 anos,2008-01-01,4,17,0,0,4,17,21
COLCAPIRHUA,consulta externa,menores de 5 anos,2008-01-01,320,377,78,99,398,476,874
"COLCHA ""K""",consulta externa,menores de 5 anos,2008-01-01,108,87,2,0,110,87,197
COLLANA,consulta externa,menores de 5 anos,2008-01-01,17,16,1,0,18,16,34
COLOMI,consulta externa,menores de 5 anos,2008-01-01,231,207,6,4,237,211,448
COLPA BELGICA,consulta externa,menores de 5 anos,2008-01-01,153,154,49,50,202,204,406
COLQUECHACA,consulta externa,menores de 5 anos,2008-01-01,613,603,4,2,617,605,1222
COLQUENCHA,consulta externa,menores de 5 anos,2008-01-01,74,80,4,1,78,81,159
COLQUIRI,consulta externa,menores de 5 anos,2008-01-01,262,275,27,26,289,301,590
COMANCHE,consulta externa,menores de 5 anos,2008-01-01,27,17,0,2,27,19,46
COMARAPA,consulta externa,menores de 5 anos,2008-01-01,316,312,12,16,328,328,656
COMBAYA,consulta externa,menores de 5 anos,2008-01-01,14,13,0,0,14,13,27
CONCEPCION,consulta externa,menores de 5 anos,2008-01-01,220,178,13,5,233,183,416
COPACABANA,consulta externa,menores de 5 anos,2008-01-01,79,77,0,0,79,77,156
CORIPATA,consulta externa,menores de 5 anos,2008-01-01,222,200,6,3,228,203,431
CORO CORO,consulta externa,menores de 5 anos,2008-01-01,64,54,0,0,64,54,118
COROICO,consulta externa,menores de 5 anos,2008-01-01,157,154,28,17,185,171,356
CORQUE,consulta externa,menores de 5 anos,2008-01-01,56,56,7,3,63,59,122
COTAGAITA,consulta externa,menores de 5 anos,2008-01-01,354,365,23,8,377,373,750
COTOCA,consulta externa,menores de 5 anos,2008-01-01,826,771,82,59,908,830,1738
CUATRO CAÑADAS,consulta externa,menores de 5 anos,2008-01-01,403,412,36,27,439,439,878
CUCHUMUELA (V. G. VILLARROEL),consulta externa,menores de 5 anos,2008-01-01,49,29,6,6,55,35,90
CUEVO,consulta externa,menores de 5 anos,2008-01-01,94,136,0,7,94,143,237
CULPINA,consulta externa,menores de 5 anos,2008-01-01,319,302,3,1,322,303,625
CURAHUARA DE CARANGAS,consulta externa,menores de 5 anos,2008-01-01,54,66,3,2,57,68,125
CURVA,consulta externa,menores de 5 anos,2008-01-01,42,34,2,0,44,34,78
DESAGUADERO,consulta externa,menores de 5 anos,2008-01-01,27,25,0,2,27,27,54
EL ALTO,consulta externa,menores de 5 anos,2008-01-01,8974,8323,1775,2289,10749,10612,21361
EL CHORO,consulta externa,menores de 5 anos,2008-01-01,112,78,9,1,121,79,200
EL PUENTE(STC),consulta externa,menores de 5 anos,2008-01-01,336,335,7,6,343,341,684
EL PUENTE(TJA),consulta externa,menores de 5 anos,2008-01-01,220,241,24,39,244,280,524
EL TORNO,consulta externa,menores de 5 anos,2008-01-01,1357,1225,19,20,1376,1245,2621
EL VILLAR,consulta externa,menores de 5 anos,2008-01-01,151,109,0,0,151,109,260
ENTRE RIOS,consulta externa,menores de 5 anos,2008-01-01,579,554,20,17,599,571,1170
ENTRE RIOS,consulta externa,menores de 5 anos,2008-01-01,390,406,9,5,399,411,810
ESCARA,consulta externa,menores de 5 anos,2008-01-01,0,2,0,0,0,2,2
ESMERALDA,consulta externa,menores de 5 anos,2008-01-01,4,2,0,0,4,2,6
EUCALIPTUS,consulta externa,menores de 5 anos,2008-01-01,99,97,2,5,101,102,203
EUREKA (SANTOS MERCADO),consulta externa,menores de 5 anos,2008-01-01,24,24,0,0,24,24,48
EXALTACION,consulta externa,menores de 5 anos,2008-01-01,31,38,2,2,33,40,73
FERNANDEZ ALONSO,consulta externa,menores de 5 anos,2008-01-01,551,446,12,9,563,455,1018
FILADELFIA,consulta externa,menores de 5 anos,2008-01-01,93,67,5,1,98,68,166
GENERAL SAAVEDRA,consulta externa,menores de 5 anos,2008-01-01,527,509,10,16,537,525,1062
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,menores de 5 anos,2008-01-01,147,148,0,1,147,149,296
GUANAY,consulta externa,menores de 5 anos,2008-01-01,242,234,19,70,261,304,565
GUAQUI,consulta externa,menores de 5 anos,2008-01-01,43,37,5,5,48,42,90
GUAYARAMERIN,consulta externa,menores de 5 anos,2008-01-01,1302,1372,117,108,1419,1480,2899
GUTIERREZ,consulta externa,menores de 5 anos,2008-01-01,681,625,7,7,688,632,1320
HUACARETA,consulta externa,menores de 5 anos,2008-01-01,199,184,7,16,206,200,406
HUACAYA (VILLA DE HUACAYA),consulta externa,menores de 5 anos,2008-01-01,86,72,1,1,87,73,160
HUACHACALLA,consulta externa,menores de 5 anos,2008-01-01,42,41,1,5,43,46,89
HUANUNI,consulta externa,menores de 5 anos,2008-01-01,283,256,28,29,311,285,596
HUARACAJE,consulta externa,menores de 5 anos,2008-01-01,84,76,6,2,90,78,168
HUAYLLAMARCA,consulta externa,menores de 5 anos,2008-01-01,48,34,1,3,49,37,86
ICHOCA,consulta externa,menores de 5 anos,2008-01-01,23,30,16,14,39,44,83
ICLA,consulta externa,menores de 5 anos,2008-01-01,304,288,50,61,354,349,703
INCAHUASI,consulta externa,menores de 5 anos,2008-01-01,542,550,2,5,544,555,1099
INGAVI (HUMAITA),consulta externa,menores de 5 anos,2008-01-01,8,9,6,6,14,15,29
INQUISIVI,consulta externa,menores de 5 anos,2008-01-01,143,136,0,3,143,139,282
IRUPANA (VILLA DE LANZA),consulta externa,menores de 5 anos,2008-01-01,176,226,3,1,179,227,406
IXIAMAS,consulta externa,menores de 5 anos,2008-01-01,229,179,2,8,231,187,418
JESUS DE MACHACA,consulta externa,menores de 5 anos,2008-01-01,95,125,6,7,101,132,233
LA ASUNTA,consulta externa,menores de 5 anos,2008-01-01,669,668,17,7,686,675,1361
LA GUARDIA,consulta externa,menores de 5 anos,2008-01-01,1625,1440,72,76,1697,1516,3213
LA PAZ,consulta externa,menores de 5 anos,2008-01-01,9826,9470,1854,2122,11680,11592,23272
LA RIVERA,consulta externa,menores de 5 anos,2008-01-01,6,9,0,1,6,10,16
LAGUNILLAS,consulta externa,menores de 5 anos,2008-01-01,335,285,18,15,353,300,653
LAJA,consulta externa,menores de 5 anos,2008-01-01,99,83,6,7,105,90,195
LAS CARRERAS,consulta externa,menores de 5 anos,2008-01-01,50,40,2,0,52,40,92
LICOMA PAMPA,consulta externa,menores de 5 anos,2008-01-01,28,42,1,2,29,44,73
LLALLAGUA,consulta externa,menores de 5 anos,2008-01-01,580,482,7,6,587,488,1075
LLICA,consulta externa,menores de 5 anos,2008-01-01,41,41,3,1,44,42,86
LORETO,consulta externa,menores de 5 anos,2008-01-01,40,30,8,11,48,41,89
LURIBAY,consulta externa,menores de 5 anos,2008-01-01,145,121,4,11,149,132,281
MACHACAMARCA,consulta externa,menores de 5 anos,2008-01-01,35,56,0,0,35,56,91
MACHARETI,consulta externa,menores de 5 anos,2008-01-01,258,310,3,2,261,312,573
MAGDALENA,consulta externa,menores de 5 anos,2008-01-01,203,188,31,33,234,221,455
MAIRANA,consulta externa,menores de 5 anos,2008-01-01,184,167,5,7,189,174,363
MALLA,consulta externa,menores de 5 anos,2008-01-01,46,32,0,0,46,32,78
MAPIRI,consulta externa,menores de 5 anos,2008-01-01,175,226,18,20,193,246,439
MECAPACA,consulta externa,menores de 5 anos,2008-01-01,112,92,8,2,120,94,214
MINEROS,consulta externa,menores de 5 anos,2008-01-01,522,489,6,2,528,491,1019
MIZQUE,consulta externa,menores de 5 anos,2008-01-01,269,269,24,15,293,284,577
MOCOMOCO,consulta externa,menores de 5 anos,2008-01-01,114,97,4,3,118,100,218
MOJINETE,consulta externa,menores de 5 anos,2008-01-01,10,9,1,0,11,9,20
MOJOCOYA,consulta externa,menores de 5 anos,2008-01-01,125,79,11,0,136,79,215
MONTEAGUDO,consulta externa,menores de 5 anos,2008-01-01,675,608,58,56,733,664,1397
MONTERO,consulta externa,menores de 5 anos,2008-01-01,2918,2667,526,568,3444,3235,6679
MORO MORO,consulta externa,menores de 5 anos,2008-01-01,40,29,2,1,42,30,72
MOROCHATA,consulta externa,menores de 5 anos,2008-01-01,163,156,46,58,209,214,423
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,menores de 5 anos,2008-01-01,113,73,14,12,127,85,212
NAZACARA DE PACAJES,consulta externa,menores de 5 anos,2008-01-01,1,3,0,0,1,3,4
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,menores de 5 anos,2008-01-01,34,32,2,1,36,33,69
OCURI,consulta externa,menores de 5 anos,2008-01-01,299,257,22,16,321,273,594
OKINAWA,consulta externa,menores de 5 anos,2008-01-01,361,381,4,1,365,382,747
OMEREQUE,consulta externa,menores de 5 anos,2008-01-01,131,131,3,8,134,139,273
ORURO,consulta externa,menores de 5 anos,2008-01-01,3933,3387,497,442,4430,3829,8259
PADCAYA,consulta externa,menores de 5 anos,2008-01-01,335,299,12,9,347,308,655
PADILLA,consulta externa,menores de 5 anos,2008-01-01,341,399,3,0,344,399,743
PAILON,consulta externa,menores de 5 anos,2008-01-01,522,512,8,7,530,519,1049
PALCA,consulta externa,menores de 5 anos,2008-01-01,77,76,4,1,81,77,158
PALOS BLANCOS,consulta externa,menores de 5 anos,2008-01-01,713,542,13,11,726,553,1279
PAMPA AULLAGAS,consulta externa,menores de 5 anos,2008-01-01,35,21,1,1,36,22,58
PAMPA GRANDE,consulta externa,menores de 5 anos,2008-01-01,103,122,2,2,105,124,229
PAPEL PAMPA,consulta externa,menores de 5 anos,2008-01-01,34,34,0,0,34,34,68
PASORAPA,consulta externa,menores de 5 anos,2008-01-01,77,72,6,3,83,75,158
PATACAMAYA,consulta externa,menores de 5 anos,2008-01-01,188,146,1,1,189,147,336
PAZÑA,consulta externa,menores de 5 anos,2008-01-01,91,80,5,1,96,81,177
PELECHUCO,consulta externa,menores de 5 anos,2008-01-01,92,76,3,3,95,79,174
POCOATA,consulta externa,menores de 5 anos,2008-01-01,320,351,1,5,321,356,677
POCONA,consulta externa,menores de 5 anos,2008-01-01,187,201,8,7,195,208,403
POJO (CBBA),consulta externa,menores de 5 anos,2008-01-01,133,105,9,9,142,114,256
POOPO,consulta externa,menores de 5 anos,2008-01-01,79,61,1,2,80,63,143
PORCO,consulta externa,menores de 5 anos,2008-01-01,135,107,2,0,137,107,244
POROMA,consulta externa,menores de 5 anos,2008-01-01,180,147,0,0,180,147,327
PORONGO,consulta externa,menores de 5 anos,2008-01-01,172,177,7,8,179,185,364
PORTACHUELO,consulta externa,menores de 5 anos,2008-01-01,536,540,23,17,559,557,1116
PORVENIR,consulta externa,menores de 5 anos,2008-01-01,137,109,3,2,140,111,251
POSTRER VALLE,consulta externa,menores de 5 anos,2008-01-01,49,37,4,0,53,37,90
POTOSI,consulta externa,menores de 5 anos,2008-01-01,3173,3038,362,263,3535,3301,6836
PRESTO,consulta externa,menores de 5 anos,2008-01-01,136,159,3,0,139,159,298
PUCARA,consulta externa,menores de 5 anos,2008-01-01,30,24,1,2,31,26,57
PUCARANI,consulta externa,menores de 5 anos,2008-01-01,117,112,1,1,118,113,231
PUERTO ACOSTA,consulta externa,menores de 5 anos,2008-01-01,98,107,1,1,99,108,207
PUERTO CARABUCO,consulta externa,menores de 5 anos,2008-01-01,117,95,3,1,120,96,216
PUERTO GONZALO MORENO,consulta externa,menores de 5 anos,2008-01-01,156,142,4,1,160,143,303
PUERTO PEREZ,consulta externa,menores de 5 anos,2008-01-01,21,24,0,1,21,25,46
PUERTO QUIJARRO,consulta externa,menores de 5 anos,2008-01-01,228,178,22,7,250,185,435
PUERTO RICO,consulta externa,menores de 5 anos,2008-01-01,170,175,5,8,175,183,358
PUERTO SILES,consulta externa,menores de 5 anos,2008-01-01,20,18,3,7,23,25,48
PUERTO SUAREZ,consulta externa,menores de 5 anos,2008-01-01,283,259,16,12,299,271,570
PUERTO VILLARROEL,consulta externa,menores de 5 anos,2008-01-01,1328,1185,85,71,1413,1256,2669
PUNA,consulta externa,menores de 5 anos,2008-01-01,512,440,21,20,533,460,993
PUNATA,consulta externa,menores de 5 anos,2008-01-01,403,393,80,80,483,473,956
QUIABAYA,consulta externa,menores de 5 anos,2008-01-01,26,22,6,1,32,23,55
QUILLACOLLO,consulta externa,menores de 5 anos,2008-01-01,918,701,389,309,1307,1010,2317
QUIME,consulta externa,menores de 5 anos,2008-01-01,91,96,0,0,91,96,187
QUIRUSILLAS,consulta externa,menores de 5 anos,2008-01-01,40,40,1,5,41,45,86
RAVELO,consulta externa,menores de 5 anos,2008-01-01,225,171,2,1,227,172,399
REYES,consulta externa,menores de 5 anos,2008-01-01,283,284,18,19,301,303,604
RIBERALTA,consulta externa,menores de 5 anos,2008-01-01,2328,2101,312,347,2640,2448,5088
ROBORE,consulta externa,menores de 5 anos,2008-01-01,336,307,2,5,338,312,650
RURRENABAQUE,consulta externa,menores de 5 anos,2008-01-01,362,288,12,9,374,297,671
SABAYA,consulta externa,menores de 5 anos,2008-01-01,52,35,2,1,54,36,90
SACABA,consulta externa,menores de 5 anos,2008-01-01,1026,898,213,177,1239,1075,2314
SACABAMBA,consulta externa,menores de 5 anos,2008-01-01,63,45,5,2,68,47,115
SACACA,consulta externa,menores de 5 anos,2008-01-01,351,341,1,0,352,341,693
SAIPINA,consulta externa,menores de 5 anos,2008-01-01,135,128,20,17,155,145,300
SALINAS DE GARCI MENDOZA,consulta externa,menores de 5 anos,2008-01-01,169,129,1,1,170,130,300
SAMAIPATA,consulta externa,menores de 5 anos,2008-01-01,146,92,6,3,152,95,247
SAN AGUSTIN,consulta externa,menores de 5 anos,2008-01-01,26,22,1,0,27,22,49
SAN ANDRES,consulta externa,menores de 5 anos,2008-01-01,220,152,4,3,224,155,379
SAN ANDRES DE MACHACA,consulta externa,menores de 5 anos,2008-01-01,23,30,2,0,25,30,55
SAN ANTONIO DE ESMORUCO,consulta externa,menores de 5 anos,2008-01-01,22,34,0,4,22,38,60
SAN ANTONIO DE LOMERIO,consulta externa,menores de 5 anos,2008-01-01,150,148,4,2,154,150,304
SAN BENITO,consulta externa,menores de 5 anos,2008-01-01,150,180,10,20,160,200,360
SAN BORJA,consulta externa,menores de 5 anos,2008-01-01,509,578,45,32,554,610,1164
SAN BUENA VENTURA,consulta externa,menores de 5 anos,2008-01-01,337,301,36,29,373,330,703
SAN CARLOS,consulta externa,menores de 5 anos,2008-01-01,413,379,18,23,431,402,833
SAN IGNACIO,consulta externa,menores de 5 anos,2008-01-01,503,438,39,34,542,472,1014
SAN IGNACIO DE VELASCO,consulta externa,menores de 5 anos,2008-01-01,1008,865,46,57,1054,922,1976
SAN JAVIER(BNI),consulta externa,menores de 5 anos,2008-01-01,95,76,2,2,97,78,175
SAN JAVIER(STC),consulta externa,menores de 5 anos,2008-01-01,178,154,3,5,181,159,340
SAN JOAQUIN,consulta externa,menores de 5 anos,2008-01-01,134,90,2,0,136,90,226
SAN JOSE DE CHIQUITOS,consulta externa,menores de 5 anos,2008-01-01,284,304,4,8,288,312,600
SAN JUAN DE YAPACANI,consulta externa,menores de 5 anos,2008-01-01,463,436,18,21,481,457,938
SAN JULIAN,consulta externa,menores de 5 anos,2008-01-01,914,840,73,65,987,905,1892
SAN LORENZO(PND),consulta externa,menores de 5 anos,2008-01-01,108,100,3,1,111,101,212
SAN LORENZO(TJA),consulta externa,menores de 5 anos,2008-01-01,357,362,4,5,361,367,728
SAN LUCAS,consulta externa,menores de 5 anos,2008-01-01,857,811,13,7,870,818,1688
SAN MATIAS,consulta externa,menores de 5 anos,2008-01-01,1412,221,12,21,1424,242,1666
SAN MIGUEL DE VELASCO,consulta externa,menores de 5 anos,2008-01-01,237,151,22,12,259,163,422
SAN PABLO DE LIPEZ,consulta externa,menores de 5 anos,2008-01-01,60,53,0,0,60,53,113
SAN PEDRO,consulta externa,menores de 5 anos,2008-01-01,625,599,70,37,695,636,1331
SAN PEDRO DE BUENA VISTA,consulta externa,menores de 5 anos,2008-01-01,331,309,2,4,333,313,646
SAN PEDRO DE CURAHUARA,consulta externa,menores de 5 anos,2008-01-01,72,43,1,0,73,43,116
SAN PEDRO DE QUEMES,consulta externa,menores de 5 anos,2008-01-01,6,6,1,0,7,6,13
SAN PEDRO DE TIQUINA,consulta externa,menores de 5 anos,2008-01-01,23,37,1,0,24,37,61
SAN PEDRO(PND),consulta externa,menores de 5 anos,2008-01-01,23,22,2,2,25,24,49
SAN RAFAEL,consulta externa,menores de 5 anos,2008-01-01,158,135,3,3,161,138,299
SAN RAMON,consulta externa,menores de 5 anos,2008-01-01,174,184,5,8,179,192,371
SAN RAMON,consulta externa,menores de 5 anos,2008-01-01,190,190,6,10,196,200,396
SANTA ANA,consulta externa,menores de 5 anos,2008-01-01,212,172,5,8,217,180,397
SANTA CRUZ DE LA SIERRA,consulta externa,menores de 5 anos,2008-01-01,34458,21751,3785,3859,38243,25610,63853
SANTA ROSA,consulta externa,menores de 5 anos,2008-01-01,165,155,3,5,168,160,328
SANTA ROSA DEL SARA,consulta externa,menores de 5 anos,2008-01-01,483,495,3,4,486,499,985
SANTIAGO DE CALLAPA,consulta externa,menores de 5 anos,2008-01-01,22,26,0,0,22,26,48
SANTIAGO DE HUARI,consulta externa,menores de 5 anos,2008-01-01,108,114,9,6,117,120,237
SANTIAGO DE MACHACA,consulta externa,menores de 5 anos,2008-01-01,20,22,1,1,21,23,44
SANTIVAÑES,consulta externa,menores de 5 anos,2008-01-01,92,80,6,6,98,86,184
SANTUARIO DE QUILLACAS,consulta externa,menores de 5 anos,2008-01-01,32,21,1,0,33,21,54
SAPAHAQUI,consulta externa,menores de 5 anos,2008-01-01,100,90,0,1,100,91,191
SENA,consulta externa,menores de 5 anos,2008-01-01,49,49,0,0,49,49,98
SICA SICA (VILLA AROMA),consulta externa,menores de 5 anos,2008-01-01,175,141,7,8,182,149,331
SICAYA,consulta externa,menores de 5 anos,2008-01-01,61,36,1,0,62,36,98
SIPE SIPE,consulta externa,menores de 5 anos,2008-01-01,346,314,70,104,416,418,834
SOPACHUY,consulta externa,menores de 5 anos,2008-01-01,162,141,1,0,163,141,304
SORACACHI,consulta externa,menores de 5 anos,2008-01-01,99,98,0,2,99,100,199
SORATA,consulta externa,menores de 5 anos,2008-01-01,166,144,3,0,169,144,313
SUCRE,consulta externa,menores de 5 anos,2008-01-01,5068,4666,728,697,5796,5363,11159
TACACHI,consulta externa,menores de 5 anos,2008-01-01,10,4,2,2,12,6,18
TACACOMA,consulta externa,menores de 5 anos,2008-01-01,78,50,1,1,79,51,130
TACOBAMBA,consulta externa,menores de 5 anos,2008-01-01,145,117,0,0,145,117,262
TACOPAYA,consulta externa,menores de 5 anos,2008-01-01,92,93,0,0,92,93,185
TAHUA,consulta externa,menores de 5 anos,2008-01-01,15,17,3,1,18,18,36
TAPACARI,consulta externa,menores de 5 anos,2008-01-01,414,340,13,6,427,346,773
TARABUCO,consulta externa,menores de 5 anos,2008-01-01,690,632,11,13,701,645,1346
TARACO,consulta externa,menores de 5 anos,2008-01-01,33,15,0,0,33,15,48
TARATA,consulta externa,menores de 5 anos,2008-01-01,115,108,5,8,120,116,236
TARIJA,consulta externa,menores de 5 anos,2008-01-01,4411,3762,540,424,4951,4186,9137
TARVITA,consulta externa,menores de 5 anos,2008-01-01,487,459,12,6,499,465,964
TEOPONTE,consulta externa,menores de 5 anos,2008-01-01,154,165,5,4,159,169,328
TIAWANACU,consulta externa,menores de 5 anos,2008-01-01,94,85,5,5,99,90,189
TINGUIPAYA,consulta externa,menores de 5 anos,2008-01-01,253,169,12,11,265,180,445
TIPUANI,consulta externa,menores de 5 anos,2008-01-01,174,150,1,1,175,151,326
TIQUIPAYA,consulta externa,menores de 5 anos,2008-01-01,532,495,291,239,823,734,1557
TIRAQUE (CBBA),consulta externa,menores de 5 anos,2008-01-01,813,732,54,61,867,793,1660
TITO YUPANQUI (PARQUIPUJIO),consulta externa,menores de 5 anos,2008-01-01,10,13,0,6,10,19,29
TOCO,consulta externa,menores de 5 anos,2008-01-01,65,42,6,6,71,48,119
TODOS SANTOS,consulta externa,menores de 5 anos,2008-01-01,10,4,0,0,10,4,14
TOLATA,consulta externa,menores de 5 anos,2008-01-01,55,53,6,8,61,61,122
TOLEDO,consulta externa,menores de 5 anos,2008-01-01,44,23,0,1,44,24,68
TOMAVE,consulta externa,menores de 5 anos,2008-01-01,148,149,20,7,168,156,324
TOMINA,consulta externa,menores de 5 anos,2008-01-01,296,302,2,3,298,305,603
TORO TORO,consulta externa,menores de 5 anos,2008-01-01,126,151,4,5,130,156,286
TOTORA(CBBA),consulta externa,menores de 5 anos,2008-01-01,107,89,89,71,196,160,356
TOTORA(ORR),consulta externa,menores de 5 anos,2008-01-01,66,48,0,0,66,48,114
TRIGAL,consulta externa,menores de 5 anos,2008-01-01,54,54,2,1,56,55,111
TRINIDAD,consulta externa,menores de 5 anos,2008-01-01,1958,1781,269,275,2227,2056,4283
TUPIZA,consulta externa,menores de 5 anos,2008-01-01,823,707,129,40,952,747,1699
TURCO,consulta externa,menores de 5 anos,2008-01-01,48,34,0,0,48,34,82
UMALA,consulta externa,menores de 5 anos,2008-01-01,34,37,0,0,34,37,71
UNCIA,consulta externa,menores de 5 anos,2008-01-01,499,464,74,92,573,556,1129
URIONDO (A. CONCEPCION),consulta externa,menores de 5 anos,2008-01-01,430,386,13,15,443,401,844
URUBICHA,consulta externa,menores de 5 anos,2008-01-01,260,281,27,21,287,302,589
