,group,variable,month,PERSONAS DE 10 A 20 AÑOS NUEVA,PERSONAS DE 10 A 20 AÑOS NUEVA,PERSONAS DE 10 A 20 AÑOS REPETIDAS,PERSONAS DE 10 A 20 AÑOS REPETIDAS,TOTALES,TOTALES,TOTALES
BATALLAS,consulta externa,personas de 10 a 20 anos,2008-01-01,28,46,0,0,28,46,74
BAURES,consulta externa,personas de 10 a 20 anos,2008-01-01,22,38,3,5,25,43,68
BELEN DE ANDAMARCA,consulta externa,personas de 10 a 20 anos,2008-01-01,4,2,0,0,4,2,6
BELEN DE URMIRI,consulta externa,personas de 10 a 20 anos,2008-01-01,7,9,0,0,7,9,16
BELLA FLOR,consulta externa,personas de 10 a 20 anos,2008-01-01,26,25,0,0,26,25,51
BERMEJO,consulta externa,personas de 10 a 20 anos,2008-01-01,544,626,34,55,578,681,1259
BETANZOS,consulta externa,personas de 10 a 20 anos,2008-01-01,130,200,5,2,135,202,337
BOLIVAR,consulta externa,personas de 10 a 20 anos,2008-01-01,3,1,1,1,4,2,6
BOLPEBRA,consulta externa,personas de 10 a 20 anos,2008-01-01,15,21,0,0,15,21,36
BOYUIBE,consulta externa,personas de 10 a 20 anos,2008-01-01,6,13,0,0,6,13,19
BUENA VISTA,consulta externa,personas de 10 a 20 anos,2008-01-01,235,370,27,39,262,409,671
CABEZAS,consulta externa,personas de 10 a 20 anos,2008-01-01,115,107,5,4,120,111,231
CAIROMA,consulta externa,personas de 10 a 20 anos,2008-01-01,40,63,0,5,40,68,108
"CAIZA ""D""",consulta externa,personas de 10 a 20 anos,2008-01-01,51,65,9,2,60,67,127
CAJUATA,consulta externa,personas de 10 a 20 anos,2008-01-01,54,61,0,0,54,61,115
CALACOTO,consulta externa,personas de 10 a 20 anos,2008-01-01,13,15,0,0,13,15,28
CALAMARCA,consulta externa,personas de 10 a 20 anos,2008-01-01,33,31,5,6,38,37,75
CAMARGO,consulta externa,personas de 10 a 20 anos,2008-01-01,49,92,0,0,49,92,141
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 10 a 20 anos,2008-01-01,39,52,1,3,40,55,95
CAMIRI,consulta externa,personas de 10 a 20 anos,2008-01-01,138,128,26,13,164,141,305
CAQUIAVIRI,consulta externa,personas de 10 a 20 anos,2008-01-01,19,37,1,1,20,38,58
CARACOLLO,consulta externa,personas de 10 a 20 anos,2008-01-01,30,47,0,1,30,48,78
CARANAVI,consulta externa,personas de 10 a 20 anos,2008-01-01,343,494,38,38,381,532,913
CARANGAS,consulta externa,personas de 10 a 20 anos,2008-01-01,4,4,0,0,4,4,8
CARAPARI,consulta externa,personas de 10 a 20 anos,2008-01-01,242,305,2,6,244,311,555
CARIPUYO,consulta externa,personas de 10 a 20 anos,2008-01-01,12,22,0,1,12,23,35
CATACORA,consulta externa,personas de 10 a 20 anos,2008-01-01,8,5,5,2,13,7,20
CHACARILLA,consulta externa,personas de 10 a 20 anos,2008-01-01,2,14,0,0,2,14,16
CHALLAPATA,consulta externa,personas de 10 a 20 anos,2008-01-01,92,121,5,10,97,131,228
CHAQUI,consulta externa,personas de 10 a 20 anos,2008-01-01,20,32,0,2,20,34,54
CHARAGUA,consulta externa,personas de 10 a 20 anos,2008-01-01,88,200,12,28,100,228,328
CHARAÑA,consulta externa,personas de 10 a 20 anos,2008-01-01,10,16,1,0,11,16,27
CHAYANTA,consulta externa,personas de 10 a 20 anos,2008-01-01,37,34,1,0,38,34,72
CHIPAYA,consulta externa,personas de 10 a 20 anos,2008-01-01,0,1,0,0,0,1,1
CHOQUE COTA,consulta externa,personas de 10 a 20 anos,2008-01-01,4,7,0,0,4,7,11
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 10 a 20 anos,2008-01-01,64,75,13,8,77,83,160
CHUMA,consulta externa,personas de 10 a 20 anos,2008-01-01,23,43,1,0,24,43,67
CLIZA,consulta externa,personas de 10 a 20 anos,2008-01-01,36,34,16,21,52,55,107
COBIJA,consulta externa,personas de 10 a 20 anos,2008-01-01,825,1988,59,492,884,2480,3364
COCHABAMBA,consulta externa,personas de 10 a 20 anos,2008-01-01,344,575,227,241,571,816,1387
COIPASA,consulta externa,personas de 10 a 20 anos,2008-01-01,5,2,0,0,5,2,7
COLCAPIRHUA,consulta externa,personas de 10 a 20 anos,2008-01-01,206,328,49,144,255,472,727
"COLCHA ""K""",consulta externa,personas de 10 a 20 anos,2008-01-01,35,51,3,1,38,52,90
COLLANA,consulta externa,personas de 10 a 20 anos,2008-01-01,3,10,0,0,3,10,13
COLOMI,consulta externa,personas de 10 a 20 anos,2008-01-01,55,65,1,2,56,67,123
COLPA BELGICA,consulta externa,personas de 10 a 20 anos,2008-01-01,12,31,3,11,15,42,57
COLQUECHACA,consulta externa,personas de 10 a 20 anos,2008-01-01,65,125,0,0,65,125,190
COLQUENCHA,consulta externa,personas de 10 a 20 anos,2008-01-01,21,36,0,1,21,37,58
COLQUIRI,consulta externa,personas de 10 a 20 anos,2008-01-01,59,92,1,7,60,99,159
COMANCHE,consulta externa,personas de 10 a 20 anos,2008-01-01,14,12,0,0,14,12,26
COMARAPA,consulta externa,personas de 10 a 20 anos,2008-01-01,37,151,8,14,45,165,210
COMBAYA,consulta externa,personas de 10 a 20 anos,2008-01-01,8,2,0,0,8,2,10
COPACABANA,consulta externa,personas de 10 a 20 anos,2008-01-01,20,56,0,0,20,56,76
CORIPATA,consulta externa,personas de 10 a 20 anos,2008-01-01,62,64,2,0,64,64,128
CORO CORO,consulta externa,personas de 10 a 20 anos,2008-01-01,18,12,1,1,19,13,32
COROICO,consulta externa,personas de 10 a 20 anos,2008-01-01,54,79,11,5,65,84,149
CORQUE,consulta externa,personas de 10 a 20 anos,2008-01-01,14,23,0,3,14,26,40
COTAGAITA,consulta externa,personas de 10 a 20 anos,2008-01-01,232,363,8,3,240,366,606
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 10 a 20 anos,2008-01-01,3,5,0,0,3,5,8
CUEVO,consulta externa,personas de 10 a 20 anos,2008-01-01,42,40,0,1,42,41,83
CULPINA,consulta externa,personas de 10 a 20 anos,2008-01-01,67,73,0,0,67,73,140
CURAHUARA DE CARANGAS,consulta externa,personas de 10 a 20 anos,2008-01-01,8,14,0,0,8,14,22
CURVA,consulta externa,personas de 10 a 20 anos,2008-01-01,13,12,0,0,13,12,25
DESAGUADERO,consulta externa,personas de 10 a 20 anos,2008-01-01,7,11,1,3,8,14,22
EL ALTO,consulta externa,personas de 10 a 20 anos,2008-01-01,3298,4105,1922,2420,5220,6525,11745
EL CHORO,consulta externa,personas de 10 a 20 anos,2008-01-01,24,29,1,0,25,29,54
EL PUENTE(TJA),consulta externa,personas de 10 a 20 anos,2008-01-01,185,290,10,6,195,296,491
EL VILLAR,consulta externa,personas de 10 a 20 anos,2008-01-01,51,74,0,0,51,74,125
ENTRE RIOS,consulta externa,personas de 10 a 20 anos,2008-01-01,13,0,13,0,26,0,26
ENTRE RIOS,consulta externa,personas de 10 a 20 anos,2008-01-01,301,357,4,5,305,362,667
ESCARA,consulta externa,personas de 10 a 20 anos,2008-01-01,2,0,0,0,2,0,2
EUCALIPTUS,consulta externa,personas de 10 a 20 anos,2008-01-01,9,25,0,0,9,25,34
EUREKA (SANTOS MERCADO),consulta externa,personas de 10 a 20 anos,2008-01-01,8,9,0,0,8,9,17
EXALTACION,consulta externa,personas de 10 a 20 anos,2008-01-01,32,39,3,9,35,48,83
FERNANDEZ ALONSO,consulta externa,personas de 10 a 20 anos,2008-01-01,91,169,4,9,95,178,273
FILADELFIA,consulta externa,personas de 10 a 20 anos,2008-01-01,49,54,0,0,49,54,103
GENERAL SAAVEDRA,consulta externa,personas de 10 a 20 anos,2008-01-01,109,216,3,12,112,228,340
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 10 a 20 anos,2008-01-01,26,47,0,1,26,48,74
GUANAY,consulta externa,personas de 10 a 20 anos,2008-01-01,30,87,0,3,30,90,120
GUAQUI,consulta externa,personas de 10 a 20 anos,2008-01-01,14,19,2,0,16,19,35
GUAYARAMERIN,consulta externa,personas de 10 a 20 anos,2008-01-01,559,830,212,296,771,1126,1897
GUTIERREZ,consulta externa,personas de 10 a 20 anos,2008-01-01,27,24,2,0,29,24,53
HUACARETA,consulta externa,personas de 10 a 20 anos,2008-01-01,65,64,8,7,73,71,144
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 10 a 20 anos,2008-01-01,15,18,0,0,15,18,33
HUACHACALLA,consulta externa,personas de 10 a 20 anos,2008-01-01,54,31,6,8,60,39,99
HUANUNI,consulta externa,personas de 10 a 20 anos,2008-01-01,9,13,3,2,12,15,27
HUARACAJE,consulta externa,personas de 10 a 20 anos,2008-01-01,29,54,0,9,29,63,92
HUAYLLAMARCA,consulta externa,personas de 10 a 20 anos,2008-01-01,12,38,0,0,12,38,50
ICHOCA,consulta externa,personas de 10 a 20 anos,2008-01-01,9,7,1,1,10,8,18
ICLA,consulta externa,personas de 10 a 20 anos,2008-01-01,29,27,1,1,30,28,58
INGAVI (HUMAITA),consulta externa,personas de 10 a 20 anos,2008-01-01,1,0,0,0,1,0,1
INQUISIVI,consulta externa,personas de 10 a 20 anos,2008-01-01,31,39,0,1,31,40,71
IRUPANA (VILLA DE LANZA),consulta externa,personas de 10 a 20 anos,2008-01-01,67,88,4,1,71,89,160
IXIAMAS,consulta externa,personas de 10 a 20 anos,2008-01-01,29,33,1,0,30,33,63
JESUS DE MACHACA,consulta externa,personas de 10 a 20 anos,2008-01-01,46,71,5,6,51,77,128
LA ASUNTA,consulta externa,personas de 10 a 20 anos,2008-01-01,182,239,5,2,187,241,428
LA PAZ,consulta externa,personas de 10 a 20 anos,2008-01-01,7091,8540,2721,4097,9812,12637,22449
LA RIVERA,consulta externa,personas de 10 a 20 anos,2008-01-01,2,2,0,0,2,2,4
LAGUNILLAS,consulta externa,personas de 10 a 20 anos,2008-01-01,57,65,1,2,58,67,125
LAJA,consulta externa,personas de 10 a 20 anos,2008-01-01,26,43,2,2,28,45,73
LAS CARRERAS,consulta externa,personas de 10 a 20 anos,2008-01-01,9,23,0,1,9,24,33
LICOMA PAMPA,consulta externa,personas de 10 a 20 anos,2008-01-01,5,6,0,0,5,6,11
LLALLAGUA,consulta externa,personas de 10 a 20 anos,2008-01-01,143,142,0,0,143,142,285
LLICA,consulta externa,personas de 10 a 20 anos,2008-01-01,18,23,0,0,18,23,41
LORETO,consulta externa,personas de 10 a 20 anos,2008-01-01,11,17,6,30,17,47,64
LURIBAY,consulta externa,personas de 10 a 20 anos,2008-01-01,49,68,4,1,53,69,122
MACHACAMARCA,consulta externa,personas de 10 a 20 anos,2008-01-01,7,9,0,0,7,9,16
MACHARETI,consulta externa,personas de 10 a 20 anos,2008-01-01,119,103,2,5,121,108,229
MAGDALENA,consulta externa,personas de 10 a 20 anos,2008-01-01,67,140,13,51,80,191,271
MALLA,consulta externa,personas de 10 a 20 anos,2008-01-01,13,36,0,1,13,37,50
MAPIRI,consulta externa,personas de 10 a 20 anos,2008-01-01,33,54,1,3,34,57,91
MECAPACA,consulta externa,personas de 10 a 20 anos,2008-01-01,35,44,8,1,43,45,88
MINEROS,consulta externa,personas de 10 a 20 anos,2008-01-01,64,250,1,39,65,289,354
MIZQUE,consulta externa,personas de 10 a 20 anos,2008-01-01,39,40,31,32,70,72,142
MOCOMOCO,consulta externa,personas de 10 a 20 anos,2008-01-01,28,56,2,2,30,58,88
MOJINETE,consulta externa,personas de 10 a 20 anos,2008-01-01,3,11,0,0,3,11,14
MOJOCOYA,consulta externa,personas de 10 a 20 anos,2008-01-01,37,31,2,0,39,31,70
MONTEAGUDO,consulta externa,personas de 10 a 20 anos,2008-01-01,311,369,22,68,333,437,770
MONTERO,consulta externa,personas de 10 a 20 anos,2008-01-01,562,1803,112,408,674,2211,2885
MORO MORO,consulta externa,personas de 10 a 20 anos,2008-01-01,12,12,0,0,12,12,24
MOROCHATA,consulta externa,personas de 10 a 20 anos,2008-01-01,27,54,0,3,27,57,84
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 10 a 20 anos,2008-01-01,104,106,11,12,115,118,233
NAZACARA DE PACAJES,consulta externa,personas de 10 a 20 anos,2008-01-01,4,3,0,0,4,3,7
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 10 a 20 anos,2008-01-01,6,7,2,0,8,7,15
OCURI,consulta externa,personas de 10 a 20 anos,2008-01-01,39,94,0,1,39,95,134
OMEREQUE,consulta externa,personas de 10 a 20 anos,2008-01-01,44,32,2,4,46,36,82
ORURO,consulta externa,personas de 10 a 20 anos,2008-01-01,1790,2560,643,740,2433,3300,5733
PADCAYA,consulta externa,personas de 10 a 20 anos,2008-01-01,204,370,33,14,237,384,621
PADILLA,consulta externa,personas de 10 a 20 anos,2008-01-01,85,148,10,2,95,150,245
PALCA,consulta externa,personas de 10 a 20 anos,2008-01-01,40,32,3,0,43,32,75
PALOS BLANCOS,consulta externa,personas de 10 a 20 anos,2008-01-01,118,161,10,5,128,166,294
PAMPA AULLAGAS,consulta externa,personas de 10 a 20 anos,2008-01-01,20,22,0,1,20,23,43
PAPEL PAMPA,consulta externa,personas de 10 a 20 anos,2008-01-01,12,18,1,0,13,18,31
PASORAPA,consulta externa,personas de 10 a 20 anos,2008-01-01,27,35,0,0,27,35,62
PATACAMAYA,consulta externa,personas de 10 a 20 anos,2008-01-01,51,72,1,1,52,73,125
PAZÑA,consulta externa,personas de 10 a 20 anos,2008-01-01,16,21,5,2,21,23,44
PELECHUCO,consulta externa,personas de 10 a 20 anos,2008-01-01,15,24,0,3,15,27,42
POCOATA,consulta externa,personas de 10 a 20 anos,2008-01-01,35,68,0,2,35,70,105
POCONA,consulta externa,personas de 10 a 20 anos,2008-01-01,24,35,1,0,25,35,60
POJO (CBBA),consulta externa,personas de 10 a 20 anos,2008-01-01,10,18,0,0,10,18,28
POOPO,consulta externa,personas de 10 a 20 anos,2008-01-01,45,66,6,14,51,80,131
PORCO,consulta externa,personas de 10 a 20 anos,2008-01-01,43,70,0,0,43,70,113
POROMA,consulta externa,personas de 10 a 20 anos,2008-01-01,34,49,0,0,34,49,83
PORTACHUELO,consulta externa,personas de 10 a 20 anos,2008-01-01,102,179,0,8,102,187,289
PORVENIR,consulta externa,personas de 10 a 20 anos,2008-01-01,53,60,2,9,55,69,124
POSTRER VALLE,consulta externa,personas de 10 a 20 anos,2008-01-01,18,23,0,2,18,25,43
POTOSI,consulta externa,personas de 10 a 20 anos,2008-01-01,1723,3079,747,1421,2470,4500,6970
PRESTO,consulta externa,personas de 10 a 20 anos,2008-01-01,16,40,0,0,16,40,56
PUCARA,consulta externa,personas de 10 a 20 anos,2008-01-01,14,26,1,0,15,26,41
PUCARANI,consulta externa,personas de 10 a 20 anos,2008-01-01,31,61,1,1,32,62,94
PUERTO ACOSTA,consulta externa,personas de 10 a 20 anos,2008-01-01,43,47,4,10,47,57,104
PUERTO CARABUCO,consulta externa,personas de 10 a 20 anos,2008-01-01,147,45,45,1,192,46,238
PUERTO GONZALO MORENO,consulta externa,personas de 10 a 20 anos,2008-01-01,5,10,0,0,5,10,15
PUERTO PEREZ,consulta externa,personas de 10 a 20 anos,2008-01-01,5,17,0,0,5,17,22
PUERTO RICO,consulta externa,personas de 10 a 20 anos,2008-01-01,101,145,3,6,104,151,255
PUERTO SILES,consulta externa,personas de 10 a 20 anos,2008-01-01,4,6,0,0,4,6,10
PUERTO VILLARROEL,consulta externa,personas de 10 a 20 anos,2008-01-01,132,167,16,6,148,173,321
PUNA,consulta externa,personas de 10 a 20 anos,2008-01-01,82,132,1,7,83,139,222
PUNATA,consulta externa,personas de 10 a 20 anos,2008-01-01,161,415,34,69,195,484,679
QUIABAYA,consulta externa,personas de 10 a 20 anos,2008-01-01,1,2,1,0,2,2,4
QUILLACOLLO,consulta externa,personas de 10 a 20 anos,2008-01-01,289,438,55,148,344,586,930
QUIME,consulta externa,personas de 10 a 20 anos,2008-01-01,190,51,4,3,194,54,248
RAVELO,consulta externa,personas de 10 a 20 anos,2008-01-01,22,51,0,0,22,51,73
REYES,consulta externa,personas de 10 a 20 anos,2008-01-01,93,161,8,15,101,176,277
RIBERALTA,consulta externa,personas de 10 a 20 anos,2008-01-01,429,857,9,162,438,1019,1457
RURRENABAQUE,consulta externa,personas de 10 a 20 anos,2008-01-01,42,80,1,0,43,80,123
SABAYA,consulta externa,personas de 10 a 20 anos,2008-01-01,11,22,0,0,11,22,33
SACABA,consulta externa,personas de 10 a 20 anos,2008-01-01,237,347,81,79,318,426,744
SACABAMBA,consulta externa,personas de 10 a 20 anos,2008-01-01,12,4,0,0,12,4,16
SACACA,consulta externa,personas de 10 a 20 anos,2008-01-01,57,81,0,0,57,81,138
SAIPINA,consulta externa,personas de 10 a 20 anos,2008-01-01,38,81,5,20,43,101,144
SALINAS DE GARCI MENDOZA,consulta externa,personas de 10 a 20 anos,2008-01-01,7,17,0,0,7,17,24
SAN AGUSTIN,consulta externa,personas de 10 a 20 anos,2008-01-01,2,21,0,0,2,21,23
SAN ANDRES,consulta externa,personas de 10 a 20 anos,2008-01-01,42,79,3,4,45,83,128
SAN ANDRES DE MACHACA,consulta externa,personas de 10 a 20 anos,2008-01-01,17,27,0,3,17,30,47
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 10 a 20 anos,2008-01-01,8,13,0,2,8,15,23
SAN ANTONIO DE LOMERIO,consulta externa,personas de 10 a 20 anos,2008-01-01,7,8,0,0,7,8,15
SAN BENITO,consulta externa,personas de 10 a 20 anos,2008-01-01,20,13,1,0,21,13,34
SAN BORJA,consulta externa,personas de 10 a 20 anos,2008-01-01,49,63,0,7,49,70,119
SAN BUENA VENTURA,consulta externa,personas de 10 a 20 anos,2008-01-01,62,97,4,6,66,103,169
SAN CARLOS,consulta externa,personas de 10 a 20 anos,2008-01-01,232,743,13,185,245,928,1173
SAN IGNACIO,consulta externa,personas de 10 a 20 anos,2008-01-01,241,377,13,39,254,416,670
SAN IGNACIO DE VELASCO,consulta externa,personas de 10 a 20 anos,2008-01-01,170,328,22,44,192,372,564
SAN JAVIER(BNI),consulta externa,personas de 10 a 20 anos,2008-01-01,29,59,0,0,29,59,88
SAN JOAQUIN,consulta externa,personas de 10 a 20 anos,2008-01-01,24,25,3,1,27,26,53
SAN JUAN DE YAPACANI,consulta externa,personas de 10 a 20 anos,2008-01-01,207,284,32,23,239,307,546
SAN LORENZO(PND),consulta externa,personas de 10 a 20 anos,2008-01-01,29,52,1,3,30,55,85
SAN LORENZO(TJA),consulta externa,personas de 10 a 20 anos,2008-01-01,195,308,9,14,204,322,526
SAN LUCAS,consulta externa,personas de 10 a 20 anos,2008-01-01,117,243,1,3,118,246,364
SAN MIGUEL DE VELASCO,consulta externa,personas de 10 a 20 anos,2008-01-01,53,65,3,3,56,68,124
SAN PABLO DE LIPEZ,consulta externa,personas de 10 a 20 anos,2008-01-01,21,41,0,1,21,42,63
SAN PEDRO,consulta externa,personas de 10 a 20 anos,2008-01-01,231,338,27,29,258,367,625
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 10 a 20 anos,2008-01-01,32,54,0,0,32,54,86
SAN PEDRO DE CURAHUARA,consulta externa,personas de 10 a 20 anos,2008-01-01,49,47,7,1,56,48,104
SAN PEDRO DE QUEMES,consulta externa,personas de 10 a 20 anos,2008-01-01,0,3,0,0,0,3,3
SAN PEDRO DE TIQUINA,consulta externa,personas de 10 a 20 anos,2008-01-01,8,14,0,0,8,14,22
SAN PEDRO(PND),consulta externa,personas de 10 a 20 anos,2008-01-01,9,13,2,0,11,13,24
SAN RAFAEL,consulta externa,personas de 10 a 20 anos,2008-01-01,19,42,2,4,21,46,67
SAN RAMON,consulta externa,personas de 10 a 20 anos,2008-01-01,156,175,15,10,171,185,356
SANTA ANA,consulta externa,personas de 10 a 20 anos,2008-01-01,79,201,17,61,96,262,358
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 10 a 20 anos,2008-01-01,4281,7872,1539,2350,5820,10222,16042
SANTA ROSA,consulta externa,personas de 10 a 20 anos,2008-01-01,44,90,1,1,45,91,136
SANTA ROSA DEL SARA,consulta externa,personas de 10 a 20 anos,2008-01-01,39,68,0,0,39,68,107
SANTIAGO DE CALLAPA,consulta externa,personas de 10 a 20 anos,2008-01-01,18,40,0,0,18,40,58
SANTIAGO DE MACHACA,consulta externa,personas de 10 a 20 anos,2008-01-01,7,8,0,0,7,8,15
SANTUARIO DE QUILLACAS,consulta externa,personas de 10 a 20 anos,2008-01-01,7,7,0,0,7,7,14
SAPAHAQUI,consulta externa,personas de 10 a 20 anos,2008-01-01,36,38,1,1,37,39,76
SENA,consulta externa,personas de 10 a 20 anos,2008-01-01,16,11,1,0,17,11,28
SICA SICA (VILLA AROMA),consulta externa,personas de 10 a 20 anos,2008-01-01,38,45,0,1,38,46,84
SIPE SIPE,consulta externa,personas de 10 a 20 anos,2008-01-01,38,79,25,35,63,114,177
SORACACHI,consulta externa,personas de 10 a 20 anos,2008-01-01,26,18,0,0,26,18,44
SORATA,consulta externa,personas de 10 a 20 anos,2008-01-01,36,57,0,1,36,58,94
SUCRE,consulta externa,personas de 10 a 20 anos,2008-01-01,2011,3698,671,869,2682,4567,7249
TACACHI,consulta externa,personas de 10 a 20 anos,2008-01-01,1,1,1,1,2,2,4
TACACOMA,consulta externa,personas de 10 a 20 anos,2008-01-01,16,20,0,0,16,20,36
TACOBAMBA,consulta externa,personas de 10 a 20 anos,2008-01-01,29,38,0,0,29,38,67
TACOPAYA,consulta externa,personas de 10 a 20 anos,2008-01-01,19,14,0,0,19,14,33
TAHUA,consulta externa,personas de 10 a 20 anos,2008-01-01,18,15,0,1,18,16,34
TAPACARI,consulta externa,personas de 10 a 20 anos,2008-01-01,29,36,5,18,34,54,88
TARABUCO,consulta externa,personas de 10 a 20 anos,2008-01-01,52,66,6,5,58,71,129
TARACO,consulta externa,personas de 10 a 20 anos,2008-01-01,11,6,0,0,11,6,17
TARATA,consulta externa,personas de 10 a 20 anos,2008-01-01,18,16,2,0,20,16,36
TARIJA,consulta externa,personas de 10 a 20 anos,2008-01-01,2116,3816,707,1558,2823,5374,8197
TARVITA,consulta externa,personas de 10 a 20 anos,2008-01-01,41,123,1,1,42,124,166
TEOPONTE,consulta externa,personas de 10 a 20 anos,2008-01-01,16,17,1,1,17,18,35
TIAWANACU,consulta externa,personas de 10 a 20 anos,2008-01-01,24,50,1,2,25,52,77
TINGUIPAYA,consulta externa,personas de 10 a 20 anos,2008-01-01,26,48,0,0,26,48,74
TIPUANI,consulta externa,personas de 10 a 20 anos,2008-01-01,21,51,0,0,21,51,72
TIQUIPAYA,consulta externa,personas de 10 a 20 anos,2008-01-01,117,152,14,10,131,162,293
TIRAQUE (CBBA),consulta externa,personas de 10 a 20 anos,2008-01-01,157,181,6,17,163,198,361
TITO YUPANQUI (PARQUIPUJIO),consulta externa,personas de 10 a 20 anos,2008-01-01,1,7,0,1,1,8,9
TOCO,consulta externa,personas de 10 a 20 anos,2008-01-01,10,20,0,0,10,20,30
TODOS SANTOS,consulta externa,personas de 10 a 20 anos,2008-01-01,1,5,2,0,3,5,8
TOLATA,consulta externa,personas de 10 a 20 anos,2008-01-01,12,32,0,9,12,41,53
TOLEDO,consulta externa,personas de 10 a 20 anos,2008-01-01,20,31,0,0,20,31,51
TOMAVE,consulta externa,personas de 10 a 20 anos,2008-01-01,48,96,3,7,51,103,154
TOMINA,consulta externa,personas de 10 a 20 anos,2008-01-01,85,116,3,1,88,117,205
TORO TORO,consulta externa,personas de 10 a 20 anos,2008-01-01,28,33,1,0,29,33,62
TOTORA(CBBA),consulta externa,personas de 10 a 20 anos,2008-01-01,13,23,1,1,14,24,38
TOTORA(ORR),consulta externa,personas de 10 a 20 anos,2008-01-01,19,27,0,0,19,27,46
TRIGAL,consulta externa,personas de 10 a 20 anos,2008-01-01,15,25,0,0,15,25,40
TRINIDAD,consulta externa,personas de 10 a 20 anos,2008-01-01,673,1771,308,987,981,2758,3739
TUPIZA,consulta externa,personas de 10 a 20 anos,2008-01-01,430,402,320,78,750,480,1230
TURCO,consulta externa,personas de 10 a 20 anos,2008-01-01,10,17,0,0,10,17,27
UMALA,consulta externa,personas de 10 a 20 anos,2008-01-01,5,8,1,0,6,8,14
UNCIA,consulta externa,personas de 10 a 20 anos,2008-01-01,118,172,370,7,488,179,667
URIONDO (A. CONCEPCION),consulta externa,personas de 10 a 20 anos,2008-01-01,249,483,5,9,254,492,746
UYUNI,consulta externa,personas de 10 a 20 anos,2008-01-01,115,166,12,15,127,181,308
VACAS,consulta externa,personas de 10 a 20 anos,2008-01-01,18,28,5,7,23,35,58
VALLEGRANDE,consulta externa,personas de 10 a 20 anos,2008-01-01,178,303,20,57,198,360,558
VIACHA,consulta externa,personas de 10 a 20 anos,2008-01-01,235,371,97,156,332,527,859
VILA VILA,consulta externa,personas de 10 a 20 anos,2008-01-01,6,4,0,0,6,4,10
VILLA MONTES,consulta externa,personas de 10 a 20 anos,2008-01-01,291,364,38,62,329,426,755
VILLA NUEVA (LOMA ALTA),consulta externa,personas de 10 a 20 anos,2008-01-01,14,14,3,4,17,18,35
VILLA RIVERO,consulta externa,personas de 10 a 20 anos,2008-01-01,7,9,7,2,14,11,25
VILLA SERRANO,consulta externa,personas de 10 a 20 anos,2008-01-01,37,43,0,0,37,43,80
