,group,variable,month,PERSONAS DE 21 A 59 AÑOS NUEVA,PERSONAS DE 21 A 59 AÑOS NUEVA,PERSONAS DE 21 A 59 AÑOS REPETIDAS,PERSONAS DE 21 A 59 AÑOS REPETIDAS,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 21 a 59 anos,2008-01-01,186,371,8,13,194,384,578
AZURDUY,consulta externa,personas de 21 a 59 anos,2008-01-01,92,193,16,0,108,193,301
BATALLAS,consulta externa,personas de 21 a 59 anos,2008-01-01,75,123,1,0,76,123,199
BAURES,consulta externa,personas de 21 a 59 anos,2008-01-01,47,110,13,14,60,124,184
BELEN DE ANDAMARCA,consulta externa,personas de 21 a 59 anos,2008-01-01,14,14,0,1,14,15,29
BELEN DE URMIRI,consulta externa,personas de 21 a 59 anos,2008-01-01,35,44,2,0,37,44,81
BELLA FLOR,consulta externa,personas de 21 a 59 anos,2008-01-01,26,26,0,2,26,28,54
BERMEJO,consulta externa,personas de 21 a 59 anos,2008-01-01,999,2166,111,151,1110,2317,3427
BETANZOS,consulta externa,personas de 21 a 59 anos,2008-01-01,338,635,20,29,358,664,1022
BOLIVAR,consulta externa,personas de 21 a 59 anos,2008-01-01,6,11,1,0,7,11,18
BOLPEBRA,consulta externa,personas de 21 a 59 anos,2008-01-01,37,59,1,0,38,59,97
BOYUIBE,consulta externa,personas de 21 a 59 anos,2008-01-01,74,120,7,16,81,136,217
BUENA VISTA,consulta externa,personas de 21 a 59 anos,2008-01-01,107,83,0,0,107,83,190
CABEZAS,consulta externa,personas de 21 a 59 anos,2008-01-01,348,564,25,59,373,623,996
CAIROMA,consulta externa,personas de 21 a 59 anos,2008-01-01,270,216,39,24,309,240,549
"CAIZA ""D""",consulta externa,personas de 21 a 59 anos,2008-01-01,136,233,8,5,144,238,382
CAJUATA,consulta externa,personas de 21 a 59 anos,2008-01-01,93,144,2,1,95,145,240
CALACOTO,consulta externa,personas de 21 a 59 anos,2008-01-01,29,72,2,0,31,72,103
CALAMARCA,consulta externa,personas de 21 a 59 anos,2008-01-01,55,131,6,12,61,143,204
CAMARGO,consulta externa,personas de 21 a 59 anos,2008-01-01,198,599,8,83,206,682,888
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 21 a 59 anos,2008-01-01,91,167,4,16,95,183,278
CAMIRI,consulta externa,personas de 21 a 59 anos,2008-01-01,845,2099,79,335,924,2434,3358
CAPINOTA,consulta externa,personas de 21 a 59 anos,2008-01-01,1,0,0,0,1,0,1
CAQUIAVIRI,consulta externa,personas de 21 a 59 anos,2008-01-01,65,80,3,2,68,82,150
CARACOLLO,consulta externa,personas de 21 a 59 anos,2008-01-01,80,160,6,11,86,171,257
CARANAVI,consulta externa,personas de 21 a 59 anos,2008-01-01,396,725,44,127,440,852,1292
CARANGAS,consulta externa,personas de 21 a 59 anos,2008-01-01,4,4,0,0,4,4,8
CARAPARI,consulta externa,personas de 21 a 59 anos,2008-01-01,344,544,5,10,349,554,903
CARIPUYO,consulta externa,personas de 21 a 59 anos,2008-01-01,48,86,5,2,53,88,141
CARMEN RIVERO TORREZ,consulta externa,personas de 21 a 59 anos,2008-01-01,41,92,2,4,43,96,139
CATACORA,consulta externa,personas de 21 a 59 anos,2008-01-01,15,33,0,2,15,35,50
CHACARILLA,consulta externa,personas de 21 a 59 anos,2008-01-01,12,1,0,0,12,1,13
CHALLAPATA,consulta externa,personas de 21 a 59 anos,2008-01-01,362,667,12,24,374,691,1065
CHAQUI,consulta externa,personas de 21 a 59 anos,2008-01-01,30,89,1,1,31,90,121
CHARAGUA,consulta externa,personas de 21 a 59 anos,2008-01-01,98,239,0,10,98,249,347
CHARAÑA,consulta externa,personas de 21 a 59 anos,2008-01-01,33,23,4,4,37,27,64
CHAYANTA,consulta externa,personas de 21 a 59 anos,2008-01-01,90,225,2,1,92,226,318
CHIMORE,consulta externa,personas de 21 a 59 anos,2008-01-01,234,321,13,52,247,373,620
CHIPAYA,consulta externa,personas de 21 a 59 anos,2008-01-01,10,9,0,0,10,9,19
CHOQUE COTA,consulta externa,personas de 21 a 59 anos,2008-01-01,18,13,1,0,19,13,32
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 21 a 59 anos,2008-01-01,175,210,24,16,199,226,425
CHUMA,consulta externa,personas de 21 a 59 anos,2008-01-01,81,132,2,1,83,133,216
CLIZA,consulta externa,personas de 21 a 59 anos,2008-01-01,54,94,5,16,59,110,169
COBIJA,consulta externa,personas de 21 a 59 anos,2008-01-01,453,752,133,452,586,1204,1790
COCHABAMBA,consulta externa,personas de 21 a 59 anos,2008-01-01,12926,24906,8349,18353,21275,43259,64534
COIPASA,consulta externa,personas de 21 a 59 anos,2008-01-01,3,7,0,1,3,8,11
COLCAPIRHUA,consulta externa,personas de 21 a 59 anos,2008-01-01,309,618,84,193,393,811,1204
"COLCHA ""K""",consulta externa,personas de 21 a 59 anos,2008-01-01,89,195,1,4,90,199,289
COLLANA,consulta externa,personas de 21 a 59 anos,2008-01-01,15,32,4,5,19,37,56
COLOMI,consulta externa,personas de 21 a 59 anos,2008-01-01,131,153,7,11,138,164,302
COLPA BELGICA,consulta externa,personas de 21 a 59 anos,2008-01-01,20,76,3,28,23,104,127
COLQUECHACA,consulta externa,personas de 21 a 59 anos,2008-01-01,260,587,4,1,264,588,852
COLQUENCHA,consulta externa,personas de 21 a 59 anos,2008-01-01,50,107,1,9,51,116,167
COLQUIRI,consulta externa,personas de 21 a 59 anos,2008-01-01,186,301,9,15,195,316,511
COMANCHE,consulta externa,personas de 21 a 59 anos,2008-01-01,30,33,2,0,32,33,65
COMARAPA,consulta externa,personas de 21 a 59 anos,2008-01-01,140,370,20,22,160,392,552
COMBAYA,consulta externa,personas de 21 a 59 anos,2008-01-01,14,36,0,0,14,36,50
CONCEPCION,consulta externa,personas de 21 a 59 anos,2008-01-01,167,282,1,1,168,283,451
COPACABANA,consulta externa,personas de 21 a 59 anos,2008-01-01,110,190,0,1,110,191,301
CORIPATA,consulta externa,personas de 21 a 59 anos,2008-01-01,87,137,8,5,95,142,237
CORO CORO,consulta externa,personas de 21 a 59 anos,2008-01-01,41,73,2,1,43,74,117
COROICO,consulta externa,personas de 21 a 59 anos,2008-01-01,163,262,29,28,192,290,482
CORQUE,consulta externa,personas de 21 a 59 anos,2008-01-01,45,83,1,7,46,90,136
COTAGAITA,consulta externa,personas de 21 a 59 anos,2008-01-01,251,527,12,21,263,548,811
CUATRO CAÑADAS,consulta externa,personas de 21 a 59 anos,2008-01-01,219,423,17,31,236,454,690
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 21 a 59 anos,2008-01-01,19,33,8,7,27,40,67
CUEVO,consulta externa,personas de 21 a 59 anos,2008-01-01,81,136,3,7,84,143,227
CULPINA,consulta externa,personas de 21 a 59 anos,2008-01-01,151,347,1,1,152,348,500
CURAHUARA DE CARANGAS,consulta externa,personas de 21 a 59 anos,2008-01-01,46,86,2,4,48,90,138
CURVA,consulta externa,personas de 21 a 59 anos,2008-01-01,30,46,0,4,30,50,80
DESAGUADERO,consulta externa,personas de 21 a 59 anos,2008-01-01,24,74,1,7,25,81,106
EL ALTO,consulta externa,personas de 21 a 59 anos,2008-01-01,6704,11596,2811,6518,9515,18114,27629
EL CHORO,consulta externa,personas de 21 a 59 anos,2008-01-01,58,121,1,6,59,127,186
EL PUENTE(STC),consulta externa,personas de 21 a 59 anos,2008-01-01,132,208,1,0,133,208,341
EL PUENTE(TJA),consulta externa,personas de 21 a 59 anos,2008-01-01,227,573,4,8,231,581,812
EL VILLAR,consulta externa,personas de 21 a 59 anos,2008-01-01,90,339,0,3,90,342,432
ENTRE RIOS,consulta externa,personas de 21 a 59 anos,2008-01-01,311,397,10,24,321,421,742
ENTRE RIOS,consulta externa,personas de 21 a 59 anos,2008-01-01,633,968,5,14,638,982,1620
ESCARA,consulta externa,personas de 21 a 59 anos,2008-01-01,5,4,0,0,5,4,9
ESMERALDA,consulta externa,personas de 21 a 59 anos,2008-01-01,8,14,0,0,8,14,22
EUCALIPTUS,consulta externa,personas de 21 a 59 anos,2008-01-01,28,76,0,6,28,82,110
EUREKA (SANTOS MERCADO),consulta externa,personas de 21 a 59 anos,2008-01-01,9,6,0,0,9,6,15
EXALTACION,consulta externa,personas de 21 a 59 anos,2008-01-01,4,8,0,0,4,8,12
FERNANDEZ ALONSO,consulta externa,personas de 21 a 59 anos,2008-01-01,70,170,5,10,75,180,255
FILADELFIA,consulta externa,personas de 21 a 59 anos,2008-01-01,55,56,3,0,58,56,114
GENERAL SAAVEDRA,consulta externa,personas de 21 a 59 anos,2008-01-01,67,111,2,5,69,116,185
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 21 a 59 anos,2008-01-01,91,165,3,3,94,168,262
GUANAY,consulta externa,personas de 21 a 59 anos,2008-01-01,74,200,0,0,74,200,274
GUAQUI,consulta externa,personas de 21 a 59 anos,2008-01-01,30,77,13,5,43,82,125
GUAYARAMERIN,consulta externa,personas de 21 a 59 anos,2008-01-01,968,1652,221,394,1189,2046,3235
GUTIERREZ,consulta externa,personas de 21 a 59 anos,2008-01-01,205,354,6,11,211,365,576
HUACARETA,consulta externa,personas de 21 a 59 anos,2008-01-01,166,249,11,12,177,261,438
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 21 a 59 anos,2008-01-01,25,65,0,0,25,65,90
HUACHACALLA,consulta externa,personas de 21 a 59 anos,2008-01-01,127,144,6,8,133,152,285
HUANUNI,consulta externa,personas de 21 a 59 anos,2008-01-01,270,509,61,139,331,648,979
HUARACAJE,consulta externa,personas de 21 a 59 anos,2008-01-01,29,57,8,3,37,60,97
HUAYLLAMARCA,consulta externa,personas de 21 a 59 anos,2008-01-01,41,93,0,3,41,96,137
ICHOCA,consulta externa,personas de 21 a 59 anos,2008-01-01,25,46,4,11,29,57,86
ICLA,consulta externa,personas de 21 a 59 anos,2008-01-01,79,181,6,38,85,219,304
INGAVI (HUMAITA),consulta externa,personas de 21 a 59 anos,2008-01-01,13,9,2,1,15,10,25
INQUISIVI,consulta externa,personas de 21 a 59 anos,2008-01-01,77,145,1,4,78,149,227
IRUPANA (VILLA DE LANZA),consulta externa,personas de 21 a 59 anos,2008-01-01,131,216,11,7,142,223,365
IXIAMAS,consulta externa,personas de 21 a 59 anos,2008-01-01,55,120,7,6,62,126,188
JESUS DE MACHACA,consulta externa,personas de 21 a 59 anos,2008-01-01,82,211,11,7,93,218,311
LA ASUNTA,consulta externa,personas de 21 a 59 anos,2008-01-01,260,347,5,1,265,348,613
LA PAZ,consulta externa,personas de 21 a 59 anos,2008-01-01,21774,41306,13560,29778,35334,71084,106418
LA RIVERA,consulta externa,personas de 21 a 59 anos,2008-01-01,3,8,0,0,3,8,11
LAGUNILLAS,consulta externa,personas de 21 a 59 anos,2008-01-01,124,204,0,4,124,208,332
LAJA,consulta externa,personas de 21 a 59 anos,2008-01-01,71,140,3,4,74,144,218
LAS CARRERAS,consulta externa,personas de 21 a 59 anos,2008-01-01,54,135,6,5,60,140,200
LICOMA PAMPA,consulta externa,personas de 21 a 59 anos,2008-01-01,22,32,0,1,22,33,55
LLALLAGUA,consulta externa,personas de 21 a 59 anos,2008-01-01,238,579,1,9,239,588,827
LLICA,consulta externa,personas de 21 a 59 anos,2008-01-01,52,104,0,1,52,105,157
LORETO,consulta externa,personas de 21 a 59 anos,2008-01-01,4,32,1,9,5,41,46
LURIBAY,consulta externa,personas de 21 a 59 anos,2008-01-01,161,205,9,23,170,228,398
MACHACAMARCA,consulta externa,personas de 21 a 59 anos,2008-01-01,60,69,14,19,74,88,162
MACHARETI,consulta externa,personas de 21 a 59 anos,2008-01-01,249,463,10,15,259,478,737
MAGDALENA,consulta externa,personas de 21 a 59 anos,2008-01-01,121,245,41,163,162,408,570
MAIRANA,consulta externa,personas de 21 a 59 anos,2008-01-01,134,271,5,12,139,283,422
MALLA,consulta externa,personas de 21 a 59 anos,2008-01-01,28,30,2,1,30,31,61
MAPIRI,consulta externa,personas de 21 a 59 anos,2008-01-01,133,240,0,0,133,240,373
MECAPACA,consulta externa,personas de 21 a 59 anos,2008-01-01,93,121,14,15,107,136,243
MINEROS,consulta externa,personas de 21 a 59 anos,2008-01-01,21,101,0,30,21,131,152
MIZQUE,consulta externa,personas de 21 a 59 anos,2008-01-01,74,171,1,8,75,179,254
MOCOMOCO,consulta externa,personas de 21 a 59 anos,2008-01-01,107,168,15,11,122,179,301
MOJINETE,consulta externa,personas de 21 a 59 anos,2008-01-01,7,27,1,0,8,27,35
MOJOCOYA,consulta externa,personas de 21 a 59 anos,2008-01-01,74,223,0,1,74,224,298
MONTEAGUDO,consulta externa,personas de 21 a 59 anos,2008-01-01,795,1257,69,239,864,1496,2360
MONTERO,consulta externa,personas de 21 a 59 anos,2008-01-01,807,1686,420,733,1227,2419,3646
MORO MORO,consulta externa,personas de 21 a 59 anos,2008-01-01,18,53,1,1,19,54,73
MOROCHATA,consulta externa,personas de 21 a 59 anos,2008-01-01,78,156,7,51,85,207,292
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 21 a 59 anos,2008-01-01,105,106,4,10,109,116,225
NAZACARA DE PACAJES,consulta externa,personas de 21 a 59 anos,2008-01-01,4,6,0,0,4,6,10
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 21 a 59 anos,2008-01-01,39,46,5,4,44,50,94
OCURI,consulta externa,personas de 21 a 59 anos,2008-01-01,127,317,4,9,131,326,457
OKINAWA,consulta externa,personas de 21 a 59 anos,2008-01-01,181,518,5,26,186,544,730
OMEREQUE,consulta externa,personas de 21 a 59 anos,2008-01-01,42,131,3,4,45,135,180
ORURO,consulta externa,personas de 21 a 59 anos,2008-01-01,6349,10136,2213,3494,8562,13630,22192
PADCAYA,consulta externa,personas de 21 a 59 anos,2008-01-01,474,890,25,36,499,926,1425
PADILLA,consulta externa,personas de 21 a 59 anos,2008-01-01,275,557,13,12,288,569,857
PAILON,consulta externa,personas de 21 a 59 anos,2008-01-01,300,616,7,5,307,621,928
PALCA,consulta externa,personas de 21 a 59 anos,2008-01-01,87,118,5,2,92,120,212
PALOS BLANCOS,consulta externa,personas de 21 a 59 anos,2008-01-01,275,463,4,7,279,470,749
PAMPA AULLAGAS,consulta externa,personas de 21 a 59 anos,2008-01-01,26,35,0,4,26,39,65
PAMPA GRANDE,consulta externa,personas de 21 a 59 anos,2008-01-01,81,160,6,8,87,168,255
PAPEL PAMPA,consulta externa,personas de 21 a 59 anos,2008-01-01,33,53,0,1,33,54,87
PASORAPA,consulta externa,personas de 21 a 59 anos,2008-01-01,27,48,0,0,27,48,75
PATACAMAYA,consulta externa,personas de 21 a 59 anos,2008-01-01,196,296,7,5,203,301,504
PAZÑA,consulta externa,personas de 21 a 59 anos,2008-01-01,47,101,12,12,59,113,172
PELECHUCO,consulta externa,personas de 21 a 59 anos,2008-01-01,106,117,1,0,107,117,224
POCOATA,consulta externa,personas de 21 a 59 anos,2008-01-01,106,258,1,2,107,260,367
POCONA,consulta externa,personas de 21 a 59 anos,2008-01-01,106,180,1,3,107,183,290
POJO (CBBA),consulta externa,personas de 21 a 59 anos,2008-01-01,40,58,0,2,40,60,100
POOPO,consulta externa,personas de 21 a 59 anos,2008-01-01,35,78,1,1,36,79,115
PORCO,consulta externa,personas de 21 a 59 anos,2008-01-01,70,162,2,1,72,163,235
POROMA,consulta externa,personas de 21 a 59 anos,2008-01-01,97,227,1,3,98,230,328
PORTACHUELO,consulta externa,personas de 21 a 59 anos,2008-01-01,177,429,6,16,183,445,628
PORVENIR,consulta externa,personas de 21 a 59 anos,2008-01-01,53,61,3,7,56,68,124
POSTRER VALLE,consulta externa,personas de 21 a 59 anos,2008-01-01,61,70,1,2,62,72,134
POTOSI,consulta externa,personas de 21 a 59 anos,2008-01-01,3018,6343,828,1699,3846,8042,11888
PRESTO,consulta externa,personas de 21 a 59 anos,2008-01-01,26,76,0,0,26,76,102
PUCARA,consulta externa,personas de 21 a 59 anos,2008-01-01,29,67,1,4,30,71,101
PUCARANI,consulta externa,personas de 21 a 59 anos,2008-01-01,77,174,6,14,83,188,271
PUERTO ACOSTA,consulta externa,personas de 21 a 59 anos,2008-01-01,147,230,19,13,166,243,409
PUERTO CARABUCO,consulta externa,personas de 21 a 59 anos,2008-01-01,141,162,22,12,163,174,337
PUERTO GONZALO MORENO,consulta externa,personas de 21 a 59 anos,2008-01-01,99,158,11,13,110,171,281
PUERTO PEREZ,consulta externa,personas de 21 a 59 anos,2008-01-01,43,41,4,5,47,46,93
PUERTO QUIJARRO,consulta externa,personas de 21 a 59 anos,2008-01-01,401,509,25,56,426,565,991
PUERTO RICO,consulta externa,personas de 21 a 59 anos,2008-01-01,102,147,0,4,102,151,253
PUERTO SILES,consulta externa,personas de 21 a 59 anos,2008-01-01,9,8,2,2,11,10,21
PUERTO SUAREZ,consulta externa,personas de 21 a 59 anos,2008-01-01,330,404,22,30,352,434,786
PUERTO VILLARROEL,consulta externa,personas de 21 a 59 anos,2008-01-01,563,795,25,33,588,828,1416
PUNA,consulta externa,personas de 21 a 59 anos,2008-01-01,251,589,7,19,258,608,866
PUNATA,consulta externa,personas de 21 a 59 anos,2008-01-01,169,433,39,79,208,512,720
QUIABAYA,consulta externa,personas de 21 a 59 anos,2008-01-01,18,41,5,6,23,47,70
QUILLACOLLO,consulta externa,personas de 21 a 59 anos,2008-01-01,674,1433,197,616,871,2049,2920
QUIME,consulta externa,personas de 21 a 59 anos,2008-01-01,123,98,6,1,129,99,228
QUIRUSILLAS,consulta externa,personas de 21 a 59 anos,2008-01-01,41,73,5,7,46,80,126
RAVELO,consulta externa,personas de 21 a 59 anos,2008-01-01,93,216,0,1,93,217,310
REYES,consulta externa,personas de 21 a 59 anos,2008-01-01,82,210,5,14,87,224,311
RIBERALTA,consulta externa,personas de 21 a 59 anos,2008-01-01,807,2111,43,280,850,2391,3241
ROBORE,consulta externa,personas de 21 a 59 anos,2008-01-01,324,637,26,123,350,760,1110
RURRENABAQUE,consulta externa,personas de 21 a 59 anos,2008-01-01,174,370,31,64,205,434,639
SABAYA,consulta externa,personas de 21 a 59 anos,2008-01-01,90,105,0,1,90,106,196
SACABA,consulta externa,personas de 21 a 59 anos,2008-01-01,433,894,131,176,564,1070,1634
SACABAMBA,consulta externa,personas de 21 a 59 anos,2008-01-01,34,50,0,1,34,51,85
SACACA,consulta externa,personas de 21 a 59 anos,2008-01-01,134,304,4,3,138,307,445
SAIPINA,consulta externa,personas de 21 a 59 anos,2008-01-01,111,222,10,22,121,244,365
SALINAS DE GARCI MENDOZA,consulta externa,personas de 21 a 59 anos,2008-01-01,38,57,1,5,39,62,101
SAMAIPATA,consulta externa,personas de 21 a 59 anos,2008-01-01,105,136,2,2,107,138,245
SAN AGUSTIN,consulta externa,personas de 21 a 59 anos,2008-01-01,23,44,0,3,23,47,70
SAN ANDRES,consulta externa,personas de 21 a 59 anos,2008-01-01,13,27,0,1,13,28,41
SAN ANDRES DE MACHACA,consulta externa,personas de 21 a 59 anos,2008-01-01,44,86,2,2,46,88,134
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 21 a 59 anos,2008-01-01,31,57,0,1,31,58,89
SAN ANTONIO DE LOMERIO,consulta externa,personas de 21 a 59 anos,2008-01-01,42,82,0,0,42,82,124
SAN BENITO,consulta externa,personas de 21 a 59 anos,2008-01-01,67,46,0,3,67,49,116
SAN BORJA,consulta externa,personas de 21 a 59 anos,2008-01-01,87,194,6,42,93,236,329
SAN BUENA VENTURA,consulta externa,personas de 21 a 59 anos,2008-01-01,192,374,11,67,203,441,644
SAN CARLOS,consulta externa,personas de 21 a 59 anos,2008-01-01,137,135,0,0,137,135,272
SAN IGNACIO,consulta externa,personas de 21 a 59 anos,2008-01-01,211,365,68,56,279,421,700
SAN IGNACIO DE VELASCO,consulta externa,personas de 21 a 59 anos,2008-01-01,450,1088,38,105,488,1193,1681
SAN JAVIER(BNI),consulta externa,personas de 21 a 59 anos,2008-01-01,4,6,0,0,4,6,10
SAN JAVIER(STC),consulta externa,personas de 21 a 59 anos,2008-01-01,229,399,7,31,236,430,666
SAN JOAQUIN,consulta externa,personas de 21 a 59 anos,2008-01-01,70,100,10,29,80,129,209
SAN JOSE DE CHIQUITOS,consulta externa,personas de 21 a 59 anos,2008-01-01,282,472,13,20,295,492,787
SAN JUAN DE YAPACANI,consulta externa,personas de 21 a 59 anos,2008-01-01,66,68,0,0,66,68,134
SAN JULIAN,consulta externa,personas de 21 a 59 anos,2008-01-01,856,1328,35,157,891,1485,2376
SAN LORENZO(PND),consulta externa,personas de 21 a 59 anos,2008-01-01,29,54,0,0,29,54,83
SAN LORENZO(TJA),consulta externa,personas de 21 a 59 anos,2008-01-01,281,733,19,73,300,806,1106
SAN LUCAS,consulta externa,personas de 21 a 59 anos,2008-01-01,417,1051,13,30,430,1081,1511
SAN MATIAS,consulta externa,personas de 21 a 59 anos,2008-01-01,91,254,1,7,92,261,353
SAN MIGUEL DE VELASCO,consulta externa,personas de 21 a 59 anos,2008-01-01,121,213,18,74,139,287,426
SAN PABLO DE LIPEZ,consulta externa,personas de 21 a 59 anos,2008-01-01,62,115,6,6,68,121,189
SAN PEDRO,consulta externa,personas de 21 a 59 anos,2008-01-01,214,334,12,21,226,355,581
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 21 a 59 anos,2008-01-01,131,218,1,0,132,218,350
SAN PEDRO DE CURAHUARA,consulta externa,personas de 21 a 59 anos,2008-01-01,36,85,2,2,38,87,125
SAN PEDRO DE QUEMES,consulta externa,personas de 21 a 59 anos,2008-01-01,2,2,0,0,2,2,4
SAN PEDRO DE TIQUINA,consulta externa,personas de 21 a 59 anos,2008-01-01,35,58,6,6,41,64,105
SAN PEDRO(PND),consulta externa,personas de 21 a 59 anos,2008-01-01,12,12,0,0,12,12,24
SAN RAFAEL,consulta externa,personas de 21 a 59 anos,2008-01-01,65,92,1,6,66,98,164
SAN RAMON,consulta externa,personas de 21 a 59 anos,2008-01-01,125,206,36,273,161,479,640
SAN RAMON,consulta externa,personas de 21 a 59 anos,2008-01-01,187,244,4,10,191,254,445
SANTA ANA,consulta externa,personas de 21 a 59 anos,2008-01-01,194,393,49,84,243,477,720
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 21 a 59 anos,2008-01-01,17342,34482,4530,12775,21872,47257,69129
SANTA ROSA,consulta externa,personas de 21 a 59 anos,2008-01-01,18,41,1,0,19,41,60
SANTA ROSA DEL SARA,consulta externa,personas de 21 a 59 anos,2008-01-01,116,218,3,0,119,218,337
SANTIAGO DE CALLAPA,consulta externa,personas de 21 a 59 anos,2008-01-01,7,2,0,0,7,2,9
SANTIAGO DE HUARI,consulta externa,personas de 21 a 59 anos,2008-01-01,0,16,0,2,0,18,18
SANTIAGO DE MACHACA,consulta externa,personas de 21 a 59 anos,2008-01-01,16,31,2,0,18,31,49
SANTUARIO DE QUILLACAS,consulta externa,personas de 21 a 59 anos,2008-01-01,26,16,0,0,26,16,42
SAPAHAQUI,consulta externa,personas de 21 a 59 anos,2008-01-01,67,88,5,4,72,92,164
SENA,consulta externa,personas de 21 a 59 anos,2008-01-01,16,11,0,0,16,11,27
SICA SICA (VILLA AROMA),consulta externa,personas de 21 a 59 anos,2008-01-01,114,164,2,2,116,166,282
SIPE SIPE,consulta externa,personas de 21 a 59 anos,2008-01-01,98,410,10,117,108,527,635
SOPACHUY,consulta externa,personas de 21 a 59 anos,2008-01-01,106,217,2,9,108,226,334
SORACACHI,consulta externa,personas de 21 a 59 anos,2008-01-01,43,60,0,0,43,60,103
SORATA,consulta externa,personas de 21 a 59 anos,2008-01-01,128,193,2,2,130,195,325
SUCRE,consulta externa,personas de 21 a 59 anos,2008-01-01,7445,15721,5809,5033,13254,20754,34008
TACACHI,consulta externa,personas de 21 a 59 anos,2008-01-01,7,26,0,1,7,27,34
TACACOMA,consulta externa,personas de 21 a 59 anos,2008-01-01,47,78,0,1,47,79,126
TACOBAMBA,consulta externa,personas de 21 a 59 anos,2008-01-01,89,98,1,1,90,99,189
TACOPAYA,consulta externa,personas de 21 a 59 anos,2008-01-01,33,84,0,0,33,84,117
TAHUA,consulta externa,personas de 21 a 59 anos,2008-01-01,32,32,1,4,33,36,69
TAPACARI,consulta externa,personas de 21 a 59 anos,2008-01-01,113,335,2,3,115,338,453
TARABUCO,consulta externa,personas de 21 a 59 anos,2008-01-01,153,315,9,29,162,344,506
TARACO,consulta externa,personas de 21 a 59 anos,2008-01-01,20,50,0,0,20,50,70
TARATA,consulta externa,personas de 21 a 59 anos,2008-01-01,47,94,4,7,51,101,152
TARIJA,consulta externa,personas de 21 a 59 anos,2008-01-01,4928,10293,1631,4054,6559,14347,20906
TARVITA,consulta externa,personas de 21 a 59 anos,2008-01-01,163,395,3,12,166,407,573
TEOPONTE,consulta externa,personas de 21 a 59 anos,2008-01-01,74,71,6,5,80,76,156
TIAWANACU,consulta externa,personas de 21 a 59 anos,2008-01-01,56,119,3,6,59,125,184
TINGUIPAYA,consulta externa,personas de 21 a 59 anos,2008-01-01,86,265,1,1,87,266,353
TIPUANI,consulta externa,personas de 21 a 59 anos,2008-01-01,67,128,4,4,71,132,203
TIQUIPAYA,consulta externa,personas de 21 a 59 anos,2008-01-01,117,338,9,311,126,649,775
