,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVA,PERSONAS DE 60 AÑOS Y MÁS NUEVA,PERSONAS DE 60 AÑOS Y MÁS REPETIDAS,PERSONAS DE 60 AÑOS Y MÁS REPETIDAS,TOTALES,TOTALES,TOTALES
AZURDUY,consulta externa,personas de 60 anos y mas,2008-01-01,53,61,0,2,53,63,116
BATALLAS,consulta externa,personas de 60 anos y mas,2008-01-01,44,38,0,0,44,38,82
BAURES,consulta externa,personas de 60 anos y mas,2008-01-01,16,23,1,3,17,26,43
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2008-01-01,9,9,2,1,11,10,21
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2008-01-01,12,11,1,0,13,11,24
BELLA FLOR,consulta externa,personas de 60 anos y mas,2008-01-01,17,4,2,0,19,4,23
BERMEJO,consulta externa,personas de 60 anos y mas,2008-01-01,260,238,67,51,327,289,616
BETANZOS,consulta externa,personas de 60 anos y mas,2008-01-01,191,293,37,92,228,385,613
BOLIVAR,consulta externa,personas de 60 anos y mas,2008-01-01,15,18,1,3,16,21,37
BOLPEBRA,consulta externa,personas de 60 anos y mas,2008-01-01,6,4,1,0,7,4,11
BOYUIBE,consulta externa,personas de 60 anos y mas,2008-01-01,30,44,7,6,37,50,87
BUENA VISTA,consulta externa,personas de 60 anos y mas,2008-01-01,9,5,0,2,9,7,16
CABEZAS,consulta externa,personas de 60 anos y mas,2008-01-01,54,60,4,6,58,66,124
CAIROMA,consulta externa,personas de 60 anos y mas,2008-01-01,83,35,8,1,91,36,127
"CAIZA ""D""",consulta externa,personas de 60 anos y mas,2008-01-01,65,98,4,9,69,107,176
CAJUATA,consulta externa,personas de 60 anos y mas,2008-01-01,44,32,2,0,46,32,78
CALACOTO,consulta externa,personas de 60 anos y mas,2008-01-01,36,32,5,2,41,34,75
CALAMARCA,consulta externa,personas de 60 anos y mas,2008-01-01,22,37,2,2,24,39,63
CAMARGO,consulta externa,personas de 60 anos y mas,2008-01-01,201,304,15,24,216,328,544
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2008-01-01,33,63,5,5,38,68,106
CAMIRI,consulta externa,personas de 60 anos y mas,2008-01-01,845,1182,66,104,911,1286,2197
CAPINOTA,consulta externa,personas de 60 anos y mas,2008-01-01,83,147,14,2,97,149,246
CAQUIAVIRI,consulta externa,personas de 60 anos y mas,2008-01-01,27,37,1,3,28,40,68
CARACOLLO,consulta externa,personas de 60 anos y mas,2008-01-01,61,62,13,11,74,73,147
CARANAVI,consulta externa,personas de 60 anos y mas,2008-01-01,310,177,32,16,342,193,535
CARANGAS,consulta externa,personas de 60 anos y mas,2008-01-01,0,2,0,0,0,2,2
CARAPARI,consulta externa,personas de 60 anos y mas,2008-01-01,33,48,7,7,40,55,95
CARIPUYO,consulta externa,personas de 60 anos y mas,2008-01-01,9,17,0,0,9,17,26
CARMEN RIVERO TORREZ,consulta externa,personas de 60 anos y mas,2008-01-01,16,19,0,0,16,19,35
CATACORA,consulta externa,personas de 60 anos y mas,2008-01-01,4,10,0,1,4,11,15
CHACARILLA,consulta externa,personas de 60 anos y mas,2008-01-01,3,0,0,0,3,0,3
CHALLAPATA,consulta externa,personas de 60 anos y mas,2008-01-01,188,166,58,62,246,228,474
CHAQUI,consulta externa,personas de 60 anos y mas,2008-01-01,28,40,4,1,32,41,73
CHARAGUA,consulta externa,personas de 60 anos y mas,2008-01-01,39,43,6,4,45,47,92
CHARAÑA,consulta externa,personas de 60 anos y mas,2008-01-01,11,18,1,3,12,21,33
CHAYANTA,consulta externa,personas de 60 anos y mas,2008-01-01,12,53,0,1,12,54,66
CHIMORE,consulta externa,personas de 60 anos y mas,2008-01-01,17,26,1,10,18,36,54
CHIPAYA,consulta externa,personas de 60 anos y mas,2008-01-01,6,3,1,0,7,3,10
CHOQUE COTA,consulta externa,personas de 60 anos y mas,2008-01-01,10,25,1,1,11,26,37
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 60 anos y mas,2008-01-01,70,56,24,5,94,61,155
CHUMA,consulta externa,personas de 60 anos y mas,2008-01-01,32,52,3,2,35,54,89
CLIZA,consulta externa,personas de 60 anos y mas,2008-01-01,27,35,16,21,43,56,99
COBIJA,consulta externa,personas de 60 anos y mas,2008-01-01,292,232,145,145,437,377,814
COCHABAMBA,consulta externa,personas de 60 anos y mas,2008-01-01,5105,6811,5860,7450,10965,14261,25226
COIPASA,consulta externa,personas de 60 anos y mas,2008-01-01,2,1,0,0,2,1,3
COLCAPIRHUA,consulta externa,personas de 60 anos y mas,2008-01-01,106,177,38,85,144,262,406
"COLCHA ""K""",consulta externa,personas de 60 anos y mas,2008-01-01,45,73,3,5,48,78,126
COLLANA,consulta externa,personas de 60 anos y mas,2008-01-01,14,14,5,2,19,16,35
COLOMI,consulta externa,personas de 60 anos y mas,2008-01-01,14,15,0,1,14,16,30
COLPA BELGICA,consulta externa,personas de 60 anos y mas,2008-01-01,68,66,63,49,131,115,246
COLQUECHACA,consulta externa,personas de 60 anos y mas,2008-01-01,88,137,0,0,88,137,225
COLQUENCHA,consulta externa,personas de 60 anos y mas,2008-01-01,34,50,6,7,40,57,97
COLQUIRI,consulta externa,personas de 60 anos y mas,2008-01-01,51,71,2,5,53,76,129
COMANCHE,consulta externa,personas de 60 anos y mas,2008-01-01,25,19,1,2,26,21,47
COMARAPA,consulta externa,personas de 60 anos y mas,2008-01-01,92,121,19,24,111,145,256
COMBAYA,consulta externa,personas de 60 anos y mas,2008-01-01,13,16,0,0,13,16,29
CONCEPCION,consulta externa,personas de 60 anos y mas,2008-01-01,85,83,0,0,85,83,168
COPACABANA,consulta externa,personas de 60 anos y mas,2008-01-01,36,29,0,0,36,29,65
CORIPATA,consulta externa,personas de 60 anos y mas,2008-01-01,37,26,4,0,41,26,67
CORO CORO,consulta externa,personas de 60 anos y mas,2008-01-01,18,16,1,3,19,19,38
COROICO,consulta externa,personas de 60 anos y mas,2008-01-01,71,67,25,15,96,82,178
CORQUE,consulta externa,personas de 60 anos y mas,2008-01-01,33,45,1,1,34,46,80
COTAGAITA,consulta externa,personas de 60 anos y mas,2008-01-01,242,383,14,20,256,403,659
COTOCA,consulta externa,personas de 60 anos y mas,2008-01-01,176,168,11,31,187,199,386
CUATRO CAÑADAS,consulta externa,personas de 60 anos y mas,2008-01-01,26,42,5,7,31,49,80
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 60 anos y mas,2008-01-01,6,8,2,1,8,9,17
CUEVO,consulta externa,personas de 60 anos y mas,2008-01-01,28,57,3,8,31,65,96
CULPINA,consulta externa,personas de 60 anos y mas,2008-01-01,50,60,1,1,51,61,112
CURAHUARA DE CARANGAS,consulta externa,personas de 60 anos y mas,2008-01-01,29,34,1,3,30,37,67
CURVA,consulta externa,personas de 60 anos y mas,2008-01-01,10,13,0,1,10,14,24
DESAGUADERO,consulta externa,personas de 60 anos y mas,2008-01-01,28,28,5,10,33,38,71
EL ALTO,consulta externa,personas de 60 anos y mas,2008-01-01,1337,1322,975,1195,2312,2517,4829
EL CHORO,consulta externa,personas de 60 anos y mas,2008-01-01,32,43,0,2,32,45,77
EL PUENTE(STC),consulta externa,personas de 60 anos y mas,2008-01-01,22,22,1,0,23,22,45
EL PUENTE(TJA),consulta externa,personas de 60 anos y mas,2008-01-01,43,102,2,3,45,105,150
EL TORNO,consulta externa,personas de 60 anos y mas,2008-01-01,682,595,76,81,758,676,1434
EL VILLAR,consulta externa,personas de 60 anos y mas,2008-01-01,47,57,0,1,47,58,105
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2008-01-01,15,11,0,0,15,11,26
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2008-01-01,79,107,3,1,82,108,190
ESCARA,consulta externa,personas de 60 anos y mas,2008-01-01,1,0,0,0,1,0,1
ESMERALDA,consulta externa,personas de 60 anos y mas,2008-01-01,5,8,0,0,5,8,13
EUCALIPTUS,consulta externa,personas de 60 anos y mas,2008-01-01,37,35,7,5,44,40,84
EUREKA (SANTOS MERCADO),consulta externa,personas de 60 anos y mas,2008-01-01,1,0,0,0,1,0,1
EXALTACION,consulta externa,personas de 60 anos y mas,2008-01-01,0,2,0,0,0,2,2
FERNANDEZ ALONSO,consulta externa,personas de 60 anos y mas,2008-01-01,24,16,2,2,26,18,44
FILADELFIA,consulta externa,personas de 60 anos y mas,2008-01-01,15,11,0,0,15,11,26
GENERAL SAAVEDRA,consulta externa,personas de 60 anos y mas,2008-01-01,49,57,1,0,50,57,107
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 60 anos y mas,2008-01-01,30,36,0,3,30,39,69
GUANAY,consulta externa,personas de 60 anos y mas,2008-01-01,62,40,15,24,77,64,141
GUAQUI,consulta externa,personas de 60 anos y mas,2008-01-01,31,37,12,3,43,40,83
GUAYARAMERIN,consulta externa,personas de 60 anos y mas,2008-01-01,743,917,463,369,1206,1286,2492
GUTIERREZ,consulta externa,personas de 60 anos y mas,2008-01-01,45,58,1,3,46,61,107
HUACARETA,consulta externa,personas de 60 anos y mas,2008-01-01,40,61,9,7,49,68,117
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 60 anos y mas,2008-01-01,13,22,0,0,13,22,35
HUACHACALLA,consulta externa,personas de 60 anos y mas,2008-01-01,28,30,7,5,35,35,70
HUANUNI,consulta externa,personas de 60 anos y mas,2008-01-01,47,71,23,35,70,106,176
HUARACAJE,consulta externa,personas de 60 anos y mas,2008-01-01,10,8,1,3,11,11,22
HUAYLLAMARCA,consulta externa,personas de 60 anos y mas,2008-01-01,73,61,4,2,77,63,140
ICHOCA,consulta externa,personas de 60 anos y mas,2008-01-01,18,16,2,6,20,22,42
ICLA,consulta externa,personas de 60 anos y mas,2008-01-01,22,37,1,3,23,40,63
INCAHUASI,consulta externa,personas de 60 anos y mas,2008-01-01,33,70,0,3,33,73,106
INGAVI (HUMAITA),consulta externa,personas de 60 anos y mas,2008-01-01,1,1,0,0,1,1,2
INQUISIVI,consulta externa,personas de 60 anos y mas,2008-01-01,43,27,2,7,45,34,79
IRUPANA (VILLA DE LANZA),consulta externa,personas de 60 anos y mas,2008-01-01,49,33,7,7,56,40,96
IXIAMAS,consulta externa,personas de 60 anos y mas,2008-01-01,6,9,1,1,7,10,17
JESUS DE MACHACA,consulta externa,personas de 60 anos y mas,2008-01-01,227,256,12,23,239,279,518
LA ASUNTA,consulta externa,personas de 60 anos y mas,2008-01-01,17,18,3,0,20,18,38
LA GUARDIA,consulta externa,personas de 60 anos y mas,2008-01-01,126,122,20,20,146,142,288
LA PAZ,consulta externa,personas de 60 anos y mas,2008-01-01,11031,11624,10327,13105,21358,24729,46087
LA RIVERA,consulta externa,personas de 60 anos y mas,2008-01-01,4,5,0,0,4,5,9
LAGUNILLAS,consulta externa,personas de 60 anos y mas,2008-01-01,16,39,1,1,17,40,57
LAJA,consulta externa,personas de 60 anos y mas,2008-01-01,35,48,12,1,47,49,96
LAS CARRERAS,consulta externa,personas de 60 anos y mas,2008-01-01,20,34,2,7,22,41,63
LICOMA PAMPA,consulta externa,personas de 60 anos y mas,2008-01-01,8,7,0,0,8,7,15
LLALLAGUA,consulta externa,personas de 60 anos y mas,2008-01-01,94,96,7,2,101,98,199
LLICA,consulta externa,personas de 60 anos y mas,2008-01-01,30,22,1,0,31,22,53
LORETO,consulta externa,personas de 60 anos y mas,2008-01-01,2,1,0,0,2,1,3
LURIBAY,consulta externa,personas de 60 anos y mas,2008-01-01,65,70,12,11,77,81,158
MACHACAMARCA,consulta externa,personas de 60 anos y mas,2008-01-01,38,47,42,35,80,82,162
MACHARETI,consulta externa,personas de 60 anos y mas,2008-01-01,132,90,3,3,135,93,228
MAGDALENA,consulta externa,personas de 60 anos y mas,2008-01-01,25,19,75,123,100,142,242
MAIRANA,consulta externa,personas de 60 anos y mas,2008-01-01,71,87,1,0,72,87,159
MALLA,consulta externa,personas de 60 anos y mas,2008-01-01,9,19,1,3,10,22,32
MAPIRI,consulta externa,personas de 60 anos y mas,2008-01-01,24,27,2,3,26,30,56
MECAPACA,consulta externa,personas de 60 anos y mas,2008-01-01,20,25,3,4,23,29,52
MINEROS,consulta externa,personas de 60 anos y mas,2008-01-01,13,9,0,0,13,9,22
MIZQUE,consulta externa,personas de 60 anos y mas,2008-01-01,34,41,0,3,34,44,78
MOCOMOCO,consulta externa,personas de 60 anos y mas,2008-01-01,64,55,9,11,73,66,139
MOJINETE,consulta externa,personas de 60 anos y mas,2008-01-01,6,9,0,1,6,10,16
MOJOCOYA,consulta externa,personas de 60 anos y mas,2008-01-01,44,48,26,0,70,48,118
MONTEAGUDO,consulta externa,personas de 60 anos y mas,2008-01-01,290,345,60,36,350,381,731
MONTERO,consulta externa,personas de 60 anos y mas,2008-01-01,456,536,456,485,912,1021,1933
MORO MORO,consulta externa,personas de 60 anos y mas,2008-01-01,15,27,1,4,16,31,47
MOROCHATA,consulta externa,personas de 60 anos y mas,2008-01-01,24,18,11,8,35,26,61
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 60 anos y mas,2008-01-01,13,6,4,10,17,16,33
NAZACARA DE PACAJES,consulta externa,personas de 60 anos y mas,2008-01-01,2,2,0,1,2,3,5
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 60 anos y mas,2008-01-01,7,4,2,1,9,5,14
OCURI,consulta externa,personas de 60 anos y mas,2008-01-01,33,55,0,2,33,57,90
OKINAWA,consulta externa,personas de 60 anos y mas,2008-01-01,66,74,0,6,66,80,146
OMEREQUE,consulta externa,personas de 60 anos y mas,2008-01-01,19,31,0,2,19,33,52
ORURO,consulta externa,personas de 60 anos y mas,2008-01-01,3395,3590,1579,1830,4974,5420,10394
PADCAYA,consulta externa,personas de 60 anos y mas,2008-01-01,48,36,0,8,48,44,92
PADILLA,consulta externa,personas de 60 anos y mas,2008-01-01,119,208,6,3,125,211,336
PAILON,consulta externa,personas de 60 anos y mas,2008-01-01,93,85,0,0,93,85,178
PALCA,consulta externa,personas de 60 anos y mas,2008-01-01,39,33,14,1,53,34,87
PALOS BLANCOS,consulta externa,personas de 60 anos y mas,2008-01-01,131,82,8,2,139,84,223
PAMPA AULLAGAS,consulta externa,personas de 60 anos y mas,2008-01-01,16,7,0,2,16,9,25
PAMPA GRANDE,consulta externa,personas de 60 anos y mas,2008-01-01,20,37,3,7,23,44,67
PAPEL PAMPA,consulta externa,personas de 60 anos y mas,2008-01-01,24,30,0,1,24,31,55
PASORAPA,consulta externa,personas de 60 anos y mas,2008-01-01,9,28,0,2,9,30,39
PATACAMAYA,consulta externa,personas de 60 anos y mas,2008-01-01,59,53,1,0,60,53,113
PAZÑA,consulta externa,personas de 60 anos y mas,2008-01-01,55,64,40,39,95,103,198
PELECHUCO,consulta externa,personas de 60 anos y mas,2008-01-01,18,18,0,0,18,18,36
POCOATA,consulta externa,personas de 60 anos y mas,2008-01-01,41,57,2,1,43,58,101
POCONA,consulta externa,personas de 60 anos y mas,2008-01-01,48,65,3,3,51,68,119
POJO (CBBA),consulta externa,personas de 60 anos y mas,2008-01-01,10,11,0,0,10,11,21
POOPO,consulta externa,personas de 60 anos y mas,2008-01-01,22,17,0,10,22,27,49
PORCO,consulta externa,personas de 60 anos y mas,2008-01-01,5,39,0,0,5,39,44
POROMA,consulta externa,personas de 60 anos y mas,2008-01-01,30,23,1,0,31,23,54
PORONGO,consulta externa,personas de 60 anos y mas,2008-01-01,25,29,0,1,25,30,55
PORTACHUELO,consulta externa,personas de 60 anos y mas,2008-01-01,181,156,7,13,188,169,357
PORVENIR,consulta externa,personas de 60 anos y mas,2008-01-01,16,5,5,4,21,9,30
POSTRER VALLE,consulta externa,personas de 60 anos y mas,2008-01-01,49,43,1,1,50,44,94
POTOSI,consulta externa,personas de 60 anos y mas,2008-01-01,1675,2133,806,1123,2481,3256,5737
PRESTO,consulta externa,personas de 60 anos y mas,2008-01-01,8,23,0,0,8,23,31
PUCARA,consulta externa,personas de 60 anos y mas,2008-01-01,18,36,2,12,20,48,68
PUCARANI,consulta externa,personas de 60 anos y mas,2008-01-01,30,39,3,2,33,41,74
PUERTO ACOSTA,consulta externa,personas de 60 anos y mas,2008-01-01,98,74,14,24,112,98,210
PUERTO CARABUCO,consulta externa,personas de 60 anos y mas,2008-01-01,62,51,4,6,66,57,123
PUERTO GONZALO MORENO,consulta externa,personas de 60 anos y mas,2008-01-01,36,14,8,0,44,14,58
PUERTO PEREZ,consulta externa,personas de 60 anos y mas,2008-01-01,20,20,4,0,24,20,44
PUERTO QUIJARRO,consulta externa,personas de 60 anos y mas,2008-01-01,108,67,3,3,111,70,181
PUERTO RICO,consulta externa,personas de 60 anos y mas,2008-01-01,41,21,1,1,42,22,64
PUERTO SILES,consulta externa,personas de 60 anos y mas,2008-01-01,1,0,0,0,1,0,1
PUERTO SUAREZ,consulta externa,personas de 60 anos y mas,2008-01-01,93,91,1,8,94,99,193
PUERTO VILLARROEL,consulta externa,personas de 60 anos y mas,2008-01-01,56,25,2,7,58,32,90
PUNA,consulta externa,personas de 60 anos y mas,2008-01-01,115,222,9,15,124,237,361
PUNATA,consulta externa,personas de 60 anos y mas,2008-01-01,222,399,60,60,282,459,741
QUIABAYA,consulta externa,personas de 60 anos y mas,2008-01-01,4,4,1,2,5,6,11
QUILLACOLLO,consulta externa,personas de 60 anos y mas,2008-01-01,430,599,271,367,701,966,1667
QUIME,consulta externa,personas de 60 anos y mas,2008-01-01,19,13,2,1,21,14,35
QUIRUSILLAS,consulta externa,personas de 60 anos y mas,2008-01-01,19,39,3,17,22,56,78
RAVELO,consulta externa,personas de 60 anos y mas,2008-01-01,32,60,0,0,32,60,92
REYES,consulta externa,personas de 60 anos y mas,2008-01-01,89,126,85,51,174,177,351
RIBERALTA,consulta externa,personas de 60 anos y mas,2008-01-01,178,210,12,7,190,217,407
ROBORE,consulta externa,personas de 60 anos y mas,2008-01-01,170,187,23,24,193,211,404
RURRENABAQUE,consulta externa,personas de 60 anos y mas,2008-01-01,113,124,79,84,192,208,400
SABAYA,consulta externa,personas de 60 anos y mas,2008-01-01,63,53,3,0,66,53,119
SACABA,consulta externa,personas de 60 anos y mas,2008-01-01,157,229,77,94,234,323,557
SACABAMBA,consulta externa,personas de 60 anos y mas,2008-01-01,12,41,3,1,15,42,57
SACACA,consulta externa,personas de 60 anos y mas,2008-01-01,36,53,0,0,36,53,89
SAIPINA,consulta externa,personas de 60 anos y mas,2008-01-01,68,107,20,32,88,139,227
SALINAS DE GARCI MENDOZA,consulta externa,personas de 60 anos y mas,2008-01-01,63,50,6,3,69,53,122
SAMAIPATA,consulta externa,personas de 60 anos y mas,2008-01-01,65,56,1,3,66,59,125
SAN AGUSTIN,consulta externa,personas de 60 anos y mas,2008-01-01,9,13,1,0,10,13,23
SAN ANDRES,consulta externa,personas de 60 anos y mas,2008-01-01,0,5,0,0,0,5,5
SAN ANDRES DE MACHACA,consulta externa,personas de 60 anos y mas,2008-01-01,52,51,8,10,60,61,121
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 60 anos y mas,2008-01-01,6,13,0,1,6,14,20
SAN ANTONIO DE LOMERIO,consulta externa,personas de 60 anos y mas,2008-01-01,29,42,2,0,31,42,73
SAN BENITO,consulta externa,personas de 60 anos y mas,2008-01-01,29,29,10,6,39,35,74
SAN BORJA,consulta externa,personas de 60 anos y mas,2008-01-01,190,177,49,64,239,241,480
SAN BUENA VENTURA,consulta externa,personas de 60 anos y mas,2008-01-01,75,65,14,13,89,78,167
SAN CARLOS,consulta externa,personas de 60 anos y mas,2008-01-01,12,10,0,0,12,10,22
SAN IGNACIO,consulta externa,personas de 60 anos y mas,2008-01-01,145,120,52,49,197,169,366
SAN IGNACIO DE VELASCO,consulta externa,personas de 60 anos y mas,2008-01-01,258,270,32,34,290,304,594
SAN JAVIER(BNI),consulta externa,personas de 60 anos y mas,2008-01-01,0,1,0,0,0,1,1
SAN JAVIER(STC),consulta externa,personas de 60 anos y mas,2008-01-01,60,61,2,6,62,67,129
SAN JOAQUIN,consulta externa,personas de 60 anos y mas,2008-01-01,68,87,19,24,87,111,198
SAN JOSE DE CHIQUITOS,consulta externa,personas de 60 anos y mas,2008-01-01,82,92,4,6,86,98,184
SAN JUAN DE YAPACANI,consulta externa,personas de 60 anos y mas,2008-01-01,25,26,0,0,25,26,51
SAN JULIAN,consulta externa,personas de 60 anos y mas,2008-01-01,102,114,10,6,112,120,232
SAN LORENZO(PND),consulta externa,personas de 60 anos y mas,2008-01-01,4,10,0,0,4,10,14
SAN LORENZO(TJA),consulta externa,personas de 60 anos y mas,2008-01-01,42,84,1,7,43,91,134
SAN LUCAS,consulta externa,personas de 60 anos y mas,2008-01-01,144,300,28,39,172,339,511
SAN MATIAS,consulta externa,personas de 60 anos y mas,2008-01-01,31,55,0,0,31,55,86
SAN MIGUEL DE VELASCO,consulta externa,personas de 60 anos y mas,2008-01-01,56,59,51,57,107,116,223
SAN PABLO DE LIPEZ,consulta externa,personas de 60 anos y mas,2008-01-01,20,18,1,3,21,21,42
SAN PEDRO,consulta externa,personas de 60 anos y mas,2008-01-01,110,102,16,16,126,118,244
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 60 anos y mas,2008-01-01,26,46,0,0,26,46,72
SAN PEDRO DE CURAHUARA,consulta externa,personas de 60 anos y mas,2008-01-01,38,36,12,2,50,38,88
SAN PEDRO DE QUEMES,consulta externa,personas de 60 anos y mas,2008-01-01,4,3,0,0,4,3,7
SAN PEDRO DE TIQUINA,consulta externa,personas de 60 anos y mas,2008-01-01,21,24,5,3,26,27,53
SAN PEDRO(PND),consulta externa,personas de 60 anos y mas,2008-01-01,4,3,0,0,4,3,7
SAN RAFAEL,consulta externa,personas de 60 anos y mas,2008-01-01,14,14,0,1,14,15,29
SAN RAMON,consulta externa,personas de 60 anos y mas,2008-01-01,8,14,4,9,12,23,35
SAN RAMON,consulta externa,personas de 60 anos y mas,2008-01-01,34,42,0,0,34,42,76
SANTA ANA,consulta externa,personas de 60 anos y mas,2008-01-01,10,16,0,1,10,17,27
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 60 anos y mas,2008-01-01,8942,11131,2143,3597,11085,14728,25813
SANTA ROSA,consulta externa,personas de 60 anos y mas,2008-01-01,3,3,1,0,4,3,7
SANTA ROSA DEL SARA,consulta externa,personas de 60 anos y mas,2008-01-01,35,32,3,0,38,32,70
SANTIAGO DE CALLAPA,consulta externa,personas de 60 anos y mas,2008-01-01,17,15,0,0,17,15,32
SANTIAGO DE HUARI,consulta externa,personas de 60 anos y mas,2008-01-01,96,102,9,18,105,120,225
SANTIAGO DE MACHACA,consulta externa,personas de 60 anos y mas,2008-01-01,14,14,0,1,14,15,29
SANTIVAÑES,consulta externa,personas de 60 anos y mas,2008-01-01,28,44,2,5,30,49,79
SANTUARIO DE QUILLACAS,consulta externa,personas de 60 anos y mas,2008-01-01,11,12,0,0,11,12,23
SAPAHAQUI,consulta externa,personas de 60 anos y mas,2008-01-01,32,33,4,2,36,35,71
SENA,consulta externa,personas de 60 anos y mas,2008-01-01,1,0,1,0,2,0,2
SICA SICA (VILLA AROMA),consulta externa,personas de 60 anos y mas,2008-01-01,52,43,0,1,52,44,96
SICAYA,consulta externa,personas de 60 anos y mas,2008-01-01,4,11,0,2,4,13,17
SIPE SIPE,consulta externa,personas de 60 anos y mas,2008-01-01,26,44,13,26,39,70,109
SOPACHUY,consulta externa,personas de 60 anos y mas,2008-01-01,28,58,3,2,31,60,91
SORACACHI,consulta externa,personas de 60 anos y mas,2008-01-01,12,15,3,0,15,15,30
SORATA,consulta externa,personas de 60 anos y mas,2008-01-01,41,39,1,3,42,42,84
SUCRE,consulta externa,personas de 60 anos y mas,2008-01-01,2967,3714,1431,1882,4398,5596,9994
TACACHI,consulta externa,personas de 60 anos y mas,2008-01-01,2,3,2,5,4,8,12
TACACOMA,consulta externa,personas de 60 anos y mas,2008-01-01,15,11,0,0,15,11,26
TACOBAMBA,consulta externa,personas de 60 anos y mas,2008-01-01,20,47,0,1,20,48,68
TACOPAYA,consulta externa,personas de 60 anos y mas,2008-01-01,22,26,0,1,22,27,49
TAHUA,consulta externa,personas de 60 anos y mas,2008-01-01,9,16,0,4,9,20,29
TAPACARI,consulta externa,personas de 60 anos y mas,2008-01-01,38,37,1,0,39,37,76
TARABUCO,consulta externa,personas de 60 anos y mas,2008-01-01,66,83,5,17,71,100,171
TARACO,consulta externa,personas de 60 anos y mas,2008-01-01,30,25,0,0,30,25,55
TARATA,consulta externa,personas de 60 anos y mas,2008-01-01,23,30,4,5,27,35,62
TARIJA,consulta externa,personas de 60 anos y mas,2008-01-01,2055,2472,1423,2194,3478,4666,8144
TARVITA,consulta externa,personas de 60 anos y mas,2008-01-01,64,83,3,1,67,84,151
TEOPONTE,consulta externa,personas de 60 anos y mas,2008-01-01,50,29,12,4,62,33,95
TIAWANACU,consulta externa,personas de 60 anos y mas,2008-01-01,19,27,2,1,21,28,49
TINGUIPAYA,consulta externa,personas de 60 anos y mas,2008-01-01,29,55,8,0,37,55,92
TIPUANI,consulta externa,personas de 60 anos y mas,2008-01-01,56,22,2,0,58,22,80
TIQUIPAYA,consulta externa,personas de 60 anos y mas,2008-01-01,22,27,3,8,25,35,60
