,group,variable,month,TOTAL 20.1 DPT 5TA DOSIS CANTIDAD,TOTAL 20.1 DPT 5TA DOSIS CANTIDAD,TOTALES
PUERTO SUAREZ,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,16,0,16
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,28,1,29
PUNA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,1,0,1
PUNATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,16,0,16
QUILLACOLLO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,46,81,127
RAVELO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,0,1,1
REYES,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,8,0,8
RIBERALTA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,30,0,30
ROBORE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,3,5,8
RURRENABAQUE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,10,0,10
SACABA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,63,8,71
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,2,3,5
SAMAIPATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,9,1,10
SAN BENITO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,5,1,6
SAN BORJA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,13,1,14
SAN CARLOS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,4,0,4
SAN IGNACIO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,14,1,15
SAN JAVIER(STC),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,3,0,3
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,15,0,15
SAN JULIAN,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,9,1,10
SAN LORENZO(PND),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,2,2,4
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,12,1,13
SAN LUCAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,10,12,22
SAN PEDRO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,9,0,9
SAN PEDRO DE QUEMES,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,1,0,1
SAN PEDRO(PND),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,0,1,1
SAN RAMON BENI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,6,2,8
SANTA ANA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,11,0,11
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,466,7,473
SANTA ROSA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,2,0,2
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,9,0,9
SANTIVAÑES,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,1,0,1
SENA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,2,5,7
SHINAOTA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,6,0,6
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,1,0,1
SIPE SIPE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,2,1,3
SORACACHI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,0,4,4
SUCRE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,109,4,113
TACOPAYA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,2,1,3
TAPACARI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,1,6,7
TARABUCO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,5,1,6
TARATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,4,7,11
TARIJA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,171,27,198
TARVITA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,1,5,6
TIQUIPAYA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,69,4,73
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,0,1,1
TOCO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,1,0,1
TOLATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,1,0,1
TOMINA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,1,4,5
TOTORA(CBBA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,7,11,18
TOTORA(ORR),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,2,0,2
TRIGAL,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,1,0,1
TRINIDAD,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,24,1,25
TUPIZA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,23,0,23
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,6,0,6
VACAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,1,1,2
VALLEGRANDE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,17,0,17
VIACHA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,13,0,13
VILA VILA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,0,2,2
VILLA CHARCAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,6,1,7
VILLA MONTES,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,32,22,54
VILLA SERRANO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,1,2,3
VILLA TUNARI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,12,2,14
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,0,5,5
VILLAZON,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,32,4,36
WARNES,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,53,6,59
YACUIBA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,65,0,65
YOTALA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,1,3,4
YUNCHARA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,1,3,4
ZUDAÑEZ,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-01-01,3,6,9
ACHOCALLA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,5,3,8
AIQUILE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,4,10,14
ALALAY,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,0,1,1
ALCALA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,0,1
ANDAMARCA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,3,2,5
ANTEQUERA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,0,1
ANZALDO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,0,1,1
ARANI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,6,0,6
ARBIETO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,6,12,18
ARQUE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,1,2
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,22,3,25
ATOCHA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,0,5,5
AZURDUY,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,7,3,10
BATALLAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,1,2
BELEN DE ANDAMARCA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,0,1,1
BELLA FLOR,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,4,3,7
BERMEJO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,8,25,33
BOLIVAR,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,0,5,5
BOLPEBRA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,6,7
BOYUIBE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,1,2
BUENA VISTA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,14,0,14
CAIROMA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,0,6,6
CAMARGO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,6,9,15
CAPINOTA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,3,5,8
CARACOLLO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,5,0,5
CARANAVI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,97,34,131
CARAPARI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,9,13,22
CHALLAPATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,4,10,14
CHIMORE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,6,6,12
CHOQUE COTA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,2,0,2
CLIZA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,14,9,23
COBIJA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,23,14,37
COCAPATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,0,4,4
COCHABAMBA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,88,28,116
COLCAPIRHUA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,3,0,3
COLOMI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,6,9,15
COMARAPA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,2,0,2
CONCEPCION,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,10,4,14
COPACABANA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,2,2,4
COROICO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,5,1,6
COTAGAITA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,6,2,8
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,16,10,26
CULPINA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,0,1
EL ALTO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,175,80,255
EL PUENTE(STC),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,8,9
EL PUENTE(TJA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,3,2,5
EL TORNO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,46,2,48
EL VILLAR,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,2,3,5
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,9,7,16
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,8,9,17
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,6,2,8
FILADELFIA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,2,3
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,9,2,11
GUAYARAMERIN,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,21,7,28
GUTIERREZ,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,0,1,1
HUACARETA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,0,1,1
HUANUNI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,13,3,16
HUATAJATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,0,2,2
ICHOCA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,0,1,1
ICLA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,2,3
INCAHUASI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,1,2
JESUS DE MACHACA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,3,1,4
LA GUARDIA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,18,3,21
LA PAZ,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,114,19,133
LAGUNILLAS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,1,2
LICOMA PAMPA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,0,1
LLALLAGUA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,0,1
LURIBAY,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,0,1,1
MACHACAMARCA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,0,1
MACHARETI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,2,1,3
MAGDALENA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,11,2,13
MAIRANA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,3,0,3
MECAPACA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,3,0,3
MINEROS,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,17,1,18
MIZQUE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,9,21,30
MOJOCOYA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,0,5,5
MONTEAGUDO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,27,3,30
MONTERO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,50,4,54
MORO MORO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,0,1
MOROCHATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,4,5
OKINAWA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,3,0,3
OMEREQUE,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,4,5,9
ORURO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,97,267,364
PADCAYA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,4,1,5
PADILLA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,2,3
PAILON,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,4,7,11
PASORAPA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,1,2
PAZÑA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,0,1
POCONA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,3,7,10
POJO (CBBA),vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,3,0,3
POROMA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,2,4,6
PORVENIR,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,0,1,1
POTOSI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,50,9,59
PRESTO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,3,1,4
PUCARA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,0,1
PUCARANI,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,3,3,6
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,0,9,9
PUERTO PEREZ,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,3,9,12
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,8,1,9
PUERTO RICO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,0,1
PUERTO SUAREZ,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,12,0,12
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,25,13,38
PUNA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,1,3,4
PUNATA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,9,0,9
QUILLACOLLO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,24,133,157
QUIME,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,2,4,6
RAVELO,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,0,2,2
REYES,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,10,0,10
RIBERALTA,vacunacion en ninos de 4 anos,      dpt 5ta dosis,2014-02-01,29,3,32
