,group,variable,month,2. NRO DE NEONATOS (DE 7 A 28 DÍAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,2. NRO DE NEONATOS (DE 7 A 28 DÍAS) A LOS QUE SE LES HA REALIZADO TAMIZAJE NEONATAL TEMPRANO CANTIDAD,TOTALES,TOTALES,TOTALES
PUERTO CARABUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,0,1,0,1,1
SAN ANDRES DE MACHACA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,0,1,0,1,1
SAN IGNACIO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,2,3,2,3,5
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,9,7,9,7,16
SAN PEDRO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,39,44,39,44,83
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,2,1,2,1,3
SUCRE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,12,9,12,9,21
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,3,3,3,3,6
UMALA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,0,2,0,2,2
WALDO BALLIVIAN,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,0,1,0,1,1
YOTALA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-01-01,1,0,1,0,1
ANCORAIMES,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,0,1,0,1,1
AYATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,5,2,5,2,7
AYO AYO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,2,2,2,2,4
CABEZAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,1,0,1,0,1
CAJUATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,2,1,2,1,3
CHACARILLA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,1,1,1,1,2
CHUMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,1,6,1,6,7
COLQUIRI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,0,1,0,1,1
COTOCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,2,2,2,2,4
EL ALTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,53,46,53,46,99
ESCOMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,0,1,0,1,1
FERNANDEZ ALONSO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,6,1,6,1,7
HUACARETA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,0,1,0,1,1
HUACAYA (VILLA DE HUACAYA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,0,1,0,1,1
HUANUNI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,1,2,1,2,3
HUATAJATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,1,0,1,0,1
INCAHUASI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,0,2,0,2,2
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,0,1,0,1,1
JESUS DE MACHACA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,1,0,1,0,1
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,0,1,0,1,1
LA PAZ,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,8,4,8,4,12
MACHARETI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,0,1,0,1,1
MINEROS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,2,2,2,2,4
MOJOCOYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,1,0,1,0,1
ORURO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,2,1,2,1,3
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,3,3,3,3,6
PELECHUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,2,1,2,1,3
PORONGO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,1,0,1,0,1
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,2,1,2,1,3
PRESTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,1,0,1,0,1
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,0,1,0,1,1
SAN IGNACIO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,2,3,2,3,5
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,5,5,5,5,10
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,37,35,37,35,72
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,2,2,2,2,4
SUCRE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,18,11,18,11,29
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,1,3,1,3,4
UMALA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,0,2,0,2,2
URUBICHA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,1,2,1,2,3
VILLA CHARCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,2,1,2,1,3
WALDO BALLIVIAN,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,1,2,1,2,3
YOTALA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-02-01,1,0,1,0,1
ANCORAIMES,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,0,2,0,2,2
AYATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,2,1,2,1,3
AYO AYO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,6,1,6,1,7
BATALLAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,6,2,6,2,8
CAMARGO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,4,3,4,3,7
CHUMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,7,0,7,0,7
COCHABAMBA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,10,9,10,9,19
COLQUIRI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,0,1,0,1,1
COTOCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,2,1,2,1,3
CUATRO CAÑADAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,1,0,1,0,1
CURVA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,0,2,0,2,2
EL ALTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,65,51,65,51,116
ESCOMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,0,1,0,1,1
FERNANDEZ ALONSO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,4,2,4,2,6
HUATAJATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,0,1,0,1,1
ICLA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,1,0,1,0,1
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,1,2,1,2,3
JESUS DE MACHACA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,1,0,1,0,1
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,2,3,2,3,5
LA PAZ,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,83,63,83,63,146
MAGDALENA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,0,1,0,1,1
MAIRANA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,1,1,1,1,2
MOCOMOCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,3,2,3,2,5
MONTERO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,1,2,1,2,3
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,5,1,5,1,6
PELECHUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,1,0,1,0,1
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,0,1,0,1,1
PRESTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,1,3,1,3,4
PUERTO ACOSTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,3,3,3,3,6
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,9,7,9,7,16
SAN IGNACIO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,2,1,2,1,3
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,5,8,5,8,13
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,27,25,27,25,52
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,1,3,1,3,4
SUCRE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,11,4,11,4,15
TARABUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,0,1,0,1,1
TARVITA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,0,3,0,3,3
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,5,4,5,4,9
VILLA CHARCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,0,2,0,2,2
VILLA TUNARI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,0,1,0,1,1
WALDO BALLIVIAN,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-03-01,1,0,1,0,1
ANCORAIMES,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,2,0,2,0,2
AYATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,2,1,2,1,3
CAIROMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,0,2,0,2,2
CHUMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,0,3,0,3,3
COCHABAMBA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,3,6,3,6,9
COLQUIRI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,1,0,1,0,1
COTOCA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,3,8,3,8,11
CUATRO CAÑADAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,1,0,1,0,1
CURVA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,0,1,0,1,1
EL ALTO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,59,56,59,56,115
EL PUENTE(STC),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,1,1,1,1,2
ESCOMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,2,2,2,2,4
FERNANDEZ ALONSO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,0,1,0,1,1
HUACARETA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,0,1,0,1,1
HUACAYA (VILLA DE HUACAYA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,1,1,1,1,2
HUATAJATA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,0,1,0,1,1
INQUISIVI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,4,3,4,3,7
LA GUARDIA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,4,5,4,5,9
LA PAZ,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,24,30,24,30,54
LAJA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,6,2,6,2,8
LURIBAY,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,1,1,1,1,2
MACHARETI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,4,2,4,2,6
MINEROS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,0,2,0,2,2
MOCOMOCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,3,2,3,2,5
MONTERO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,7,2,7,2,9
PATACAMAYA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,5,3,5,3,8
PELECHUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,2,0,2,0,2
POROMA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,0,1,0,1,1
PORONGO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,3,0,3,0,3
PORTACHUELO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,2,2,2,2,4
POTOSI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,1,0,1,0,1
PUERTO ACOSTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,0,2,0,2,2
PUERTO CARABUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,1,0,1,0,1
QUIME,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,1,0,1,0,1
RIBERALTA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,14,5,14,5,19
SAN IGNACIO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,3,2,3,2,5
SAN LUCAS,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,8,11,8,11,19
SANTA CRUZ DE LA SIERRA,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,36,31,36,31,67
SAPAHAQUI,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,0,3,0,3,3
SUCRE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,9,13,9,13,22
TARABUCO,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,1,0,1,0,1
TOTORA(CBBA),enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,7,4,7,4,11
VALLEGRANDE,enf congenitas del metabolismo,nro de neonatos (de 7 a 28 dias) a los que se les ha realizado tamizaje neonatal temprano,2024-04-01,2,4,2,4,6
