,group,variable,month,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS FUERA,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
HUACHACALLA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,19,0,3,0,22,22
ORURO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,1,0,0,0,1,1
PALOS BLANCOS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,3,0,0,0,3,3
POTOSI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,1,0,0,0,1,1
PUERTO SUAREZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,3,0,0,0,3,3
QUILLACOLLO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,1,0,0,0,1,1
RAVELO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,6,0,0,0,6,6
SIPE SIPE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,0,0,3,0,3,3
TACOBAMBA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,0,0,2,0,2,2
TIQUIPAYA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,1,0,0,0,1,1
TUPIZA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,2,0,0,0,2,2
VILLAZON,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-01-01,0,0,0,1,0,1,1
"CAIZA ""D""",otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,1,0,0,0,1,1
CARANAVI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,2,0,0,0,2,2
CKOCHAS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,2,0,1,0,3,3
COCAPATA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,1,0,1,1
COCHABAMBA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,20,0,20,20
COLPA BELGICA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,2,0,2,2
COLQUECHACA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,1,0,0,0,1,1
COLQUIRI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,1,0,0,0,1,1
COROICO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,2,0,0,0,2,2
EL PUENTE(TJA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,1,0,1,1
ENTRE RIOS TRJ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,1,0,1,1
LA PAZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,10,0,40,0,50,50
MONTERO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,26,0,26,26
OCURI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,3,0,3,3
ORURO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,2,0,0,0,2,2
PAPEL PAMPA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,1,0,1,1
PUERTO SUAREZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,2,0,1,0,3,3
QUILLACOLLO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,2,0,3,0,5,5
RAVELO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,3,0,3,3
RURRENABAQUE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,3,0,3,3
SAN ANDRES,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,3,0,2,0,5,5
SAN BORJA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,1,0,104,0,105,105
SAN BUENA VENTURA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,1,0,1,1
SAN LORENZO(TJA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,14,0,14,14
SANTA CRUZ DE LA SIERRA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,2,0,2,2
TIQUIPAYA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,5,0,5,5
TUPIZA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,1,0,1,1
UMALA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,1,0,1,1
VILLA MONTES,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,0,0,5,0,5,5
VILLAZON,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-02-01,0,1,0,4,0,5,5
ACHACACHI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,4,0,4,4
BETANZOS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,3,0,3,3
CARANAVI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,1,0,5,0,6,6
CHARAÑA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,1,0,1,1
CHIMORE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,8,0,8,8
COCAPATA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,1,0,15,0,16,16
COCHABAMBA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,43,0,43,43
COLQUECHACA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,2,0,2,2
COLQUIRI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,2,0,2,2
CORO CORO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,4,0,6,0,10,10
ENTRE RIOS TRJ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,9,0,9,9
EUREKA (SANTOS MERCADO),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,6,0,6,6
EXALTACION,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,4,0,4,4
FERNANDEZ ALONSO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,1,0,1,1
GUANAY,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,7,0,7,7
LA PAZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,19,0,202,0,221,221
OCURI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,1,0,1,1
ORURO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,3,0,0,0,3,3
PATACAMAYA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,15,0,15,15
PELECHUCO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,4,0,4,4
PUERTO GONZALO MORENO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,3,0,3,3
PUERTO SUAREZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,1,0,69,0,70,70
QUILLACOLLO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,1,0,0,0,1,1
RAVELO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,2,0,2,2
RIBERALTA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,2,0,7,0,9,9
RURRENABAQUE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,1,0,1,1
SACACA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,2,0,2,2
SAN ANDRES,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,1,0,1,1
SAN BORJA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,13,0,13,13
SAN CARLOS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,14,0,14,14
SAN LORENZO(PND),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,2,0,0,0,2,2
SAN LORENZO(TJA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,7,0,7,7
SAN RAMON BENI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,5,0,5,5
SANTA ANA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,1,0,1,1
SENA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,5,0,5,5
TACACOMA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,4,0,0,0,4,4
TINGUIPAYA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,2,0,2,2
TIQUIPAYA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,1,0,31,0,32,32
TRINIDAD,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,3,0,3,3
TUPIZA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,3,0,3,0,6,6
UNCIA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,2,0,2,2
VIACHA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,4,0,4,4
VILLA MONTES,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,3,0,3,3
VILLA TUNARI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,0,0,11,0,11,11
VILLAZON,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,1,0,0,0,1,1
VINTO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,2,0,2,0,4,4
YAMPARAEZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,1,0,0,0,1,1
YOCALLA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-03-01,0,6,0,0,0,6,6
ACHACACHI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,2,0,2,2
ALTO BENI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,1,0,0,0,1,1
BELLA FLOR,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,1,0,1,1
BETANZOS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,1,0,1,0,2,2
CAQUIAVIRI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,1,0,0,0,1,1
CHIMORE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,2,0,2,2
CLIZA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,3,0,3,3
COCAPATA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,13,0,9,0,22,22
COCHABAMBA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,2,0,0,0,2,2
COLCAPIRHUA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,1,0,0,0,1,1
COLQUECHACA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,2,0,1,0,3,3
COLQUENCHA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,3,0,0,0,3,3
COLQUIRI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,1,0,0,0,1,1
COMBAYA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,7,0,0,0,7,7
EUREKA (SANTOS MERCADO),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,2,0,2,2
LA PAZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,6,0,3,0,9,9
LAS CARRERAS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,1,0,0,0,1,1
OCURI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,3,0,3,3
ORURO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,4,0,0,0,4,4
PUNA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,2,0,2,2
QUILLACOLLO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,14,0,14,14
QUIME,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,5,0,0,0,5,5
RAVELO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,1,0,1,0,2,2
ROBORE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,1,0,1,1
SAN PABLO DE LIPEZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,1,0,0,0,1,1
SAN PEDRO DE QUEMES,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,3,0,3,3
SANTA ANA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,1,0,1,1
TARIJA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,1,0,0,0,1,1
TIQUIPAYA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,2,0,1,0,3,3
TUPIZA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,2,0,2,0,4,4
UMALA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,8,0,8,8
UNCIA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,1,0,0,0,1,1
VILLA CHARCAS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,1,0,1,1
VILLA NUEVA (LOMA ALTA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,1,0,1,1
VILLA SERRANO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,1,0,1,1
VINTO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,1,0,0,0,1,1
YAMPARAEZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,4,0,4,4
YUNCHARA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-04-01,0,0,0,1,0,1,1
ACHACACHI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,1,0,1,1
AZURDUY,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,10,0,10,0,20,20
BAURES,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,5,0,5,5
BELLA FLOR,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,2,0,2,2
BETANZOS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,5,0,5,5
CARANAVI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,1,0,1,1
COCAPATA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,2,0,2,2
COLCAPIRHUA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,1,0,0,0,1,1
COLQUECHACA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,3,0,2,0,5,5
COLQUIRI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,1,0,0,0,1,1
CORIPATA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,1,0,0,0,1,1
COTAGAITA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,4,0,6,0,10,10
EL PUENTE(TJA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,1,0,1,1
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,2,0,2,2
HUANUNI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,1,0,0,0,1,1
INGAVI (HUMAITA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,3,0,0,0,3,3
IRUPANA (VILLA DE LANZA),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,1,0,1,1
LA PAZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,23,0,46,0,69,69
MECAPACA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,5,0,5,5
ORURO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,1,0,0,0,1,1
PADILLA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,12,0,0,0,12,12
PUERTO GONZALO MORENO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,4,0,4,4
PUERTO SUAREZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,8,0,8,8
QUILLACOLLO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,1,0,1,1
RAVELO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,6,0,6,6
RIBERALTA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,1,0,1,1
SAN BORJA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,8,0,0,0,8,8
SAN IGNACIO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,2,0,2,2
SAN JULIAN,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,3,0,3,3
SAN PEDRO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,1,0,0,0,1,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,1,0,5,0,6,6
TARVITA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,1,0,1,1
TINGUIPAYA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,1,0,2,0,3,3
TIQUIPAYA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,2,0,0,0,2,2
TOMINA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,1,0,0,0,1,1
TORO TORO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,0,0,1,0,1,1
TUPIZA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,1,0,1,0,2,2
VILLA SERRANO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,1,0,0,0,1,1
VINTO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-05-01,0,1,0,0,0,1,1
ATOCHA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-06-01,0,0,0,4,0,4,4
AZURDUY,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-06-01,0,8,0,10,0,18,18
BETANZOS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-06-01,0,0,0,6,0,6,6
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-06-01,0,0,0,5,0,5,5
COCAPATA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-06-01,0,0,0,1,0,1,1
"COLCHA ""K""",otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-06-01,0,0,0,1,0,1,1
COLQUECHACA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-06-01,0,1,0,0,0,1,1
COLQUIRI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-06-01,0,0,0,1,0,1,1
CULPINA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-06-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-06-01,0,6,0,0,0,6,6
EUREKA (SANTOS MERCADO),otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-06-01,0,0,0,1,0,1,1
HUACARETA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-06-01,0,0,0,1,0,1,1
LA PAZ,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-06-01,0,24,0,3,0,27,27
LAS CARRERAS,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-06-01,0,1,0,0,0,1,1
MACHARETI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2020-06-01,0,0,0,1,0,1,1
