,group,variable,month,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,3,11,11,11,14,25
BATALLAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,3,0,1,0,4,4
BAURES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,2,0,0,1,2,3
BELEN DE ANDAMARCA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,0,2,1,2,1,3
BELEN DE URMIRI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
BELLA FLOR,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,3,3,3,4,7
BERMEJO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,22,3,0,0,22,3,25
BETANZOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,5,9,7,9,12,21
BOLIVAR,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,2,0,2,1,3
BOYUIBE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,0,6,0,8,0,8
BUENA VISTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,2,0,4,4
CABEZAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,20,0,13,9,33,9,42
"CAIZA ""D""",otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,3,0,0,2,3,5
CAJUATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,3,19,1,19,4,23
CALAMARCA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,4,0,0,0,4,4
CAMARGO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,1,0,3,3
CAMIRI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,13,21,0,0,13,21,34
CAPINOTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,4,0,3,0,7,7
CARACOLLO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,12,0,3,2,15,17
CARANAVI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,18,8,7,9,25,34
CARAPARI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,0,0,0,1,0,1
CARIPUYO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
CARMEN RIVERO TORREZ,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,3,3,0,0,3,3,6
CHALLAPATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,6,0,1,1,7,8
CHARAGUA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,3,0,0,0,3,3
CHAYANTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,0,0,2,2
CHIMORE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,3,5,1,2,4,7,11
CHIPAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,0,0,4,0,4,4
CHOQUE COTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,16,7,9,9,25,34
CHUMA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,2,0,3,3
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,11,0,12,2,23,25
CKOCHAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,3,3,0,2,3,5,8
CLIZA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,8,1,9,2,17,19
COBIJA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,18,50,2,4,20,54,74
COCAPATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,8,5,0,10,8,15,23
COCHABAMBA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,86,330,42,83,128,413,541
COLCAPIRHUA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,10,20,22,36,32,56,88
"COLCHA ""K""",otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,4,8,1,0,5,8,13
COLLANA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,6,1,8,12,14,13,27
COLOMI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,17,10,2,11,19,30
COLPA BELGICA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,1,0,3,3
COLQUECHACA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,6,3,11,4,17,21
COLQUENCHA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,5,0,0,0,5,5
COLQUIRI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,6,4,3,6,9,15
COMBAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,0,0,0,1,0,1
CONCEPCION,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,6,0,4,0,10,10
COPACABANA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
CORIPATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,0,0,0,1,0,1
CORQUE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,0,0,2,1,2,3
COTAGAITA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,5,5,1,0,6,5,11
COTOCA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,19,39,9,24,28,63,91
CUATRO CAÑADAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,1,0,0,1,1,2
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
CULPINA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,3,0,5,2,8,10
CURAHUARA DE CARANGAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,0,0,0,1,0,1
CURVA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,0,1,3,1,3,4
DESAGUADERO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,0,2,7,2,7,9
EL ALTO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,109,697,29,141,138,838,976
EL PUENTE(STC),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,6,3,0,0,6,3,9
EL TORNO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,3,3,0,0,3,3,6
EL VILLAR,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,5,3,1,0,6,3,9
ENTRE RIOS CBBA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,11,107,3,109,14,123
ESMERALDA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,1,0,3,3
EUCALIPTUS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,4,0,1,0,5,5
EUREKA (SANTOS MERCADO),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,1,0,3,3
FERNANDEZ ALONSO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
FILADELFIA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,3,2,0,3,3,6
GENERAL SAAVEDRA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,0,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,0,0,1,0,1,1
GUANAY,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,2,8,7,10,9,19
GUAQUI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,0,0,2,2
GUAYARAMERIN,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,12,60,0,2,12,62,74
HUACARETA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,3,3,2,3,5,6,11
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,1,0,1,1,2,3
HUACHACALLA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,2,0,0,2,2,4
HUANUNI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,3,13,3,10,6,23,29
HUARACAJE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
HUARINA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,0,1,1,2,1,3
HUMANATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
INCAHUASI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,4,1,1,3,5,8
INGAVI (HUMAITA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,4,4,0,0,4,4,8
INQUISIVI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,7,0,0,0,7,7
IXIAMAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,4,0,0,0,4,4
LA ASUNTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,7,14,9,4,16,18,34
LA PAZ,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,79,453,143,111,222,564,786
LAGUNILLAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,3,0,0,2,3,5
LAJA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,6,12,0,2,6,14,20
LAS CARRERAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,1,0,0,1,1,2
LICOMA PAMPA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
LLALLAGUA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,4,13,8,52,12,65,77
LORETO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
MACHACAMARCA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,0,0,1,2,1,3
MACHARETI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,3,2,2,3,5,8
MAGDALENA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,2,3,12,4,14,18
MAIRANA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,5,0,1,0,6,6
MAPIRI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,6,0,0,1,6,7
MECAPACA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,3,0,0,0,3,3
MINEROS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,22,0,0,0,22,22
MIZQUE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,4,0,0,0,4,4
MOCOMOCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,0,0,2,2
MOJOCOYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,1,0,0,2,1,3
MONTEAGUDO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,8,4,0,3,8,7,15
MONTERO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,3,105,3,17,6,122,128
MOROCHATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,0,0,4,0,4,4
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,2,2,0,4,2,6
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,0,5,0,5,0,5
OCURI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
OKINAWA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,1,21,6,23,7,30
OMEREQUE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,5,2,1,3,6,9
ORURO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,28,139,27,27,55,166,221
PADILLA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,4,6,0,0,4,6,10
PAILON,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,13,20,0,2,13,22,35
PALCA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,3,0,0,0,3,3
PALOS BLANCOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,3,1,10,17,13,18,31
PAMPA AULLAGAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
PELECHUCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,0,0,2,2
POCOATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,0,0,2,2
POCONA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,0,22,9,24,9,33
POJO (CBBA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,6,5,5,7,11,18
POOPO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,4,2,1,2,5,4,9
PORCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,5,0,6,6
POROMA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,1,0,0,1,1,2
PORONGO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,2,0,0,1,2,3
PORTACHUELO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,8,0,0,0,8,8
PORVENIR,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,2,2,1,3,3,6
POSTRER VALLE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,3,0,0,0,3,3
POTOSI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,39,83,4,13,43,96,139
PUCARANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,12,2,6,4,18,22
PUERTO ACOSTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,3,0,0,1,3,4
PUERTO PEREZ,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,4,0,0,0,4,4
PUERTO QUIJARRO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,5,2,0,0,5,2,7
PUERTO RICO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,2,0,0,2,2,4
PUERTO SUAREZ,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,4,14,6,8,10,22,32
PUERTO VILLARROEL,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,9,46,8,12,17,58,75
PUNA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,6,1,10,1,16,17
PUNATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,9,35,8,24,17,59,76
QUILLACOLLO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,45,36,14,51,59,87,146
QUIME,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,0,0,2,2
RAQAYPAMPA(ETA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,4,2,5,2,9,11
RAVELO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,3,9,3,11,14
REYES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,0,0,2,2
RIBERALTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,65,0,0,0,65,65
ROBORE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,4,8,8,4,12,12,24
RURRENABAQUE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,6,0,1,1,7,8
SABAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,3,0,1,0,4,4
SACABA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,23,106,128,195,151,301,452
SACABAMBA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,0,0,2,2
SACACA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,6,0,0,0,6,6
SAIPINA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
SAMAIPATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,1,1,1,2,3
SAN ANDRES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,13,0,0,1,13,14
SAN ANTONIO DE LOMERIO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,3,4,4,6,7,10,17
SAN BENITO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,4,2,0,3,4,7
SAN BORJA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,25,0,0,2,25,27
SAN BUENA VENTURA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,0,1,2,2,2,4
SAN CARLOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,9,12,60,24,69,36,105
SAN IGNACIO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,2,0,0,1,2,3
SAN IGNACIO DE VELASCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,42,1,9,3,51,54
SAN JAVIER(BNI),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,0,7,1,7,1,8
SAN JAVIER(STC),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,4,11,0,0,4,11,15
SAN JOAQUIN,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,3,0,0,0,3,3
SAN JOSE DE CHIQUITOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,1,1,0,2,1,3
SAN JUAN DE YAPACANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,1,10,2,11,3,14
SAN JULIAN,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,7,7,2,3,9,10,19
SAN LORENZO(PND),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,0,0,4,1,4,5
SAN LORENZO(TJA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,4,1,2,1,6,7
SAN MATIAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,21,0,0,2,21,23
SAN MIGUEL DE VELASCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,4,27,0,0,4,27,31
SAN PEDRO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,1,0,3,3
SAN PEDRO DE BUENA VISTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,4,0,2,0,6,6
SAN PEDRO DE TIQUINA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,3,0,0,0,3,3
SAN PEDRO(PND),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,0,2,3,2,3,5
SAN RAFAEL,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
SAN RAMON BENI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,1,0,0,1,1,2
SAN RAMON SCZ,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
SANTA ANA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,5,4,0,0,5,4,9
SANTA CRUZ DE LA SIERRA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,440,1135,30,24,470,1159,1629
SANTA ROSA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,0,0,2,2
SANTA ROSA DEL SARA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,5,9,6,5,11,14,25
SANTIAGO DE HUARI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
SANTIAGO DE HUATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,4,0,2,1,6,7
SANTIVAÑES,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,0,0,0,2,0,2
SANTUARIO DE QUILLACAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,5,2,0,3,5,8
SENA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,8,7,2,8,10,18
SHINAOTA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,13,1,1,1,14,15
SICA SICA (VILLA AROMA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,0,0,2,2
SIPE SIPE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,6,21,5,13,11,34,45
SORACACHI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,4,0,0,0,4,4
SORATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,11,5,6,6,17,23
SUCRE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,164,94,1,3,165,97,262
TACACOMA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,0,7,10,7,10,17
TACOPAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,2,0,4,4
TAPACARI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,2,9,0,3,2,12,14
TARABUCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,1,0,0,1,1,2
TARACO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,5,0,0,0,5,5
TARATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,0,0,0,2,2
TARIJA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,18,72,9,14,27,86,113
TARVITA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,3,0,0,0,3,0,3
TEOPONTE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,0,0,0,1,1
TINGUIPAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,2,3,5,3,7,10
TIPUANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,1,1,3,1,4,5
TIQUIPAYA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,14,32,39,100,53,132,185
TIRAQUE (CBBA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,1,9,10,14,11,23,34
TOCO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,4,4,1,3,5,7,12
TOLATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,6,4,18,11,24,15,39
TOLEDO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2020-01-01,0,0,0,2,0,2,2
