,group,variable,month,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
UYUNI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,1,0,0,0,1,0,1
WARNES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-01-01,0,1,0,0,0,1,1
ARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,0,0,6,0,6,0,6
BERMEJO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,1,1,0,0,1,1,2
CARAPARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,3,7,0,0,3,7,10
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,0,1,0,0,0,1,1
COLQUENCHA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,1,0,1,1,2,1,3
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,6,11,3,18,9,29,38
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,15,29,0,0,15,29,44
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,0,1,0,0,0,1,1
OKINAWA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,1,3,0,0,1,3,4
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,1,4,0,0,1,4,5
PORTACHUELO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,0,2,0,0,0,2,2
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,0,2,0,0,0,2,2
PUNA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,0,2,0,0,0,2,2
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,8,9,5,9,13,18,31
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,2,0,0,0,2,0,2
SAN PEDRO DE QUEMES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,5,1,0,0,5,1,6
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,1,1,0,0,1,1,2
TUPIZA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,7,3,0,0,7,3,10
UYUNI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,0,1,0,0,0,1,1
VILLA MONTES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,0,0,1,0,1,0,1
VILLAZON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,1,0,0,0,1,0,1
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-02-01,1,2,0,0,1,2,3
BERMEJO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,0,11,0,1,0,12,12
CARAPARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,21,20,0,0,21,20,41
"COLCHA ""K""",otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,9,4,0,0,9,4,13
COLQUIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,1,1,0,0,1,1,2
COMARAPA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,0,1,0,0,0,1,1
CONCEPCION,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,0,0,6,15,6,15,21
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,33,18,0,0,33,18,51
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,2,6,0,0,2,6,8
OKINAWA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,0,0,1,0,1,0,1
PAILON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,5,4,0,0,5,4,9
PORTACHUELO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,0,1,0,0,0,1,1
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,0,1,6,0,6,1,7
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,1,0,0,0,1,0,1
QUIME,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,0,3,0,0,0,3,3
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,2,5,0,2,2,7,9
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,0,2,0,0,0,2,2
SAN RAMON SCZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,0,3,0,0,0,3,3
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,0,0,93,151,93,151,244
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,1,2,0,0,1,2,3
VILLA TUNARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-03-01,0,2,0,0,0,2,2
CAMARGO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-04-01,0,1,0,0,0,1,1
COLCAPIRHUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-04-01,1,0,0,0,1,0,1
"COLCHA ""K""",otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-04-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-04-01,4,6,0,0,4,6,10
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-04-01,0,1,0,0,0,1,1
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-04-01,3,6,2,0,5,6,11
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-04-01,2,3,0,0,2,3,5
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-04-01,1,0,0,0,1,0,1
TACOPAYA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-04-01,1,0,1,0,2,0,2
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-04-01,0,2,0,0,0,2,2
ATOCHA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,1,4,0,0,1,4,5
BERMEJO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,4,6,0,0,4,6,10
CALAMARCA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,0,1,0,0,0,1,1
"COLCHA ""K""",otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,0,3,0,0,0,3,3
COLOMI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,0,0,1,2,1,2,3
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,6,4,0,0,6,4,10
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,14,14,0,0,14,14,28
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,0,0,3,0,3,0,3
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,1,2,0,0,1,2,3
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,4,3,0,0,4,3,7
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,5,3,3,0,8,3,11
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,0,1,0,0,0,1,1
TACOPAYA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,0,2,0,0,0,2,2
TUPIZA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,11,48,8,12,19,60,79
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-05-01,1,5,0,0,1,5,6
CARACOLLO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,2,1,0,0,2,1,3
COBIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,0,0,1,1,1,1,2
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,12,5,2,1,14,6,20
GUAYARAMERIN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,0,1,0,0,0,1,1
LA GUARDIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,4,0,0,0,4,0,4
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,3,7,0,0,3,7,10
MAGDALENA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,2,0,0,0,2,0,2
OCURI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,1,0,0,1,1,1,2
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,1,1,1,0,2,1,3
PAILON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,2,3,1,2,3,5,8
PALOS BLANCOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,0,1,0,0,0,1,1
PAMPA AULLAGAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,0,5,0,0,0,5,5
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,3,0,0,0,3,0,3
PUERTO PEREZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,0,0,0,3,0,3,3
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,0,3,6,19,6,22,28
SAN LUCAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,1,0,0,0,1,0,1
SAN MATIAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,1,2,0,0,1,2,3
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,1,0,0,0,1,0,1
TUPIZA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,3,0,1,5,4,5,9
VILLAZON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,1,0,0,0,1,0,1
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,1,3,0,0,1,3,4
YUNCHARA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-06-01,0,0,1,0,1,0,1
BAURES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,1,0,0,0,1,0,1
BERMEJO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,0,5,0,5,0,5
BOLPEBRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,0,11,0,11,0,11
CABEZAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,1,0,0,0,1,1
CARAPARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,1,0,0,0,1,1
COLCAPIRHUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,1,0,0,0,1,1
"COLCHA ""K""",otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,3,0,0,0,3,3
COLOMI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,0,0,1,0,1,1
COLQUENCHA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,91,1,0,0,91,1,92
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,1,3,0,0,1,3,4
LAJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,3,0,0,0,3,3
MAPIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,1,0,0,0,1,1
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,11,1,3,1,14,2,16
QUIME,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,0,2,1,2,1,3
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,1,0,4,0,5,5
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,0,0,1,0,1,1
SAN PEDRO DE QUEMES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,0,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,1,0,0,0,1,1
TUPIZA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,3,0,0,0,3,3
UYUNI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,3,0,0,0,3,0,3
VILLA MONTES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,1,0,0,0,1,1
YUNCHARA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-07-01,0,1,1,0,1,1,2
COLOMI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,0,0,2,1,2,1,3
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,11,0,2,1,13,1,14
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,53,56,0,0,53,56,109
MAIRANA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,2,5,0,0,2,5,7
PAILON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,4,1,0,0,4,1,5
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,0,2,0,0,0,2,2
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,2,2,0,0,2,2,4
SAN JUAN DE YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,1,1,0,0,1,1,2
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,0,1,0,0,0,1,1
SANTIAGO DE CALLAPA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,0,4,0,0,0,4,4
TAPACARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,1,1,0,0,1,1,2
TARATA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,0,0,1,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,4,0,0,1,4,1,5
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,0,0,1,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,3,2,0,0,3,2,5
VILLA MONTES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,0,0,12,4,12,4,16
WARNES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-08-01,0,2,0,0,0,2,2
BERMEJO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,0,1,0,0,0,1,1
BOLPEBRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,1,0,0,0,1,0,1
CAJUATA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,0,0,1,0,1,0,1
COLCAPIRHUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,0,3,0,0,0,3,3
COLOMI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,1,1,0,0,1,1,2
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,62,61,31,65,93,126,219
LA GUARDIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,1,35,0,0,1,35,36
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,3,6,0,0,3,6,9
PAILON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,6,5,6,0,12,5,17
PORTACHUELO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,0,4,0,0,0,4,4
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,3,8,0,0,3,8,11
SAN ANTONIO DE LOMERIO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,1,1,0,0,1,1,2
SAN MATIAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,10,4,0,0,10,4,14
SANTA ROSA DEL SARA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,0,1,0,0,0,1,1
TAPACARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,0,2,12,11,12,13,25
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,0,1,4,1,4,2,6
TOCO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,0,0,0,2,0,2,2
VILLA TUNARI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,1,0,0,0,1,0,1
VINTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,1,0,0,0,1,0,1
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-09-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-10-01,1,0,45,0,46,0,46
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-10-01,0,1,0,0,0,1,1
COLCAPIRHUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-10-01,1,0,0,0,1,0,1
CONCEPCION,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-10-01,0,0,37,45,37,45,82
COPACABANA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-10-01,0,0,2,2,2,2,4
CUATRO CAÑADAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-10-01,0,6,0,0,0,6,6
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-10-01,64,27,9,3,73,30,103
EL TORNO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-10-01,1,6,0,0,1,6,7
HUANUNI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-10-01,0,10,0,0,0,10,10
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-10-01,2,22,42,18,44,40,84
OMEREQUE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-10-01,1,0,0,0,1,0,1
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-10-01,7,4,0,0,7,4,11
PAILON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2020-10-01,0,0,1,0,1,0,1
