,group,variable,month,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
RIBERALTA,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,1,0,0,0,1,0,1
SACABAMBA,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,5,11,0,0,5,11,16
SAN IGNACIO,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,5,4,0,0,5,4,9
SANTA CRUZ DE LA SIERRA,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,478,1153,137,173,615,1326,1941
SANTIVAÑES,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,11,13,0,0,11,13,24
SUCRE,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,167,535,198,178,365,713,1078
TARATA,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,3,10,0,0,3,10,13
TARIJA,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,107,234,0,0,107,234,341
TOCO,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,8,11,0,0,8,11,19
TOLATA,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,0,4,0,0,0,4,4
VIACHA,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,14,21,0,0,14,21,35
WALDO BALLIVIAN,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,4,5,0,0,4,5,9
YOCALLA,otras vacunaciones,influenza estacional a personal de salud,2020-04-01,2,6,0,0,2,6,8
ACACIO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,15,16,0,0,15,16,31
ACHACACHI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,23,21,1,3,24,24,48
ACHOCALLA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,17,45,1,2,18,47,65
AIQUILE,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,28,45,2,10,30,55,85
ALALAY,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,5,8,0,0,5,8,13
ALCALA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,5,15,2,5,7,20,27
ALTO BENI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,11,13,2,3,13,16,29
ANCORAIMES,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,22,14,0,0,22,14,36
ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,13,26,0,3,13,29,42
ANTEQUERA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,4,14,0,0,4,14,18
ANZALDO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,10,8,3,7,13,15,28
APOLO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,10,19,6,7,16,26,42
ARAMPAMPA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,9,8,2,3,11,11,22
ARANI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,27,26,3,4,30,30,60
ARBIETO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,15,38,6,13,21,51,72
ARQUE,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,24,16,2,4,26,20,46
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,50,144,0,0,50,144,194
ATOCHA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,73,84,17,11,90,95,185
AUCAPATA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,6,10,0,0,6,10,16
AYATA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,9,11,0,0,9,11,20
AYO AYO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,10,15,0,0,10,15,25
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a personal de salud,2020-05-01,33,31,7,6,40,37,77
AZURDUY,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,21,30,2,1,23,31,54
BATALLAS,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,8,12,3,1,11,13,24
BAURES,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,10,7,4,3,14,10,24
BELEN DE ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,1,5,0,0,1,5,6
BELEN DE URMIRI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,1,4,0,1,1,5,6
BELLA FLOR,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,6,12,0,0,6,12,18
BERMEJO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,59,153,4,12,63,165,228
BETANZOS,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,63,41,1,2,64,43,107
BOLIVAR,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,6,10,2,1,8,11,19
BOLPEBRA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,4,8,1,2,5,10,15
BOYUIBE,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,14,20,0,1,14,21,35
BUENA VISTA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,9,29,23,11,32,40,72
CABEZAS,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,42,83,12,13,54,96,150
CAIROMA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,18,20,0,0,18,20,38
"CAIZA ""D""",otras vacunaciones,influenza estacional a personal de salud,2020-05-01,14,20,1,6,15,26,41
CAJUATA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,13,15,0,0,13,15,28
CALACOTO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,9,14,0,0,9,14,23
CALAMARCA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,14,29,0,2,14,31,45
CAMARGO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,33,55,2,4,35,59,94
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,influenza estacional a personal de salud,2020-05-01,11,12,0,1,11,13,24
CAMIRI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,51,140,0,8,51,148,199
CAPINOTA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,29,54,3,17,32,71,103
CAQUIAVIRI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,15,11,0,0,15,11,26
CARACOLLO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,29,69,5,8,34,77,111
CARANAVI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,56,101,1,0,57,101,158
CARAPARI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,51,77,2,15,53,92,145
CARIPUYO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,16,12,0,0,16,12,28
CARMEN RIVERO TORREZ,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,14,18,2,4,16,22,38
CATACORA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,4,7,0,0,4,7,11
CHACARILLA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,2,3,1,0,3,3,6
CHALLAPATA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,35,50,46,96,81,146,227
CHAQUI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,11,17,2,1,13,18,31
CHARAGUA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,82,105,4,5,86,110,196
CHARAÑA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,6,7,0,0,6,7,13
CHAYANTA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,15,15,8,14,23,29,52
CHIMORE,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,28,49,3,1,31,50,81
CHIPAYA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,7,5,0,0,7,5,12
CHOQUE COTA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,5,4,1,1,6,5,11
CHUA COCANI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,3,7,1,0,4,7,11
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,influenza estacional a personal de salud,2020-05-01,13,33,0,0,13,33,46
CHUMA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,19,7,3,0,22,7,29
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,7,15,2,1,9,16,25
CKOCHAS,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,27,19,7,5,34,24,58
CLIZA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,9,18,3,4,12,22,34
COBIJA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,104,320,45,117,149,437,586
COCAPATA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,41,28,7,1,48,29,77
COCHABAMBA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,1491,2712,179,374,1670,3086,4756
COIPASA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,2,1,0,0,2,1,3
COLCAPIRHUA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,80,140,0,0,80,140,220
"COLCHA ""K""",otras vacunaciones,influenza estacional a personal de salud,2020-05-01,29,40,4,1,33,41,74
COLLANA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,4,11,0,1,4,12,16
COLOMI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,20,25,0,0,20,25,45
COLPA BELGICA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,17,20,0,0,17,20,37
COLQUECHACA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,45,48,9,8,54,56,110
COLQUENCHA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,7,13,0,0,7,13,20
COLQUIRI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,24,25,1,3,25,28,53
COMANCHE,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,1,4,0,0,1,4,5
COMARAPA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,29,63,6,12,35,75,110
COMBAYA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,0,3,1,2,1,5,6
CONCEPCION,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,22,57,1,2,23,59,82
COPACABANA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,3,0,8,13,11,13,24
CORIPATA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,19,20,0,0,19,20,39
CORO CORO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,22,18,0,0,22,18,40
COROICO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,36,52,0,1,36,53,89
CORQUE,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,12,9,0,3,12,12,24
COTAGAITA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,39,46,4,4,43,50,93
COTOCA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,100,221,3,1,103,222,325
CRUZ DE MACHACAMARCA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,0,0,2,4,2,4,6
CUATRO CAÑADAS,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,20,50,5,10,25,60,85
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,influenza estacional a personal de salud,2020-05-01,12,9,0,0,12,9,21
CUEVO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,16,17,1,2,17,19,36
CULPINA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,30,43,5,8,35,51,86
CURAHUARA DE CARANGAS,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,6,13,0,2,6,15,21
CURVA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,8,4,0,0,8,4,12
DESAGUADERO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,12,12,0,0,12,12,24
EL ALTO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,741,1632,292,503,1033,2135,3168
EL CHORO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,8,17,0,1,8,18,26
EL PUENTE(STC),otras vacunaciones,influenza estacional a personal de salud,2020-05-01,18,34,3,7,21,41,62
EL PUENTE(TJA),otras vacunaciones,influenza estacional a personal de salud,2020-05-01,36,38,2,2,38,40,78
EL TORNO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,85,256,1,4,86,260,346
EL VILLAR,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,19,23,0,1,19,24,43
ENTRE RIOS TRJ,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,37,79,15,18,52,97,149
ENTRE RIOS CBBA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,20,70,7,2,27,72,99
ESCARA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,6,1,0,0,6,1,7
ESCOMA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,12,13,0,0,12,13,25
EUREKA (SANTOS MERCADO),otras vacunaciones,influenza estacional a personal de salud,2020-05-01,7,4,2,0,9,4,13
EXALTACION,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,4,4,0,0,4,4,8
FERNANDEZ ALONSO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,13,44,3,3,16,47,63
FILADELFIA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,22,28,0,0,22,28,50
GENERAL SAAVEDRA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,13,44,0,1,13,45,58
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,influenza estacional a personal de salud,2020-05-01,30,8,0,0,30,8,38
GUANAY,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,8,7,2,3,10,10,20
GUAQUI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,11,9,1,0,12,9,21
GUAYARAMERIN,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,35,54,0,0,35,54,89
GUTIERREZ,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,28,38,2,1,30,39,69
HUACARETA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,9,16,1,2,10,18,28
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,influenza estacional a personal de salud,2020-05-01,9,14,0,0,9,14,23
HUACHACALLA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,6,12,0,0,6,12,18
HUANUNI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,77,171,3,6,80,177,257
HUARACAJE,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,16,9,0,0,16,9,25
HUARINA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,5,6,0,0,5,6,11
HUATAJATA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,4,5,0,1,4,6,10
HUAYLLAMARCA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,10,14,0,0,10,14,24
HUMANATA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,7,4,0,0,7,4,11
ICHOCA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,9,5,0,1,9,6,15
ICLA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,15,21,4,4,19,25,44
INCAHUASI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,10,19,2,3,12,22,34
INGAVI (HUMAITA),otras vacunaciones,influenza estacional a personal de salud,2020-05-01,4,4,0,0,4,4,8
INQUISIVI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,12,9,3,1,15,10,25
IRUPANA (VILLA DE LANZA),otras vacunaciones,influenza estacional a personal de salud,2020-05-01,13,23,2,5,15,28,43
IXIAMAS,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,9,12,1,0,10,12,22
JESUS DE MACHACA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,19,31,1,2,20,33,53
LA ASUNTA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,45,61,0,0,45,61,106
LA GUARDIA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,67,231,5,32,72,263,335
LA PAZ,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,1435,2698,381,567,1816,3265,5081
LA RIVERA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,0,0,2,3,2,3,5
LAGUNILLAS,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,16,18,0,0,16,18,34
LAJA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,17,25,0,1,17,26,43
LAS CARRERAS,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,9,10,0,3,9,13,22
LICOMA PAMPA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,1,3,0,0,1,3,4
LLALLAGUA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,113,179,118,155,231,334,565
LLICA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,14,16,0,1,14,17,31
LORETO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,0,0,7,11,7,11,18
LURIBAY,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,9,12,20,10,29,22,51
MACHACAMARCA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,1,3,2,3,3,6,9
MACHARETI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,8,11,0,0,8,11,19
MAGDALENA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,2,21,9,19,11,40,51
MAIRANA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,6,38,7,4,13,42,55
MALLA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,3,1,5,2,8,3,11
MAPIRI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,7,19,1,0,8,19,27
MECAPACA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,15,22,4,5,19,27,46
MINEROS,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,16,27,1,7,17,34,51
MIZQUE,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,23,50,0,0,23,50,73
MOCOMOCO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,24,18,0,0,24,18,42
MOJINETE,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,5,0,1,3,6,3,9
MOJOCOYA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,12,14,0,0,12,14,26
MONTEAGUDO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,50,100,2,2,52,102,154
MONTERO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,217,485,30,81,247,566,813
MORO MORO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,5,9,0,0,5,9,14
MOROCHATA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,10,13,5,3,15,16,31
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,influenza estacional a personal de salud,2020-05-01,8,17,1,1,9,18,27
NAZACARA DE PACAJES,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,1,2,0,0,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,influenza estacional a personal de salud,2020-05-01,11,5,1,5,12,10,22
OCURI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,8,10,2,5,10,15,25
OKINAWA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,16,27,0,3,16,30,46
OMEREQUE,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,18,18,0,2,18,20,38
ORURO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,777,1163,431,669,1208,1832,3040
PADCAYA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,25,46,4,3,29,49,78
PADILLA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,4,8,12,75,16,83,99
PAILON,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,110,127,7,7,117,134,251
PALCA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,18,18,0,0,18,18,36
PALOS BLANCOS,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,23,39,4,6,27,45,72
PAMPA AULLAGAS,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,5,10,2,4,7,14,21
PAMPA GRANDE,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,19,33,0,1,19,34,53
PAPEL PAMPA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,5,7,3,0,8,7,15
PASORAPA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,3,9,5,3,8,12,20
PATACAMAYA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,9,22,1,0,10,22,32
PAZÑA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,9,13,1,2,10,15,25
PELECHUCO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,3,1,0,0,3,1,4
POCOATA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,33,43,2,2,35,45,80
POCONA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,10,16,1,5,11,21,32
POJO (CBBA),otras vacunaciones,influenza estacional a personal de salud,2020-05-01,13,13,1,2,14,15,29
POOPO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,12,20,0,1,12,21,33
PORCO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,12,23,5,10,17,33,50
POROMA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,19,22,7,4,26,26,52
PORONGO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,23,20,1,1,24,21,45
PORTACHUELO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,38,84,0,0,38,84,122
PORVENIR,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,12,55,1,3,13,58,71
POSTRER VALLE,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,6,8,0,0,6,8,14
POTOSI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,610,1113,95,187,705,1300,2005
PRESTO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,13,16,4,1,17,17,34
PUCARA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,6,16,0,0,6,16,22
PUCARANI,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,20,21,6,3,26,24,50
PUERTO ACOSTA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,7,5,0,0,7,5,12
PUERTO CARABUCO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,14,15,0,0,14,15,29
PUERTO GONZALO MORENO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,27,24,6,8,33,32,65
PUERTO PEREZ,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,7,0,5,10,12,10,22
PUERTO QUIJARRO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,12,16,2,3,14,19,33
PUERTO RICO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,8,9,20,29,28,38,66
PUERTO SUAREZ,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,26,57,12,27,38,84,122
PUERTO VILLARROEL,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,68,109,5,4,73,113,186
PUNA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,24,32,9,3,33,35,68
PUNATA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,57,150,10,16,67,166,233
QUIABAYA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,6,6,0,0,6,6,12
QUILLACOLLO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,128,225,79,117,207,342,549
QUIME,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,11,9,3,5,14,14,28
QUIRUSILLAS,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,7,11,0,0,7,11,18
RAQAYPAMPA(ETA),otras vacunaciones,influenza estacional a personal de salud,2020-05-01,9,5,0,0,9,5,14
RAVELO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,26,38,5,3,31,41,72
RIBERALTA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,342,543,4,2,346,545,891
ROBORE,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,48,87,0,0,48,87,135
RURRENABAQUE,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,1,5,13,43,14,48,62
SABAYA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,12,16,0,0,12,16,28
SACABA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,153,258,111,118,264,376,640
SACABAMBA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,0,6,1,2,1,8,9
SACACA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,29,26,1,0,30,26,56
SAIPINA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,12,29,0,0,12,29,41
SALINAS DE GARCI MENDOZA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,29,26,2,0,31,26,57
SAMAIPATA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,16,35,0,4,16,39,55
SAN AGUSTIN,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,5,7,0,0,5,7,12
SAN ANDRES,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,1,0,0,1,1,1,2
SAN ANDRES DE MACHACA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,1,4,0,0,1,4,5
SAN ANTONIO DE ESMORUCO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,2,0,2,0,4,0,4
SAN ANTONIO DE LOMERIO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,14,14,0,0,14,14,28
SAN BENITO,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,12,43,2,9,14,52,66
SAN BORJA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,69,115,0,2,69,117,186
SAN BUENA VENTURA,otras vacunaciones,influenza estacional a personal de salud,2020-05-01,9,18,4,2,13,20,33
