,group,variable,month,TOTAL 25.3 TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TOTAL 25.3 TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD INCIADO,TOTAL 25.3 TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTAL 25.3 TRATAMIENTOS 5 AÑOS A MENORES DE 15 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
TUPIZA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,0,1,0,0,0,1,1
VITICHI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,2,4,0,0,2,4,6
WARNES,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-01-01,0,0,1,5,1,5,6
BERMEJO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-02-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-02-01,1,0,0,0,1,0,1
COTAGAITA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-02-01,0,0,1,0,1,0,1
CULPINA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-02-01,1,0,0,0,1,0,1
GUTIERREZ,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-02-01,0,0,10,7,10,7,17
LA PAZ,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-02-01,0,1,0,0,0,1,1
MONTERO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-02-01,1,2,0,1,1,3,4
PAMPA GRANDE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-02-01,11,0,0,0,11,0,11
RAVELO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-02-01,0,0,1,1,1,1,2
SIPE SIPE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-02-01,0,0,1,1,1,1,2
TARIJA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-02-01,6,3,0,0,6,3,9
VILLA TUNARI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-02-01,0,0,0,1,0,1,1
WARNES,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-02-01,0,0,1,0,1,0,1
ARBIETO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,0,0,1,1,1,1,2
CAMIRI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,0,1,0,1,0,2,2
CHAQUI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,0,1,0,2,0,3,3
EL TORNO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,0,0,1,1,1,1,2
FERNANDEZ ALONSO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,2,0,0,0,2,0,2
GUAYARAMERIN,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,0,1,0,0,0,1,1
MAIRANA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,0,0,1,1,1,1,2
MINEROS,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,0,0,0,1,0,1,1
MONTEAGUDO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,0,0,0,2,0,2,2
MONTERO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,2,0,1,0,3,0,3
MORO MORO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,1,1,0,0,1,1,2
QUILLACOLLO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,0,1,1,0,1,1,2
SAN LORENZO(TJA),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,0,0,0,1,0,1,1
SUCRE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,1,0,0,0,1,0,1
TARIJA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,11,8,0,0,11,8,19
TUPIZA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,0,0,0,1,0,1,1
VALLEGRANDE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,0,1,0,0,0,1,1
VITICHI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-03-01,0,0,1,2,1,2,3
ANZALDO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-04-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-04-01,3,4,0,0,3,4,7
COTOCA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-04-01,0,0,0,1,0,1,1
CULPINA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-04-01,1,0,1,0,2,0,2
GUTIERREZ,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-04-01,1,0,0,0,1,0,1
MONTERO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-04-01,1,1,1,3,2,4,6
QUILLACOLLO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-04-01,0,1,0,0,0,1,1
SAN PEDRO DE BUENA VISTA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-04-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-04-01,0,0,0,2,0,2,2
TAPACARI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-04-01,0,1,0,0,0,1,1
TARIJA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-04-01,7,5,1,3,8,8,16
TIQUIPAYA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-04-01,0,1,0,2,0,3,3
VALLEGRANDE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-04-01,0,0,0,1,0,1,1
VINTO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-04-01,1,1,0,0,1,1,2
CAMIRI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-05-01,1,0,0,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-05-01,2,4,1,0,3,4,7
EL TORNO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-05-01,2,0,0,0,2,0,2
GUAYARAMERIN,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-05-01,0,1,0,0,0,1,1
LA GUARDIA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-05-01,0,2,0,0,0,2,2
MONTERO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-05-01,0,0,2,0,2,0,2
MORO MORO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-05-01,0,0,1,1,1,1,2
QUILLACOLLO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-05-01,0,1,0,1,0,2,2
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-05-01,21,4,0,0,21,4,25
SUCRE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-05-01,0,1,0,0,0,1,1
TARIJA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-05-01,1,3,6,4,7,7,14
TARVITA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-05-01,0,1,0,0,0,1,1
TUPIZA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-05-01,9,15,0,0,9,15,24
WARNES,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-05-01,0,1,0,0,0,1,1
BETANZOS,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-06-01,1,1,0,0,1,1,2
COTAGAITA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-06-01,2,3,0,0,2,3,5
EL TORNO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-06-01,1,0,0,0,1,0,1
GUAYARAMERIN,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-06-01,0,0,0,1,0,1,1
GUTIERREZ,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-06-01,0,0,1,0,1,0,1
IRUPANA (VILLA DE LANZA),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-06-01,33,0,0,0,33,0,33
MONTEAGUDO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-06-01,0,1,0,0,0,1,1
MONTERO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-06-01,1,2,1,1,2,3,5
SAN LORENZO(TJA),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-06-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-06-01,5,4,2,2,7,6,13
SANTIVAÑES,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-06-01,0,1,0,0,0,1,1
TAPACARI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-06-01,0,0,0,1,0,1,1
TARATA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-06-01,1,1,0,0,1,1,2
TARIJA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-06-01,0,1,2,0,2,1,3
BETANZOS,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,9,11,0,0,9,11,20
CAPINOTA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,1,5,0,1,1,6,7
CHARAGUA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,0,3,2,1,2,4,6
EL TORNO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,3,3,1,0,4,3,7
IRUPANA (VILLA DE LANZA),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,1,0,0,2,1,2,3
MONTEAGUDO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,2,0,0,0,2,0,2
MONTERO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,1,1,0,0,1,1,2
PAILON,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,0,6,0,0,0,6,6
PUNATA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,1,1,0,2,1,3,4
TARIJA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,0,0,1,3,1,3,4
TARVITA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,0,0,0,1,0,1,1
TUPIZA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,1,1,0,0,1,1,2
VILLA MONTES,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,0,1,0,0,0,1,1
VITICHI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,2,0,0,0,2,0,2
WARNES,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-07-01,0,1,0,0,0,1,1
AIQUILE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,1,0,0,0,1,0,1
BERMEJO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,4,6,0,0,4,6,10
BETANZOS,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,2,1,0,0,2,1,3
CHARAGUA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,0,2,1,0,1,2,3
COCHABAMBA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,1,0,0,0,1,0,1
COTAGAITA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,0,1,2,2,2,3,5
EL TORNO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,0,0,1,0,1,0,1
IRUPANA (VILLA DE LANZA),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,1,0,5,2,6,2,8
MIZQUE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,1,0,1,2,2,2,4
MONTERO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,0,0,1,1,1,1,2
MORO MORO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,0,0,1,0,1,0,1
PUNATA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,0,1,0,0,0,1,1
RAVELO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,1,1,0,0,1,1,2
RIBERALTA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,12,10,0,0,12,10,22
SUCRE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,2,3,0,0,2,3,5
TARABUCO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,0,0,1,0,1,0,1
TARIJA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,0,0,0,1,0,1,1
VALLEGRANDE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,1,0,0,0,1,0,1
VILLA TUNARI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,0,0,1,0,1,0,1
WARNES,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-08-01,0,1,0,0,0,1,1
AIQUILE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-09-01,1,0,0,0,1,0,1
ANZALDO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-09-01,1,0,0,0,1,0,1
CAMARGO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-09-01,1,0,0,0,1,0,1
CHARAGUA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-09-01,0,0,0,1,0,1,1
COCHABAMBA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-09-01,0,0,0,1,0,1,1
COMARAPA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-09-01,37,54,0,0,37,54,91
COTAGAITA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-09-01,4,7,2,1,6,8,14
EL PUENTE(TJA),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-09-01,0,2,0,0,0,2,2
EL TORNO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-09-01,1,0,1,0,2,0,2
GUTIERREZ,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-09-01,1,4,0,0,1,4,5
MONTERO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-09-01,0,0,1,1,1,1,2
SUCRE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-09-01,4,1,0,0,4,1,5
TAPACARI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-09-01,1,0,0,0,1,0,1
VALLEGRANDE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-09-01,3,2,0,0,3,2,5
VILLA MONTES,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-09-01,0,1,0,1,0,2,2
VITICHI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-09-01,1,1,0,0,1,1,2
ARQUE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,0,3,0,0,0,3,3
BERMEJO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,0,1,1,1,1,2,3
BETANZOS,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,0,0,2,1,2,1,3
CAMARGO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,2,0,0,0,2,0,2
CAMIRI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,1,0,2,0,3,0,3
COCHABAMBA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,2,2,0,0,2,2,4
COMARAPA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,0,0,11,0,11,0,11
IRUPANA (VILLA DE LANZA),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,1,0,10,6,11,6,17
MACHARETI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,2,4,0,0,2,4,6
PORVENIR,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,2,2,0,0,2,2,4
PUNATA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,6,4,6,4,12,8,20
SUCRE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,0,2,0,3,0,5,5
TARIJA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,6,8,0,0,6,8,14
TOCO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,1,0,0,0,1,0,1
VALLEGRANDE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,4,1,9,2,13,3,16
VILLA MONTES,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,0,1,0,0,0,1,1
VITICHI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,0,0,2,0,2,0,2
WARNES,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-10-01,0,0,1,1,1,1,2
AIQUILE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,0,0,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,0,0,2,1,2,1,3
BUENA VISTA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,1,0,0,0,1,0,1
CAMARGO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,1,0,0,0,1,0,1
CHARAGUA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,1,0,0,1,1,1,2
COMARAPA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,0,0,27,32,27,32,59
COTAGAITA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,0,0,6,11,6,11,17
EL TORNO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,0,0,2,0,2,0,2
GUAYARAMERIN,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,0,1,0,0,0,1,1
MAIRANA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,0,0,1,1,1,1,2
MONTEAGUDO,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,1,0,1,0,2,0,2
SANTIVAÑES,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,5,2,0,0,5,2,7
SUCRE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,1,0,4,0,5,0,5
TAPACARI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,0,0,1,0,1,0,1
TARIJA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,4,9,0,0,4,9,13
VALLEGRANDE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,2,2,2,0,4,2,6
VILLA MONTES,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,0,2,0,0,0,2,2
VILLA TUNARI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-11-01,2,1,18,5,20,6,26
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-12-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-12-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-12-01,0,0,1,1,1,1,2
SANTIVAÑES,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-12-01,2,0,0,0,2,0,2
SUCRE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-12-01,1,0,0,2,1,2,3
TAPACARI,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-12-01,0,0,1,0,1,0,1
TARIJA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-12-01,0,3,0,0,0,3,3
VALLEGRANDE,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-12-01,4,2,3,2,7,4,11
YUNCHARA,chagas,      tratamientos 5 anos a menores de 15 anos de edad,2014-12-01,1,0,0,0,1,0,1
