,group,variable,month,TOTAL 25.2 TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TOTAL 25.2 TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TOTAL 25.2 TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTAL 25.2 TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
TUPIZA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-02-01,0,0,1,0,1,0,1
CAMIRI,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-03-01,1,0,1,0,2,0,2
MIZQUE,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-03-01,1,1,0,0,1,1,2
SUCRE,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-03-01,0,1,0,0,0,1,1
VITICHI,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-03-01,0,0,0,1,0,1,1
PAMPA GRANDE,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-04-01,0,0,0,1,0,1,1
SUCRE,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-04-01,0,2,0,0,0,2,2
TARIJA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-04-01,0,1,0,0,0,1,1
WARNES,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-04-01,0,1,0,0,0,1,1
CAMIRI,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-05-01,0,0,1,0,1,0,1
CULPINA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-05-01,0,2,0,0,0,2,2
QUILLACOLLO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-05-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-05-01,0,0,1,0,1,0,1
TARIJA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-05-01,1,0,0,1,1,1,2
TUPIZA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-05-01,1,0,0,0,1,0,1
WARNES,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-05-01,0,1,0,0,0,1,1
BETANZOS,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-06-01,1,1,0,0,1,1,2
EL TORNO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-06-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-06-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-06-01,1,0,0,0,1,0,1
WARNES,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-06-01,0,0,0,1,0,1,1
EL TORNO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-07-01,3,0,0,0,3,0,3
TARIJA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-07-01,0,0,1,0,1,0,1
TUPIZA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-07-01,0,1,0,0,0,1,1
ARBIETO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-08-01,1,0,0,0,1,0,1
CAPINOTA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-08-01,1,1,0,0,1,1,2
CLIZA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-08-01,1,0,0,0,1,0,1
EL TORNO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-08-01,0,1,1,0,1,1,2
RIBERALTA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-08-01,0,2,0,0,0,2,2
SUCRE,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-08-01,1,0,0,0,1,0,1
TARABUCO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-08-01,1,0,0,0,1,0,1
TUPIZA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-08-01,0,0,1,0,1,0,1
CAMARGO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-09-01,1,0,0,0,1,0,1
COTAGAITA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-09-01,0,0,0,1,0,1,1
EL TORNO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-09-01,0,2,1,0,1,2,3
GUTIERREZ,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-09-01,0,1,0,0,0,1,1
MACHARETI,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-09-01,0,0,1,0,1,0,1
QUILLACOLLO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-09-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-09-01,0,1,0,0,0,1,1
VALLEGRANDE,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-09-01,0,1,0,0,0,1,1
CAMARGO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-10-01,1,0,0,0,1,0,1
CAMIRI,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-10-01,1,0,0,0,1,0,1
CAPINOTA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-10-01,1,0,1,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-10-01,0,2,0,1,0,3,3
COMARAPA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-10-01,0,0,1,0,1,0,1
EL TORNO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-10-01,0,0,0,1,0,1,1
IRUPANA (VILLA DE LANZA),chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-10-01,0,0,0,1,0,1,1
MONTEAGUDO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-10-01,1,0,0,0,1,0,1
SUCRE,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-10-01,0,0,1,0,1,0,1
TUPIZA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-10-01,0,1,0,0,0,1,1
CAMARGO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-11-01,1,0,0,0,1,0,1
EL TORNO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-11-01,0,0,0,2,0,2,2
SAN LUCAS,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-11-01,1,0,0,0,1,0,1
TARIJA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-11-01,2,0,0,0,2,0,2
VILLA SERRANO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-11-01,0,1,0,0,0,1,1
CAPINOTA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-12-01,0,0,0,1,0,1,1
TUPIZA,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-12-01,0,0,0,1,0,1,1
VILLA SERRANO,chagas,      tratamientos 1 ano a menores de 5 anos de edad,2014-12-01,0,1,0,0,0,1,1
