,group,variable,month,TOTAL 25.1 TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TOTAL 25.1 TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TOTAL 25.1 TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTAL 25.1 TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
VILLA MONTES,chagas,      tratamientos rn a menores de 1 ano de edad,2014-02-01,0,1,0,0,0,1,1
VILLA TUNARI,chagas,      tratamientos rn a menores de 1 ano de edad,2014-02-01,0,0,1,0,1,0,1
YACUIBA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-02-01,3,0,0,0,3,0,3
ZUDAÑEZ,chagas,      tratamientos rn a menores de 1 ano de edad,2014-02-01,1,1,0,0,1,1,2
CAMIRI,chagas,      tratamientos rn a menores de 1 ano de edad,2014-03-01,0,2,0,0,0,2,2
HUACARETA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-03-01,0,0,1,0,1,0,1
MONTERO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-03-01,0,0,1,1,1,1,2
PAMPA GRANDE,chagas,      tratamientos rn a menores de 1 ano de edad,2014-03-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-03-01,1,0,1,0,2,0,2
SUCRE,chagas,      tratamientos rn a menores de 1 ano de edad,2014-03-01,0,1,0,0,0,1,1
VILLA MONTES,chagas,      tratamientos rn a menores de 1 ano de edad,2014-03-01,0,1,0,0,0,1,1
YACUIBA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-03-01,0,2,0,0,0,2,2
ZUDAÑEZ,chagas,      tratamientos rn a menores de 1 ano de edad,2014-03-01,0,0,0,1,0,1,1
CAMARGO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-04-01,1,1,0,0,1,1,2
CAMIRI,chagas,      tratamientos rn a menores de 1 ano de edad,2014-04-01,0,0,0,2,0,2,2
COLCAPIRHUA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-04-01,0,1,0,0,0,1,1
LA ASUNTA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-04-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-04-01,1,0,0,0,1,0,1
MONTERO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-04-01,1,0,0,0,1,0,1
QUILLACOLLO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-04-01,1,0,0,0,1,0,1
SUCRE,chagas,      tratamientos rn a menores de 1 ano de edad,2014-04-01,0,0,0,1,0,1,1
YACUIBA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-04-01,2,1,0,2,2,3,5
ZUDAÑEZ,chagas,      tratamientos rn a menores de 1 ano de edad,2014-04-01,0,0,1,0,1,0,1
CAMARGO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-05-01,0,0,1,1,1,1,2
CARAPARI,chagas,      tratamientos rn a menores de 1 ano de edad,2014-05-01,0,1,0,0,0,1,1
COTOCA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-05-01,1,0,0,0,1,0,1
MACHARETI,chagas,      tratamientos rn a menores de 1 ano de edad,2014-05-01,1,0,0,0,1,0,1
MONTERO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-05-01,1,0,1,1,2,1,3
PAMPA GRANDE,chagas,      tratamientos rn a menores de 1 ano de edad,2014-05-01,0,0,0,1,0,1,1
POROMA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-05-01,1,0,0,0,1,0,1
SAN LUCAS,chagas,      tratamientos rn a menores de 1 ano de edad,2014-05-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-05-01,18,13,0,0,18,13,31
TARIJA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-05-01,0,2,0,0,0,2,2
URIONDO (A. CONCEPCION),chagas,      tratamientos rn a menores de 1 ano de edad,2014-05-01,0,1,0,0,0,1,1
YACUIBA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-05-01,2,1,0,0,2,1,3
COMARAPA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-06-01,1,0,0,0,1,0,1
COTOCA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-06-01,0,0,1,0,1,0,1
LA ASUNTA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-06-01,0,0,0,1,0,1,1
MONTEAGUDO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-06-01,0,0,1,0,1,0,1
MONTERO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-06-01,0,0,1,0,1,0,1
PAILON,chagas,      tratamientos rn a menores de 1 ano de edad,2014-06-01,1,0,0,0,1,0,1
SAN LUCAS,chagas,      tratamientos rn a menores de 1 ano de edad,2014-06-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-06-01,16,20,0,0,16,20,36
SHINAOTA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-06-01,1,0,0,0,1,0,1
SUCRE,chagas,      tratamientos rn a menores de 1 ano de edad,2014-06-01,0,1,0,0,0,1,1
TARVITA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-06-01,0,1,0,0,0,1,1
YACUIBA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-06-01,0,0,1,0,1,0,1
EL TORNO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-07-01,0,1,0,0,0,1,1
MACHARETI,chagas,      tratamientos rn a menores de 1 ano de edad,2014-07-01,0,0,1,0,1,0,1
MONTEAGUDO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-07-01,1,0,0,0,1,0,1
POROMA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-07-01,0,1,0,0,0,1,1
SHINAOTA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-07-01,0,0,1,0,1,0,1
SUCRE,chagas,      tratamientos rn a menores de 1 ano de edad,2014-07-01,1,1,0,1,1,2,3
TARVITA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-07-01,0,0,0,1,0,1,1
YAPACANI,chagas,      tratamientos rn a menores de 1 ano de edad,2014-07-01,0,1,0,0,0,1,1
CAPINOTA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-08-01,0,1,0,0,0,1,1
EL TORNO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-08-01,0,0,0,1,0,1,1
LA GUARDIA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-08-01,1,0,0,0,1,0,1
MACHARETI,chagas,      tratamientos rn a menores de 1 ano de edad,2014-08-01,1,0,0,0,1,0,1
MINEROS,chagas,      tratamientos rn a menores de 1 ano de edad,2014-08-01,0,0,1,1,1,1,2
MONTEAGUDO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-08-01,0,0,1,0,1,0,1
POROMA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-08-01,0,1,1,0,1,1,2
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-08-01,1,0,0,0,1,0,1
SHINAOTA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-08-01,1,0,1,0,2,0,2
SUCRE,chagas,      tratamientos rn a menores de 1 ano de edad,2014-08-01,0,0,1,1,1,1,2
URIONDO (A. CONCEPCION),chagas,      tratamientos rn a menores de 1 ano de edad,2014-08-01,0,1,0,0,0,1,1
CARANAVI,chagas,      tratamientos rn a menores de 1 ano de edad,2014-09-01,1,0,0,0,1,0,1
MACHARETI,chagas,      tratamientos rn a menores de 1 ano de edad,2014-09-01,0,0,1,0,1,0,1
MINEROS,chagas,      tratamientos rn a menores de 1 ano de edad,2014-09-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-09-01,0,1,0,0,0,1,1
POROMA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-09-01,0,0,0,2,0,2,2
SAN LUCAS,chagas,      tratamientos rn a menores de 1 ano de edad,2014-09-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-09-01,0,1,0,0,0,1,1
TIQUIPAYA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-09-01,0,1,0,0,0,1,1
URIONDO (A. CONCEPCION),chagas,      tratamientos rn a menores de 1 ano de edad,2014-09-01,0,1,0,0,0,1,1
YOTALA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-09-01,0,1,0,0,0,1,1
AZURDUY,chagas,      tratamientos rn a menores de 1 ano de edad,2014-10-01,1,0,0,0,1,0,1
CAMIRI,chagas,      tratamientos rn a menores de 1 ano de edad,2014-10-01,0,1,0,0,0,1,1
LA ASUNTA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-10-01,1,0,0,0,1,0,1
MACHARETI,chagas,      tratamientos rn a menores de 1 ano de edad,2014-10-01,1,0,0,0,1,0,1
MINEROS,chagas,      tratamientos rn a menores de 1 ano de edad,2014-10-01,0,0,0,1,0,1,1
MONTEAGUDO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-10-01,0,1,0,1,0,2,2
POROMA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-10-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-10-01,0,1,0,0,0,1,1
SUCRE,chagas,      tratamientos rn a menores de 1 ano de edad,2014-10-01,3,1,0,2,3,3,6
TARIJA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-10-01,0,1,0,0,0,1,1
URIONDO (A. CONCEPCION),chagas,      tratamientos rn a menores de 1 ano de edad,2014-10-01,0,0,0,2,0,2,2
YACUIBA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-10-01,1,0,0,0,1,0,1
BERMEJO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-11-01,1,2,0,0,1,2,3
COCHABAMBA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-11-01,2,2,0,0,2,2,4
LAGUNILLAS,chagas,      tratamientos rn a menores de 1 ano de edad,2014-11-01,0,8,0,0,0,8,8
MACHARETI,chagas,      tratamientos rn a menores de 1 ano de edad,2014-11-01,0,0,1,0,1,0,1
MINEROS,chagas,      tratamientos rn a menores de 1 ano de edad,2014-11-01,1,1,0,0,1,1,2
PADCAYA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-11-01,1,0,0,0,1,0,1
POROMA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-11-01,1,1,1,0,2,1,3
SAN PEDRO DE BUENA VISTA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-11-01,33,10,0,0,33,10,43
SUCRE,chagas,      tratamientos rn a menores de 1 ano de edad,2014-11-01,0,0,4,1,4,1,5
TARIJA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-11-01,0,0,0,1,0,1,1
TUPIZA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-11-01,1,0,0,0,1,0,1
VILLA TUNARI,chagas,      tratamientos rn a menores de 1 ano de edad,2014-11-01,1,0,0,0,1,0,1
WARNES,chagas,      tratamientos rn a menores de 1 ano de edad,2014-11-01,0,0,0,1,0,1,1
AZURDUY,chagas,      tratamientos rn a menores de 1 ano de edad,2014-12-01,0,0,1,0,1,0,1
BELLA FLOR,chagas,      tratamientos rn a menores de 1 ano de edad,2014-12-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos rn a menores de 1 ano de edad,2014-12-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-12-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-12-01,0,1,0,2,0,3,3
PADCAYA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-12-01,0,0,1,0,1,0,1
POROMA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-12-01,0,1,1,0,1,1,2
SAN LUCAS,chagas,      tratamientos rn a menores de 1 ano de edad,2014-12-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-12-01,0,0,0,1,0,1,1
SUCRE,chagas,      tratamientos rn a menores de 1 ano de edad,2014-12-01,1,4,0,0,1,4,5
TARABUCO,chagas,      tratamientos rn a menores de 1 ano de edad,2014-12-01,0,0,1,0,1,0,1
URIONDO (A. CONCEPCION),chagas,      tratamientos rn a menores de 1 ano de edad,2014-12-01,1,1,0,0,1,1,2
VILLA TUNARI,chagas,      tratamientos rn a menores de 1 ano de edad,2014-12-01,1,0,0,0,1,0,1
YACUIBA,chagas,      tratamientos rn a menores de 1 ano de edad,2014-12-01,1,0,0,0,1,0,1
