,group,variable,month,VACUNACIONES SRP,VACUNACIONES SRP,VACUNACIONES SRP,VACUNACIONES SRP,TOTALES,TOTALES,TOTALES
BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,7,21,0,0,7,21,28
CABEZAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,30,5,0,0,30,5,35
CAIROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,19,0,0,2,19,21
"CAIZA ""D""",vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,7,0,0,1,7,8
CAJUATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,18,8,0,0,18,8,26
CALACOTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,1,0,0,0,1,1
CALAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,11,0,0,1,11,12
CAMARGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,11,9,0,0,11,9,20
CAMATAQUI (C. VILLA ABECIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,1,0,0,4,1,5
CAMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,45,19,0,0,45,19,64
CAPINOTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,17,23,0,0,17,23,40
CAQUIAVIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,6,0,0,1,6,7
CARACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,18,20,0,0,18,20,38
CARANAVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,69,54,0,0,69,54,123
CARAPARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,9,0,0,4,9,13
CARIPUYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,9,0,0,1,9,10
CARMEN RIVERO TORREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,3,6,0,0,3,6,9
CATACORA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,1,0,0,1,1,2
CHALLAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,28,34,0,0,28,34,62
CHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,7,7,0,0,7,7,14
CHARAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,17,40,0,0,17,40,57
CHARAÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,6,0,0,0,6,6
CHAYANTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,11,21,0,0,11,21,32
CHIMORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,34,7,0,0,34,7,41
CHIPAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,0,0,0,4,0,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,6,10,0,0,6,10,16
CHUMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,8,10,0,0,8,10,18
CLIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,27,13,0,0,27,13,40
COBIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,64,26,0,0,64,26,90
COCHABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1233,58,0,0,1233,58,1291
COIPASA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,0,0,0,2,0,2
COLCAPIRHUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,109,21,0,0,109,21,130
"COLCHA ""K""",vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,5,3,0,0,5,3,8
COLLANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,3,0,0,0,3,3
COLOMI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,34,25,0,0,34,25,59
COLPA BELGICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,8,0,0,4,8,12
COLQUECHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,12,50,0,0,12,50,62
COLQUENCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,5,8,0,0,5,8,13
COLQUIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,5,29,0,0,5,29,34
COMANCHE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,3,0,0,0,3,0,3
COMARAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,18,16,0,0,18,16,34
CONCEPCION,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,28,4,0,0,28,4,32
COPACABANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,12,0,0,2,12,14
CORIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,16,5,0,0,16,5,21
CORO CORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,6,0,0,0,6,6
CORQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,3,0,0,0,3,3
COTAGAITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,12,0,0,4,12,16
COTOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,75,16,0,0,75,16,91
CUATRO CAÑADAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,22,8,0,0,22,8,30
CUCHUMUELA (V. G. VILLARROEL),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,3,0,0,2,3,5
CUEVO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,3,0,0,2,3,5
CULPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,13,6,0,0,13,6,19
CURAHUARA DE CARANGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,3,2,0,0,3,2,5
CURVA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,1,0,0,0,1,1
DESAGUADERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,9,5,0,0,9,5,14
EL ALTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1215,191,0,0,1215,191,1406
EL CHORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,4,0,0,2,4,6
EL PUENTE(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,21,6,0,0,21,6,27
EL PUENTE(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,9,9,0,0,9,9,18
EL TORNO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,86,10,0,0,86,10,96
EL VILLAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,5,0,0,1,5,6
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,43,20,0,0,43,20,63
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,17,10,0,0,17,10,27
EUCALIPTUS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,1,0,0,4,1,5
FERNANDEZ ALONSO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,27,10,0,0,27,10,37
FILADELFIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,0,0,0,4,0,4
GENERAL SAAVEDRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,21,15,0,0,21,15,36
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,5,11,0,0,5,11,16
GUANAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,10,4,0,0,10,4,14
GUAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,7,0,0,2,7,9
GUAYARAMERIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,61,11,0,0,61,11,72
GUTIERREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,9,33,0,0,9,33,42
HUACARETA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,7,5,0,0,7,5,12
HUACAYA (VILLA DE HUACAYA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,2,0,0,4,2,6
HUACHACALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,40,7,0,0,40,7,47
HUARACAJE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,1,0,0,2,1,3
HUAYLLAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,7,2,0,0,7,2,9
ICHOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,13,0,0,0,13,13
ICLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,5,13,0,0,5,13,18
INCAHUASI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,29,31,0,0,29,31,60
INQUISIVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,5,21,0,0,5,21,26
IRUPANA (VILLA DE LANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,12,0,0,2,12,14
IXIAMAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,3,0,0,2,3,5
JESUS DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,9,7,0,0,9,7,16
LA ASUNTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,26,34,0,0,26,34,60
LA GUARDIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,106,13,0,0,106,13,119
LA PAZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1160,147,0,0,1160,147,1307
LAGUNILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,3,6,0,0,3,6,9
LAJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,12,19,0,0,12,19,31
LAS CARRERAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,2,0,0,4,2,6
LICOMA PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,9,0,0,1,9,10
LLALLAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,37,39,0,0,37,39,76
LLICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,1,0,0,2,1,3
LORETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,8,0,0,0,8,8
LURIBAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,4,0,0,2,4,6
MACHACAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,2,0,0,4,2,6
MACHARETI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,12,0,0,0,12,0,12
MAGDALENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,15,27,0,0,15,27,42
MAIRANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,12,0,0,0,12,0,12
MALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,1,0,0,0,1,1
MAPIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,11,0,0,4,11,15
MECAPACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,13,0,0,4,13,17
MINEROS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,55,12,0,0,55,12,67
MIZQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,20,33,0,0,20,33,53
MOCOMOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,6,23,0,0,6,23,29
MOJOCOYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,2,0,0,2,2,4
MONTEAGUDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,27,17,0,0,27,17,44
MONTERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,160,71,0,0,160,71,231
MORO MORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,2,0,0,1,2,3
MOROCHATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,10,27,0,0,10,27,37
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,4,0,0,1,4,5
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,0,0,0,1,0,1
OCURI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,18,27,0,0,18,27,45
OKINAWA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,30,9,0,0,30,9,39
OMEREQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,4,14,0,0,4,14,18
ORURO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,391,4,0,0,391,4,395
PADCAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,18,11,0,0,18,11,29
PADILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,8,3,0,0,8,3,11
PAILON,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,34,12,0,0,34,12,46
PALCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,10,0,0,2,10,12
PALOS BLANCOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,28,10,0,0,28,10,38
PAMPA AULLAGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,3,0,0,0,3,0,3
PAMPA GRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,10,0,0,0,10,0,10
PAPEL PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,2,0,0,0,2,2
PASORAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,3,5,0,0,3,5,8
PATACAMAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,15,33,0,0,15,33,48
PAZÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,5,1,0,0,5,1,6
PELECHUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,4,0,0,1,4,5
POCOATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,32,0,0,0,32,32
POCONA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,11,13,0,0,11,13,24
POJO (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,26,7,0,0,26,7,33
POOPO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,5,0,0,0,5,0,5
PORCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,14,10,0,0,14,10,24
POROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,3,10,0,0,3,10,13
PORONGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,10,14,0,0,10,14,24
PORTACHUELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,35,10,0,0,35,10,45
PORVENIR,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,8,0,0,1,8,9
POSTRER VALLE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,0,0,0,2,0,2
POTOSI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,344,46,0,0,344,46,390
PRESTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,21,0,0,2,21,23
PUCARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,12,25,0,0,12,25,37
PUERTO ACOSTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,6,35,0,0,6,35,41
PUERTO CARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,18,0,0,2,18,20
PUERTO GONZALO MORENO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,4,0,0,0,4,4
PUERTO PEREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,4,0,0,0,4,4
PUERTO QUIJARRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,14,17,0,0,14,17,31
PUERTO RICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,4,0,0,2,4,6
PUERTO SUAREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,20,6,0,0,20,6,26
PUERTO VILLARROEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,80,10,0,0,80,10,90
PUNA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,22,26,0,0,22,26,48
PUNATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,37,32,0,0,37,32,69
QUILLACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,170,34,0,0,170,34,204
QUIME,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,12,0,0,1,12,13
QUIRUSILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,3,0,0,0,3,0,3
RAVELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,5,23,0,0,5,23,28
REYES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,29,4,0,0,29,4,33
RIBERALTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,126,113,0,0,126,113,239
ROBORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,21,16,0,0,21,16,37
RURRENABAQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,19,8,0,0,19,8,27
SABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,0,0,0,2,0,2
SACABA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,125,67,0,0,125,67,192
SACABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,3,0,0,0,3,3
SACACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,8,15,0,0,8,15,23
SAIPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,5,0,0,2,5,7
SALINAS DE GARCI MENDOZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,2,0,0,2,2,4
SAMAIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,8,8,0,0,8,8,16
SAN AGUSTIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,0,0,0,1,0,1
SAN ANDRES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,6,0,0,0,6,0,6
SAN ANDRES DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,4,0,0,0,4,4
SAN ANTONIO DE ESMORUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,3,0,0,0,3,0,3
SAN ANTONIO DE LOMERIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,6,2,0,0,6,2,8
SAN BENITO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,6,16,0,0,6,16,22
SAN BORJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,57,7,0,0,57,7,64
SAN BUENA VENTURA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,5,9,0,0,5,9,14
SAN CARLOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,33,4,0,0,33,4,37
SAN IGNACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,32,2,0,0,32,2,34
SAN IGNACIO DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,75,19,0,0,75,19,94
SAN JAVIER(BNI),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2,0,0,0,2,0,2
SAN JAVIER(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,30,7,0,0,30,7,37
SAN JOAQUIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,3,7,0,0,3,7,10
SAN JOSE DE CHIQUITOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,28,5,0,0,28,5,33
SAN JUAN DE YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,14,11,0,0,14,11,25
SAN JULIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,36,29,0,0,36,29,65
SAN LORENZO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,6,0,0,0,6,0,6
SAN LORENZO(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,15,8,0,0,15,8,23
SAN LUCAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,25,32,0,0,25,32,57
SAN MATIAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,30,9,0,0,30,9,39
SAN MIGUEL DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,21,2,0,0,21,2,23
SAN PEDRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,27,1,0,0,27,1,28
SAN PEDRO DE BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,7,30,0,0,7,30,37
SAN PEDRO DE CURAHUARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,0,3,0,0,0,3,3
SAN PEDRO DE TIQUINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,0,0,0,1,0,1
SAN RAFAEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,5,4,0,0,5,4,9
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,20,0,0,0,20,0,20
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,1,2,0,0,1,2,3
SANTA ANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,33,0,0,0,33,0,33
SANTA CRUZ DE LA SIERRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,2228,193,0,0,2228,193,2421
SANTA ROSA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2008-01-01,7,9,0,0,7,9,16
