,group,variable,month,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,TOTALES,TOTALES,TOTALES
BOLIVAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,2,0,0,2,2,4
BOYUIBE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,6,0,0,0,6,6
BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,7,20,0,0,7,20,27
CABEZAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,28,3,0,0,28,3,31
CAIROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,19,0,0,2,19,21
"CAIZA ""D""",vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,7,0,0,1,7,8
CAJUATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,17,8,0,0,17,8,25
CALACOTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,1,0,0,0,1,1
CALAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,13,0,0,2,13,15
CAMARGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,11,8,0,0,11,8,19
CAMATAQUI (C. VILLA ABECIA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,1,0,0,4,1,5
CAMIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,40,16,0,0,40,16,56
CAPINOTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,19,25,0,0,19,25,44
CAQUIAVIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,4,0,0,1,4,5
CARACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,29,7,0,0,29,7,36
CARANAVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,82,54,0,0,82,54,136
CARAPARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,3,5,0,0,3,5,8
CARIPUYO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,2,0,0,1,2,3
CARMEN RIVERO TORREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,3,6,0,0,3,6,9
CATACORA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,2,0,0,1,2,3
CHALLAPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,23,31,0,0,23,31,54
CHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,7,0,0,2,7,9
CHARAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,17,40,0,0,17,40,57
CHARAÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,8,0,0,1,8,9
CHAYANTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,3,17,0,0,3,17,20
CHIMORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,30,5,0,0,30,5,35
CHULUMANI (V. DE LA LIBERTAD),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,6,11,0,0,6,11,17
CHUMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,8,10,0,0,8,10,18
CLIZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,33,15,0,0,33,15,48
COBIJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,68,25,0,0,68,25,93
COCHABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1069,32,0,0,1069,32,1101
COIPASA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,0,0,0,4,0,4
COLCAPIRHUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,130,11,0,0,130,11,141
COLLANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,3,0,0,0,3,3
COLOMI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,34,22,0,0,34,22,56
COLPA BELGICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,8,0,0,4,8,12
COLQUECHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,13,57,0,0,13,57,70
COLQUENCHA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,5,0,0,4,5,9
COLQUIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,7,27,0,0,7,27,34
COMANCHE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,7,0,0,0,7,0,7
COMARAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,21,17,0,0,21,17,38
CONCEPCION,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,34,6,0,0,34,6,40
COPACABANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,10,0,0,0,10,10
CORIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,14,5,0,0,14,5,19
CORO CORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,6,0,0,0,6,6
COROICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,3,0,0,0,3,3
CORQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,2,0,0,2,2,4
COTAGAITA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,11,0,0,1,11,12
COTOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,81,16,0,0,81,16,97
CUATRO CAÑADAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,22,8,0,0,22,8,30
CUCHUMUELA (V. G. VILLARROEL),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,3,0,0,1,3,4
CUEVO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,3,0,0,2,3,5
CULPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,9,3,0,0,9,3,12
CURVA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,1,0,0,0,1,1
DESAGUADERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,10,0,0,2,10,12
EL ALTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1237,222,0,0,1237,222,1459
EL CHORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,4,0,0,2,4,6
EL PUENTE(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,8,15,0,0,8,15,23
EL PUENTE(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,7,0,0,1,7,8
EL TORNO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,78,3,0,0,78,3,81
EL VILLAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,4,0,0,1,4,5
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,41,14,0,0,41,14,55
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,9,4,0,0,9,4,13
EUCALIPTUS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,5,1,0,0,5,1,6
FERNANDEZ ALONSO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,25,11,0,0,25,11,36
FILADELFIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,0,0,0,4,0,4
GENERAL SAAVEDRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,22,20,0,0,22,20,42
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,5,12,0,0,5,12,17
GUANAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,10,4,0,0,10,4,14
GUAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,7,0,0,2,7,9
GUAYARAMERIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,64,12,0,0,64,12,76
GUTIERREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,8,22,0,0,8,22,30
HUACARETA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,7,5,0,0,7,5,12
HUACAYA (VILLA DE HUACAYA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,2,0,0,4,2,6
HUACHACALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,0,0,0,4,0,4
HUANUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,47,7,0,0,47,7,54
HUARACAJE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,1,0,0,4,1,5
HUAYLLAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,7,2,0,0,7,2,9
ICHOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,11,0,0,0,11,11
ICLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,5,13,0,0,5,13,18
INCAHUASI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,31,35,0,0,31,35,66
INQUISIVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,5,24,0,0,5,24,29
IRUPANA (VILLA DE LANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,9,0,0,2,9,11
IXIAMAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,3,0,0,2,3,5
JESUS DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,3,0,0,4,3,7
LA ASUNTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,33,33,0,0,33,33,66
LA GUARDIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,118,13,0,0,118,13,131
LA PAZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1113,500,0,0,1113,500,1613
LAGUNILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,3,6,0,0,3,6,9
LAJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,8,0,0,2,8,10
LAS CARRERAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,4,0,0,4,4,8
LICOMA PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,9,0,0,1,9,10
LLALLAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,23,37,0,0,23,37,60
LLICA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,1,0,0,2,1,3
LURIBAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,3,0,0,2,3,5
MACHACAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,2,0,0,4,2,6
MACHARETI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,10,0,0,0,10,0,10
MAGDALENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,12,36,0,0,12,36,48
MAIRANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,12,0,0,0,12,0,12
MALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,1,0,0,0,1,1
MAPIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,11,0,0,4,11,15
MECAPACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,5,14,0,0,5,14,19
MINEROS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,55,13,0,0,55,13,68
MIZQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,23,35,0,0,23,35,58
MOCOMOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,6,23,0,0,6,23,29
MOJOCOYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,2,0,0,2,2,4
MONTEAGUDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,26,19,0,0,26,19,45
MONTERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,166,63,0,0,166,63,229
MORO MORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,2,0,0,1,2,3
MOROCHATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,19,0,0,4,19,23
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,3,0,0,1,3,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,0,0,0,1,0,1
OCURI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,17,20,0,0,17,20,37
OKINAWA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,28,10,0,0,28,10,38
OMEREQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,14,0,0,4,14,18
ORURO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,358,8,0,0,358,8,366
PADILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,9,2,0,0,9,2,11
PAILON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,40,15,0,0,40,15,55
PALCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,7,0,0,2,7,9
PALOS BLANCOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,23,3,0,0,23,3,26
PAMPA AULLAGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,3,0,0,0,3,0,3
PAMPA GRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,10,0,0,0,10,0,10
PAPEL PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,1,0,0,0,1,1
PASORAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,3,5,0,0,3,5,8
PATACAMAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,17,32,0,0,17,32,49
PAZÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,5,1,0,0,5,1,6
PELECHUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,4,0,0,1,4,5
POCOATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,26,0,0,0,26,26
POCONA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,5,6,0,0,5,6,11
POJO (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,26,9,0,0,26,9,35
POOPO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,5,0,0,0,5,0,5
PORCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,8,4,0,0,8,4,12
POROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,5,4,0,0,5,4,9
PORONGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,8,8,0,0,8,8,16
PORTACHUELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,33,6,0,0,33,6,39
PORVENIR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,8,0,0,1,8,9
POSTRER VALLE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,0,0,0,2,0,2
POTOSI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,289,29,0,0,289,29,318
PRESTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,9,14,0,0,9,14,23
PUCARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,12,25,0,0,12,25,37
PUERTO ACOSTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,26,0,0,2,26,28
PUERTO CARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,18,0,0,2,18,20
PUERTO GONZALO MORENO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,4,0,0,0,4,4
PUERTO PEREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,10,0,0,0,10,10
PUERTO QUIJARRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,17,16,0,0,17,16,33
PUERTO RICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,4,0,0,2,4,6
PUERTO SUAREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,15,6,0,0,15,6,21
PUERTO VILLARROEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,73,10,0,0,73,10,83
PUNA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,16,29,0,0,16,29,45
PUNATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,24,5,0,0,24,5,29
QUILLACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,85,28,0,0,85,28,113
QUIME,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,22,0,0,1,22,23
QUIRUSILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,3,0,0,0,3,0,3
RAVELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,2,0,0,0,2,2
REYES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,33,4,0,0,33,4,37
RIBERALTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,71,40,0,0,71,40,111
ROBORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,41,16,0,0,41,16,57
RURRENABAQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,15,8,0,0,15,8,23
SABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,1,0,0,1,1,2
SACABA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,93,62,0,0,93,62,155
SACABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,1,0,0,0,1,1
SACACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,8,17,0,0,8,17,25
SAIPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,3,4,0,0,3,4,7
SALINAS DE GARCI MENDOZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,2,3,0,0,2,3,5
SAMAIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,4,15,0,0,4,15,19
SAN ANDRES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,5,0,0,0,5,0,5
SAN ANDRES DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,3,0,0,0,3,3
SAN ANTONIO DE LOMERIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,6,2,0,0,6,2,8
SAN BENITO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,3,18,0,0,3,18,21
SAN BORJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,49,7,0,0,49,7,56
SAN BUENA VENTURA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,5,9,0,0,5,9,14
SAN CARLOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,26,4,0,0,26,4,30
SAN IGNACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,32,1,0,0,32,1,33
SAN IGNACIO DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,79,16,0,0,79,16,95
SAN JAVIER(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,30,7,0,0,30,7,37
SAN JOAQUIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,34,0,0,0,34,0,34
SAN JUAN DE YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,12,11,0,0,12,11,23
SAN JULIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,35,26,0,0,35,26,61
SAN LORENZO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,6,0,0,0,6,0,6
SAN LORENZO(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2008-01-01,0,2,0,0,0,2,2
