municipality,group,variable,month,RN con corte tardío de Cordón Umbilical,TOTAL
CHUMA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
CKOCHAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,10,10
COCAPATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,13,13
"COLCHA ""K""",atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,9,9
COLOMI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,12,12
COLQUENCHA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,6,6
COLQUIRI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,12,12
COMBAYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
CORIPATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
COROICO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,9,9
CUEVO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
CULPINA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,8,8
CURVA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
DESAGUADERO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
EL ALTO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
EL PUENTE(TJA),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
EL VILLAR,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
EUCALIPTUS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
GAIOC JATUN AYLLU YURA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,7,7
GUAQUI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,5,5
HUACARETA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
HUMANATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,5,5
ICHOCA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
ICLA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
INCAHUASI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,7,7
INQUISIVI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,17,17
JESUS DE MACHACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
LA ASUNTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
LAJA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,9,9
LURIBAY,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
MAGDALENA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
MALLA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
MECAPACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
MINEROS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
MIZQUE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,8,8
MOCOMOCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,9,9
MOJOCOYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
MOROCHATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
NAZACARA DE PACAJES,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
OCURI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,5,5
OMEREQUE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
ORURO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,9,9
PADCAYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
PADILLA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
PALCA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
PALOS BLANCOS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,7,7
PAMPA AULLAGAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
PAPEL PAMPA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
PATACAMAYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
PAZÑA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
PELECHUCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,6,6
POCOATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,17,17
PORCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,5,5
POROMA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,5,5
POTOSI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
PRESTO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,4,4
PUCARANI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,9,9
PUERTO ACOSTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,6,6
PUERTO CARABUCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
PUERTO GONZALO MORENO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
PUERTO PEREZ,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
PUERTO VILLARROEL,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
PUNA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,4,4
QUILLACOLLO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
QUIME,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
RAVELO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,7,7
SABAYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
SACABA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
SACACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,9,9
SAN ANDRES,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
SAN BORJA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,6,6
SAN LORENZO(PND),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,4,4
SAN LUCAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,15,15
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
SAN PABLO DE LIPEZ,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,14,14
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
SAN PEDRO DE MACHA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,26,26
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
SANTA ANA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,38,38
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
SANTIAGO DE HUARI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
SANTIAGO DE HUATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
SAPAHAQUI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,5,5
SENA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
SHINAOTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,4,4
SICAYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
SORACACHI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
SORATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
TACOBAMBA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,5,5
TACOPAYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,7,7
TAPACARI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,14,14
TARABUCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,4,4
TARACO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
TARATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
TARVITA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,4,4
TIAHUANACU,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,9,9
TIQUIPAYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,6,6
TITO YUPANQUI (PARQUIPUJIO),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
TOCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
TOMAVE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
TOMINA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
TORO TORO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,9,9
TOTORA(ORR),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
TUPIZA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,5,5
UMALA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,4,4
UYUNI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
VIACHA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
VILA VILA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
VILLA CHARCAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
VILLA RIVERO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
VILLA SERRANO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
VILLA TUNARI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,3,3
VITICHI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,2,2
WALDO BALLIVIAN,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,4,4
WARNES,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
YACO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,8,8
YACUIBA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
YAPACANI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
YOCALLA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
YOTALA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
YUNCHARA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-01-01,1,1
ACACIO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
ACHACACHI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,14,14
ACHOCALLA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
AIQUILE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,3,3
ANCORAIMES,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
ANDAMARCA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
APOLO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,8,8
ARAMPAMPA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,4,4
ARBIETO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
ARQUE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,10,10
ATOCHA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,6,6
AYATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
AYO AYO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,4,4
AZURDUY,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,4,4
BATALLAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
BELEN DE URMIRI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
BETANZOS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,6,6
BOLIVAR,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,10,10
BOYUIBE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
CAJUATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,6,6
CALAMARCA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,6,6
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
CAQUIAVIRI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,3,3
CARANAVI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,3,3
CARAPARI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
CARIPUYO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,4,4
CHACARILLA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,5,5
CHAQUI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
CHARAGUA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
CHAYANTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,9,9
CHIMORE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
CHOQUE COTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,7,7
CHUMA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,12,12
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
CKOCHAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,7,7
COCAPATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,9,9
"COLCHA ""K""",atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,5,5
COLOMI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,19,19
COLQUENCHA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,4,4
COLQUIRI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,5,5
COPACABANA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
CORIPATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
COROICO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,4,4
COTAGAITA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
CULPINA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
CURVA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,3,3
DESAGUADERO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,3,3
EL ALTO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,4,4
EL PUENTE(TJA),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,3,3
EL TORNO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
ENTRE RIOS CBBA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,5,5
FILADELFIA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,4,4
GAIOC JATUN AYLLU YURA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,14,14
GUAQUI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,3,3
HUACARETA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
HUANUNI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
ICLA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
INCAHUASI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,10,10
INGAVI (HUMAITA),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
INQUISIVI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,8,8
JESUS DE MACHACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,4,4
LA ASUNTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
LA PAZ,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,15,15
LAJA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,10,10
LURIBAY,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,3,3
MACHARETI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
MAGDALENA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
MECAPACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
MINEROS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
MIZQUE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,5,5
MOCOMOCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,3,3
MOJOCOYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
MOROCHATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
NAZACARA DE PACAJES,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
OCURI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,9,9
OMEREQUE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
ORURO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,6,6
PADCAYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
PALCA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
PALOS BLANCOS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,7,7
PAMPA AULLAGAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,3,3
PAPEL PAMPA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
PATACAMAYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,4,4
PAZÑA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
PELECHUCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,5,5
POCOATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,18,18
PORCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,3,3
POROMA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,7,7
POTOSI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
PRESTO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,3,3
PUCARANI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,6,6
PUERTO ACOSTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,3,3
PUERTO CARABUCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,8,8
PUERTO GONZALO MORENO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
PUERTO PEREZ,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
PUERTO RICO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,10,10
PUNA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
QUIABAYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
RAVELO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
SABAYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
SACACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,9,9
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
SAN BORJA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
SAN JAVIER(BNI),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
SAN LUCAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,6,6
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,4,4
SAN PABLO DE LIPEZ,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2022-02-01,1,1
