municipality,group,variable,month,Primer Control Post Parto,TOTAL
COTOCA,atencion de partos en domicilio,primer control post parto,2022-01-01,4,4
CUEVO,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
CULPINA,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
CURVA,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
DESAGUADERO,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
EL ALTO,atencion de partos en domicilio,primer control post parto,2022-01-01,21,21
EL PUENTE(TJA),atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
EL VILLAR,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,primer control post parto,2022-01-01,5,5
EUCALIPTUS,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
GAIOC JATUN AYLLU YURA,atencion de partos en domicilio,primer control post parto,2022-01-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,primer control post parto,2022-01-01,7,7
GUAQUI,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,primer control post parto,2022-01-01,35,35
GUTIERREZ,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
HUACARETA,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
HUANUNI,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
HUARINA,atencion de partos en domicilio,primer control post parto,2022-01-01,6,6
HUAYLLAMARCA,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
HUMANATA,atencion de partos en domicilio,primer control post parto,2022-01-01,5,5
ICLA,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
INCAHUASI,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
INQUISIVI,atencion de partos en domicilio,primer control post parto,2022-01-01,5,5
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,primer control post parto,2022-01-01,16,16
JESUS DE MACHACA,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
LA GUARDIA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
LA PAZ,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
LAGUNILLAS,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
LAJA,atencion de partos en domicilio,primer control post parto,2022-01-01,4,4
LLALLAGUA,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
LURIBAY,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
MAGDALENA,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
MAIRANA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
MALLA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
MINEROS,atencion de partos en domicilio,primer control post parto,2022-01-01,9,9
MIZQUE,atencion de partos en domicilio,primer control post parto,2022-01-01,9,9
MOCOMOCO,atencion de partos en domicilio,primer control post parto,2022-01-01,10,10
MOJOCOYA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
MORO MORO,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
MOROCHATA,atencion de partos en domicilio,primer control post parto,2022-01-01,4,4
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
OCURI,atencion de partos en domicilio,primer control post parto,2022-01-01,4,4
ORURO,atencion de partos en domicilio,primer control post parto,2022-01-01,49,49
PADCAYA,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
PADILLA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
PALCA,atencion de partos en domicilio,primer control post parto,2022-01-01,8,8
PALOS BLANCOS,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
PAMPA AULLAGAS,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
PAPEL PAMPA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
PATACAMAYA,atencion de partos en domicilio,primer control post parto,2022-01-01,8,8
PAZÑA,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
PELECHUCO,atencion de partos en domicilio,primer control post parto,2022-01-01,6,6
POCOATA,atencion de partos en domicilio,primer control post parto,2022-01-01,17,17
PORCO,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
POROMA,atencion de partos en domicilio,primer control post parto,2022-01-01,5,5
PORVENIR,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
POTOSI,atencion de partos en domicilio,primer control post parto,2022-01-01,21,21
PRESTO,atencion de partos en domicilio,primer control post parto,2022-01-01,4,4
PUCARANI,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
PUERTO ACOSTA,atencion de partos en domicilio,primer control post parto,2022-01-01,8,8
PUERTO CARABUCO,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
PUERTO PEREZ,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
PUERTO VILLARROEL,atencion de partos en domicilio,primer control post parto,2022-01-01,6,6
PUNA,atencion de partos en domicilio,primer control post parto,2022-01-01,4,4
QUILLACOLLO,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
RAQAYPAMPA(ETA),atencion de partos en domicilio,primer control post parto,2022-01-01,8,8
RAVELO,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
RIBERALTA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
RURRENABAQUE,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
SABAYA,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
SACABA,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
SACACA,atencion de partos en domicilio,primer control post parto,2022-01-01,7,7
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
SAN BORJA,atencion de partos en domicilio,primer control post parto,2022-01-01,8,8
SAN BUENA VENTURA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,primer control post parto,2022-01-01,7,7
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
SAN JAVIER(BNI),atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
SAN LORENZO(PND),atencion de partos en domicilio,primer control post parto,2022-01-01,5,5
SAN LUCAS,atencion de partos en domicilio,primer control post parto,2022-01-01,12,12
SAN MATIAS,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,primer control post parto,2022-01-01,8,8
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
SAN PEDRO DE MACHA,atencion de partos en domicilio,primer control post parto,2022-01-01,26,26
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
SANTA ANA,atencion de partos en domicilio,primer control post parto,2022-01-01,44,44
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,primer control post parto,2022-01-01,4,4
SANTA ROSA,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
SANTA ROSA DEL SARA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,primer control post parto,2022-01-01,6,6
SANTIAGO DE HUATA,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
SENA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
SHINAOTA,atencion de partos en domicilio,primer control post parto,2022-01-01,72,72
SICA SICA (VILLA AROMA),atencion de partos en domicilio,primer control post parto,2022-01-01,5,5
SICAYA,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
SORACACHI,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
SORATA,atencion de partos en domicilio,primer control post parto,2022-01-01,4,4
SUCRE,atencion de partos en domicilio,primer control post parto,2022-01-01,11,11
TACOPAYA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
TAPACARI,atencion de partos en domicilio,primer control post parto,2022-01-01,6,6
TARABUCO,atencion de partos en domicilio,primer control post parto,2022-01-01,4,4
TARACO,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
TARIJA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
TARVITA,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
TIAHUANACU,atencion de partos en domicilio,primer control post parto,2022-01-01,7,7
TINGUIPAYA,atencion de partos en domicilio,primer control post parto,2022-01-01,10,10
TIQUIPAYA,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
TIRAQUE (CBBA),atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
TOMAVE,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
TOMINA,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
TORO TORO,atencion de partos en domicilio,primer control post parto,2022-01-01,6,6
TOTORA(CBBA),atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
TOTORA(ORR),atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
TUPIZA,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
UMALA,atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
UNCIA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
UYUNI,atencion de partos en domicilio,primer control post parto,2022-01-01,8,8
VIACHA,atencion de partos en domicilio,primer control post parto,2022-01-01,4,4
VILLA MONTES,atencion de partos en domicilio,primer control post parto,2022-01-01,18,18
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
VILLA SERRANO,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
VILLA TUNARI,atencion de partos en domicilio,primer control post parto,2022-01-01,10,10
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,primer control post parto,2022-01-01,3,3
VILLAZON,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
VITICHI,atencion de partos en domicilio,primer control post parto,2022-01-01,2,2
WARNES,atencion de partos en domicilio,primer control post parto,2022-01-01,21,21
YACO,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
YOTALA,atencion de partos en domicilio,primer control post parto,2022-01-01,1,1
ACACIO,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
ACHACACHI,atencion de partos en domicilio,primer control post parto,2022-02-01,15,15
ACHOCALLA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
AIQUILE,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
ANCORAIMES,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
ANDAMARCA,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
APOLO,atencion de partos en domicilio,primer control post parto,2022-02-01,10,10
ARAMPAMPA,atencion de partos en domicilio,primer control post parto,2022-02-01,4,4
ARBIETO,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
ARQUE,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
ATOCHA,atencion de partos en domicilio,primer control post parto,2022-02-01,4,4
AYATA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
AZURDUY,atencion de partos en domicilio,primer control post parto,2022-02-01,9,9
BATALLAS,atencion de partos en domicilio,primer control post parto,2022-02-01,4,4
BERMEJO,atencion de partos en domicilio,primer control post parto,2022-02-01,4,4
BOLIVAR,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
BOYUIBE,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
BUENA VISTA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
CABEZAS,atencion de partos en domicilio,primer control post parto,2022-02-01,7,7
CAJUATA,atencion de partos en domicilio,primer control post parto,2022-02-01,5,5
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
CAMIRI,atencion de partos en domicilio,primer control post parto,2022-02-01,5,5
CAPINOTA,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
CAQUIAVIRI,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
CARACOLLO,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
CARANAVI,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
CARIPUYO,atencion de partos en domicilio,primer control post parto,2022-02-01,4,4
CATACORA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
CHACARILLA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,primer control post parto,2022-02-01,6,6
CHAQUI,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
CHARAGUA,atencion de partos en domicilio,primer control post parto,2022-02-01,8,8
CHAYANTA,atencion de partos en domicilio,primer control post parto,2022-02-01,11,11
CHIMORE,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
CHOQUE COTA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
CHUA COCANI,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,primer control post parto,2022-02-01,6,6
CHUMA,atencion de partos en domicilio,primer control post parto,2022-02-01,12,12
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
CKOCHAS,atencion de partos en domicilio,primer control post parto,2022-02-01,6,6
COBIJA,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
COCHABAMBA,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
"COLCHA ""K""",atencion de partos en domicilio,primer control post parto,2022-02-01,5,5
COLQUECHACA,atencion de partos en domicilio,primer control post parto,2022-02-01,19,19
CONCEPCION,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
CORIPATA,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
CORO CORO,atencion de partos en domicilio,primer control post parto,2022-02-01,6,6
COROICO,atencion de partos en domicilio,primer control post parto,2022-02-01,4,4
CORQUE,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
COTAGAITA,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
COTOCA,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
CULPINA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
CURVA,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
DESAGUADERO,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
EL ALTO,atencion de partos en domicilio,primer control post parto,2022-02-01,13,13
EL CHORO,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
EL PUENTE(STC),atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
EL TORNO,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
ENTRE RIOS CBBA,atencion de partos en domicilio,primer control post parto,2022-02-01,5,5
GAIOC JATUN AYLLU YURA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,primer control post parto,2022-02-01,8,8
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,primer control post parto,2022-02-01,14,14
GUAYARAMERIN,atencion de partos en domicilio,primer control post parto,2022-02-01,33,33
GUTIERREZ,atencion de partos en domicilio,primer control post parto,2022-02-01,4,4
HUANUNI,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
HUARINA,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
HUAYLLAMARCA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
ICHOCA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
ICLA,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
INCAHUASI,atencion de partos en domicilio,primer control post parto,2022-02-01,6,6
INQUISIVI,atencion de partos en domicilio,primer control post parto,2022-02-01,6,6
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,primer control post parto,2022-02-01,11,11
IXIAMAS,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
LA GUARDIA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
LA PAZ,atencion de partos en domicilio,primer control post parto,2022-02-01,19,19
LAJA,atencion de partos en domicilio,primer control post parto,2022-02-01,7,7
LLALLAGUA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
LURIBAY,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
MACHARETI,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
MINEROS,atencion de partos en domicilio,primer control post parto,2022-02-01,14,14
MIZQUE,atencion de partos en domicilio,primer control post parto,2022-02-01,6,6
MOCOMOCO,atencion de partos en domicilio,primer control post parto,2022-02-01,4,4
MOJOCOYA,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
MORO MORO,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
MOROCHATA,atencion de partos en domicilio,primer control post parto,2022-02-01,6,6
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
OCURI,atencion de partos en domicilio,primer control post parto,2022-02-01,9,9
OMEREQUE,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
ORURO,atencion de partos en domicilio,primer control post parto,2022-02-01,15,15
PADCAYA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
PALCA,atencion de partos en domicilio,primer control post parto,2022-02-01,4,4
PALOS BLANCOS,atencion de partos en domicilio,primer control post parto,2022-02-01,7,7
PAMPA AULLAGAS,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
PAPEL PAMPA,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
PATACAMAYA,atencion de partos en domicilio,primer control post parto,2022-02-01,7,7
PAZÑA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
PELECHUCO,atencion de partos en domicilio,primer control post parto,2022-02-01,5,5
POCOATA,atencion de partos en domicilio,primer control post parto,2022-02-01,17,17
POJO (CBBA),atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
POOPO,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
PORCO,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
POROMA,atencion de partos en domicilio,primer control post parto,2022-02-01,8,8
POTOSI,atencion de partos en domicilio,primer control post parto,2022-02-01,17,17
PRESTO,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
PUCARANI,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
PUERTO ACOSTA,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
PUERTO CARABUCO,atencion de partos en domicilio,primer control post parto,2022-02-01,4,4
PUERTO GONZALO MORENO,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
PUERTO PEREZ,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
PUERTO VILLARROEL,atencion de partos en domicilio,primer control post parto,2022-02-01,14,14
PUNA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
PUNATA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
QUILLACOLLO,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
RAQAYPAMPA(ETA),atencion de partos en domicilio,primer control post parto,2022-02-01,7,7
RURRENABAQUE,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
SABAYA,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
SACABA,atencion de partos en domicilio,primer control post parto,2022-02-01,4,4
SACACA,atencion de partos en domicilio,primer control post parto,2022-02-01,5,5
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,primer control post parto,2022-02-01,4,4
SAN AGUSTIN,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
SAN ANDRES,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
SAN BORJA,atencion de partos en domicilio,primer control post parto,2022-02-01,5,5
SAN BUENA VENTURA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
SAN JAVIER(BNI),atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
SAN LUCAS,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
SAN PEDRO,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,primer control post parto,2022-02-01,15,15
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
SAN PEDRO DE MACHA,atencion de partos en domicilio,primer control post parto,2022-02-01,14,14
SAN RAFAEL,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
SANTA ANA,atencion de partos en domicilio,primer control post parto,2022-02-01,37,37
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
SANTA ROSA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
SANTIAGO DE CALLAPA,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
SANTIAGO DE HUARI,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
SANTIAGO DE HUATA,atencion de partos en domicilio,primer control post parto,2022-02-01,4,4
SANTIVAÑES,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
SHINAOTA,atencion de partos en domicilio,primer control post parto,2022-02-01,63,63
SICA SICA (VILLA AROMA),atencion de partos en domicilio,primer control post parto,2022-02-01,11,11
SICAYA,atencion de partos en domicilio,primer control post parto,2022-02-01,5,5
SOPACHUY,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
SORACACHI,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
SORATA,atencion de partos en domicilio,primer control post parto,2022-02-01,5,5
SUCRE,atencion de partos en domicilio,primer control post parto,2022-02-01,106,106
TAPACARI,atencion de partos en domicilio,primer control post parto,2022-02-01,5,5
TARABUCO,atencion de partos en domicilio,primer control post parto,2022-02-01,5,5
TARIJA,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
TARVITA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
TIAHUANACU,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
TINGUIPAYA,atencion de partos en domicilio,primer control post parto,2022-02-01,6,6
TIQUIPAYA,atencion de partos en domicilio,primer control post parto,2022-02-01,5,5
TIRAQUE (CBBA),atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
TOLEDO,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
TOMAVE,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
TOMINA,atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
TORO TORO,atencion de partos en domicilio,primer control post parto,2022-02-01,8,8
TOTORA(ORR),atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
TUPIZA,atencion de partos en domicilio,primer control post parto,2022-02-01,5,5
UMALA,atencion de partos en domicilio,primer control post parto,2022-02-01,4,4
UNCIA,atencion de partos en domicilio,primer control post parto,2022-02-01,3,3
URIONDO (A. CONCEPCION),atencion de partos en domicilio,primer control post parto,2022-02-01,1,1
UYUNI,atencion de partos en domicilio,primer control post parto,2022-02-01,8,8
VALLEGRANDE,atencion de partos en domicilio,primer control post parto,2022-02-01,2,2
