municipality,group,variable,month,Nacidos vivos atendidos por otros,TOTAL
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,10,10
EL CHORO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
EL PUENTE(STC),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,2,2
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,3,3
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
LAJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
MAIRANA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,3,3
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,3,3
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,3,3
POJO (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,2,2
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,4,4
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,3,3
SACABA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
SAIPINA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
SAN BENITO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
SANTA ANA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,3,3
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,3,3
SHINAOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,6,6
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,2,2
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,2,2
TARATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
TIAHUANACU,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
VIACHA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,2,2
VILLA MONTES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-02-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
COBIJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,2,2
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,5,5
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,20,20
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
LA ASUNTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,2,2
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,2,2
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
LAJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
MAIRANA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
OKINAWA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,4,4
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,2,2
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,5,5
PUERTO CARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,2,2
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
SHINAOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,4,4
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,3,3
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,2,2
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,2,2
TARIJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,2,2
UMALA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,3,3
URUBICHA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
VIACHA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,2,2
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,2,2
VINTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,2,2
ZUDAÑEZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-03-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,2,2
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
BELLA FLOR,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
COBIJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,2,2
COCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,8,8
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,5,5
EL PUENTE(STC),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
LA ASUNTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,2,2
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
MACHARETI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
MECAPACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
MINEROS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,3,3
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,2,2
POROMA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,2,2
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,4,4
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,2,2
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,3,3
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,3,3
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,3,3
SAPAHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
SHINAOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,3,3
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,16,16
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
TACACHI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
TIAHUANACU,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
VIACHA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,4,4
VILA VILA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,3,3
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,3,3
VINTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,3,3
WALDO BALLIVIAN,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,2,2
YAPACANI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-04-01,2,2
ACHOCALLA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
ARBIETO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,3,3
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,2,2
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,6,6
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,11,11
EL PUENTE(TJA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,2,2
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,2,2
INGAVI (HUMAITA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
LA ASUNTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,2,2
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,2,2
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,2,2
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,6,6
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,3,3
POCONA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
POROMA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,8,8
PUNATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,7,7
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,2,2
REYES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
SACABA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,4,4
SAN AGUSTIN,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
SAN BENITO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,2,2
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,11,11
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,2,2
SAN MATIAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,5,5
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,3,3
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,2,2
TOTORA(CBBA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
TURCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
VIACHA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,3,3
VILA VILA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,5,5
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,2,2
YAPACANI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-05-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,4,4
CAJUATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,3,3
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
COBIJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,3,3
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
COLQUENCHA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,8,8
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,2,2
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,3,3
LAJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
OKINAWA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,4,4
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,2,2
POJO (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
POROMA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
PORONGO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,2,2
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,5,5
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,2,2
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,5,5
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,6,6
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,2,2
SANTA ANA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,2,2
SANTIVAÑES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,6,6
TIAHUANACU,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,2,2
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,2,2
TOLATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,2,2
TOTORA(CBBA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
URUBICHA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
VILLA MONTES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
VINTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
YACUIBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-06-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,3,3
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,2,2
COMARAPA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,1,1
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,4,4
EL PUENTE(STC),atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,2,2
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,1,1
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2022-07-01,3,3
