,group,variable,month,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
PALOS BLANCOS,rabia,no de personas con esquema reducido completo,2024-01-01,0,1,0,1,1
POOPO,rabia,no de personas con esquema reducido completo,2024-01-01,3,1,3,1,4
PUERTO CARABUCO,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas con esquema reducido completo,2024-01-01,2,1,2,1,3
PUNATA,rabia,no de personas con esquema reducido completo,2024-01-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2024-01-01,13,8,13,8,21
RIBERALTA,rabia,no de personas con esquema reducido completo,2024-01-01,0,2,0,2,2
ROBORE,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
SACABA,rabia,no de personas con esquema reducido completo,2024-01-01,12,5,12,5,17
SAMAIPATA,rabia,no de personas con esquema reducido completo,2024-01-01,0,1,0,1,1
SAN ANDRES,rabia,no de personas con esquema reducido completo,2024-01-01,1,1,1,1,2
SAN BORJA,rabia,no de personas con esquema reducido completo,2024-01-01,1,1,1,1,2
SAN CARLOS,rabia,no de personas con esquema reducido completo,2024-01-01,0,2,0,2,2
SAN IGNACIO,rabia,no de personas con esquema reducido completo,2024-01-01,4,3,4,3,7
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema reducido completo,2024-01-01,2,1,2,1,3
SAN JAVIER(STC),rabia,no de personas con esquema reducido completo,2024-01-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
SAN JULIAN,rabia,no de personas con esquema reducido completo,2024-01-01,0,1,0,1,1
SAN LUCAS,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
SAN MATIAS,rabia,no de personas con esquema reducido completo,2024-01-01,0,1,0,1,1
SAN PEDRO,rabia,no de personas con esquema reducido completo,2024-01-01,0,2,0,2,2
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema reducido completo,2024-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema reducido completo,2024-01-01,219,184,219,184,403
SANTA ROSA DEL SARA,rabia,no de personas con esquema reducido completo,2024-01-01,0,1,0,1,1
SANTIAGO DE CALLAPA,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
SIPE SIPE,rabia,no de personas con esquema reducido completo,2024-01-01,3,1,3,1,4
SORATA,rabia,no de personas con esquema reducido completo,2024-01-01,0,2,0,2,2
SUCRE,rabia,no de personas con esquema reducido completo,2024-01-01,57,47,57,47,104
TARATA,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
TARIJA,rabia,no de personas con esquema reducido completo,2024-01-01,10,4,10,4,14
TIQUIPAYA,rabia,no de personas con esquema reducido completo,2024-01-01,2,3,2,3,5
TIRAQUE (CBBA),rabia,no de personas con esquema reducido completo,2024-01-01,5,0,5,0,5
TRINIDAD,rabia,no de personas con esquema reducido completo,2024-01-01,5,10,5,10,15
UNCIA,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
UYUNI,rabia,no de personas con esquema reducido completo,2024-01-01,1,3,1,3,4
VALLEGRANDE,rabia,no de personas con esquema reducido completo,2024-01-01,3,2,3,2,5
VIACHA,rabia,no de personas con esquema reducido completo,2024-01-01,6,5,6,5,11
VINTO,rabia,no de personas con esquema reducido completo,2024-01-01,2,2,2,2,4
WARNES,rabia,no de personas con esquema reducido completo,2024-01-01,21,10,21,10,31
YACO,rabia,no de personas con esquema reducido completo,2024-01-01,0,1,0,1,1
YAMPARAEZ,rabia,no de personas con esquema reducido completo,2024-01-01,1,0,1,0,1
YANACACHI,rabia,no de personas con esquema reducido completo,2024-01-01,1,1,1,1,2
YAPACANI,rabia,no de personas con esquema reducido completo,2024-01-01,1,1,1,1,2
ACHACACHI,rabia,no de personas con esquema reducido completo,2024-02-01,2,1,2,1,3
ACHOCALLA,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
AIQUILE,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
ANCORAIMES,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
ARBIETO,rabia,no de personas con esquema reducido completo,2024-02-01,1,1,1,1,2
BERMEJO,rabia,no de personas con esquema reducido completo,2024-02-01,5,3,5,3,8
BUENA VISTA,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
CABEZAS,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
CARACOLLO,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
CHIMORE,rabia,no de personas con esquema reducido completo,2024-02-01,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema reducido completo,2024-02-01,2,2,2,2,4
CLIZA,rabia,no de personas con esquema reducido completo,2024-02-01,1,2,1,2,3
COCHABAMBA,rabia,no de personas con esquema reducido completo,2024-02-01,56,36,56,36,92
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2024-02-01,6,2,6,2,8
COPACABANA,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
CORIPATA,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
CORO CORO,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
COROICO,rabia,no de personas con esquema reducido completo,2024-02-01,1,2,1,2,3
COTOCA,rabia,no de personas con esquema reducido completo,2024-02-01,9,6,9,6,15
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2024-02-01,3,0,3,0,3
DESAGUADERO,rabia,no de personas con esquema reducido completo,2024-02-01,1,1,1,1,2
EL ALTO,rabia,no de personas con esquema reducido completo,2024-02-01,67,42,67,42,109
EL PUENTE(STC),rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
EL TORNO,rabia,no de personas con esquema reducido completo,2024-02-01,11,9,11,9,20
EUCALIPTUS,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
FERNANDEZ ALONSO,rabia,no de personas con esquema reducido completo,2024-02-01,2,1,2,1,3
GUAYARAMERIN,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
IXIAMAS,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
LA ASUNTA,rabia,no de personas con esquema reducido completo,2024-02-01,3,0,3,0,3
LA GUARDIA,rabia,no de personas con esquema reducido completo,2024-02-01,12,10,12,10,22
LA PAZ,rabia,no de personas con esquema reducido completo,2024-02-01,88,68,88,68,156
LAJA,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
LURIBAY,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
MIZQUE,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
MONTERO,rabia,no de personas con esquema reducido completo,2024-02-01,3,1,3,1,4
ORURO,rabia,no de personas con esquema reducido completo,2024-02-01,24,18,24,18,42
PAILON,rabia,no de personas con esquema reducido completo,2024-02-01,5,2,5,2,7
PALOS BLANCOS,rabia,no de personas con esquema reducido completo,2024-02-01,0,2,0,2,2
POCONA,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
POOPO,rabia,no de personas con esquema reducido completo,2024-02-01,2,0,2,0,2
PORONGO,rabia,no de personas con esquema reducido completo,2024-02-01,2,0,2,0,2
PUERTO CARABUCO,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
PUNA,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
PUNATA,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
QUIABAYA,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2024-02-01,8,7,8,7,15
RURRENABAQUE,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
SACABA,rabia,no de personas con esquema reducido completo,2024-02-01,3,4,3,4,7
SAIPINA,rabia,no de personas con esquema reducido completo,2024-02-01,1,2,1,2,3
SALINAS DE GARCI MENDOZA,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
SAN ANDRES,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
SAN BORJA,rabia,no de personas con esquema reducido completo,2024-02-01,0,3,0,3,3
SAN CARLOS,rabia,no de personas con esquema reducido completo,2024-02-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema reducido completo,2024-02-01,3,4,3,4,7
SAN JAVIER(STC),rabia,no de personas con esquema reducido completo,2024-02-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,rabia,no de personas con esquema reducido completo,2024-02-01,0,2,0,2,2
SAN JUAN DE YAPACANI,rabia,no de personas con esquema reducido completo,2024-02-01,2,0,2,0,2
SAN JULIAN,rabia,no de personas con esquema reducido completo,2024-02-01,5,2,5,2,7
SAN LUCAS,rabia,no de personas con esquema reducido completo,2024-02-01,3,2,3,2,5
SAN MIGUEL DE VELASCO,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema reducido completo,2024-02-01,219,202,219,202,421
SANTIVAÑES,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
SAPAHAQUI,rabia,no de personas con esquema reducido completo,2024-02-01,2,2,2,2,4
SHINAOTA,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
SIPE SIPE,rabia,no de personas con esquema reducido completo,2024-02-01,4,1,4,1,5
SORATA,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
SUCRE,rabia,no de personas con esquema reducido completo,2024-02-01,23,37,23,37,60
TARIJA,rabia,no de personas con esquema reducido completo,2024-02-01,28,21,28,21,49
TIQUIPAYA,rabia,no de personas con esquema reducido completo,2024-02-01,8,5,8,5,13
TIRAQUE (CBBA),rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
TOLATA,rabia,no de personas con esquema reducido completo,2024-02-01,2,0,2,0,2
TRINIDAD,rabia,no de personas con esquema reducido completo,2024-02-01,7,13,7,13,20
UYUNI,rabia,no de personas con esquema reducido completo,2024-02-01,2,0,2,0,2
VALLEGRANDE,rabia,no de personas con esquema reducido completo,2024-02-01,2,4,2,4,6
VIACHA,rabia,no de personas con esquema reducido completo,2024-02-01,4,4,4,4,8
VILLA RIVERO,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),rabia,no de personas con esquema reducido completo,2024-02-01,2,0,2,0,2
VILLAZON,rabia,no de personas con esquema reducido completo,2024-02-01,0,1,0,1,1
VINTO,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema reducido completo,2024-02-01,11,10,11,10,21
YACUIBA,rabia,no de personas con esquema reducido completo,2024-02-01,2,0,2,0,2
YANACACHI,rabia,no de personas con esquema reducido completo,2024-02-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema reducido completo,2024-03-01,1,1,1,1,2
AIQUILE,rabia,no de personas con esquema reducido completo,2024-03-01,0,1,0,1,1
ALTO BENI,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
ARBIETO,rabia,no de personas con esquema reducido completo,2024-03-01,1,1,1,1,2
BERMEJO,rabia,no de personas con esquema reducido completo,2024-03-01,2,4,2,4,6
BUENA VISTA,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
CABEZAS,rabia,no de personas con esquema reducido completo,2024-03-01,1,1,1,1,2
"CAIZA ""D""",rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
CAJUATA,rabia,no de personas con esquema reducido completo,2024-03-01,0,1,0,1,1
CALAMARCA,rabia,no de personas con esquema reducido completo,2024-03-01,1,1,1,1,2
CAMIRI,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
CAPINOTA,rabia,no de personas con esquema reducido completo,2024-03-01,2,1,2,1,3
CARANAVI,rabia,no de personas con esquema reducido completo,2024-03-01,2,0,2,0,2
CARAPARI,rabia,no de personas con esquema reducido completo,2024-03-01,1,1,1,1,2
CHALLAPATA,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
CHARAGUA,rabia,no de personas con esquema reducido completo,2024-03-01,0,1,0,1,1
CLIZA,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
COCAPATA,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema reducido completo,2024-03-01,39,31,39,31,70
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2024-03-01,1,1,1,1,2
"COLCHA ""K""",rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
COLPA BELGICA,rabia,no de personas con esquema reducido completo,2024-03-01,1,1,1,1,2
COLQUIRI,rabia,no de personas con esquema reducido completo,2024-03-01,2,4,2,4,6
COMARAPA,rabia,no de personas con esquema reducido completo,2024-03-01,0,2,0,2,2
CONCEPCION,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
COROICO,rabia,no de personas con esquema reducido completo,2024-03-01,3,1,3,1,4
COTOCA,rabia,no de personas con esquema reducido completo,2024-03-01,6,10,6,10,16
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2024-03-01,3,1,3,1,4
DESAGUADERO,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema reducido completo,2024-03-01,71,65,71,65,136
EL PUENTE(STC),rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
EL TORNO,rabia,no de personas con esquema reducido completo,2024-03-01,6,5,6,5,11
ENTRE RIOS CBBA,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
FERNANDEZ ALONSO,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),rabia,no de personas con esquema reducido completo,2024-03-01,2,0,2,0,2
GUAYARAMERIN,rabia,no de personas con esquema reducido completo,2024-03-01,2,0,2,0,2
HUANUNI,rabia,no de personas con esquema reducido completo,2024-03-01,3,2,3,2,5
HUARINA,rabia,no de personas con esquema reducido completo,2024-03-01,1,1,1,1,2
INQUISIVI,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
IXIAMAS,rabia,no de personas con esquema reducido completo,2024-03-01,2,1,2,1,3
LA ASUNTA,rabia,no de personas con esquema reducido completo,2024-03-01,2,1,2,1,3
LA GUARDIA,rabia,no de personas con esquema reducido completo,2024-03-01,22,24,22,24,46
LA PAZ,rabia,no de personas con esquema reducido completo,2024-03-01,103,69,103,69,172
MONTEAGUDO,rabia,no de personas con esquema reducido completo,2024-03-01,0,3,0,3,3
MONTERO,rabia,no de personas con esquema reducido completo,2024-03-01,6,3,6,3,9
OKINAWA,rabia,no de personas con esquema reducido completo,2024-03-01,1,3,1,3,4
ORURO,rabia,no de personas con esquema reducido completo,2024-03-01,26,10,26,10,36
PAILON,rabia,no de personas con esquema reducido completo,2024-03-01,0,1,0,1,1
PALOS BLANCOS,rabia,no de personas con esquema reducido completo,2024-03-01,2,1,2,1,3
PATACAMAYA,rabia,no de personas con esquema reducido completo,2024-03-01,1,1,1,1,2
POCONA,rabia,no de personas con esquema reducido completo,2024-03-01,0,1,0,1,1
POOPO,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas con esquema reducido completo,2024-03-01,1,6,1,6,7
PUNATA,rabia,no de personas con esquema reducido completo,2024-03-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con esquema reducido completo,2024-03-01,17,12,17,12,29
QUIME,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
RIBERALTA,rabia,no de personas con esquema reducido completo,2024-03-01,1,1,1,1,2
RURRENABAQUE,rabia,no de personas con esquema reducido completo,2024-03-01,1,1,1,1,2
SACABA,rabia,no de personas con esquema reducido completo,2024-03-01,5,5,5,5,10
SAMAIPATA,rabia,no de personas con esquema reducido completo,2024-03-01,1,1,1,1,2
SAN BORJA,rabia,no de personas con esquema reducido completo,2024-03-01,4,1,4,1,5
SAN BUENA VENTURA,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
SAN CARLOS,rabia,no de personas con esquema reducido completo,2024-03-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
SAN JAVIER(STC),rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,rabia,no de personas con esquema reducido completo,2024-03-01,1,2,1,2,3
SAN JUAN DE YAPACANI,rabia,no de personas con esquema reducido completo,2024-03-01,2,0,2,0,2
SAN JULIAN,rabia,no de personas con esquema reducido completo,2024-03-01,4,1,4,1,5
SAN LUCAS,rabia,no de personas con esquema reducido completo,2024-03-01,3,1,3,1,4
SAN MIGUEL DE VELASCO,rabia,no de personas con esquema reducido completo,2024-03-01,0,1,0,1,1
SAN PEDRO,rabia,no de personas con esquema reducido completo,2024-03-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema reducido completo,2024-03-01,209,165,209,165,374
SANTIAGO DE CALLAPA,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
SANTIVAÑES,rabia,no de personas con esquema reducido completo,2024-03-01,0,1,0,1,1
SENA,rabia,no de personas con esquema reducido completo,2024-03-01,2,0,2,0,2
SIPE SIPE,rabia,no de personas con esquema reducido completo,2024-03-01,5,3,5,3,8
SUCRE,rabia,no de personas con esquema reducido completo,2024-03-01,42,44,42,44,86
TARIJA,rabia,no de personas con esquema reducido completo,2024-03-01,14,17,14,17,31
TIPUANI,rabia,no de personas con esquema reducido completo,2024-03-01,0,1,0,1,1
TIQUIPAYA,rabia,no de personas con esquema reducido completo,2024-03-01,7,4,7,4,11
TOTORA(CBBA),rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema reducido completo,2024-03-01,17,16,17,16,33
UNCIA,rabia,no de personas con esquema reducido completo,2024-03-01,0,1,0,1,1
UYUNI,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
VALLEGRANDE,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
VIACHA,rabia,no de personas con esquema reducido completo,2024-03-01,5,3,5,3,8
VILLA VACA GUZMAN (MUYUPAMPA),rabia,no de personas con esquema reducido completo,2024-03-01,3,0,3,0,3
VILLAZON,rabia,no de personas con esquema reducido completo,2024-03-01,1,0,1,0,1
VINTO,rabia,no de personas con esquema reducido completo,2024-03-01,4,2,4,2,6
WARNES,rabia,no de personas con esquema reducido completo,2024-03-01,15,10,15,10,25
YANACACHI,rabia,no de personas con esquema reducido completo,2024-03-01,1,3,1,3,4
YAPACANI,rabia,no de personas con esquema reducido completo,2024-03-01,2,2,2,2,4
ACHOCALLA,rabia,no de personas con esquema reducido completo,2024-04-01,3,2,3,2,5
AIQUILE,rabia,no de personas con esquema reducido completo,2024-04-01,0,1,0,1,1
ALTO BENI,rabia,no de personas con esquema reducido completo,2024-04-01,0,1,0,1,1
APOLO,rabia,no de personas con esquema reducido completo,2024-04-01,1,0,1,0,1
ARBIETO,rabia,no de personas con esquema reducido completo,2024-04-01,2,1,2,1,3
ASCENCION DE GUARAYOS,rabia,no de personas con esquema reducido completo,2024-04-01,5,1,5,1,6
ATOCHA,rabia,no de personas con esquema reducido completo,2024-04-01,0,1,0,1,1
BELLA FLOR,rabia,no de personas con esquema reducido completo,2024-04-01,8,5,8,5,13
BERMEJO,rabia,no de personas con esquema reducido completo,2024-04-01,4,5,4,5,9
CABEZAS,rabia,no de personas con esquema reducido completo,2024-04-01,0,1,0,1,1
"CAIZA ""D""",rabia,no de personas con esquema reducido completo,2024-04-01,1,1,1,1,2
CALAMARCA,rabia,no de personas con esquema reducido completo,2024-04-01,1,0,1,0,1
CAMARGO,rabia,no de personas con esquema reducido completo,2024-04-01,0,1,0,1,1
CAPINOTA,rabia,no de personas con esquema reducido completo,2024-04-01,1,1,1,1,2
CARANAVI,rabia,no de personas con esquema reducido completo,2024-04-01,1,3,1,3,4
CARAPARI,rabia,no de personas con esquema reducido completo,2024-04-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas con esquema reducido completo,2024-04-01,1,1,1,1,2
CHIMORE,rabia,no de personas con esquema reducido completo,2024-04-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con esquema reducido completo,2024-04-01,2,0,2,0,2
CLIZA,rabia,no de personas con esquema reducido completo,2024-04-01,2,1,2,1,3
COBIJA,rabia,no de personas con esquema reducido completo,2024-04-01,1,2,1,2,3
COCAPATA,rabia,no de personas con esquema reducido completo,2024-04-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema reducido completo,2024-04-01,64,52,64,52,116
COLCAPIRHUA,rabia,no de personas con esquema reducido completo,2024-04-01,4,2,4,2,6
"COLCHA ""K""",rabia,no de personas con esquema reducido completo,2024-04-01,1,1,1,1,2
COLLANA,rabia,no de personas con esquema reducido completo,2024-04-01,1,0,1,0,1
COLOMI,rabia,no de personas con esquema reducido completo,2024-04-01,1,0,1,0,1
COLPA BELGICA,rabia,no de personas con esquema reducido completo,2024-04-01,1,2,1,2,3
COMARAPA,rabia,no de personas con esquema reducido completo,2024-04-01,1,0,1,0,1
CONCEPCION,rabia,no de personas con esquema reducido completo,2024-04-01,1,0,1,0,1
COPACABANA,rabia,no de personas con esquema reducido completo,2024-04-01,0,1,0,1,1
COROICO,rabia,no de personas con esquema reducido completo,2024-04-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema reducido completo,2024-04-01,10,8,10,8,18
CUATRO CAÑADAS,rabia,no de personas con esquema reducido completo,2024-04-01,2,1,2,1,3
EL ALTO,rabia,no de personas con esquema reducido completo,2024-04-01,47,73,47,73,120
EL PUENTE(STC),rabia,no de personas con esquema reducido completo,2024-04-01,1,0,1,0,1
EL TORNO,rabia,no de personas con esquema reducido completo,2024-04-01,7,6,7,6,13
ENTRE RIOS TRJ,rabia,no de personas con esquema reducido completo,2024-04-01,0,1,0,1,1
EUCALIPTUS,rabia,no de personas con esquema reducido completo,2024-04-01,2,2,2,2,4
GUANAY,rabia,no de personas con esquema reducido completo,2024-04-01,1,0,1,0,1
GUAYARAMERIN,rabia,no de personas con esquema reducido completo,2024-04-01,3,1,3,1,4
GUTIERREZ,rabia,no de personas con esquema reducido completo,2024-04-01,1,0,1,0,1
HUANUNI,rabia,no de personas con esquema reducido completo,2024-04-01,1,0,1,0,1
INQUISIVI,rabia,no de personas con esquema reducido completo,2024-04-01,1,0,1,0,1
