,group,variable,month,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,Nº DE PERSONAS QUE ABANDONARON ESQUEMA CANTIDAD,TOTALES,TOTALES,TOTALES
SACABA,rabia,no de personas que abandonaron esquema,2024-02-01,1,0,1,0,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2024-02-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,rabia,no de personas que abandonaron esquema,2024-02-01,0,2,0,2,2
SAN JUAN DE YAPACANI,rabia,no de personas que abandonaron esquema,2024-02-01,1,0,1,0,1
SAN JULIAN,rabia,no de personas que abandonaron esquema,2024-02-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2024-02-01,2,6,2,6,8
SIPE SIPE,rabia,no de personas que abandonaron esquema,2024-02-01,1,0,1,0,1
SUCRE,rabia,no de personas que abandonaron esquema,2024-02-01,14,11,14,11,25
TOTORA(CBBA),rabia,no de personas que abandonaron esquema,2024-02-01,1,0,1,0,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2024-02-01,5,5,5,5,10
UYUNI,rabia,no de personas que abandonaron esquema,2024-02-01,2,0,2,0,2
VALLEGRANDE,rabia,no de personas que abandonaron esquema,2024-02-01,1,0,1,0,1
VILLA TUNARI,rabia,no de personas que abandonaron esquema,2024-02-01,1,0,1,0,1
VINTO,rabia,no de personas que abandonaron esquema,2024-02-01,1,1,1,1,2
WARNES,rabia,no de personas que abandonaron esquema,2024-02-01,2,1,2,1,3
CARANAVI,rabia,no de personas que abandonaron esquema,2024-03-01,5,1,5,1,6
CHALLAPATA,rabia,no de personas que abandonaron esquema,2024-03-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2024-03-01,18,11,18,11,29
"COLCHA ""K""",rabia,no de personas que abandonaron esquema,2024-03-01,0,1,0,1,1
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2024-03-01,2,0,2,0,2
DESAGUADERO,rabia,no de personas que abandonaron esquema,2024-03-01,0,1,0,1,1
EL ALTO,rabia,no de personas que abandonaron esquema,2024-03-01,12,18,12,18,30
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2024-03-01,5,5,5,5,10
HUANUNI,rabia,no de personas que abandonaron esquema,2024-03-01,1,1,1,1,2
LA PAZ,rabia,no de personas que abandonaron esquema,2024-03-01,18,20,18,20,38
LORETO,rabia,no de personas que abandonaron esquema,2024-03-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2024-03-01,18,17,18,17,35
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2024-03-01,0,1,0,1,1
RIBERALTA,rabia,no de personas que abandonaron esquema,2024-03-01,0,1,0,1,1
SACABA,rabia,no de personas que abandonaron esquema,2024-03-01,1,0,1,0,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2024-03-01,2,2,2,2,4
SAN CARLOS,rabia,no de personas que abandonaron esquema,2024-03-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2024-03-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,rabia,no de personas que abandonaron esquema,2024-03-01,1,2,1,2,3
SAN JUAN DE YAPACANI,rabia,no de personas que abandonaron esquema,2024-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2024-03-01,3,5,3,5,8
SUCRE,rabia,no de personas que abandonaron esquema,2024-03-01,12,10,12,10,22
TARACO,rabia,no de personas que abandonaron esquema,2024-03-01,1,0,1,0,1
TARATA,rabia,no de personas que abandonaron esquema,2024-03-01,0,1,0,1,1
TEOPONTE,rabia,no de personas que abandonaron esquema,2024-03-01,0,1,0,1,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2024-03-01,8,1,8,1,9
UNCIA,rabia,no de personas que abandonaron esquema,2024-03-01,1,1,1,1,2
UYUNI,rabia,no de personas que abandonaron esquema,2024-03-01,1,1,1,1,2
VIACHA,rabia,no de personas que abandonaron esquema,2024-03-01,5,0,5,0,5
VILLA SERRANO,rabia,no de personas que abandonaron esquema,2024-03-01,0,1,0,1,1
VINTO,rabia,no de personas que abandonaron esquema,2024-03-01,1,1,1,1,2
WARNES,rabia,no de personas que abandonaron esquema,2024-03-01,4,3,4,3,7
YAPACANI,rabia,no de personas que abandonaron esquema,2024-03-01,1,0,1,0,1
ACHACACHI,rabia,no de personas que abandonaron esquema,2024-04-01,1,0,1,0,1
ATOCHA,rabia,no de personas que abandonaron esquema,2024-04-01,1,0,1,0,1
BERMEJO,rabia,no de personas que abandonaron esquema,2024-04-01,2,0,2,0,2
CARACOLLO,rabia,no de personas que abandonaron esquema,2024-04-01,1,1,1,1,2
CARANAVI,rabia,no de personas que abandonaron esquema,2024-04-01,2,1,2,1,3
CARAPARI,rabia,no de personas que abandonaron esquema,2024-04-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2024-04-01,1,0,1,0,1
CLIZA,rabia,no de personas que abandonaron esquema,2024-04-01,0,1,0,1,1
COBIJA,rabia,no de personas que abandonaron esquema,2024-04-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2024-04-01,12,10,12,10,22
COLCAPIRHUA,rabia,no de personas que abandonaron esquema,2024-04-01,0,1,0,1,1
CORIPATA,rabia,no de personas que abandonaron esquema,2024-04-01,0,1,0,1,1
EL ALTO,rabia,no de personas que abandonaron esquema,2024-04-01,20,24,20,24,44
EL PUENTE(STC),rabia,no de personas que abandonaron esquema,2024-04-01,0,1,0,1,1
ENTRE RIOS CBBA,rabia,no de personas que abandonaron esquema,2024-04-01,1,0,1,0,1
EUCALIPTUS,rabia,no de personas que abandonaron esquema,2024-04-01,1,0,1,0,1
GUANAY,rabia,no de personas que abandonaron esquema,2024-04-01,0,1,0,1,1
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2024-04-01,5,5,5,5,10
LA PAZ,rabia,no de personas que abandonaron esquema,2024-04-01,23,17,23,17,40
ORURO,rabia,no de personas que abandonaron esquema,2024-04-01,19,13,19,13,32
PADILLA,rabia,no de personas que abandonaron esquema,2024-04-01,1,1,1,1,2
POOPO,rabia,no de personas que abandonaron esquema,2024-04-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas que abandonaron esquema,2024-04-01,2,0,2,0,2
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2024-04-01,1,1,1,1,2
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2024-04-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2024-04-01,4,2,4,2,6
SIPE SIPE,rabia,no de personas que abandonaron esquema,2024-04-01,1,0,1,0,1
SUCRE,rabia,no de personas que abandonaron esquema,2024-04-01,20,8,20,8,28
TACOPAYA,rabia,no de personas que abandonaron esquema,2024-04-01,1,0,1,0,1
TIPUANI,rabia,no de personas que abandonaron esquema,2024-04-01,0,1,0,1,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2024-04-01,6,0,6,0,6
UNCIA,rabia,no de personas que abandonaron esquema,2024-04-01,0,1,0,1,1
UYUNI,rabia,no de personas que abandonaron esquema,2024-04-01,1,0,1,0,1
VIACHA,rabia,no de personas que abandonaron esquema,2024-04-01,1,2,1,2,3
VINTO,rabia,no de personas que abandonaron esquema,2024-04-01,1,1,1,1,2
WARNES,rabia,no de personas que abandonaron esquema,2024-04-01,0,2,0,2,2
YAPACANI,rabia,no de personas que abandonaron esquema,2024-04-01,1,2,1,2,3
ASCENCION DE GUARAYOS,rabia,no de personas que abandonaron esquema,2024-05-01,1,0,1,0,1
BUENA VISTA,rabia,no de personas que abandonaron esquema,2024-05-01,0,1,0,1,1
CABEZAS,rabia,no de personas que abandonaron esquema,2024-05-01,0,2,0,2,2
CARANAVI,rabia,no de personas que abandonaron esquema,2024-05-01,2,1,2,1,3
COCHABAMBA,rabia,no de personas que abandonaron esquema,2024-05-01,31,11,31,11,42
"COLCHA ""K""",rabia,no de personas que abandonaron esquema,2024-05-01,1,0,1,0,1
COROICO,rabia,no de personas que abandonaron esquema,2024-05-01,0,1,0,1,1
EL ALTO,rabia,no de personas que abandonaron esquema,2024-05-01,22,21,22,21,43
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2024-05-01,3,1,3,1,4
HUATAJATA,rabia,no de personas que abandonaron esquema,2024-05-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas que abandonaron esquema,2024-05-01,1,0,1,0,1
LA PAZ,rabia,no de personas que abandonaron esquema,2024-05-01,16,21,16,21,37
MACHACAMARCA,rabia,no de personas que abandonaron esquema,2024-05-01,2,4,2,4,6
MONTEAGUDO,rabia,no de personas que abandonaron esquema,2024-05-01,1,1,1,1,2
MONTERO,rabia,no de personas que abandonaron esquema,2024-05-01,0,2,0,2,2
ORURO,rabia,no de personas que abandonaron esquema,2024-05-01,18,7,18,7,25
POOPO,rabia,no de personas que abandonaron esquema,2024-05-01,2,1,2,1,3
PUERTO VILLARROEL,rabia,no de personas que abandonaron esquema,2024-05-01,1,1,1,1,2
PUNATA,rabia,no de personas que abandonaron esquema,2024-05-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2024-05-01,2,2,2,2,4
RURRENABAQUE,rabia,no de personas que abandonaron esquema,2024-05-01,0,1,0,1,1
SACABA,rabia,no de personas que abandonaron esquema,2024-05-01,1,0,1,0,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2024-05-01,1,0,1,0,1
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2024-05-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2024-05-01,2,2,2,2,4
SAN JUAN DE YAPACANI,rabia,no de personas que abandonaron esquema,2024-05-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2024-05-01,4,1,4,1,5
SANTA ROSA,rabia,no de personas que abandonaron esquema,2024-05-01,1,0,1,0,1
SORATA,rabia,no de personas que abandonaron esquema,2024-05-01,0,1,0,1,1
SUCRE,rabia,no de personas que abandonaron esquema,2024-05-01,12,16,12,16,28
TIPUANI,rabia,no de personas que abandonaron esquema,2024-05-01,1,0,1,0,1
TIRAQUE (CBBA),rabia,no de personas que abandonaron esquema,2024-05-01,1,0,1,0,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2024-05-01,7,4,7,4,11
UNCIA,rabia,no de personas que abandonaron esquema,2024-05-01,0,1,0,1,1
VALLEGRANDE,rabia,no de personas que abandonaron esquema,2024-05-01,0,1,0,1,1
VIACHA,rabia,no de personas que abandonaron esquema,2024-05-01,2,1,2,1,3
WARNES,rabia,no de personas que abandonaron esquema,2024-05-01,6,1,6,1,7
YACUIBA,rabia,no de personas que abandonaron esquema,2024-05-01,1,4,1,4,5
YAPACANI,rabia,no de personas que abandonaron esquema,2024-05-01,0,1,0,1,1
CARACOLLO,rabia,no de personas que abandonaron esquema,2024-06-01,1,2,1,2,3
CARANAVI,rabia,no de personas que abandonaron esquema,2024-06-01,0,3,0,3,3
CARAPARI,rabia,no de personas que abandonaron esquema,2024-06-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas que abandonaron esquema,2024-06-01,1,1,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,rabia,no de personas que abandonaron esquema,2024-06-01,1,0,1,0,1
CKOCHAS,rabia,no de personas que abandonaron esquema,2024-06-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2024-06-01,20,10,20,10,30
COPACABANA,rabia,no de personas que abandonaron esquema,2024-06-01,1,0,1,0,1
COROICO,rabia,no de personas que abandonaron esquema,2024-06-01,1,0,1,0,1
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2024-06-01,0,2,0,2,2
EL ALTO,rabia,no de personas que abandonaron esquema,2024-06-01,25,21,25,21,46
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2024-06-01,7,1,7,1,8
IRUPANA (VILLA DE LANZA),rabia,no de personas que abandonaron esquema,2024-06-01,0,1,0,1,1
LA PAZ,rabia,no de personas que abandonaron esquema,2024-06-01,26,15,26,15,41
LLALLAGUA,rabia,no de personas que abandonaron esquema,2024-06-01,0,1,0,1,1
MONTERO,rabia,no de personas que abandonaron esquema,2024-06-01,2,1,2,1,3
ORURO,rabia,no de personas que abandonaron esquema,2024-06-01,25,16,25,16,41
POOPO,rabia,no de personas que abandonaron esquema,2024-06-01,1,0,1,0,1
PORONGO,rabia,no de personas que abandonaron esquema,2024-06-01,0,2,0,2,2
POTOSI,rabia,no de personas que abandonaron esquema,2024-06-01,0,2,0,2,2
PUERTO VILLARROEL,rabia,no de personas que abandonaron esquema,2024-06-01,0,3,0,3,3
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2024-06-01,0,2,0,2,2
SACABA,rabia,no de personas que abandonaron esquema,2024-06-01,2,2,2,2,4
SAN ANDRES,rabia,no de personas que abandonaron esquema,2024-06-01,3,0,3,0,3
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2024-06-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,rabia,no de personas que abandonaron esquema,2024-06-01,1,1,1,1,2
SAN MATIAS,rabia,no de personas que abandonaron esquema,2024-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2024-06-01,2,4,2,4,6
SUCRE,rabia,no de personas que abandonaron esquema,2024-06-01,10,10,10,10,20
TOTORA(CBBA),rabia,no de personas que abandonaron esquema,2024-06-01,1,0,1,0,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2024-06-01,9,8,9,8,17
UYUNI,rabia,no de personas que abandonaron esquema,2024-06-01,1,1,1,1,2
VALLEGRANDE,rabia,no de personas que abandonaron esquema,2024-06-01,0,1,0,1,1
VIACHA,rabia,no de personas que abandonaron esquema,2024-06-01,3,1,3,1,4
VILLA TUNARI,rabia,no de personas que abandonaron esquema,2024-06-01,1,0,1,0,1
WARNES,rabia,no de personas que abandonaron esquema,2024-06-01,1,0,1,0,1
YAPACANI,rabia,no de personas que abandonaron esquema,2024-06-01,1,2,1,2,3
ACHOCALLA,rabia,no de personas que abandonaron esquema,2024-07-01,1,0,1,0,1
CARANAVI,rabia,no de personas que abandonaron esquema,2024-07-01,2,1,2,1,3
CHARAGUA,rabia,no de personas que abandonaron esquema,2024-07-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2024-07-01,12,15,12,15,27
COPACABANA,rabia,no de personas que abandonaron esquema,2024-07-01,2,0,2,0,2
EL ALTO,rabia,no de personas que abandonaron esquema,2024-07-01,22,27,22,27,49
EL TORNO,rabia,no de personas que abandonaron esquema,2024-07-01,1,0,1,0,1
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2024-07-01,3,3,3,3,6
IXIAMAS,rabia,no de personas que abandonaron esquema,2024-07-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas que abandonaron esquema,2024-07-01,3,1,3,1,4
LA PAZ,rabia,no de personas que abandonaron esquema,2024-07-01,28,17,28,17,45
MACHACAMARCA,rabia,no de personas que abandonaron esquema,2024-07-01,0,2,0,2,2
ORURO,rabia,no de personas que abandonaron esquema,2024-07-01,20,15,20,15,35
POROMA,rabia,no de personas que abandonaron esquema,2024-07-01,1,0,1,0,1
PUERTO ACOSTA,rabia,no de personas que abandonaron esquema,2024-07-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2024-07-01,1,0,1,0,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2024-07-01,0,2,0,2,2
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2024-07-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2024-07-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2024-07-01,2,2,2,2,4
SUCRE,rabia,no de personas que abandonaron esquema,2024-07-01,9,10,9,10,19
TRINIDAD,rabia,no de personas que abandonaron esquema,2024-07-01,7,5,7,5,12
UNCIA,rabia,no de personas que abandonaron esquema,2024-07-01,1,0,1,0,1
UYUNI,rabia,no de personas que abandonaron esquema,2024-07-01,2,0,2,0,2
VIACHA,rabia,no de personas que abandonaron esquema,2024-07-01,1,5,1,5,6
VILLA VACA GUZMAN (MUYUPAMPA),rabia,no de personas que abandonaron esquema,2024-07-01,1,0,1,0,1
VINTO,rabia,no de personas que abandonaron esquema,2024-07-01,0,1,0,1,1
WARNES,rabia,no de personas que abandonaron esquema,2024-07-01,2,1,2,1,3
CARAPARI,rabia,no de personas que abandonaron esquema,2024-08-01,0,1,0,1,1
CHIMORE,rabia,no de personas que abandonaron esquema,2024-08-01,1,0,1,0,1
COBIJA,rabia,no de personas que abandonaron esquema,2024-08-01,1,0,1,0,1
COCAPATA,rabia,no de personas que abandonaron esquema,2024-08-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2024-08-01,19,15,19,15,34
COPACABANA,rabia,no de personas que abandonaron esquema,2024-08-01,1,0,1,0,1
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2024-08-01,1,0,1,0,1
EL ALTO,rabia,no de personas que abandonaron esquema,2024-08-01,22,19,22,19,41
GUAYARAMERIN,rabia,no de personas que abandonaron esquema,2024-08-01,1,2,1,2,3
IXIAMAS,rabia,no de personas que abandonaron esquema,2024-08-01,0,1,0,1,1
LA ASUNTA,rabia,no de personas que abandonaron esquema,2024-08-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas que abandonaron esquema,2024-08-01,0,1,0,1,1
LA PAZ,rabia,no de personas que abandonaron esquema,2024-08-01,22,25,22,25,47
MONTEAGUDO,rabia,no de personas que abandonaron esquema,2024-08-01,0,1,0,1,1
MONTERO,rabia,no de personas que abandonaron esquema,2024-08-01,4,3,4,3,7
ORURO,rabia,no de personas que abandonaron esquema,2024-08-01,20,9,20,9,29
POCONA,rabia,no de personas que abandonaron esquema,2024-08-01,0,1,0,1,1
PORONGO,rabia,no de personas que abandonaron esquema,2024-08-01,1,1,1,1,2
PUCARANI,rabia,no de personas que abandonaron esquema,2024-08-01,0,1,0,1,1
PUERTO PEREZ,rabia,no de personas que abandonaron esquema,2024-08-01,0,1,0,1,1
PUERTO VILLARROEL,rabia,no de personas que abandonaron esquema,2024-08-01,1,1,1,1,2
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2024-08-01,3,0,3,0,3
ROBORE,rabia,no de personas que abandonaron esquema,2024-08-01,0,1,0,1,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2024-08-01,0,1,0,1,1
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2024-08-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2024-08-01,1,0,1,0,1
SAN JUAN DE YAPACANI,rabia,no de personas que abandonaron esquema,2024-08-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,rabia,no de personas que abandonaron esquema,2024-08-01,0,1,0,1,1
SAN RAMON SCZ,rabia,no de personas que abandonaron esquema,2024-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2024-08-01,5,1,5,1,6
SIPE SIPE,rabia,no de personas que abandonaron esquema,2024-08-01,0,1,0,1,1
SUCRE,rabia,no de personas que abandonaron esquema,2024-08-01,13,17,13,17,30
TIQUIPAYA,rabia,no de personas que abandonaron esquema,2024-08-01,1,0,1,0,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2024-08-01,4,4,4,4,8
UNCIA,rabia,no de personas que abandonaron esquema,2024-08-01,1,0,1,0,1
UYUNI,rabia,no de personas que abandonaron esquema,2024-08-01,2,2,2,2,4
VIACHA,rabia,no de personas que abandonaron esquema,2024-08-01,1,0,1,0,1
WARNES,rabia,no de personas que abandonaron esquema,2024-08-01,1,1,1,1,2
YOTALA,rabia,no de personas que abandonaron esquema,2024-08-01,1,0,1,0,1
CARACOLLO,rabia,no de personas que abandonaron esquema,2024-09-01,0,2,0,2,2
CARANAVI,rabia,no de personas que abandonaron esquema,2024-09-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas que abandonaron esquema,2024-09-01,1,0,1,0,1
CHIMORE,rabia,no de personas que abandonaron esquema,2024-09-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas que abandonaron esquema,2024-09-01,12,5,12,5,17
COROICO,rabia,no de personas que abandonaron esquema,2024-09-01,1,0,1,0,1
CUATRO CAÑADAS,rabia,no de personas que abandonaron esquema,2024-09-01,1,1,1,1,2
EL ALTO,rabia,no de personas que abandonaron esquema,2024-09-01,11,7,11,7,18
EL PUENTE(STC),rabia,no de personas que abandonaron esquema,2024-09-01,0,1,0,1,1
EL TORNO,rabia,no de personas que abandonaron esquema,2024-09-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),rabia,no de personas que abandonaron esquema,2024-09-01,0,2,0,2,2
LA ASUNTA,rabia,no de personas que abandonaron esquema,2024-09-01,1,0,1,0,1
LA PAZ,rabia,no de personas que abandonaron esquema,2024-09-01,16,17,16,17,33
MONTERO,rabia,no de personas que abandonaron esquema,2024-09-01,1,0,1,0,1
ORURO,rabia,no de personas que abandonaron esquema,2024-09-01,12,15,12,15,27
PADILLA,rabia,no de personas que abandonaron esquema,2024-09-01,1,0,1,0,1
PALOS BLANCOS,rabia,no de personas que abandonaron esquema,2024-09-01,0,1,0,1,1
POOPO,rabia,no de personas que abandonaron esquema,2024-09-01,0,1,0,1,1
PUCARANI,rabia,no de personas que abandonaron esquema,2024-09-01,0,1,0,1,1
PUERTO SUAREZ,rabia,no de personas que abandonaron esquema,2024-09-01,1,1,1,1,2
QUILLACOLLO,rabia,no de personas que abandonaron esquema,2024-09-01,0,1,0,1,1
ROBORE,rabia,no de personas que abandonaron esquema,2024-09-01,0,1,0,1,1
SAN BORJA,rabia,no de personas que abandonaron esquema,2024-09-01,0,2,0,2,2
SAN BUENA VENTURA,rabia,no de personas que abandonaron esquema,2024-09-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas que abandonaron esquema,2024-09-01,1,0,1,0,1
SAN PEDRO,rabia,no de personas que abandonaron esquema,2024-09-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas que abandonaron esquema,2024-09-01,3,3,3,3,6
SUCRE,rabia,no de personas que abandonaron esquema,2024-09-01,12,13,12,13,25
TIQUIPAYA,rabia,no de personas que abandonaron esquema,2024-09-01,0,1,0,1,1
TRINIDAD,rabia,no de personas que abandonaron esquema,2024-09-01,5,6,5,6,11
VALLEGRANDE,rabia,no de personas que abandonaron esquema,2024-09-01,1,0,1,0,1
VIACHA,rabia,no de personas que abandonaron esquema,2024-09-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),rabia,no de personas que abandonaron esquema,2024-09-01,0,1,0,1,1
VILLAZON,rabia,no de personas que abandonaron esquema,2024-09-01,1,0,1,0,1
VINTO,rabia,no de personas que abandonaron esquema,2024-09-01,0,2,0,2,2
WARNES,rabia,no de personas que abandonaron esquema,2024-09-01,2,0,2,0,2
CAQUIAVIRI,rabia,no de personas que abandonaron esquema,2024-10-01,0,1,0,1,1
CARAPARI,rabia,no de personas que abandonaron esquema,2024-10-01,1,0,1,0,1
COBIJA,rabia,no de personas que abandonaron esquema,2024-10-01,1,0,1,0,1
