,group,variable,month,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
GUANAY,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
GUAYARAMERIN,rabia,no de personas con vacuna antirrabica,2024-01-01,6,5,6,5,11
HUACARETA,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
HUANUNI,rabia,no de personas con vacuna antirrabica,2024-01-01,4,1,4,1,5
HUATAJATA,rabia,no de personas con vacuna antirrabica,2024-01-01,1,2,1,2,3
HUAYLLAMARCA,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
LA ASUNTA,rabia,no de personas con vacuna antirrabica,2024-01-01,5,1,5,1,6
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2024-01-01,26,17,26,17,43
LA PAZ,rabia,no de personas con vacuna antirrabica,2024-01-01,408,337,408,337,745
LAJA,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
LURIBAY,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
MACHACAMARCA,rabia,no de personas con vacuna antirrabica,2024-01-01,2,0,2,0,2
MAPIRI,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
MINEROS,rabia,no de personas con vacuna antirrabica,2024-01-01,1,2,1,2,3
MONTEAGUDO,rabia,no de personas con vacuna antirrabica,2024-01-01,2,3,2,3,5
MONTERO,rabia,no de personas con vacuna antirrabica,2024-01-01,11,0,11,0,11
OCURI,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
ORURO,rabia,no de personas con vacuna antirrabica,2024-01-01,73,64,73,64,137
PAILON,rabia,no de personas con vacuna antirrabica,2024-01-01,5,3,5,3,8
PALCA,rabia,no de personas con vacuna antirrabica,2024-01-01,0,2,0,2,2
PAMPA GRANDE,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
PATACAMAYA,rabia,no de personas con vacuna antirrabica,2024-01-01,2,4,2,4,6
POCOATA,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
POCONA,rabia,no de personas con vacuna antirrabica,2024-01-01,0,2,0,2,2
POOPO,rabia,no de personas con vacuna antirrabica,2024-01-01,3,1,3,1,4
PORONGO,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
PORTACHUELO,rabia,no de personas con vacuna antirrabica,2024-01-01,3,3,3,3,6
POTOSI,rabia,no de personas con vacuna antirrabica,2024-01-01,6,0,6,0,6
PUCARANI,rabia,no de personas con vacuna antirrabica,2024-01-01,3,0,3,0,3
PUERTO CARABUCO,rabia,no de personas con vacuna antirrabica,2024-01-01,2,0,2,0,2
PUERTO VILLARROEL,rabia,no de personas con vacuna antirrabica,2024-01-01,5,5,5,5,10
PUNATA,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con vacuna antirrabica,2024-01-01,12,5,12,5,17
QUIME,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
RIBERALTA,rabia,no de personas con vacuna antirrabica,2024-01-01,0,2,0,2,2
SACABA,rabia,no de personas con vacuna antirrabica,2024-01-01,10,6,10,6,16
SAIPINA,rabia,no de personas con vacuna antirrabica,2024-01-01,1,2,1,2,3
SALINAS DE GARCI MENDOZA,rabia,no de personas con vacuna antirrabica,2024-01-01,2,0,2,0,2
SAMAIPATA,rabia,no de personas con vacuna antirrabica,2024-01-01,1,1,1,1,2
SAN ANDRES,rabia,no de personas con vacuna antirrabica,2024-01-01,1,1,1,1,2
SAN ANTONIO DE LOMERIO,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
SAN BORJA,rabia,no de personas con vacuna antirrabica,2024-01-01,1,1,1,1,2
SAN BUENA VENTURA,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
SAN CARLOS,rabia,no de personas con vacuna antirrabica,2024-01-01,2,4,2,4,6
SAN IGNACIO,rabia,no de personas con vacuna antirrabica,2024-01-01,6,3,6,3,9
SAN JAVIER(STC),rabia,no de personas con vacuna antirrabica,2024-01-01,3,3,3,3,6
SAN JOSE DE CHIQUITOS,rabia,no de personas con vacuna antirrabica,2024-01-01,2,1,2,1,3
SAN LUCAS,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con vacuna antirrabica,2024-01-01,427,364,427,364,791
SANTA ROSA DEL SARA,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
SANTIAGO DE CALLAPA,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
SANTIVAÑES,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
SAPAHAQUI,rabia,no de personas con vacuna antirrabica,2024-01-01,2,2,2,2,4
SIPE SIPE,rabia,no de personas con vacuna antirrabica,2024-01-01,3,0,3,0,3
SORATA,rabia,no de personas con vacuna antirrabica,2024-01-01,1,2,1,2,3
SUCRE,rabia,no de personas con vacuna antirrabica,2024-01-01,115,88,115,88,203
TARABUCO,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
TARIJA,rabia,no de personas con vacuna antirrabica,2024-01-01,28,24,28,24,52
TEOPONTE,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
TINGUIPAYA,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
TIQUIPAYA,rabia,no de personas con vacuna antirrabica,2024-01-01,5,8,5,8,13
TIRAQUE (CBBA),rabia,no de personas con vacuna antirrabica,2024-01-01,2,0,2,0,2
TOLATA,rabia,no de personas con vacuna antirrabica,2024-01-01,2,0,2,0,2
TOLEDO,rabia,no de personas con vacuna antirrabica,2024-01-01,3,0,3,0,3
TOTORA(CBBA),rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con vacuna antirrabica,2024-01-01,21,23,21,23,44
UNCIA,rabia,no de personas con vacuna antirrabica,2024-01-01,2,0,2,0,2
URUBICHA,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
UYUNI,rabia,no de personas con vacuna antirrabica,2024-01-01,3,5,3,5,8
VALLEGRANDE,rabia,no de personas con vacuna antirrabica,2024-01-01,2,2,2,2,4
VIACHA,rabia,no de personas con vacuna antirrabica,2024-01-01,12,8,12,8,20
VILLA VACA GUZMAN (MUYUPAMPA),rabia,no de personas con vacuna antirrabica,2024-01-01,4,0,4,0,4
VILLAZON,rabia,no de personas con vacuna antirrabica,2024-01-01,0,2,0,2,2
VINTO,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
WARNES,rabia,no de personas con vacuna antirrabica,2024-01-01,30,13,30,13,43
YACUIBA,rabia,no de personas con vacuna antirrabica,2024-01-01,48,33,48,33,81
YAMPARAEZ,rabia,no de personas con vacuna antirrabica,2024-01-01,1,0,1,0,1
YANACACHI,rabia,no de personas con vacuna antirrabica,2024-01-01,1,1,1,1,2
YAPACANI,rabia,no de personas con vacuna antirrabica,2024-01-01,1,2,1,2,3
YOTALA,rabia,no de personas con vacuna antirrabica,2024-01-01,0,1,0,1,1
ACHACACHI,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2024-02-01,4,5,4,5,9
AIQUILE,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
ALTO BENI,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
ANCORAIMES,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
ARBIETO,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
ASCENCION DE GUARAYOS,rabia,no de personas con vacuna antirrabica,2024-02-01,0,3,0,3,3
ATOCHA,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
BERMEJO,rabia,no de personas con vacuna antirrabica,2024-02-01,7,6,7,6,13
BUENA VISTA,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
CABEZAS,rabia,no de personas con vacuna antirrabica,2024-02-01,1,2,1,2,3
CAJUATA,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
CALAMARCA,rabia,no de personas con vacuna antirrabica,2024-02-01,2,1,2,1,3
CAMARGO,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
CAPINOTA,rabia,no de personas con vacuna antirrabica,2024-02-01,1,1,1,1,2
CARACOLLO,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
CARANAVI,rabia,no de personas con vacuna antirrabica,2024-02-01,6,0,6,0,6
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con vacuna antirrabica,2024-02-01,0,2,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
CLIZA,rabia,no de personas con vacuna antirrabica,2024-02-01,1,1,1,1,2
COCAPATA,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2024-02-01,68,62,68,62,130
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
"COLCHA ""K""",rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
COLOMI,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
COLQUECHACA,rabia,no de personas con vacuna antirrabica,2024-02-01,0,2,0,2,2
COLQUIRI,rabia,no de personas con vacuna antirrabica,2024-02-01,1,4,1,4,5
COPACABANA,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
COROICO,rabia,no de personas con vacuna antirrabica,2024-02-01,2,0,2,0,2
COTOCA,rabia,no de personas con vacuna antirrabica,2024-02-01,10,6,10,6,16
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2024-02-01,3,1,3,1,4
DESAGUADERO,rabia,no de personas con vacuna antirrabica,2024-02-01,1,1,1,1,2
EL ALTO,rabia,no de personas con vacuna antirrabica,2024-02-01,136,109,136,109,245
EL PUENTE(STC),rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
EL TORNO,rabia,no de personas con vacuna antirrabica,2024-02-01,14,8,14,8,22
ENTRE RIOS TRJ,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
ENTRE RIOS CBBA,rabia,no de personas con vacuna antirrabica,2024-02-01,2,0,2,0,2
EUCALIPTUS,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
FERNANDEZ ALONSO,rabia,no de personas con vacuna antirrabica,2024-02-01,3,1,3,1,4
GUAYARAMERIN,rabia,no de personas con vacuna antirrabica,2024-02-01,5,5,5,5,10
HUACHACALLA,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
HUANUNI,rabia,no de personas con vacuna antirrabica,2024-02-01,3,5,3,5,8
HUATAJATA,rabia,no de personas con vacuna antirrabica,2024-02-01,1,1,1,1,2
LA ASUNTA,rabia,no de personas con vacuna antirrabica,2024-02-01,3,1,3,1,4
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2024-02-01,21,14,21,14,35
LA PAZ,rabia,no de personas con vacuna antirrabica,2024-02-01,230,242,230,242,472
LAJA,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
MACHACAMARCA,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
MAIRANA,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
MAPIRI,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
MOCOMOCO,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
MONTEAGUDO,rabia,no de personas con vacuna antirrabica,2024-02-01,1,2,1,2,3
MONTERO,rabia,no de personas con vacuna antirrabica,2024-02-01,3,2,3,2,5
OMEREQUE,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
ORURO,rabia,no de personas con vacuna antirrabica,2024-02-01,92,66,92,66,158
PADCAYA,rabia,no de personas con vacuna antirrabica,2024-02-01,3,0,3,0,3
PADILLA,rabia,no de personas con vacuna antirrabica,2024-02-01,2,0,2,0,2
PAILON,rabia,no de personas con vacuna antirrabica,2024-02-01,6,3,6,3,9
PALCA,rabia,no de personas con vacuna antirrabica,2024-02-01,1,1,1,1,2
PALOS BLANCOS,rabia,no de personas con vacuna antirrabica,2024-02-01,3,2,3,2,5
PATACAMAYA,rabia,no de personas con vacuna antirrabica,2024-02-01,1,3,1,3,4
POCOATA,rabia,no de personas con vacuna antirrabica,2024-02-01,0,2,0,2,2
POOPO,rabia,no de personas con vacuna antirrabica,2024-02-01,2,0,2,0,2
PORONGO,rabia,no de personas con vacuna antirrabica,2024-02-01,3,1,3,1,4
PORTACHUELO,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
POTOSI,rabia,no de personas con vacuna antirrabica,2024-02-01,4,2,4,2,6
PUERTO VILLARROEL,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
PUNA,rabia,no de personas con vacuna antirrabica,2024-02-01,0,2,0,2,2
PUNATA,rabia,no de personas con vacuna antirrabica,2024-02-01,2,1,2,1,3
QUIABAYA,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con vacuna antirrabica,2024-02-01,19,12,19,12,31
QUIME,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
REYES,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
RURRENABAQUE,rabia,no de personas con vacuna antirrabica,2024-02-01,2,0,2,0,2
SACABA,rabia,no de personas con vacuna antirrabica,2024-02-01,12,8,12,8,20
SAMAIPATA,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
SAN ANDRES,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
SAN BORJA,rabia,no de personas con vacuna antirrabica,2024-02-01,2,3,2,3,5
SAN BUENA VENTURA,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
SAN CARLOS,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas con vacuna antirrabica,2024-02-01,7,1,7,1,8
SAN JAVIER(STC),rabia,no de personas con vacuna antirrabica,2024-02-01,6,2,6,2,8
SAN JOSE DE CHIQUITOS,rabia,no de personas con vacuna antirrabica,2024-02-01,0,2,0,2,2
SAN JUAN DE YAPACANI,rabia,no de personas con vacuna antirrabica,2024-02-01,2,0,2,0,2
SAN JULIAN,rabia,no de personas con vacuna antirrabica,2024-02-01,7,2,7,2,9
SAN LUCAS,rabia,no de personas con vacuna antirrabica,2024-02-01,3,2,3,2,5
SAN MIGUEL DE VELASCO,rabia,no de personas con vacuna antirrabica,2024-02-01,1,1,1,1,2
SAN PEDRO,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
SAN PEDRO DE CURAHUARA,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con vacuna antirrabica,2024-02-01,388,305,388,305,693
SANTIAGO DE CALLAPA,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
SIPE SIPE,rabia,no de personas con vacuna antirrabica,2024-02-01,8,3,8,3,11
SORATA,rabia,no de personas con vacuna antirrabica,2024-02-01,1,1,1,1,2
SUCRE,rabia,no de personas con vacuna antirrabica,2024-02-01,83,97,83,97,180
TARABUCO,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
TARIJA,rabia,no de personas con vacuna antirrabica,2024-02-01,28,27,28,27,55
TIPUANI,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
TIQUIPAYA,rabia,no de personas con vacuna antirrabica,2024-02-01,7,3,7,3,10
TIRAQUE (CBBA),rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
TOLEDO,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
TOTORA(CBBA),rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con vacuna antirrabica,2024-02-01,28,28,28,28,56
UNCIA,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
UYUNI,rabia,no de personas con vacuna antirrabica,2024-02-01,4,0,4,0,4
VALLEGRANDE,rabia,no de personas con vacuna antirrabica,2024-02-01,2,4,2,4,6
VIACHA,rabia,no de personas con vacuna antirrabica,2024-02-01,12,10,12,10,22
VILLA TUNARI,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
VILLAZON,rabia,no de personas con vacuna antirrabica,2024-02-01,2,0,2,0,2
VINTO,rabia,no de personas con vacuna antirrabica,2024-02-01,7,2,7,2,9
WARNES,rabia,no de personas con vacuna antirrabica,2024-02-01,19,23,19,23,42
YACUIBA,rabia,no de personas con vacuna antirrabica,2024-02-01,27,20,27,20,47
YAMPARAEZ,rabia,no de personas con vacuna antirrabica,2024-02-01,1,0,1,0,1
YANACACHI,rabia,no de personas con vacuna antirrabica,2024-02-01,1,2,1,2,3
YOTALA,rabia,no de personas con vacuna antirrabica,2024-02-01,0,1,0,1,1
ACHACACHI,rabia,no de personas con vacuna antirrabica,2024-03-01,2,2,2,2,4
ACHOCALLA,rabia,no de personas con vacuna antirrabica,2024-03-01,3,1,3,1,4
ALTO BENI,rabia,no de personas con vacuna antirrabica,2024-03-01,0,1,0,1,1
APOLO,rabia,no de personas con vacuna antirrabica,2024-03-01,3,0,3,0,3
ARBIETO,rabia,no de personas con vacuna antirrabica,2024-03-01,3,3,3,3,6
ATOCHA,rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
BERMEJO,rabia,no de personas con vacuna antirrabica,2024-03-01,3,1,3,1,4
BUENA VISTA,rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
CABEZAS,rabia,no de personas con vacuna antirrabica,2024-03-01,0,1,0,1,1
CALAMARCA,rabia,no de personas con vacuna antirrabica,2024-03-01,1,1,1,1,2
CAMARGO,rabia,no de personas con vacuna antirrabica,2024-03-01,0,4,0,4,4
CAMIRI,rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
CAPINOTA,rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
CARACOLLO,rabia,no de personas con vacuna antirrabica,2024-03-01,5,4,5,4,9
CARANAVI,rabia,no de personas con vacuna antirrabica,2024-03-01,7,4,7,4,11
CHALLAPATA,rabia,no de personas con vacuna antirrabica,2024-03-01,3,3,3,3,6
CHARAGUA,rabia,no de personas con vacuna antirrabica,2024-03-01,0,1,0,1,1
CHAYANTA,rabia,no de personas con vacuna antirrabica,2024-03-01,0,1,0,1,1
CHIMORE,rabia,no de personas con vacuna antirrabica,2024-03-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),rabia,no de personas con vacuna antirrabica,2024-03-01,2,2,2,2,4
CHUQUIHUTA AYLLU JUCUMANI,rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
CKOCHAS,rabia,no de personas con vacuna antirrabica,2024-03-01,1,1,1,1,2
CLIZA,rabia,no de personas con vacuna antirrabica,2024-03-01,3,0,3,0,3
COCAPATA,rabia,no de personas con vacuna antirrabica,2024-03-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con vacuna antirrabica,2024-03-01,123,90,123,90,213
COLCAPIRHUA,rabia,no de personas con vacuna antirrabica,2024-03-01,5,4,5,4,9
"COLCHA ""K""",rabia,no de personas con vacuna antirrabica,2024-03-01,1,1,1,1,2
COLOMI,rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
COLPA BELGICA,rabia,no de personas con vacuna antirrabica,2024-03-01,1,1,1,1,2
COLQUECHACA,rabia,no de personas con vacuna antirrabica,2024-03-01,2,3,2,3,5
COLQUIRI,rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
COMARAPA,rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
CONCEPCION,rabia,no de personas con vacuna antirrabica,2024-03-01,2,0,2,0,2
COPACABANA,rabia,no de personas con vacuna antirrabica,2024-03-01,0,2,0,2,2
CORIPATA,rabia,no de personas con vacuna antirrabica,2024-03-01,2,0,2,0,2
COROICO,rabia,no de personas con vacuna antirrabica,2024-03-01,3,0,3,0,3
COTOCA,rabia,no de personas con vacuna antirrabica,2024-03-01,10,16,10,16,26
CUATRO CAÑADAS,rabia,no de personas con vacuna antirrabica,2024-03-01,3,2,3,2,5
EL ALTO,rabia,no de personas con vacuna antirrabica,2024-03-01,127,149,127,149,276
EL PUENTE(STC),rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
EL TORNO,rabia,no de personas con vacuna antirrabica,2024-03-01,14,14,14,14,28
ENTRE RIOS CBBA,rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
GUANAY,rabia,no de personas con vacuna antirrabica,2024-03-01,2,1,2,1,3
GUAYARAMERIN,rabia,no de personas con vacuna antirrabica,2024-03-01,7,10,7,10,17
HUANUNI,rabia,no de personas con vacuna antirrabica,2024-03-01,6,4,6,4,10
IRUPANA (VILLA DE LANZA),rabia,no de personas con vacuna antirrabica,2024-03-01,0,1,0,1,1
JESUS DE MACHACA,rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con vacuna antirrabica,2024-03-01,30,31,30,31,61
LA PAZ,rabia,no de personas con vacuna antirrabica,2024-03-01,217,217,217,217,434
LLALLAGUA,rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
LORETO,rabia,no de personas con vacuna antirrabica,2024-03-01,2,0,2,0,2
MACHACAMARCA,rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
MAIRANA,rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
MAPIRI,rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
MECAPACA,rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
MINEROS,rabia,no de personas con vacuna antirrabica,2024-03-01,1,1,1,1,2
MONTEAGUDO,rabia,no de personas con vacuna antirrabica,2024-03-01,0,2,0,2,2
MONTERO,rabia,no de personas con vacuna antirrabica,2024-03-01,8,9,8,9,17
MORO MORO,rabia,no de personas con vacuna antirrabica,2024-03-01,0,1,0,1,1
OCURI,rabia,no de personas con vacuna antirrabica,2024-03-01,0,1,0,1,1
ORURO,rabia,no de personas con vacuna antirrabica,2024-03-01,47,34,47,34,81
PADCAYA,rabia,no de personas con vacuna antirrabica,2024-03-01,1,0,1,0,1
PADILLA,rabia,no de personas con vacuna antirrabica,2024-03-01,1,1,1,1,2
PAILON,rabia,no de personas con vacuna antirrabica,2024-03-01,1,3,1,3,4
PALOS BLANCOS,rabia,no de personas con vacuna antirrabica,2024-03-01,2,2,2,2,4
PATACAMAYA,rabia,no de personas con vacuna antirrabica,2024-03-01,1,2,1,2,3
POOPO,rabia,no de personas con vacuna antirrabica,2024-03-01,1,1,1,1,2
