,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2021-02-01,1,0,4,2,5,2
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2021-02-01,1,0,1,0,2,0
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa,2021-02-01,1,0,0,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2021-02-01,0,0,1,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2021-03-01,1,0,0,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2021-03-01,1,0,1,0,2,0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2021-03-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2021-03-01,1,0,0,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2021-03-01,0,1,0,0,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2021-03-01,0,0,1,0,1,0
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa,2021-03-01,0,0,1,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2021-04-01,1,0,1,0,2,0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2021-04-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2021-04-01,6,1,1,0,7,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2021-04-01,3,0,2,0,5,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2021-04-01,0,0,1,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2021-04-01,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2021-04-01,1,0,0,0,1,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2021-04-01,0,1,0,0,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2021-04-01,1,0,0,0,1,0
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa,2021-04-01,1,0,0,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2021-05-01,0,0,2,0,2,0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2021-05-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2021-05-01,1,3,7,2,8,5
CORIPATA,leishmaniasis,tratamientos de leishmania mucosa,2021-05-01,1,0,0,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2021-05-01,2,0,3,0,5,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2021-05-01,0,2,0,0,0,2
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2021-05-01,0,1,0,0,0,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa,2021-05-01,0,0,1,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2021-05-01,4,0,2,0,6,0
URIONDO (A. CONCEPCION),leishmaniasis,tratamientos de leishmania mucosa,2021-05-01,0,9,38,0,38,9
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2021-05-01,0,1,1,0,1,1
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa,2021-06-01,0,4,0,0,0,4
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2021-06-01,5,1,2,3,7,4
CORIPATA,leishmaniasis,tratamientos de leishmania mucosa,2021-06-01,0,0,1,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2021-06-01,2,0,0,0,2,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2021-06-01,0,0,0,2,0,2
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2021-06-01,1,0,0,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2021-06-01,2,0,0,1,2,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2021-06-01,1,0,1,0,2,0
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa,2021-06-01,1,0,0,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2021-07-01,1,1,0,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2021-07-01,3,3,4,1,7,4
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2021-07-01,4,1,1,2,5,3
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2021-07-01,3,0,2,0,5,0
GUANAY,leishmaniasis,tratamientos de leishmania mucosa,2021-07-01,0,0,4,0,4,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2021-07-01,1,0,1,0,2,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2021-07-01,1,0,2,0,3,0
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2021-07-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2021-07-01,3,0,1,0,4,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2021-07-01,2,0,1,0,3,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2021-07-01,1,0,0,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2021-08-01,1,0,1,1,2,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2021-08-01,4,1,3,4,7,5
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2021-08-01,5,0,4,0,9,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2021-08-01,0,1,0,0,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2021-08-01,2,3,2,0,4,3
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2021-08-01,1,0,0,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2021-08-01,0,0,1,0,1,0
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa,2021-08-01,1,0,0,0,1,0
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2021-08-01,0,0,1,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2021-08-01,3,2,3,0,6,2
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2021-08-01,0,0,2,0,2,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2021-08-01,0,0,1,0,1,0
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa,2021-08-01,1,0,0,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2021-09-01,0,0,2,0,2,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2021-09-01,0,3,0,0,0,3
CAJUATA,leishmaniasis,tratamientos de leishmania mucosa,2021-09-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2021-09-01,4,1,5,1,9,2
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2021-09-01,1,0,3,0,4,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2021-09-01,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2021-09-01,5,2,2,1,7,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2021-09-01,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2021-09-01,0,0,1,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2021-09-01,2,0,0,0,2,0
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania mucosa,2021-09-01,0,0,1,0,1,0
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2021-09-01,0,1,0,0,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2021-09-01,1,0,1,0,2,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2021-09-01,0,0,2,2,2,2
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2021-09-01,2,0,0,0,2,0
SHINAOTA,leishmaniasis,tratamientos de leishmania mucosa,2021-09-01,1,0,0,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2021-10-01,0,0,1,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2021-10-01,0,0,0,2,0,2
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2021-10-01,1,1,1,0,2,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2021-10-01,3,5,4,1,7,6
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2021-10-01,1,0,2,0,3,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2021-10-01,0,0,3,0,3,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2021-10-01,2,0,2,0,4,0
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2021-10-01,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2021-10-01,0,0,1,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2021-10-01,1,0,0,0,1,0
SHINAOTA,leishmaniasis,tratamientos de leishmania mucosa,2021-10-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2021-10-01,1,0,1,0,2,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2021-11-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2021-11-01,4,0,3,5,7,5
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2021-11-01,1,0,0,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2021-11-01,1,0,1,0,2,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2021-11-01,1,0,0,0,1,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2021-11-01,1,0,0,0,1,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2021-11-01,0,0,2,1,2,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2021-11-01,1,0,2,0,3,0
RAQAYPAMPA(ETA),leishmaniasis,tratamientos de leishmania mucosa,2021-11-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2021-11-01,0,0,1,0,1,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2021-11-01,0,1,1,0,1,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2021-11-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2021-11-01,2,0,1,0,3,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2021-12-01,1,0,0,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2021-12-01,0,1,0,1,0,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2021-12-01,3,2,5,0,8,2
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2021-12-01,3,0,0,0,3,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2021-12-01,1,0,0,1,1,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2021-12-01,0,0,1,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2021-12-01,1,0,1,1,2,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa,2021-12-01,1,0,0,0,1,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2021-12-01,3,0,1,0,4,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2021-12-01,0,0,0,1,0,1
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2021-12-01,1,0,0,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2021-12-01,0,1,0,0,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2021-12-01,2,0,1,0,3,0
