,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTALES,TOTALES
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-04-01,1,0,19,5,20,5
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-04-01,0,1,0,0,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-04-01,0,0,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-05-01,1,0,1,0,2,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-05-01,0,1,1,0,1,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-05-01,1,0,0,0,1,0
URIONDO (A. CONCEPCION),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-05-01,0,5,0,122,0,127
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-05-01,0,0,1,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-06-01,1,0,0,0,1,0
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-06-01,0,12,0,0,0,12
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-06-01,1,1,2,0,3,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-06-01,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-06-01,1,0,0,1,1,1
AYOPAYA (V. DE INDEPENDENCIA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-07-01,0,0,1,0,1,0
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-07-01,0,1,0,0,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-07-01,0,0,1,0,1,0
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-07-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-07-01,0,0,1,0,1,0
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-08-01,0,0,0,1,0,1
SAN BENITO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-08-01,1,0,0,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-09-01,2,0,1,0,3,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-09-01,2,0,0,0,2,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-10-01,1,0,0,0,1,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-10-01,1,0,0,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-10-01,0,0,1,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-10-01,0,0,1,0,1,0
INQUISIVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-10-01,1,0,1,0,2,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-10-01,1,0,0,0,1,0
SAN BENITO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-10-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-10-01,0,0,2,0,2,0
ALTO BENI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-11-01,0,1,0,0,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-11-01,1,0,1,0,2,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-11-01,1,0,0,0,1,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-11-01,0,0,1,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-11-01,1,0,0,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-11-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-12-01,1,0,0,1,1,1
POTOSI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-12-01,1,0,0,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-12-01,0,0,1,0,1,0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2021-12-01,0,0,1,0,1,0
