,group,variable,month,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES
WARNES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,18,0,18
YACUIBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,8,0,8
YAMPARAEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,2,0,2
YOTALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,1,3,4
YUNCHARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,1,1,2
ZUDAÑEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-01-01,0,2,2
AIQUILE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,3,0,3
ANCORAIMES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,2,2,4
ANZALDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,15,16
ARANI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,3,3
ARBIETO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,6,6
ARQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,3,0,3
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,10,1,11
ATOCHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,1,1
BAURES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,3,0,3
BERMEJO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,13,20,33
CARACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,6,0,6
CARAPARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,2,0,2
CHAQUI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,2,2
CHUMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,0,1
CLIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,19,120,139
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,20,6,26
COCAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,6,7
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,70,0,70
"COLCHA ""K""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,0,1
COLOMI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,5,1,6
COLQUIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,2,2
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,2,10,12
COTOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,14,8,22
DESAGUADERO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,0,1
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,65,12,77
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,50,8,58
EL VILLAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,2,2,4
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,2,3
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,3,4,7
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,5,8,13
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,3,1,4
HUACARETA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,2,3
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,2,3,5
INQUISIVI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,3,3,6
JESUS DE MACHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,4,0,4
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,32,0,32
LAGUNILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,4,1,5
LORETO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,2,0,2
MACHARETI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,3,0,3
MAGDALENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,2,2,4
MAIRANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,3,0,3
MINEROS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,8,0,8
MIZQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,1,2
MONTEAGUDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,11,9,20
MONTERO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,31,0,31
MORO MORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,3,3
MOROCHATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,2,7,9
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,5,0,5
OKINAWA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,2,3,5
OMEREQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,6,6
ORURO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,37,3,40
PADCAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,2,1,3
PADILLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,3,0,3
PAZÑA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,1,1
POCONA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,2,9,11
POJO (CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,10,10
POROMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,1,2
PORVENIR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,0,1
POTOSI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,5,0,5
PRESTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,2,3
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,9,7,16
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,9,0,9
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,8,4,12
PUNATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,6,0,6
QUILLACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,4,7,11
REYES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,7,0,7
RIBERALTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,0,1
RURRENABAQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,14,0,14
SACABA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,7,3,10
SACABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,9,58,67
SAN ANDRES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,0,1
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,0,1
SAN BORJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,15,6,21
SAN IGNACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,22,0,22
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,0,1
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,5,0,5
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,0,1
SAN LORENZO(PND),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,6,6
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,0,1
SAN LUCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,4,0,4
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,7,7,14
SAN RAFAEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,11,0,11
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,204,97,301
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,5,5
SORATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,8,8
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,27,13,40
TACOBAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,0,1
TACOPAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,9,9
TAPACARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,1,1
TARABUCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,3,0,3
TARATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,6,6
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,23,10,33
TARVITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,2,2,4
TIQUIPAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,2,1,3
TOCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,2,2
TOMINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,5,0,5
TOTORA(CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,6,7
TRINIDAD,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,20,20,40
TUPIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,1,1,2
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,3,1,4
VACAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,6,6
VALLEGRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,5,0,5
VIACHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,10,0,10
VILLA CHARCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,2,0,2
VILLA MONTES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,14,19,33
VILLA RIVERO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,7,3,10
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,3,0,3
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,11,2,13
WARNES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,32,28,60
YACUIBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,10,10,20
YUNCHARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,3,1,4
ZUDAÑEZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-02-01,0,1,1
ACHACACHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,2,2
AIQUILE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,5,1,6
ALALAY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,1,1
ALCALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,3,6,9
ANCORAIMES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,3,0,3
ANTEQUERA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,4,0,4
ANZALDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,82,82
ARANI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,0,1
ARBIETO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,8,18,26
ARQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,1,1
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,12,0,12
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,3,3
AZURDUY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,8,6,14
BERMEJO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,17,38,55
BETANZOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,6,6
BOLPEBRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,4,4
"CAIZA ""D""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,3,0,3
CAMARGO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,8,5,13
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,11,12
CAPINOTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,12,0,12
CAQUIAVIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,8,8
CARACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,12,0,12
CARAPARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,1,1
CHALLAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,2,3
CHAQUI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,0,1
CHUMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,9,24,33
CLIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,14,150,164
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,18,33,51
COCAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,3,3,6
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,62,1,63
COLCAPIRHUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,0,1
COLOMI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,5,0,5
COLQUIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,1,1
COMBAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,3,3
CORO CORO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,2,2
COROICO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,0,1
CORQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,1,1
COTAGAITA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,13,16,29
COTOCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,27,26,53
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,84,17,101
EL PUENTE(STC),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,0,1
EL PUENTE(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,3,0,3
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,25,8,33
EL VILLAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,7,4,11
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,5,13,18
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,16,20,36
EXALTACION,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,0,3,3
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2013-03-01,1,5,6
