,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES
ARBIETO,atencion odontologica,restauraciones,2024-01-01,46,25,86,116,53,41,30,98,11,7,0,0,0,0,513
ARQUE,atencion odontologica,restauraciones,2024-01-01,3,4,26,46,23,16,25,50,0,2,0,0,0,0,195
ASCENCION DE GUARAYOS,atencion odontologica,restauraciones,2024-01-01,7,6,75,64,50,55,47,99,4,0,0,0,0,0,407
ATOCHA,atencion odontologica,restauraciones,2024-01-01,8,11,75,59,61,44,51,116,21,5,0,0,0,0,451
AUCAPATA,atencion odontologica,restauraciones,2024-01-01,3,4,11,17,16,14,22,33,1,1,0,0,0,0,122
AYATA,atencion odontologica,restauraciones,2024-01-01,7,1,13,27,14,5,41,30,0,1,0,0,0,0,139
AYO AYO,atencion odontologica,restauraciones,2024-01-01,4,0,11,19,36,26,13,40,2,3,0,0,0,0,154
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,restauraciones,2024-01-01,7,10,68,92,66,63,64,109,3,10,0,0,0,0,492
AZURDUY,atencion odontologica,restauraciones,2024-01-01,10,8,20,33,32,49,43,60,4,0,0,0,0,0,259
BATALLAS,atencion odontologica,restauraciones,2024-01-01,4,6,22,20,38,25,15,48,5,2,0,0,0,0,185
BAURES,atencion odontologica,restauraciones,2024-01-01,0,0,7,0,2,6,12,0,2,0,0,0,0,0,29
BELEN DE ANDAMARCA,atencion odontologica,restauraciones,2024-01-01,2,0,7,5,0,1,1,7,2,0,0,0,0,0,25
BELEN DE URMIRI,atencion odontologica,restauraciones,2024-01-01,1,1,7,12,0,8,0,13,0,2,0,0,0,0,44
BELLA FLOR,atencion odontologica,restauraciones,2024-01-01,4,0,0,10,0,6,3,2,0,0,0,0,0,0,25
BERMEJO,atencion odontologica,restauraciones,2024-01-01,13,9,99,111,54,83,73,129,19,20,0,0,0,0,610
BETANZOS,atencion odontologica,restauraciones,2024-01-01,16,16,72,126,61,93,58,176,6,6,0,0,0,0,630
BOLIVAR,atencion odontologica,restauraciones,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BOLPEBRA,atencion odontologica,restauraciones,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
BOYUIBE,atencion odontologica,restauraciones,2024-01-01,2,3,2,34,8,10,4,48,2,4,0,0,0,0,117
BUENA VISTA,atencion odontologica,restauraciones,2024-01-01,8,8,20,67,49,59,27,60,1,0,0,0,0,0,299
CABEZAS,atencion odontologica,restauraciones,2024-01-01,2,3,27,41,7,16,21,34,0,0,0,0,0,0,151
CAIROMA,atencion odontologica,restauraciones,2024-01-01,24,12,55,39,17,41,9,31,0,1,0,0,0,0,229
"CAIZA ""D""",atencion odontologica,restauraciones,2024-01-01,6,5,32,22,25,47,11,60,0,6,0,0,0,0,214
CAJUATA,atencion odontologica,restauraciones,2024-01-01,6,7,35,29,14,22,7,25,4,1,0,0,0,0,150
CALACOTO,atencion odontologica,restauraciones,2024-01-01,0,0,1,0,1,0,3,0,0,0,0,0,0,0,5
CALAMARCA,atencion odontologica,restauraciones,2024-01-01,12,13,35,79,56,73,29,80,1,0,0,0,0,0,378
CAMARGO,atencion odontologica,restauraciones,2024-01-01,9,4,51,82,35,71,30,82,6,8,0,0,0,0,378
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,restauraciones,2024-01-01,7,2,10,6,11,14,0,23,0,0,0,0,0,0,73
CAMIRI,atencion odontologica,restauraciones,2024-01-01,13,13,46,55,21,85,24,87,1,6,0,0,0,0,351
CAPINOTA,atencion odontologica,restauraciones,2024-01-01,16,15,67,86,59,68,26,65,6,0,0,0,0,0,408
CAQUIAVIRI,atencion odontologica,restauraciones,2024-01-01,2,3,12,13,5,16,7,14,0,0,0,0,0,0,72
CARACOLLO,atencion odontologica,restauraciones,2024-01-01,35,19,64,92,30,115,52,165,6,1,0,0,0,0,579
CARANAVI,atencion odontologica,restauraciones,2024-01-01,10,12,55,66,55,54,41,85,4,3,0,0,0,0,385
CARANGAS,atencion odontologica,restauraciones,2024-01-01,0,0,2,3,0,1,1,9,1,1,0,0,0,0,18
CARAPARI,atencion odontologica,restauraciones,2024-01-01,4,3,57,68,43,114,50,147,8,0,0,0,0,0,494
CARIPUYO,atencion odontologica,restauraciones,2024-01-01,0,0,8,17,23,20,13,14,1,10,0,0,0,0,106
CARMEN RIVERO TORREZ,atencion odontologica,restauraciones,2024-01-01,1,4,6,5,3,6,3,6,0,0,0,0,0,0,34
CHACARILLA,atencion odontologica,restauraciones,2024-01-01,4,0,2,17,10,0,9,11,0,0,0,0,0,0,53
CHALLAPATA,atencion odontologica,restauraciones,2024-01-01,22,18,65,102,148,114,62,116,12,15,0,0,0,0,674
CHAQUI,atencion odontologica,restauraciones,2024-01-01,1,4,17,32,34,39,21,45,8,2,0,0,0,0,203
CHARAGUA,atencion odontologica,restauraciones,2024-01-01,10,7,10,28,18,28,28,62,2,3,0,0,0,0,196
CHARAÑA,atencion odontologica,restauraciones,2024-01-01,0,2,21,0,0,18,4,19,0,8,0,0,0,0,72
CHAYANTA,atencion odontologica,restauraciones,2024-01-01,5,23,11,7,14,11,8,31,0,0,0,0,0,0,110
CHIMORE,atencion odontologica,restauraciones,2024-01-01,9,7,28,24,19,35,35,73,6,3,0,0,0,0,239
CHIPAYA,atencion odontologica,restauraciones,2024-01-01,0,0,0,1,0,1,4,19,0,0,0,0,0,0,25
CHOQUE COTA,atencion odontologica,restauraciones,2024-01-01,0,0,0,5,4,7,6,30,5,9,0,0,0,0,66
CHUA COCANI,atencion odontologica,restauraciones,2024-01-01,4,3,5,9,23,17,25,17,2,0,0,0,0,0,105
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,restauraciones,2024-01-01,0,3,3,4,6,7,6,0,0,0,0,0,0,0,29
CHUMA,atencion odontologica,restauraciones,2024-01-01,1,8,19,20,40,31,34,40,4,9,0,0,0,0,206
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,restauraciones,2024-01-01,5,1,11,16,7,11,8,24,0,0,0,0,0,0,83
CKOCHAS,atencion odontologica,restauraciones,2024-01-01,1,2,11,14,4,21,13,22,1,1,0,0,0,0,90
CLIZA,atencion odontologica,restauraciones,2024-01-01,15,21,45,89,21,54,28,87,12,17,0,0,0,0,389
COBIJA,atencion odontologica,restauraciones,2024-01-01,11,37,172,153,156,157,174,321,13,14,0,0,0,0,1208
COCAPATA,atencion odontologica,restauraciones,2024-01-01,2,4,17,14,14,14,9,38,0,0,0,0,0,0,112
COCHABAMBA,atencion odontologica,restauraciones,2024-01-01,473,578,1929,2118,1057,1198,1789,3179,645,535,0,0,0,0,13501
COIPASA,atencion odontologica,restauraciones,2024-01-01,4,2,3,3,7,0,0,6,4,3,0,0,0,0,32
COLCAPIRHUA,atencion odontologica,restauraciones,2024-01-01,13,31,146,189,69,118,84,217,16,10,0,0,0,0,893
"COLCHA ""K""",atencion odontologica,restauraciones,2024-01-01,9,12,29,25,56,33,27,45,0,5,0,0,0,0,241
COLLANA,atencion odontologica,restauraciones,2024-01-01,6,2,35,49,30,12,2,8,0,0,0,0,0,0,144
COLOMI,atencion odontologica,restauraciones,2024-01-01,11,16,68,103,87,93,30,118,0,5,0,0,0,0,531
COLPA BELGICA,atencion odontologica,restauraciones,2024-01-01,0,0,0,1,1,0,0,21,0,0,0,0,0,0,23
COLQUECHACA,atencion odontologica,restauraciones,2024-01-01,3,1,18,21,23,21,38,41,0,1,0,0,0,0,167
COLQUENCHA,atencion odontologica,restauraciones,2024-01-01,14,11,60,55,143,36,45,55,1,4,0,0,0,0,424
COLQUIRI,atencion odontologica,restauraciones,2024-01-01,22,14,58,66,136,69,80,96,5,15,0,0,0,0,561
COMANCHE,atencion odontologica,restauraciones,2024-01-01,0,0,1,4,0,9,0,2,0,0,0,0,0,0,16
COMARAPA,atencion odontologica,restauraciones,2024-01-01,1,11,32,80,55,56,21,67,2,5,0,0,0,0,330
CONCEPCION,atencion odontologica,restauraciones,2024-01-01,5,9,8,16,3,5,7,18,2,1,0,0,0,0,74
COPACABANA,atencion odontologica,restauraciones,2024-01-01,2,2,8,17,14,4,11,36,16,3,0,0,0,0,113
CORIPATA,atencion odontologica,restauraciones,2024-01-01,3,2,23,9,27,32,13,22,1,0,0,0,0,0,132
CORO CORO,atencion odontologica,restauraciones,2024-01-01,2,6,26,39,32,52,33,41,2,1,0,0,0,0,234
COROICO,atencion odontologica,restauraciones,2024-01-01,1,15,54,39,28,53,22,60,0,0,0,0,0,0,272
CORQUE,atencion odontologica,restauraciones,2024-01-01,0,0,11,21,22,17,14,14,8,4,0,0,0,0,111
COTAGAITA,atencion odontologica,restauraciones,2024-01-01,14,24,70,133,150,126,139,220,22,23,0,0,0,0,921
COTOCA,atencion odontologica,restauraciones,2024-01-01,2,3,5,13,1,2,8,10,0,1,0,0,0,0,45
CRUZ DE MACHACAMARCA,atencion odontologica,restauraciones,2024-01-01,0,0,12,3,11,7,7,26,3,0,0,0,0,0,69
CUATRO CAÑADAS,atencion odontologica,restauraciones,2024-01-01,21,19,76,89,26,29,29,133,8,4,0,0,0,0,434
CUEVO,atencion odontologica,restauraciones,2024-01-01,0,3,3,2,5,6,6,34,2,0,0,0,0,0,61
CULPINA,atencion odontologica,restauraciones,2024-01-01,3,5,18,49,15,31,23,50,2,4,0,0,0,0,200
CURAHUARA DE CARANGAS,atencion odontologica,restauraciones,2024-01-01,6,11,39,34,10,14,22,38,12,10,0,0,0,0,196
CURVA,atencion odontologica,restauraciones,2024-01-01,0,0,0,0,0,3,10,16,0,0,0,0,0,0,29
DESAGUADERO,atencion odontologica,restauraciones,2024-01-01,0,2,6,4,30,9,2,4,0,0,0,0,0,0,57
EL ALTO,atencion odontologica,restauraciones,2024-01-01,402,451,1571,2097,1329,1474,812,1926,169,104,0,0,0,0,10335
EL CHORO,atencion odontologica,restauraciones,2024-01-01,0,1,4,3,4,4,5,7,1,1,0,0,0,0,30
EL PUENTE(STC),atencion odontologica,restauraciones,2024-01-01,8,7,17,29,22,50,19,41,3,2,0,0,0,0,198
EL PUENTE(TJA),atencion odontologica,restauraciones,2024-01-01,2,7,24,16,7,28,13,55,4,1,0,0,0,0,157
EL TORNO,atencion odontologica,restauraciones,2024-01-01,32,34,63,117,44,56,55,121,20,19,0,0,0,0,561
EL VILLAR,atencion odontologica,restauraciones,2024-01-01,1,5,13,20,19,20,27,45,0,0,0,0,0,0,150
ENTRE RIOS TRJ,atencion odontologica,restauraciones,2024-01-01,2,15,65,64,50,60,48,133,0,4,0,0,0,0,441
ENTRE RIOS CBBA,atencion odontologica,restauraciones,2024-01-01,25,20,54,81,61,96,34,83,0,2,0,0,0,0,456
ESCOMA,atencion odontologica,restauraciones,2024-01-01,4,1,5,14,33,15,6,14,3,3,0,0,0,0,98
ESMERALDA,atencion odontologica,restauraciones,2024-01-01,0,0,4,1,0,0,7,11,3,5,0,0,0,0,31
EUCALIPTUS,atencion odontologica,restauraciones,2024-01-01,2,0,8,17,5,21,0,23,0,0,0,0,0,0,76
FERNANDEZ ALONSO,atencion odontologica,restauraciones,2024-01-01,3,11,55,73,49,99,41,127,0,1,0,0,0,0,459
FILADELFIA,atencion odontologica,restauraciones,2024-01-01,1,0,14,11,5,12,8,18,0,0,0,0,0,0,69
GAIOC JATUN AYLLU YURA,atencion odontologica,restauraciones,2024-01-01,0,2,13,15,10,15,21,30,1,3,0,0,0,0,110
GENERAL SAAVEDRA,atencion odontologica,restauraciones,2024-01-01,1,4,25,50,14,37,12,39,1,9,0,0,0,0,192
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,restauraciones,2024-01-01,5,9,21,27,50,24,38,43,4,6,0,0,0,0,227
GUANAY,atencion odontologica,restauraciones,2024-01-01,11,6,28,26,18,28,18,40,3,1,0,0,0,0,179
GUAQUI,atencion odontologica,restauraciones,2024-01-01,2,8,13,15,33,24,18,60,3,3,0,0,0,0,179
GUAYARAMERIN,atencion odontologica,restauraciones,2024-01-01,8,22,45,90,30,32,23,49,6,2,0,0,0,0,307
GUTIERREZ,atencion odontologica,restauraciones,2024-01-01,3,0,12,5,12,17,11,46,2,2,0,0,0,0,110
HUACARAJE,atencion odontologica,restauraciones,2024-01-01,7,1,9,1,2,29,7,9,5,3,0,0,0,0,73
HUACARETA,atencion odontologica,restauraciones,2024-01-01,9,2,47,54,9,43,15,58,0,3,0,0,0,0,240
HUACAYA (VILLA DE HUACAYA),atencion odontologica,restauraciones,2024-01-01,0,2,7,9,18,5,5,7,0,0,0,0,0,0,53
HUACHACALLA,atencion odontologica,restauraciones,2024-01-01,0,3,8,1,16,3,4,6,1,2,0,0,0,0,44
HUANUNI,atencion odontologica,restauraciones,2024-01-01,16,16,141,145,122,172,75,102,16,0,0,0,0,0,805
HUARINA,atencion odontologica,restauraciones,2024-01-01,4,0,7,15,15,10,10,38,0,1,0,0,0,0,100
HUATAJATA,atencion odontologica,restauraciones,2024-01-01,1,3,10,22,8,11,5,18,0,2,0,0,0,0,80
HUAYLLAMARCA,atencion odontologica,restauraciones,2024-01-01,0,0,0,0,8,7,32,2,0,1,0,0,0,0,50
HUMANATA,atencion odontologica,restauraciones,2024-01-01,1,1,3,3,11,11,17,13,3,8,0,0,0,0,71
ICHOCA,atencion odontologica,restauraciones,2024-01-01,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3
ICLA,atencion odontologica,restauraciones,2024-01-01,0,9,19,27,11,50,45,52,2,1,0,0,0,0,216
INCAHUASI,atencion odontologica,restauraciones,2024-01-01,2,7,6,17,18,18,15,40,0,2,0,0,0,0,125
INQUISIVI,atencion odontologica,restauraciones,2024-01-01,5,6,7,32,29,40,26,46,3,2,0,0,0,0,196
IRUPANA (VILLA DE LANZA),atencion odontologica,restauraciones,2024-01-01,19,15,57,62,86,51,42,129,7,4,0,0,0,0,472
IXIAMAS,atencion odontologica,restauraciones,2024-01-01,0,1,8,19,13,26,0,17,0,1,0,0,0,0,85
JESUS DE MACHACA,atencion odontologica,restauraciones,2024-01-01,1,1,5,15,24,28,27,28,0,0,0,0,0,0,129
LA ASUNTA,atencion odontologica,restauraciones,2024-01-01,19,25,84,122,186,129,87,178,8,0,0,0,0,0,838
LA GUARDIA,atencion odontologica,restauraciones,2024-01-01,19,14,89,99,54,45,18,85,12,6,0,0,0,0,441
LA PAZ,atencion odontologica,restauraciones,2024-01-01,687,715,2630,2963,1289,1594,2274,3777,688,567,0,0,0,0,17184
LA RIVERA,atencion odontologica,restauraciones,2024-01-01,0,0,0,3,0,2,2,4,0,0,0,0,0,0,11
LAGUNILLAS,atencion odontologica,restauraciones,2024-01-01,11,3,12,9,8,17,12,47,0,0,0,0,0,0,119
LAJA,atencion odontologica,restauraciones,2024-01-01,60,60,69,112,51,41,24,85,8,5,0,0,0,0,515
LAS CARRERAS,atencion odontologica,restauraciones,2024-01-01,0,3,14,25,10,14,27,50,5,1,0,0,0,0,149
LICOMA PAMPA,atencion odontologica,restauraciones,2024-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
LLALLAGUA,atencion odontologica,restauraciones,2024-01-01,20,32,96,93,99,98,65,236,6,10,0,0,0,0,755
LORETO,atencion odontologica,restauraciones,2024-01-01,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3
LURIBAY,atencion odontologica,restauraciones,2024-01-01,4,2,20,8,23,10,18,34,11,2,0,0,0,0,132
MACHACAMARCA,atencion odontologica,restauraciones,2024-01-01,9,0,19,28,4,16,28,38,26,26,0,0,0,0,194
MACHARETI,atencion odontologica,restauraciones,2024-01-01,4,2,16,21,7,5,10,29,2,2,0,0,0,0,98
MAGDALENA,atencion odontologica,restauraciones,2024-01-01,0,1,5,6,4,5,2,5,0,0,0,0,0,0,28
MAIRANA,atencion odontologica,restauraciones,2024-01-01,6,12,24,81,30,56,23,110,2,5,0,0,0,0,349
MALLA,atencion odontologica,restauraciones,2024-01-01,1,13,21,15,1,8,11,21,0,2,0,0,0,0,93
MAPIRI,atencion odontologica,restauraciones,2024-01-01,6,6,25,34,10,13,14,33,3,1,0,0,0,0,145
MECAPACA,atencion odontologica,restauraciones,2024-01-01,7,8,47,65,47,76,58,78,6,4,0,0,0,0,396
MINEROS,atencion odontologica,restauraciones,2024-01-01,2,5,4,3,0,0,0,0,0,0,0,0,0,0,14
MIZQUE,atencion odontologica,restauraciones,2024-01-01,10,6,36,73,37,53,13,68,8,3,0,0,0,0,307
MOCOMOCO,atencion odontologica,restauraciones,2024-01-01,7,2,22,11,16,35,24,24,6,0,0,0,0,0,147
MOJINETE,atencion odontologica,restauraciones,2024-01-01,0,0,3,6,1,5,0,5,0,0,0,0,0,0,20
MOJOCOYA,atencion odontologica,restauraciones,2024-01-01,3,6,24,61,16,31,37,81,1,0,0,0,0,0,260
MONTEAGUDO,atencion odontologica,restauraciones,2024-01-01,18,19,153,166,55,135,99,161,5,0,0,0,0,0,811
MONTERO,atencion odontologica,restauraciones,2024-01-01,21,31,177,238,88,199,125,370,44,54,0,0,0,0,1347
MORO MORO,atencion odontologica,restauraciones,2024-01-01,0,0,13,3,2,6,2,8,0,1,0,0,0,0,35
MOROCHATA,atencion odontologica,restauraciones,2024-01-01,5,4,13,31,13,44,17,73,3,3,0,0,0,0,206
NAZACARA DE PACAJES,atencion odontologica,restauraciones,2024-01-01,2,2,0,0,2,0,0,4,0,1,0,0,0,0,11
OCURI,atencion odontologica,restauraciones,2024-01-01,1,2,29,55,16,26,32,61,10,4,0,0,0,0,236
OKINAWA,atencion odontologica,restauraciones,2024-01-01,3,0,11,11,6,9,9,32,0,2,0,0,0,0,83
OMEREQUE,atencion odontologica,restauraciones,2024-01-01,6,5,11,30,13,6,6,17,0,0,0,0,0,0,94
ORURO,atencion odontologica,restauraciones,2024-01-01,377,349,1359,1760,1089,1282,1351,2268,316,176,0,0,0,0,10327
PADCAYA,atencion odontologica,restauraciones,2024-01-01,1,3,27,38,31,45,47,95,10,1,0,0,0,0,298
PADILLA,atencion odontologica,restauraciones,2024-01-01,2,11,25,49,29,50,37,67,8,4,0,0,0,0,282
PAILON,atencion odontologica,restauraciones,2024-01-01,8,13,44,47,16,15,20,62,0,3,0,0,0,0,228
PALCA,atencion odontologica,restauraciones,2024-01-01,22,25,60,46,53,49,31,77,4,6,0,0,0,0,373
PALOS BLANCOS,atencion odontologica,restauraciones,2024-01-01,15,21,60,126,101,113,83,147,7,2,0,0,0,0,675
PAMPA AULLAGAS,atencion odontologica,restauraciones,2024-01-01,3,0,16,12,8,10,6,19,0,1,0,0,0,0,75
PAMPA GRANDE,atencion odontologica,restauraciones,2024-01-01,4,6,19,32,4,40,20,36,0,4,0,0,0,0,165
PAPEL PAMPA,atencion odontologica,restauraciones,2024-01-01,0,1,5,3,22,5,5,12,2,2,0,0,0,0,57
PASORAPA,atencion odontologica,restauraciones,2024-01-01,0,3,8,13,27,15,10,26,6,1,0,0,0,0,109
PATACAMAYA,atencion odontologica,restauraciones,2024-01-01,17,38,66,107,104,79,36,102,2,2,0,0,0,0,553
PAZÑA,atencion odontologica,restauraciones,2024-01-01,3,14,26,32,30,36,27,36,0,11,0,0,0,0,215
PELECHUCO,atencion odontologica,restauraciones,2024-01-01,4,1,8,23,13,13,29,37,1,1,0,0,0,0,130
POCOATA,atencion odontologica,restauraciones,2024-01-01,5,1,44,34,26,44,33,76,14,3,0,0,0,0,280
POCONA,atencion odontologica,restauraciones,2024-01-01,2,17,14,36,21,32,16,32,1,0,0,0,0,0,171
POJO (CBBA),atencion odontologica,restauraciones,2024-01-01,3,5,72,77,49,57,33,76,1,2,0,0,0,0,375
POOPO,atencion odontologica,restauraciones,2024-01-01,5,18,26,41,43,44,49,62,5,8,0,0,0,0,301
PORCO,atencion odontologica,restauraciones,2024-01-01,6,9,15,33,7,18,6,23,2,0,0,0,0,0,119
POROMA,atencion odontologica,restauraciones,2024-01-01,1,6,1,12,12,6,5,11,0,0,0,0,0,0,54
PORONGO,atencion odontologica,restauraciones,2024-01-01,9,4,42,57,18,28,19,43,1,3,0,0,0,0,224
PORTACHUELO,atencion odontologica,restauraciones,2024-01-01,0,0,0,1,1,0,1,7,0,0,0,0,0,0,10
PORVENIR,atencion odontologica,restauraciones,2024-01-01,1,0,11,15,4,9,3,21,0,0,0,0,0,0,64
POTOSI,atencion odontologica,restauraciones,2024-01-01,135,179,504,702,310,413,248,605,60,10,0,0,0,0,3166
PRESTO,atencion odontologica,restauraciones,2024-01-01,2,3,44,37,17,43,40,52,2,0,0,0,0,0,240
PUCARA,atencion odontologica,restauraciones,2024-01-01,0,0,8,2,4,0,0,4,0,0,0,0,0,0,18
PUCARANI,atencion odontologica,restauraciones,2024-01-01,19,15,53,89,72,77,41,88,6,4,0,0,0,0,464
PUERTO ACOSTA,atencion odontologica,restauraciones,2024-01-01,4,2,9,9,33,14,16,22,1,5,0,0,0,0,115
PUERTO CARABUCO,atencion odontologica,restauraciones,2024-01-01,1,2,36,28,38,32,37,51,5,5,0,0,0,0,235
PUERTO GONZALO MORENO,atencion odontologica,restauraciones,2024-01-01,2,2,12,11,5,18,3,6,0,0,0,0,0,0,59
PUERTO PEREZ,atencion odontologica,restauraciones,2024-01-01,0,2,8,1,3,1,5,7,1,0,0,0,0,0,28
PUERTO QUIJARRO,atencion odontologica,restauraciones,2024-01-01,0,0,5,3,12,10,6,7,0,1,0,0,0,0,44
PUERTO RICO,atencion odontologica,restauraciones,2024-01-01,6,1,4,10,4,4,24,16,0,3,0,0,0,0,72
PUERTO SUAREZ,atencion odontologica,restauraciones,2024-01-01,0,0,8,5,0,4,1,8,0,0,0,0,0,0,26
PUERTO VILLARROEL,atencion odontologica,restauraciones,2024-01-01,2,7,39,40,44,43,39,76,1,0,0,0,0,0,291
PUNA,atencion odontologica,restauraciones,2024-01-01,18,7,32,32,25,36,22,52,7,6,0,0,0,0,237
PUNATA,atencion odontologica,restauraciones,2024-01-01,34,25,123,87,48,78,71,139,26,5,0,0,0,0,636
QUIABAYA,atencion odontologica,restauraciones,2024-01-01,2,6,3,8,6,1,13,10,0,2,0,0,0,0,51
QUILLACOLLO,atencion odontologica,restauraciones,2024-01-01,102,83,501,620,280,456,261,684,80,38,0,0,0,0,3105
QUIME,atencion odontologica,restauraciones,2024-01-01,15,16,56,52,51,61,36,68,2,0,0,0,0,0,357
QUIRUSILLAS,atencion odontologica,restauraciones,2024-01-01,1,2,11,9,5,4,10,36,0,0,0,0,0,0,78
RAVELO,atencion odontologica,restauraciones,2024-01-01,6,11,30,42,29,24,24,46,6,4,0,0,0,0,222
REYES,atencion odontologica,restauraciones,2024-01-01,0,2,27,26,7,6,15,27,8,3,0,0,0,0,121
RIBERALTA,atencion odontologica,restauraciones,2024-01-01,135,39,539,390,292,341,292,479,69,53,0,0,0,0,2629
ROBORE,atencion odontologica,restauraciones,2024-01-01,1,14,62,40,29,32,45,73,28,19,0,0,0,0,343
RURRENABAQUE,atencion odontologica,restauraciones,2024-01-01,9,7,28,40,11,34,13,56,4,3,0,0,0,0,205
SABAYA,atencion odontologica,restauraciones,2024-01-01,2,0,7,19,29,16,10,23,6,3,0,0,0,0,115
SACABA,atencion odontologica,restauraciones,2024-01-01,134,198,621,836,465,656,409,1052,71,63,0,0,0,0,4505
SACABAMBA,atencion odontologica,restauraciones,2024-01-01,1,0,4,30,28,25,15,29,3,4,0,0,0,0,139
SACACA,atencion odontologica,restauraciones,2024-01-01,2,1,12,8,39,20,25,27,1,2,0,0,0,0,137
SALINAS DE GARCI MENDOZA,atencion odontologica,restauraciones,2024-01-01,20,8,37,45,20,26,31,71,6,17,0,0,0,0,281
SAMAIPATA,atencion odontologica,restauraciones,2024-01-01,3,5,23,34,8,20,21,51,9,2,0,0,0,0,176
SAN ANDRES,atencion odontologica,restauraciones,2024-01-01,0,0,1,10,5,11,10,17,0,2,0,0,0,0,56
SAN ANDRES DE MACHACA,atencion odontologica,restauraciones,2024-01-01,2,4,6,13,0,9,19,18,16,22,0,0,0,0,109
SAN ANTONIO DE ESMORUCO,atencion odontologica,restauraciones,2024-01-01,0,0,0,0,0,3,3,8,0,2,0,0,0,0,16
SAN ANTONIO DE LOMERIO,atencion odontologica,restauraciones,2024-01-01,1,1,1,6,3,3,5,11,2,2,0,0,0,0,35
SAN BENITO,atencion odontologica,restauraciones,2024-01-01,9,24,60,53,29,98,27,76,7,6,0,0,0,0,389
SAN BORJA,atencion odontologica,restauraciones,2024-01-01,8,6,36,54,54,69,71,91,8,3,0,0,0,0,400
SAN BUENA VENTURA,atencion odontologica,restauraciones,2024-01-01,2,0,13,13,7,9,3,15,0,1,0,0,0,0,63
SAN CARLOS,atencion odontologica,restauraciones,2024-01-01,11,5,60,78,24,37,17,62,4,2,0,0,0,0,300
