,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,trat. de fracturas dentoalveolares,2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2024-02-01,0,0,0,2,0,0,2,1,2,1,0,0,0,0,8
HUANUNI,atencion odontologica,trat. de fracturas dentoalveolares,2024-02-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2024-02-01,2,2,7,8,0,3,24,25,14,4,0,0,0,0,89
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2024-02-01,0,0,0,1,0,1,6,8,1,0,0,0,0,0,17
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2024-02-01,0,8,0,2,2,2,12,11,10,5,0,0,0,0,52
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2024-02-01,0,1,2,0,0,0,7,12,4,0,0,0,0,0,26
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2024-02-01,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3
COBIJA,atencion odontologica,trat. de fracturas dentoalveolares,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2024-03-01,0,0,0,1,3,1,4,3,0,1,0,0,0,0,13
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2024-03-01,4,2,3,2,0,2,31,28,10,7,0,0,0,0,89
MACHACAMARCA,atencion odontologica,trat. de fracturas dentoalveolares,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2024-03-01,0,0,1,0,0,0,3,11,2,0,0,0,0,0,17
QUILLACOLLO,atencion odontologica,trat. de fracturas dentoalveolares,2024-03-01,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4
RIBERALTA,atencion odontologica,trat. de fracturas dentoalveolares,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SAN IGNACIO DE VELASCO,atencion odontologica,trat. de fracturas dentoalveolares,2024-03-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3
SAN JULIAN,atencion odontologica,trat. de fracturas dentoalveolares,2024-03-01,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2024-03-01,1,0,3,0,1,5,12,7,4,0,0,0,0,0,33
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2024-03-01,0,0,4,1,0,0,5,9,2,1,0,0,0,0,22
TIQUIPAYA,atencion odontologica,trat. de fracturas dentoalveolares,2024-03-01,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2024-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VILLA MONTES,atencion odontologica,trat. de fracturas dentoalveolares,2024-03-01,0,0,2,3,0,0,0,0,0,0,0,0,0,0,5
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2024-04-01,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2024-04-01,0,1,3,8,1,1,36,26,9,5,0,0,0,0,90
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2024-04-01,0,0,0,1,0,0,5,15,2,0,0,0,0,0,23
QUILLACOLLO,atencion odontologica,trat. de fracturas dentoalveolares,2024-04-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
SAN LORENZO(TJA),atencion odontologica,trat. de fracturas dentoalveolares,2024-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2024-04-01,0,0,0,1,0,1,6,5,1,1,0,0,0,0,15
SANTA ROSA,atencion odontologica,trat. de fracturas dentoalveolares,2024-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2024-04-01,1,10,0,0,1,0,6,14,2,0,0,0,0,0,34
COBIJA,atencion odontologica,trat. de fracturas dentoalveolares,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2024-05-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2024-05-01,5,4,3,4,1,0,23,58,11,3,0,0,0,0,112
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2024-05-01,0,0,0,0,1,2,8,18,0,1,0,0,0,0,30
SAN JULIAN,atencion odontologica,trat. de fracturas dentoalveolares,2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2024-05-01,1,0,1,0,0,4,11,5,4,1,0,0,0,0,27
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2024-05-01,0,0,1,0,0,0,7,16,0,1,0,0,0,0,25
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2024-05-01,0,0,1,0,0,0,0,2,0,1,0,0,0,0,4
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2024-06-01,0,2,2,2,1,0,0,5,0,0,0,0,0,0,12
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2024-06-01,0,0,0,1,1,0,0,2,0,0,0,0,0,0,4
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2024-06-01,1,2,5,3,2,0,32,60,21,9,0,0,0,0,135
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2024-06-01,0,0,1,1,1,0,11,12,0,2,0,0,0,0,28
SACABA,atencion odontologica,trat. de fracturas dentoalveolares,2024-06-01,1,0,1,2,1,0,0,5,0,0,0,0,0,0,10
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2024-06-01,1,0,0,0,0,1,3,10,8,2,0,0,0,0,25
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2024-06-01,0,0,0,2,1,0,11,23,5,1,0,0,0,0,43
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2024-06-01,2,0,2,4,0,0,0,0,0,0,0,0,0,0,8
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2024-06-01,0,0,0,0,0,0,0,4,1,0,0,0,0,0,5
UYUNI,atencion odontologica,trat. de fracturas dentoalveolares,2024-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CHARAGUA,atencion odontologica,trat. de fracturas dentoalveolares,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2024-07-01,1,3,6,4,3,3,25,33,16,3,0,0,0,0,97
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2024-07-01,0,0,1,0,50,55,62,97,18,21,0,0,0,0,304
PUERTO VILLARROEL,atencion odontologica,trat. de fracturas dentoalveolares,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
QUILLACOLLO,atencion odontologica,trat. de fracturas dentoalveolares,2024-07-01,2,0,5,8,4,7,3,6,2,0,0,0,0,0,37
SAN ANDRES,atencion odontologica,trat. de fracturas dentoalveolares,2024-07-01,0,0,0,0,0,0,0,11,1,1,0,0,0,0,13
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2024-07-01,2,4,0,8,2,4,6,10,7,0,0,0,0,0,43
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2024-07-01,0,0,0,2,7,5,2,4,0,0,0,0,0,0,20
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2024-07-01,1,0,3,1,0,0,0,0,0,0,0,0,0,0,5
CLIZA,atencion odontologica,trat. de fracturas dentoalveolares,2024-08-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2024-08-01,2,3,3,1,0,0,30,40,9,3,0,0,0,0,91
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2024-08-01,0,0,1,2,2,0,6,21,0,0,0,0,0,0,32
SAN BENITO,atencion odontologica,trat. de fracturas dentoalveolares,2024-08-01,0,0,1,2,0,0,1,3,0,0,0,0,0,0,7
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2024-08-01,3,0,6,10,0,9,9,10,5,4,0,0,0,0,56
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2024-08-01,0,0,2,1,0,1,19,21,1,3,0,0,0,0,48
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2024-08-01,0,0,2,1,0,0,0,0,3,2,0,0,0,0,8
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2024-08-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VILLAZON,atencion odontologica,trat. de fracturas dentoalveolares,2024-08-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2024-09-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2024-09-01,4,0,1,1,2,0,31,46,9,5,0,0,0,0,99
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2024-09-01,0,0,1,3,0,0,10,14,2,2,0,0,0,0,32
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2024-09-01,1,0,2,2,0,4,5,17,7,6,0,0,0,0,44
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2024-09-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
UNCIA,atencion odontologica,trat. de fracturas dentoalveolares,2024-09-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,trat. de fracturas dentoalveolares,2024-10-01,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2024-10-01,0,0,0,0,0,1,3,1,0,1,0,0,0,0,6
EL TORNO,atencion odontologica,trat. de fracturas dentoalveolares,2024-10-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2024-10-01,3,1,3,2,3,1,34,42,14,6,0,0,0,0,109
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2024-10-01,0,3,2,2,0,1,17,15,3,3,0,0,0,0,46
POTOSI,atencion odontologica,trat. de fracturas dentoalveolares,2024-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SACACA,atencion odontologica,trat. de fracturas dentoalveolares,2024-10-01,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9
SAN JULIAN,atencion odontologica,trat. de fracturas dentoalveolares,2024-10-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2024-10-01,0,0,3,8,0,4,13,21,5,4,0,0,0,0,58
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2024-10-01,0,0,0,2,0,0,15,16,2,5,0,0,0,0,40
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2024-10-01,0,0,2,0,1,0,3,2,2,1,0,0,0,0,11
CAMARGO,atencion odontologica,trat. de fracturas dentoalveolares,2024-11-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2024-11-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
EL PUENTE(TJA),atencion odontologica,trat. de fracturas dentoalveolares,2024-11-01,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2024-11-01,1,0,1,1,0,0,25,30,15,20,0,0,0,0,93
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2024-11-01,0,0,0,1,0,1,11,16,1,1,0,0,0,0,31
PUERTO QUIJARRO,atencion odontologica,trat. de fracturas dentoalveolares,2024-11-01,0,0,0,1,0,0,0,1,1,10,0,0,0,0,13
SAN JULIAN,atencion odontologica,trat. de fracturas dentoalveolares,2024-11-01,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2024-11-01,3,0,10,2,2,7,9,18,6,0,0,0,0,0,57
SANTIAGO DE HUATA,atencion odontologica,trat. de fracturas dentoalveolares,2024-11-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2024-11-01,1,0,0,2,0,0,13,15,1,0,0,0,0,0,32
VILLAZON,atencion odontologica,trat. de fracturas dentoalveolares,2024-11-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CAMARGO,atencion odontologica,trat. de fracturas dentoalveolares,2024-12-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2024-12-01,0,3,5,0,0,0,0,3,1,0,0,0,0,0,12
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2024-12-01,0,0,1,2,1,2,23,35,4,7,0,0,0,0,75
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2024-12-01,0,0,0,0,2,4,15,18,0,4,0,0,0,0,43
SAN BORJA,atencion odontologica,trat. de fracturas dentoalveolares,2024-12-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SAN JAVIER(STC),atencion odontologica,trat. de fracturas dentoalveolares,2024-12-01,1,0,0,2,0,0,0,2,0,0,0,0,0,0,5
SAN JULIAN,atencion odontologica,trat. de fracturas dentoalveolares,2024-12-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2024-12-01,0,0,0,0,0,0,1,2,1,0,0,0,0,0,4
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2024-12-01,0,0,3,1,0,2,12,16,8,4,0,0,0,0,46
