,group,variable,month,RAYOS X DENTAL MENORES DE 5 AÑOS,RAYOS X DENTAL MENORES DE 5 AÑOS,RAYOS X DENTAL 5 A 13 AÑOS,RAYOS X DENTAL 5 A 13 AÑOS,RAYOS X DENTAL 14 A 19 AÑOS,RAYOS X DENTAL 14 A 19 AÑOS,RAYOS X DENTAL 20 A 59 AÑOS,RAYOS X DENTAL 20 A 59 AÑOS,RAYOS X DENTAL 60 AÑOS Y MAS,RAYOS X DENTAL 60 AÑOS Y MAS,RAYOS X DENTAL EMB,RAYOS X DENTAL EMB,RAYOS X DENTAL POST,RAYOS X DENTAL POST,TOTALES
BERMEJO,atencion odontologica,rayos x dental,2024-01-01,1,0,4,2,1,0,3,3,1,1,0,0,0,0,16
BETANZOS,atencion odontologica,rayos x dental,2024-01-01,0,0,1,2,0,1,1,5,0,0,0,0,0,0,10
CAMARGO,atencion odontologica,rayos x dental,2024-01-01,0,0,4,8,4,6,10,13,1,0,0,0,0,0,46
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,2,1,3,0,0,0,0,0,0,6
CAPINOTA,atencion odontologica,rayos x dental,2024-01-01,0,0,3,4,6,4,2,4,2,2,0,0,0,0,27
CARACOLLO,atencion odontologica,rayos x dental,2024-01-01,0,2,3,4,0,11,4,15,0,1,0,0,0,0,40
CARANAVI,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
CARIPUYO,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,1,3,2,0,0,0,0,0,6
CHALLAPATA,atencion odontologica,rayos x dental,2024-01-01,0,0,3,1,0,5,2,8,0,0,0,0,0,0,19
CHARAGUA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,1,0,0,3,0,0,0,0,0,0,4
CHAYANTA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
CHIMORE,atencion odontologica,rayos x dental,2024-01-01,0,1,0,1,3,4,0,5,0,0,0,0,0,0,14
CHUA COCANI,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
CLIZA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,rayos x dental,2024-01-01,1,0,4,1,9,3,13,21,5,0,0,0,0,0,57
COCHABAMBA,atencion odontologica,rayos x dental,2024-01-01,9,13,58,114,115,87,194,399,99,68,0,0,0,0,1156
COIPASA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COLCAPIRHUA,atencion odontologica,rayos x dental,2024-01-01,0,0,2,3,3,2,5,12,3,1,0,0,0,0,31
"COLCHA ""K""",atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,2,0,1,2,0,0,0,0,0,0,5
COLLANA,atencion odontologica,rayos x dental,2024-01-01,0,1,16,5,3,6,0,3,0,0,0,0,0,0,34
COLQUECHACA,atencion odontologica,rayos x dental,2024-01-01,0,0,9,0,4,12,3,16,0,0,0,0,0,0,44
COLQUIRI,atencion odontologica,rayos x dental,2024-01-01,0,0,5,3,5,9,8,5,0,1,0,0,0,0,36
COMARAPA,atencion odontologica,rayos x dental,2024-01-01,0,0,1,0,1,1,0,2,0,1,0,0,0,0,6
CORO CORO,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,2,1,1,0,1,0,0,0,0,5
COTAGAITA,atencion odontologica,rayos x dental,2024-01-01,0,0,1,3,3,2,2,6,0,0,0,0,0,0,17
COTOCA,atencion odontologica,rayos x dental,2024-01-01,0,2,7,11,7,7,2,14,0,2,0,0,0,0,52
CRUZ DE MACHACAMARCA,atencion odontologica,rayos x dental,2024-01-01,0,0,2,0,1,1,2,6,1,0,0,0,0,0,13
CUATRO CAÑADAS,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
CUEVO,atencion odontologica,rayos x dental,2024-01-01,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3
CULPINA,atencion odontologica,rayos x dental,2024-01-01,0,0,6,8,6,8,10,34,3,2,0,0,0,0,77
CURAHUARA DE CARANGAS,atencion odontologica,rayos x dental,2024-01-01,0,0,3,1,5,1,1,2,1,0,0,0,0,0,14
EL ALTO,atencion odontologica,rayos x dental,2024-01-01,2,1,6,8,4,7,8,17,5,3,0,0,0,0,61
EL CHORO,atencion odontologica,rayos x dental,2024-01-01,0,0,0,1,2,0,0,1,0,1,0,0,0,0,5
EL PUENTE(TJA),atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,1,0,2,2,0,0,0,0,0,0,5
EL TORNO,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,1,3,4,5,0,0,0,0,0,0,13
EL VILLAR,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EUCALIPTUS,atencion odontologica,rayos x dental,2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FERNANDEZ ALONSO,atencion odontologica,rayos x dental,2024-01-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3
GENERAL SAAVEDRA,atencion odontologica,rayos x dental,2024-01-01,1,0,3,4,2,1,1,15,0,1,0,0,0,0,28
GUANAY,atencion odontologica,rayos x dental,2024-01-01,0,0,5,9,3,3,2,13,2,2,0,0,0,0,39
GUAYARAMERIN,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
GUTIERREZ,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
HUACARETA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,2,0,2,2,0,0,0,0,0,0,0,6
HUACAYA (VILLA DE HUACAYA),atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
HUACHACALLA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
HUANUNI,atencion odontologica,rayos x dental,2024-01-01,2,0,6,4,3,6,2,8,0,1,0,0,0,0,32
HUMANATA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
INCAHUASI,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,2,0,6,8,0,3,0,0,0,0,19
IRUPANA (VILLA DE LANZA),atencion odontologica,rayos x dental,2024-01-01,0,0,1,4,1,8,0,3,0,0,0,0,0,0,17
IXIAMAS,atencion odontologica,rayos x dental,2024-01-01,0,0,1,1,1,3,0,6,0,1,0,0,0,0,13
LA ASUNTA,atencion odontologica,rayos x dental,2024-01-01,1,1,3,9,9,4,4,11,0,0,0,0,0,0,42
LA GUARDIA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
LA PAZ,atencion odontologica,rayos x dental,2024-01-01,11,8,136,112,76,88,179,334,69,72,0,0,0,0,1085
LAGUNILLAS,atencion odontologica,rayos x dental,2024-01-01,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
LAS CARRERAS,atencion odontologica,rayos x dental,2024-01-01,0,0,1,0,1,2,3,6,0,0,0,0,0,0,13
LLALLAGUA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
MACHACAMARCA,atencion odontologica,rayos x dental,2024-01-01,0,0,2,0,2,0,0,5,0,0,0,0,0,0,9
MAIRANA,atencion odontologica,rayos x dental,2024-01-01,0,0,1,1,1,2,2,4,0,0,0,0,0,0,11
MAPIRI,atencion odontologica,rayos x dental,2024-01-01,0,0,2,5,3,1,5,7,0,0,0,0,0,0,23
MECAPACA,atencion odontologica,rayos x dental,2024-01-01,0,0,1,11,4,17,18,12,0,0,0,0,0,0,63
MIZQUE,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,2,1,2,0,0,0,0,0,0,5
MOJINETE,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MOJOCOYA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
MONTEAGUDO,atencion odontologica,rayos x dental,2024-01-01,0,1,3,2,0,1,1,4,0,0,0,0,0,0,12
MONTERO,atencion odontologica,rayos x dental,2024-01-01,0,0,1,1,2,0,4,5,1,4,0,0,0,0,18
NAZACARA DE PACAJES,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
OCURI,atencion odontologica,rayos x dental,2024-01-01,0,0,3,2,3,3,3,2,0,0,0,0,0,0,16
ORURO,atencion odontologica,rayos x dental,2024-01-01,20,12,108,137,133,163,242,434,56,29,0,0,0,0,1334
PADILLA,atencion odontologica,rayos x dental,2024-01-01,0,0,1,1,2,1,3,5,0,0,0,0,0,0,13
PAILON,atencion odontologica,rayos x dental,2024-01-01,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3
PAMPA AULLAGAS,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,1,0,1,4,0,1,0,0,0,0,7
PAMPA GRANDE,atencion odontologica,rayos x dental,2024-01-01,0,0,3,7,0,0,1,4,0,2,0,0,0,0,17
PASORAPA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PATACAMAYA,atencion odontologica,rayos x dental,2024-01-01,0,0,1,0,1,3,2,4,0,0,0,0,0,0,11
PAZÑA,atencion odontologica,rayos x dental,2024-01-01,0,0,1,3,3,4,2,6,0,1,0,0,0,0,20
POCOATA,atencion odontologica,rayos x dental,2024-01-01,0,0,2,1,0,5,1,8,0,0,0,0,0,0,17
POOPO,atencion odontologica,rayos x dental,2024-01-01,0,0,5,5,5,3,10,23,1,0,0,0,0,0,52
PORCO,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
PORONGO,atencion odontologica,rayos x dental,2024-01-01,0,1,9,6,3,3,5,5,7,2,0,0,0,0,41
POTOSI,atencion odontologica,rayos x dental,2024-01-01,0,4,24,25,17,30,31,66,7,3,0,0,0,0,207
PUCARANI,atencion odontologica,rayos x dental,2024-01-01,0,0,1,1,0,2,2,3,0,0,0,0,0,0,9
PUERTO GONZALO MORENO,atencion odontologica,rayos x dental,2024-01-01,0,0,5,0,0,6,10,20,0,0,0,0,0,0,41
PUERTO RICO,atencion odontologica,rayos x dental,2024-01-01,0,0,0,2,1,1,5,6,1,4,0,0,0,0,20
PUNA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
PUNATA,atencion odontologica,rayos x dental,2024-01-01,3,0,3,1,0,2,3,0,3,0,0,0,0,0,15
QUIABAYA,atencion odontologica,rayos x dental,2024-01-01,0,0,1,1,0,1,6,3,0,0,0,0,0,0,12
QUILLACOLLO,atencion odontologica,rayos x dental,2024-01-01,2,1,18,18,17,14,24,39,20,6,0,0,0,0,159
QUIRUSILLAS,atencion odontologica,rayos x dental,2024-01-01,0,0,0,1,4,0,4,3,0,0,0,0,0,0,12
RAVELO,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
RIBERALTA,atencion odontologica,rayos x dental,2024-01-01,1,0,0,4,5,3,5,10,3,0,0,0,0,0,31
SABAYA,atencion odontologica,rayos x dental,2024-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
SACABA,atencion odontologica,rayos x dental,2024-01-01,3,0,8,22,8,17,15,51,13,5,0,0,0,0,142
SACACA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,2,1,2,0,0,0,0,0,0,0,5
SALINAS DE GARCI MENDOZA,atencion odontologica,rayos x dental,2024-01-01,1,0,1,5,2,2,9,12,2,4,0,0,0,0,38
SAMAIPATA,atencion odontologica,rayos x dental,2024-01-01,0,0,1,4,2,0,1,8,0,0,0,0,0,0,16
SAN BENITO,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,1,0,0,1,0,2,0,0,0,0,4
SAN CARLOS,atencion odontologica,rayos x dental,2024-01-01,0,0,1,1,1,0,0,2,0,0,0,0,0,0,5
SAN JOAQUIN,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,5,0,12,8,0,0,0,0,0,0,25
SAN LORENZO(TJA),atencion odontologica,rayos x dental,2024-01-01,0,0,1,3,2,2,2,6,0,1,0,0,0,0,17
SAN LUCAS,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3
SAN MATIAS,atencion odontologica,rayos x dental,2024-01-01,0,0,4,3,1,1,4,8,3,1,0,0,0,0,25
SAN PEDRO,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
SAN PEDRO DE BUENA VISTA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,7,3,4,8,0,4,0,0,0,0,26
SAN PEDRO DE CURAHUARA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,4,0,0,2,1,0,1,0,0,0,0,8
SAN PEDRO DE MACHA,atencion odontologica,rayos x dental,2024-01-01,0,0,2,2,2,1,2,12,0,0,0,0,0,0,21
SANTA ANA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,rayos x dental,2024-01-01,21,20,184,165,111,133,401,814,117,130,0,0,0,0,2096
SANTA ROSA DEL SARA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16
SANTIAGO DE HUARI,atencion odontologica,rayos x dental,2024-01-01,0,0,1,6,0,2,6,8,1,1,0,0,0,0,25
SANTIAGO DE MACHACA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,1,1,2,0,3,1,0,0,0,0,0,8
SENA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,1,0,3,2,0,0,0,0,0,0,6
SICA SICA (VILLA AROMA),atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,1,3,1,0,0,1,0,0,0,0,6
SIPE SIPE,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SOPACHUY,atencion odontologica,rayos x dental,2024-01-01,0,0,0,2,0,0,2,7,0,0,0,0,0,0,11
SORACACHI,atencion odontologica,rayos x dental,2024-01-01,0,0,3,2,3,1,1,8,1,2,0,0,0,0,21
SUCRE,atencion odontologica,rayos x dental,2024-01-01,1,3,6,22,14,11,30,64,13,11,0,0,0,0,175
TARIJA,atencion odontologica,rayos x dental,2024-01-01,2,4,18,21,21,16,41,64,11,11,0,0,0,0,209
TIRAQUE (CBBA),atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
TOLEDO,atencion odontologica,rayos x dental,2024-01-01,0,0,2,0,4,9,1,3,1,0,0,0,0,0,20
TOMAVE,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,3,8,0,0,0,0,0,0,11
TORO TORO,atencion odontologica,rayos x dental,2024-01-01,0,0,1,0,0,1,1,1,0,0,0,0,0,0,4
TOTORA(CBBA),atencion odontologica,rayos x dental,2024-01-01,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3
TOTORA(ORR),atencion odontologica,rayos x dental,2024-01-01,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3
TRIGAL,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,1,4,0,0,0,0,0,0,5
TRINIDAD,atencion odontologica,rayos x dental,2024-01-01,2,1,7,5,0,5,12,12,0,0,0,0,0,0,44
TUPIZA,atencion odontologica,rayos x dental,2024-01-01,1,1,12,5,7,20,20,24,1,10,0,0,0,0,101
TURCO,atencion odontologica,rayos x dental,2024-01-01,0,0,2,0,1,8,6,12,2,0,0,0,0,0,31
UNCIA,atencion odontologica,rayos x dental,2024-01-01,0,0,1,4,2,4,1,9,2,2,0,0,0,0,25
URIONDO (A. CONCEPCION),atencion odontologica,rayos x dental,2024-01-01,0,0,6,1,1,4,2,23,1,1,0,0,0,0,39
UYUNI,atencion odontologica,rayos x dental,2024-01-01,0,3,3,11,12,2,3,11,5,0,0,0,0,0,50
VALLEGRANDE,atencion odontologica,rayos x dental,2024-01-01,0,0,1,3,1,2,2,2,0,1,0,0,0,0,12
VIACHA,atencion odontologica,rayos x dental,2024-01-01,1,0,10,18,6,7,13,21,2,0,0,0,0,0,78
VILLA CHARCAS,atencion odontologica,rayos x dental,2024-01-01,0,0,1,3,1,3,3,8,0,0,0,0,0,0,19
VILLA MONTES,atencion odontologica,rayos x dental,2024-01-01,0,0,5,7,2,2,3,6,1,1,0,0,0,0,27
VILLA RIVERO,atencion odontologica,rayos x dental,2024-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
VILLA TUNARI,atencion odontologica,rayos x dental,2024-01-01,0,0,2,2,3,2,2,4,1,0,0,0,0,0,16
VILLAZON,atencion odontologica,rayos x dental,2024-01-01,0,0,1,0,0,0,1,2,0,0,0,0,0,0,4
VINTO,atencion odontologica,rayos x dental,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
WARNES,atencion odontologica,rayos x dental,2024-01-01,0,0,1,1,0,4,0,2,0,0,0,0,0,0,8
YACUIBA,atencion odontologica,rayos x dental,2024-01-01,1,0,1,6,0,4,4,8,1,2,0,0,0,0,27
YOCALLA,atencion odontologica,rayos x dental,2024-01-01,0,0,3,3,2,2,3,4,0,0,0,0,0,0,17
YUNCHARA,atencion odontologica,rayos x dental,2024-01-01,0,0,0,2,2,2,1,2,0,0,0,0,0,0,9
ZUDAÑEZ,atencion odontologica,rayos x dental,2024-01-01,0,0,2,1,1,0,1,7,1,1,0,0,0,0,14
ACACIO,atencion odontologica,rayos x dental,2024-02-01,0,0,1,0,0,0,1,8,0,0,0,0,0,0,10
ACHACACHI,atencion odontologica,rayos x dental,2024-02-01,1,0,8,3,3,8,10,15,0,0,0,0,0,0,48
ACHOCALLA,atencion odontologica,rayos x dental,2024-02-01,0,0,1,0,0,0,2,3,0,0,0,0,0,0,6
AIQUILE,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,1,1,6,8,2,2,0,0,0,0,20
ANTEQUERA,atencion odontologica,rayos x dental,2024-02-01,0,0,10,8,4,9,8,32,0,0,0,0,0,0,71
APOLO,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,1,3,0,0,0,0,0,0,0,0,4
ARANI,atencion odontologica,rayos x dental,2024-02-01,0,0,1,2,2,7,6,19,2,3,0,0,0,0,42
ATOCHA,atencion odontologica,rayos x dental,2024-02-01,0,0,2,0,0,6,17,27,1,0,0,0,0,0,53
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,rayos x dental,2024-02-01,0,0,2,0,2,2,27,19,0,2,0,0,0,0,54
BERMEJO,atencion odontologica,rayos x dental,2024-02-01,0,1,0,0,0,0,2,5,0,1,0,0,0,0,9
BETANZOS,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
BOYUIBE,atencion odontologica,rayos x dental,2024-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CAMARGO,atencion odontologica,rayos x dental,2024-02-01,0,0,4,2,0,2,4,13,2,0,0,0,0,0,27
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,1,0,0,2,1,0,0,0,0,0,4
CAMIRI,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
CAQUIAVIRI,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
CARACOLLO,atencion odontologica,rayos x dental,2024-02-01,0,0,1,0,1,2,3,5,0,0,0,0,0,0,12
CARANAVI,atencion odontologica,rayos x dental,2024-02-01,0,0,1,0,1,0,3,6,1,0,0,0,0,0,12
CARIPUYO,atencion odontologica,rayos x dental,2024-02-01,1,0,2,0,1,3,1,1,2,0,0,0,0,0,11
CHACARILLA,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CHALLAPATA,atencion odontologica,rayos x dental,2024-02-01,0,1,0,0,0,1,0,3,0,0,0,0,0,0,5
CHARAGUA,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,2,2,2,2,0,0,0,0,0,0,8
CHAYANTA,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,0,1,1,3,0,0,0,0,0,0,5
CHIMORE,atencion odontologica,rayos x dental,2024-02-01,1,0,0,2,2,4,4,4,0,1,0,0,0,0,18
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CLIZA,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3
COBIJA,atencion odontologica,rayos x dental,2024-02-01,0,0,2,0,1,0,5,0,0,0,0,0,0,0,8
COCHABAMBA,atencion odontologica,rayos x dental,2024-02-01,5,9,40,52,56,50,196,370,120,94,0,0,0,0,992
COLCAPIRHUA,atencion odontologica,rayos x dental,2024-02-01,0,0,7,1,0,1,8,21,9,8,0,0,0,0,55
"COLCHA ""K""",atencion odontologica,rayos x dental,2024-02-01,0,0,1,0,0,1,0,3,0,1,0,0,0,0,6
COLLANA,atencion odontologica,rayos x dental,2024-02-01,0,0,5,1,2,5,0,2,0,0,0,0,0,0,15
COLQUECHACA,atencion odontologica,rayos x dental,2024-02-01,0,0,1,0,6,2,3,10,0,0,0,0,0,0,22
COLQUENCHA,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
COLQUIRI,atencion odontologica,rayos x dental,2024-02-01,0,0,3,3,2,1,14,7,2,2,0,0,0,0,34
COMARAPA,atencion odontologica,rayos x dental,2024-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CORO CORO,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,1,3,0,1,0,0,0,0,0,0,5
COTAGAITA,atencion odontologica,rayos x dental,2024-02-01,1,0,1,0,0,0,4,6,2,1,0,0,0,0,15
COTOCA,atencion odontologica,rayos x dental,2024-02-01,2,1,5,1,2,2,3,11,0,0,0,0,0,0,27
CRUZ DE MACHACAMARCA,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CUATRO CAÑADAS,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,1,1,0,2,1,0,0,0,0,0,5
CUEVO,atencion odontologica,rayos x dental,2024-02-01,0,0,2,0,0,1,1,2,0,0,0,0,0,0,6
CULPINA,atencion odontologica,rayos x dental,2024-02-01,0,0,1,1,2,12,8,29,0,4,0,0,0,0,57
CURAHUARA DE CARANGAS,atencion odontologica,rayos x dental,2024-02-01,0,0,1,1,0,0,0,3,0,1,0,0,0,0,6
EL ALTO,atencion odontologica,rayos x dental,2024-02-01,0,0,4,8,12,10,20,22,4,0,0,0,0,0,80
EL CHORO,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
EL PUENTE(STC),atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
EL PUENTE(TJA),atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,0,0,1,4,0,0,0,0,0,0,5
EL VILLAR,atencion odontologica,rayos x dental,2024-02-01,1,0,1,0,2,4,0,1,0,0,0,0,0,0,9
ENTRE RIOS CBBA,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
EUCALIPTUS,atencion odontologica,rayos x dental,2024-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
GENERAL SAAVEDRA,atencion odontologica,rayos x dental,2024-02-01,0,0,1,0,0,0,1,2,0,0,0,0,0,0,4
GUANAY,atencion odontologica,rayos x dental,2024-02-01,0,0,0,2,1,3,3,6,1,2,0,0,0,0,18
GUAYARAMERIN,atencion odontologica,rayos x dental,2024-02-01,0,0,0,1,4,0,1,2,0,0,0,0,0,0,8
HUACAYA (VILLA DE HUACAYA),atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
HUACHACALLA,atencion odontologica,rayos x dental,2024-02-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
HUANUNI,atencion odontologica,rayos x dental,2024-02-01,0,0,2,3,0,5,4,10,2,1,0,0,0,0,27
HUATAJATA,atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
INCAHUASI,atencion odontologica,rayos x dental,2024-02-01,0,0,3,0,1,3,1,14,1,1,0,0,0,0,24
IRUPANA (VILLA DE LANZA),atencion odontologica,rayos x dental,2024-02-01,0,0,0,0,1,3,0,2,0,0,0,0,0,0,6
IXIAMAS,atencion odontologica,rayos x dental,2024-02-01,0,0,0,1,0,0,0,5,1,0,0,0,0,0,7
