,group,variable,month,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) POST,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO (TOIT) POST,TOTALES
ARBIETO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,2,3,1,0,1,2,1,0,0,0,0,0,10
ARQUE,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,1,1,0,0,3,0,1,0,0,0,0,7
ASCENCION DE GUARAYOS,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,2,6,0,4,1,0,1,0,0,0,0,0,14
ATOCHA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,3,3,0,0,0,2,0,0,0,0,0,0,8
AYO AYO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,1,0,1,1,0,1,0,0,0,0,4
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,0,3,2,1,0,0,0,0,0,0,0,0,7
AZURDUY,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,2,0,2,3,3,2,1,0,0,0,0,0,0,0,13
BELEN DE URMIRI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
BERMEJO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3
BETANZOS,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,1,0,0,0,2,0,1,0,0,0,0,0,0,4
"CAIZA ""D""",atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,0,2,0,0,0,1,0,0,0,0,0,0,4
CAJUATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,1,0,0,0,2,0,0,0,0,0,0,4
CALAMARCA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,0,0,5,2,0,1,0,0,0,0,0,0,9
CAMARGO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,2,0,6,10,3,2,1,5,0,0,0,0,0,0,29
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,2,0,0,0,2,1,1,3,0,0,0,0,0,0,9
CAMIRI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,3,7,21,18,5,12,8,22,1,1,0,0,0,0,98
CAPINOTA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,2,2,0,1,1,0,0,0,0,0,0,0,6
CAQUIAVIRI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
CARACOLLO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,3,1,1,2,2,2,0,0,0,0,0,0,12
CARANAVI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3
CARAPARI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,1,1,1,1,0,0,0,0,0,0,4
CARIPUYO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CHACARILLA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
CHALLAPATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,2,1,7,2,2,3,0,4,0,0,0,0,0,0,21
CHAQUI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
CHARAGUA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,7,7,9,6,6,11,5,20,3,1,0,0,0,0,75
CHAYANTA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHIMORE,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,0,1,0,2,0,1,0,0,0,0,0,0,5
CLIZA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,1,0,2,0,1,1,0,0,2,0,0,0,0,7
COBIJA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,2,8,3,8,6,3,1,7,0,0,0,0,0,0,38
COCHABAMBA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,31,21,94,126,43,40,32,104,15,23,0,0,0,0,529
COLCAPIRHUA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,1,5,5,1,2,0,4,0,0,0,0,0,0,18
"COLCHA ""K""",atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
COLLANA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3
COLOMI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,1,1,0,1,3,1,0,0,0,0,0,0,0,7
COLPA BELGICA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,10,10,6,7,0,63,0,0,0,0,0,0,96
COLQUENCHA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,0,0,15,0,2,0,0,0,0,0,0,0,18
COLQUIRI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,2,0,1,2,0,1,0,0,0,0,6
COMARAPA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,2,3,3,0,0,0,0,0,0,0,8
CORIPATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CORO CORO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3
CORQUE,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COTAGAITA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,0,1,4,2,1,1,0,0,0,0,0,0,10
CUATRO CAÑADAS,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,2,2,0,0,2,0,1,0,0,0,0,0,0,7
CULPINA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,2,3,0,0,3,2,0,0,0,0,0,0,10
CURAHUARA DE CARANGAS,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,1,1,1,0,1,0,0,0,0,0,0,0,0,4
DESAGUADERO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,10,16,28,39,25,15,9,21,0,0,0,0,0,0,163
EL PUENTE(STC),atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,1,1,3,0,1,1,0,0,0,0,8
EL PUENTE(TJA),atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
EL TORNO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,3,4,8,10,4,8,7,11,2,2,0,0,0,0,59
EL VILLAR,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,2,1,2,2,4,1,0,0,0,0,0,0,12
ENTRE RIOS TRJ,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
ENTRE RIOS CBBA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,0,4,0,1,2,5,0,0,0,0,0,0,13
ESCOMA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4
EUCALIPTUS,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4
FILADELFIA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
GUANAY,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,1,2,4,0,1,1,1,0,0,0,0,0,0,10
GUAYARAMERIN,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,7,2,8,4,0,3,1,0,0,0,0,0,0,26
GUTIERREZ,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,6,1,17,24,6,17,10,79,2,3,0,0,0,0,165
HUACARAJE,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
HUACARETA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,2,4,0,1,0,1,0,0,0,0,0,0,8
HUACAYA (VILLA DE HUACAYA),atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,1,1,0,1,1,0,0,0,0,0,0,5
HUACHACALLA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
HUANUNI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,6,0,4,2,0,4,0,0,0,0,0,0,16
HUARINA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,2,0,0,0,1,0,0,0,0,0,0,4
HUAYLLAMARCA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
HUMANATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3
ICLA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,1,0,1,2,2,0,0,0,0,0,0,7
INCAHUASI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,4,2,1,0,0,1,0,0,0,0,0,0,8
INQUISIVI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,4,0,2,1,1,1,0,0,0,0,10
IRUPANA (VILLA DE LANZA),atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,1,0,1,1,2,0,1,0,0,0,0,0,0,7
JESUS DE MACHACA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
LA ASUNTA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,1,0,6,0,0,1,0,0,0,0,0,0,9
LA GUARDIA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,3,11,3,5,1,1,0,1,0,0,0,0,0,0,25
LA PAZ,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,21,18,88,93,22,37,17,27,5,6,0,0,0,0,334
LAS CARRERAS,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,1,2,2,2,0,0,0,0,0,0,7
LLALLAGUA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,1,1,2,2,1,0,3,0,0,0,0,0,0,10
MACHACAMARCA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,1,3,2,2,2,0,0,0,0,0,0,0,0,11
MACHARETI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
MAIRANA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,2,2,0,1,0,0,0,0,0,0,0,0,5
MALLA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,2,2,0,0,0,1,0,0,0,0,0,0,5
MAPIRI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,1,2,1,2,0,1,2,0,0,0,0,0,0,9
MECAPACA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,2,0,2,1,1,1,1,0,0,0,0,0,0,0,8
MIZQUE,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,3,1,2,0,1,0,0,0,0,0,0,8
MOCOMOCO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,0,1,1,3,0,1,0,0,0,0,0,0,7
MOJOCOYA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,1,0,1,1,1,1,0,0,0,0,0,0,0,5
MONTEAGUDO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,10,8,5,6,5,6,0,0,0,0,0,0,40
MONTERO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,0,2,0,1,0,1,0,0,0,0,5
MOROCHATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,1,0,2,0,2,0,0,0,0,0,0,6
OMEREQUE,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,30,30,108,120,99,90,84,132,4,11,0,0,0,0,708
PADCAYA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PADILLA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,2,0,1,3,8,0,3,0,0,0,0,0,0,17
PALCA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
PALOS BLANCOS,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,2,6,3,4,3,3,0,4,0,1,0,0,0,0,26
PAMPA AULLAGAS,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PASORAPA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,1,1,2,3,5,1,1,0,0,0,0,0,0,14
PAZÑA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,3,2,2,0,0,0,0,0,0,0,0,0,7
PELECHUCO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
POCONA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4
POJO (CBBA),atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,3,2,1,2,0,5,0,0,0,0,0,0,14
POOPO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3
PORCO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3
POROMA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4
PORONGO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
PORVENIR,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6
POTOSI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,9,9,5,5,3,4,0,0,0,0,0,0,35
PRESTO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,5,0,3,1,3,0,0,0,0,0,0,13
PUERTO ACOSTA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,4,1,4,0,4,2,5,3,1,0,0,0,0,25
PUERTO CARABUCO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PUERTO GONZALO MORENO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PUERTO QUIJARRO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,2,2,1,2,3,0,0,2,0,0,0,0,0,0,12
PUERTO VILLARROEL,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,3,1,2,2,1,0,0,0,0,0,0,10
PUNATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,1,0,4,0,2,1,1,0,0,0,0,0,0,10
QUIABAYA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
QUILLACOLLO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,4,9,20,23,10,19,4,17,0,0,0,0,0,0,106
QUIME,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,0,1,2,0,0,0,0,0,0,0,0,0,4
QUIRUSILLAS,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,0,0,1,3,0,0,0,0,0,0,5
RIBERALTA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,10,11,9,13,11,8,0,5,0,0,0,0,0,0,67
SACABA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,9,8,37,51,16,29,5,19,0,3,0,0,0,0,177
SALINAS DE GARCI MENDOZA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SAMAIPATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,3,4,1,2,1,1,0,0,0,0,0,0,13
SAN ANDRES,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
SAN ANDRES DE MACHACA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,1,1,1,0,0,0,1,0,0,0,0,0,0,4
SAN BENITO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
SAN BORJA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,4,1,0,6,0,0,0,0,0,0,0,12
SAN IGNACIO DE VELASCO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,3,2,0,0,0,0,0,0,0,0,0,5
SAN JAVIER(STC),atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4
SAN JOAQUIN,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,4,1,1,0,2,2,0,0,0,0,0,0,10
SAN JULIAN,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SAN LORENZO(TJA),atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,1,4,0,0,1,0,0,0,0,0,0,0,7
SAN LUCAS,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,5,2,3,4,1,4,1,4,0,0,0,0,0,0,24
SAN MATIAS,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,3,4,10,12,3,2,4,9,3,1,0,0,0,0,51
SAN PABLO DE LIPEZ,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
SAN PEDRO DE BUENA VISTA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,2,1,0,1,0,0,0,0,0,0,4
SAN PEDRO DE CURAHUARA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
SANTA ANA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,1,1,0,0,1,1,0,0,0,0,0,5
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,182,175,115,141,30,41,26,97,16,19,0,0,0,0,842
SANTA ROSA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
SANTIAGO DE HUARI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,2,1,0,2,2,2,1,0,0,0,0,0,0,0,10
SHINAOTA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SIPE SIPE,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4
SOPACHUY,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3
SORACACHI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3
SORATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,1,1,2,0,2,0,0,0,0,0,0,0,0,7
SUCRE,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,30,35,48,57,22,40,18,70,1,2,0,0,0,0,323
TACACHI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,7,11,31,15,8,6,28,2,0,0,0,0,0,108
TACACOMA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
TAPACARI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,4,3,5,5,2,2,1,1,1,0,0,0,0,0,24
TARABUCO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,2,2,1,1,1,2,0,0,0,0,0,0,0,0,9
TARACO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
TARATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TARIJA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,1,6,6,5,3,6,15,1,1,0,0,0,0,44
TARVITA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,3,1,2,1,4,1,0,0,0,0,0,13
TEOPONTE,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,3,2,1,1,0,0,0,0,0,0,0,7
TIQUIPAYA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,2,4,8,7,4,2,1,2,0,1,0,0,0,0,31
TIRAQUE (CBBA),atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,6,6,0,3,0,1,0,0,0,0,0,0,17
TOCO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,2,0,3,0,2,0,0,0,0,0,0,0,7
TOLATA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,3,3,1,2,1,0,0,0,0,0,0,0,10
TOLEDO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,0,5,0,0,0,0,0,0,0,0,0,6
TOMINA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,2,2,3,1,1,1,4,5,0,0,0,0,0,0,19
TOTORA(CBBA),atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,2,4,2,1,0,3,0,0,0,0,0,0,12
TOTORA(ORR),atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TRIGAL,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
TRINIDAD,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,16,13,8,11,2,0,2,7,2,1,0,0,0,0,62
TURCO,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,2,0,1,0,1,0,0,0,0,0,0,4
UNCIA,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,0,0,3,2,0,0,0,0,0,0,0,0,5
URIONDO (A. CONCEPCION),atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
UYUNI,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,2,0,3,0,0,0,0,0,0,0,0,0,5
VACAS,atencion odontologica,trat. odontologico integral terminado (toit),2024-01-01,0,0,1,3,0,1,1,1,0,0,0,0,0,0,7
