,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES
ARANI,atencion odontologica,primera consulta,2024-01-01,6,6,8,13,3,8,20,15,0,1,0,1,0,0,81
ARBIETO,atencion odontologica,primera consulta,2024-01-01,37,27,95,93,18,29,34,102,12,9,0,7,0,2,465
ARQUE,atencion odontologica,primera consulta,2024-01-01,10,9,43,53,27,14,33,77,3,10,0,15,0,5,299
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2024-01-01,38,41,100,115,29,39,30,129,6,7,0,18,0,0,552
ATOCHA,atencion odontologica,primera consulta,2024-01-01,8,8,41,45,31,33,89,92,7,3,0,8,0,0,365
AUCAPATA,atencion odontologica,primera consulta,2024-01-01,5,6,10,18,8,11,24,34,4,2,0,3,0,2,127
AYATA,atencion odontologica,primera consulta,2024-01-01,10,8,16,25,5,4,34,44,7,4,0,4,0,0,161
AYO AYO,atencion odontologica,primera consulta,2024-01-01,8,1,30,25,29,40,29,53,7,8,0,7,0,0,237
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2024-01-01,16,11,61,70,25,45,77,113,13,11,0,16,0,10,468
AZURDUY,atencion odontologica,primera consulta,2024-01-01,5,2,13,12,9,13,16,33,1,0,0,9,0,0,113
BATALLAS,atencion odontologica,primera consulta,2024-01-01,16,12,41,52,32,43,30,92,16,13,0,3,0,0,350
BAURES,atencion odontologica,primera consulta,2024-01-01,0,0,9,5,1,5,3,5,2,0,0,0,0,1,31
BELEN DE ANDAMARCA,atencion odontologica,primera consulta,2024-01-01,3,0,7,7,0,1,4,10,4,1,0,0,0,0,37
BELEN DE URMIRI,atencion odontologica,primera consulta,2024-01-01,4,3,3,7,0,5,2,17,2,1,0,1,0,0,45
BELLA FLOR,atencion odontologica,primera consulta,2024-01-01,14,18,1,8,2,11,4,22,5,4,0,16,0,4,109
BERMEJO,atencion odontologica,primera consulta,2024-01-01,13,6,74,66,32,64,68,132,21,16,0,9,0,0,501
BETANZOS,atencion odontologica,primera consulta,2024-01-01,30,18,62,80,31,58,51,150,18,15,0,19,0,6,538
BOLIVAR,atencion odontologica,primera consulta,2024-01-01,0,0,0,0,0,2,0,5,0,3,0,0,0,0,10
BOLPEBRA,atencion odontologica,primera consulta,2024-01-01,2,0,0,2,1,1,0,3,0,0,0,1,0,0,10
BOYUIBE,atencion odontologica,primera consulta,2024-01-01,5,5,11,22,14,12,10,37,2,5,0,0,0,1,124
BUENA VISTA,atencion odontologica,primera consulta,2024-01-01,7,16,27,61,28,47,34,52,5,2,0,2,0,0,281
CABEZAS,atencion odontologica,primera consulta,2024-01-01,48,43,70,68,29,44,36,116,24,24,0,8,0,6,516
CAIROMA,atencion odontologica,primera consulta,2024-01-01,8,6,12,11,4,11,12,24,3,3,0,0,0,1,95
"CAIZA ""D""",atencion odontologica,primera consulta,2024-01-01,26,21,28,29,15,20,15,58,70,108,0,11,0,3,404
CAJUATA,atencion odontologica,primera consulta,2024-01-01,4,8,20,16,8,19,16,49,8,1,0,22,0,3,174
CALACOTO,atencion odontologica,primera consulta,2024-01-01,0,0,1,0,1,0,2,1,0,0,0,0,0,0,5
CALAMARCA,atencion odontologica,primera consulta,2024-01-01,19,25,43,64,32,46,29,91,4,6,0,6,0,1,366
CAMARGO,atencion odontologica,primera consulta,2024-01-01,4,6,21,40,9,17,26,56,2,3,0,18,0,0,202
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2024-01-01,5,2,5,2,5,12,2,15,0,0,0,4,0,0,52
CAMIRI,atencion odontologica,primera consulta,2024-01-01,39,51,72,86,39,69,36,115,16,15,0,15,0,1,554
CAPINOTA,atencion odontologica,primera consulta,2024-01-01,34,31,106,107,54,71,18,90,5,3,0,2,0,0,521
CAQUIAVIRI,atencion odontologica,primera consulta,2024-01-01,7,8,20,20,6,10,9,30,5,2,0,5,0,3,125
CARACOLLO,atencion odontologica,primera consulta,2024-01-01,13,13,46,76,25,51,36,96,5,6,0,12,0,0,379
CARANAVI,atencion odontologica,primera consulta,2024-01-01,13,17,47,44,32,45,36,84,6,3,0,18,0,0,345
CARANGAS,atencion odontologica,primera consulta,2024-01-01,0,1,2,3,0,2,9,7,3,5,0,0,0,0,32
CARAPARI,atencion odontologica,primera consulta,2024-01-01,18,7,72,84,40,77,69,202,10,1,0,3,0,1,584
CARIPUYO,atencion odontologica,primera consulta,2024-01-01,11,9,20,18,8,8,15,40,11,16,0,3,0,1,160
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2024-01-01,4,10,10,13,6,6,3,20,2,2,0,1,0,0,77
CHACARILLA,atencion odontologica,primera consulta,2024-01-01,1,0,6,10,2,1,6,12,1,3,0,2,0,1,45
CHALLAPATA,atencion odontologica,primera consulta,2024-01-01,51,40,124,144,67,64,59,163,45,54,0,33,0,3,847
CHAQUI,atencion odontologica,primera consulta,2024-01-01,8,8,17,34,0,14,16,45,10,5,0,3,0,0,160
CHARAGUA,atencion odontologica,primera consulta,2024-01-01,20,17,37,40,41,58,62,177,11,6,0,5,0,2,476
CHARAÑA,atencion odontologica,primera consulta,2024-01-01,0,2,9,7,1,9,7,13,0,3,0,1,0,2,54
CHAYANTA,atencion odontologica,primera consulta,2024-01-01,11,10,20,17,15,15,14,35,2,8,0,1,0,1,149
CHIMORE,atencion odontologica,primera consulta,2024-01-01,21,10,48,64,18,37,25,67,3,3,0,5,0,2,303
CHIPAYA,atencion odontologica,primera consulta,2024-01-01,0,0,0,0,0,1,0,2,0,0,0,1,0,3,7
CHOQUE COTA,atencion odontologica,primera consulta,2024-01-01,2,1,1,3,2,5,4,6,1,3,0,0,0,0,28
CHUA COCANI,atencion odontologica,primera consulta,2024-01-01,1,2,8,8,7,6,9,14,2,0,0,2,0,0,59
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2024-01-01,2,6,8,5,5,11,4,8,0,0,0,0,0,0,49
CHUMA,atencion odontologica,primera consulta,2024-01-01,10,12,21,38,13,20,43,53,27,26,0,4,0,3,270
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,primera consulta,2024-01-01,4,2,15,19,7,13,9,34,1,2,0,0,0,2,108
CKOCHAS,atencion odontologica,primera consulta,2024-01-01,13,9,22,36,6,19,30,73,18,22,0,4,0,1,253
CLIZA,atencion odontologica,primera consulta,2024-01-01,8,13,41,38,13,22,17,68,12,18,0,0,0,0,250
COBIJA,atencion odontologica,primera consulta,2024-01-01,29,50,66,84,47,47,72,190,6,3,0,74,0,20,688
COCAPATA,atencion odontologica,primera consulta,2024-01-01,17,13,20,24,8,18,17,34,2,4,0,3,0,4,164
COCHABAMBA,atencion odontologica,primera consulta,2024-01-01,177,195,696,769,316,388,654,1198,188,209,0,106,0,9,4905
COIPASA,atencion odontologica,primera consulta,2024-01-01,1,1,2,1,3,2,0,3,2,2,0,0,0,0,17
COLCAPIRHUA,atencion odontologica,primera consulta,2024-01-01,8,13,51,85,21,39,56,99,7,8,0,2,0,11,400
"COLCHA ""K""",atencion odontologica,primera consulta,2024-01-01,17,16,20,18,15,15,16,29,0,4,0,5,0,1,156
COLLANA,atencion odontologica,primera consulta,2024-01-01,6,2,11,14,9,15,4,16,0,0,0,1,0,0,78
COLOMI,atencion odontologica,primera consulta,2024-01-01,19,20,63,67,30,26,26,104,10,12,0,12,0,0,389
COLPA BELGICA,atencion odontologica,primera consulta,2024-01-01,0,0,4,4,1,2,0,17,0,0,0,0,0,0,28
COLQUECHACA,atencion odontologica,primera consulta,2024-01-01,30,38,83,100,24,69,102,159,76,79,0,9,0,7,776
COLQUENCHA,atencion odontologica,primera consulta,2024-01-01,16,9,58,47,53,36,30,66,5,9,0,11,0,1,341
COLQUIRI,atencion odontologica,primera consulta,2024-01-01,23,14,46,57,38,37,60,82,11,20,0,10,0,7,405
COMANCHE,atencion odontologica,primera consulta,2024-01-01,0,0,3,2,1,3,3,4,1,0,0,0,0,0,17
COMARAPA,atencion odontologica,primera consulta,2024-01-01,4,6,38,49,27,37,27,69,7,7,0,0,0,2,273
CONCEPCION,atencion odontologica,primera consulta,2024-01-01,15,16,46,51,7,9,7,28,5,4,0,11,0,1,200
COPACABANA,atencion odontologica,primera consulta,2024-01-01,3,5,24,21,17,13,11,61,18,24,0,28,0,1,226
CORIPATA,atencion odontologica,primera consulta,2024-01-01,7,7,13,16,14,10,10,23,5,1,0,5,0,1,112
CORO CORO,atencion odontologica,primera consulta,2024-01-01,6,9,31,30,19,22,26,34,7,9,0,5,0,0,198
COROICO,atencion odontologica,primera consulta,2024-01-01,0,3,4,4,2,0,6,4,0,0,0,0,0,0,23
CORQUE,atencion odontologica,primera consulta,2024-01-01,0,0,8,14,10,12,12,14,6,8,0,0,0,0,84
COTAGAITA,atencion odontologica,primera consulta,2024-01-01,21,26,64,85,35,56,80,141,23,31,0,10,0,1,573
COTOCA,atencion odontologica,primera consulta,2024-01-01,46,54,106,131,38,71,48,248,48,60,0,133,0,10,993
CRUZ DE MACHACAMARCA,atencion odontologica,primera consulta,2024-01-01,0,0,3,2,2,3,4,11,2,0,0,0,0,0,27
CUATRO CAÑADAS,atencion odontologica,primera consulta,2024-01-01,20,25,55,75,15,22,24,81,4,10,0,11,0,6,348
CUEVO,atencion odontologica,primera consulta,2024-01-01,1,4,12,23,11,13,16,71,3,3,0,2,0,0,159
CULPINA,atencion odontologica,primera consulta,2024-01-01,7,8,33,48,11,49,34,102,9,8,0,17,0,0,326
CURAHUARA DE CARANGAS,atencion odontologica,primera consulta,2024-01-01,11,7,24,26,14,12,23,48,14,26,0,3,0,0,208
CURVA,atencion odontologica,primera consulta,2024-01-01,6,9,9,12,2,9,13,19,3,3,0,2,0,1,88
DESAGUADERO,atencion odontologica,primera consulta,2024-01-01,2,2,10,8,13,7,9,18,2,2,0,7,0,2,82
EL ALTO,atencion odontologica,primera consulta,2024-01-01,384,463,896,1031,471,544,377,1095,101,72,0,323,0,32,5789
EL CHORO,atencion odontologica,primera consulta,2024-01-01,5,6,12,7,3,8,6,16,7,8,0,2,0,0,80
EL PUENTE(STC),atencion odontologica,primera consulta,2024-01-01,12,8,24,37,10,24,15,42,5,6,0,4,0,0,187
EL PUENTE(TJA),atencion odontologica,primera consulta,2024-01-01,3,14,46,22,11,29,20,60,12,12,0,3,0,0,232
EL TORNO,atencion odontologica,primera consulta,2024-01-01,88,92,135,155,27,74,84,240,36,40,0,30,0,19,1020
EL VILLAR,atencion odontologica,primera consulta,2024-01-01,2,2,12,13,4,11,14,30,1,1,0,5,0,1,96
ENTRE RIOS TRJ,atencion odontologica,primera consulta,2024-01-01,4,11,58,65,33,41,67,145,5,8,0,7,0,0,444
ENTRE RIOS CBBA,atencion odontologica,primera consulta,2024-01-01,15,18,42,70,30,50,34,81,0,4,0,8,0,6,358
ESCOMA,atencion odontologica,primera consulta,2024-01-01,7,4,13,23,30,26,14,35,11,12,0,1,0,0,176
ESMERALDA,atencion odontologica,primera consulta,2024-01-01,1,1,2,1,0,1,6,7,5,3,0,0,0,0,27
EUCALIPTUS,atencion odontologica,primera consulta,2024-01-01,4,1,4,7,2,6,4,15,4,2,0,7,0,0,56
FERNANDEZ ALONSO,atencion odontologica,primera consulta,2024-01-01,6,12,45,42,20,45,24,99,7,4,0,13,0,1,318
FILADELFIA,atencion odontologica,primera consulta,2024-01-01,3,2,13,20,6,9,14,26,0,0,0,5,0,0,98
GAIOC JATUN AYLLU YURA,atencion odontologica,primera consulta,2024-01-01,4,3,15,26,12,13,21,32,9,9,0,2,0,0,146
GENERAL SAAVEDRA,atencion odontologica,primera consulta,2024-01-01,16,13,30,45,17,25,14,70,4,11,0,6,0,1,252
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,primera consulta,2024-01-01,4,5,32,31,30,27,37,64,4,8,0,7,0,0,249
GUANAY,atencion odontologica,primera consulta,2024-01-01,8,4,26,34,14,30,24,60,5,4,0,32,0,0,241
GUAQUI,atencion odontologica,primera consulta,2024-01-01,16,17,28,27,26,23,26,69,27,25,0,12,0,4,300
GUAYARAMERIN,atencion odontologica,primera consulta,2024-01-01,24,38,103,132,39,57,69,146,10,9,0,39,0,2,668
GUTIERREZ,atencion odontologica,primera consulta,2024-01-01,6,1,25,24,9,23,17,72,4,4,0,0,0,1,186
HUACARAJE,atencion odontologica,primera consulta,2024-01-01,3,4,7,11,3,17,5,15,4,3,0,0,0,0,72
HUACARETA,atencion odontologica,primera consulta,2024-01-01,12,4,20,28,5,19,14,49,0,3,0,8,0,0,162
HUACAYA (VILLA DE HUACAYA),atencion odontologica,primera consulta,2024-01-01,2,2,13,15,3,11,7,11,1,0,0,2,0,0,67
HUACHACALLA,atencion odontologica,primera consulta,2024-01-01,1,3,5,10,13,5,6,9,3,6,0,0,0,0,61
HUANUNI,atencion odontologica,primera consulta,2024-01-01,14,23,74,88,43,63,54,104,13,8,0,20,0,0,504
HUARINA,atencion odontologica,primera consulta,2024-01-01,3,0,10,14,3,11,12,26,0,2,0,1,0,0,82
HUATAJATA,atencion odontologica,primera consulta,2024-01-01,0,0,5,5,2,5,2,5,2,1,0,0,0,1,28
HUAYLLAMARCA,atencion odontologica,primera consulta,2024-01-01,0,2,6,2,4,2,9,8,8,12,0,1,0,0,54
HUMANATA,atencion odontologica,primera consulta,2024-01-01,4,2,16,16,2,13,18,20,10,11,0,1,0,0,113
ICHOCA,atencion odontologica,primera consulta,2024-01-01,1,2,7,0,1,4,3,5,1,0,0,0,0,0,24
ICLA,atencion odontologica,primera consulta,2024-01-01,12,10,17,19,6,20,24,37,6,6,0,13,0,0,170
INCAHUASI,atencion odontologica,primera consulta,2024-01-01,6,13,26,34,5,16,11,41,2,5,0,11,0,0,170
INQUISIVI,atencion odontologica,primera consulta,2024-01-01,9,10,25,38,25,27,45,63,34,31,0,4,0,1,312
IRUPANA (VILLA DE LANZA),atencion odontologica,primera consulta,2024-01-01,17,26,55,58,30,41,38,81,10,8,0,8,0,2,374
IXIAMAS,atencion odontologica,primera consulta,2024-01-01,2,2,13,18,12,13,6,25,0,1,0,0,0,0,92
JESUS DE MACHACA,atencion odontologica,primera consulta,2024-01-01,8,6,13,19,15,19,19,31,7,1,0,1,0,1,140
LA ASUNTA,atencion odontologica,primera consulta,2024-01-01,107,100,146,179,69,117,121,285,21,9,0,61,0,8,1223
LA GUARDIA,atencion odontologica,primera consulta,2024-01-01,33,42,99,126,35,49,36,122,17,10,0,39,0,16,624
LA PAZ,atencion odontologica,primera consulta,2024-01-01,443,444,1353,1302,564,709,1065,2046,365,324,0,112,0,14,8741
LA RIVERA,atencion odontologica,primera consulta,2024-01-01,0,0,4,5,2,5,6,6,1,3,0,0,0,0,32
LAGUNILLAS,atencion odontologica,primera consulta,2024-01-01,18,11,12,12,3,12,12,49,13,8,0,2,0,3,155
LAJA,atencion odontologica,primera consulta,2024-01-01,35,39,56,76,24,38,22,80,23,32,0,18,0,3,446
LAS CARRERAS,atencion odontologica,primera consulta,2024-01-01,1,4,7,19,10,14,18,53,3,1,0,2,0,0,132
LICOMA PAMPA,atencion odontologica,primera consulta,2024-01-01,2,1,1,5,0,0,3,2,0,0,0,0,0,0,14
LLALLAGUA,atencion odontologica,primera consulta,2024-01-01,24,26,63,68,45,52,52,146,13,19,0,5,0,1,514
LORETO,atencion odontologica,primera consulta,2024-01-01,0,0,4,5,0,2,1,3,2,2,0,0,0,0,19
LURIBAY,atencion odontologica,primera consulta,2024-01-01,6,2,19,12,8,6,22,27,7,1,0,2,0,1,113
MACHACAMARCA,atencion odontologica,primera consulta,2024-01-01,9,3,15,23,11,15,11,38,2,7,0,3,0,0,137
MACHARETI,atencion odontologica,primera consulta,2024-01-01,3,4,6,11,4,4,6,22,3,2,0,7,0,0,72
MAGDALENA,atencion odontologica,primera consulta,2024-01-01,0,3,10,8,4,10,3,13,0,0,0,4,0,1,56
MAIRANA,atencion odontologica,primera consulta,2024-01-01,18,18,31,59,10,24,14,56,13,4,0,12,0,1,260
MALLA,atencion odontologica,primera consulta,2024-01-01,2,8,9,10,1,7,15,21,5,9,0,4,0,0,91
MAPIRI,atencion odontologica,primera consulta,2024-01-01,12,8,26,33,10,10,12,55,4,3,0,13,0,2,188
MECAPACA,atencion odontologica,primera consulta,2024-01-01,9,8,40,53,29,61,41,69,13,8,0,6,0,0,337
MINEROS,atencion odontologica,primera consulta,2024-01-01,17,19,16,15,11,12,10,73,16,19,0,22,0,0,230
MIZQUE,atencion odontologica,primera consulta,2024-01-01,8,11,50,66,11,30,27,79,16,11,0,6,0,8,323
MOCOMOCO,atencion odontologica,primera consulta,2024-01-01,6,4,18,30,25,33,37,46,21,15,0,4,0,1,240
MOJINETE,atencion odontologica,primera consulta,2024-01-01,0,1,3,6,2,2,1,5,0,0,0,3,0,0,23
MOJOCOYA,atencion odontologica,primera consulta,2024-01-01,3,3,7,13,6,6,7,23,3,1,0,2,0,0,74
MONTEAGUDO,atencion odontologica,primera consulta,2024-01-01,11,9,62,101,26,60,61,106,8,4,0,7,0,0,455
MONTERO,atencion odontologica,primera consulta,2024-01-01,138,158,247,301,70,145,117,410,40,46,0,82,0,10,1764
MORO MORO,atencion odontologica,primera consulta,2024-01-01,3,7,12,11,4,7,6,25,1,4,0,2,0,0,82
MOROCHATA,atencion odontologica,primera consulta,2024-01-01,4,6,21,12,4,21,21,47,9,13,0,1,0,4,163
NAZACARA DE PACAJES,atencion odontologica,primera consulta,2024-01-01,2,1,2,2,2,2,2,6,0,2,0,2,0,0,23
OCURI,atencion odontologica,primera consulta,2024-01-01,11,6,40,40,22,31,33,68,35,32,0,10,0,4,332
OKINAWA,atencion odontologica,primera consulta,2024-01-01,5,3,27,24,9,17,20,73,2,10,0,0,0,0,190
OMEREQUE,atencion odontologica,primera consulta,2024-01-01,7,2,9,13,3,2,6,17,3,1,0,1,0,2,66
ORURO,atencion odontologica,primera consulta,2024-01-01,298,229,720,850,413,550,772,1619,148,151,0,326,0,62,6138
PADCAYA,atencion odontologica,primera consulta,2024-01-01,4,9,39,59,29,35,31,103,9,6,0,5,0,0,329
PADILLA,atencion odontologica,primera consulta,2024-01-01,3,5,28,38,10,26,19,58,5,4,0,7,0,0,203
PAILON,atencion odontologica,primera consulta,2024-01-01,9,10,41,52,12,13,20,57,6,2,0,2,0,3,227
PALCA,atencion odontologica,primera consulta,2024-01-01,29,22,51,55,29,49,65,98,12,11,0,9,0,0,430
PALOS BLANCOS,atencion odontologica,primera consulta,2024-01-01,29,30,93,129,57,72,62,164,17,14,0,18,0,3,688
PAMPA AULLAGAS,atencion odontologica,primera consulta,2024-01-01,4,1,19,9,9,2,7,25,1,3,0,2,0,1,83
PAMPA GRANDE,atencion odontologica,primera consulta,2024-01-01,4,8,25,29,9,28,18,44,4,9,0,1,0,0,179
PAPEL PAMPA,atencion odontologica,primera consulta,2024-01-01,4,5,9,5,9,6,4,22,8,5,0,3,0,1,81
PASORAPA,atencion odontologica,primera consulta,2024-01-01,1,2,8,13,6,8,7,18,2,4,0,0,0,0,69
PATACAMAYA,atencion odontologica,primera consulta,2024-01-01,29,39,67,156,67,62,40,112,10,9,0,46,0,6,643
PAZÑA,atencion odontologica,primera consulta,2024-01-01,3,9,17,28,10,14,15,33,7,11,0,5,0,1,153
PELECHUCO,atencion odontologica,primera consulta,2024-01-01,14,6,19,22,7,16,45,47,1,4,0,5,0,2,188
POCOATA,atencion odontologica,primera consulta,2024-01-01,25,26,50,53,21,38,40,83,17,19,0,19,0,5,396
POCONA,atencion odontologica,primera consulta,2024-01-01,3,6,12,14,8,13,16,19,3,3,0,2,0,0,99
POJO (CBBA),atencion odontologica,primera consulta,2024-01-01,10,8,38,40,17,19,21,48,4,3,0,1,0,2,211
POOPO,atencion odontologica,primera consulta,2024-01-01,9,12,21,29,12,17,24,66,26,36,0,8,0,2,262
PORCO,atencion odontologica,primera consulta,2024-01-01,11,12,16,32,5,21,5,54,5,1,0,36,0,5,203
POROMA,atencion odontologica,primera consulta,2024-01-01,35,45,14,22,5,14,12,44,0,2,0,18,0,1,212
PORONGO,atencion odontologica,primera consulta,2024-01-01,27,24,34,53,19,19,19,44,4,7,0,0,0,0,250
PORTACHUELO,atencion odontologica,primera consulta,2024-01-01,0,0,0,6,2,0,1,6,0,0,0,0,0,0,15
PORVENIR,atencion odontologica,primera consulta,2024-01-01,5,2,13,22,5,10,6,22,0,1,0,2,0,2,90
POTOSI,atencion odontologica,primera consulta,2024-01-01,132,139,392,391,166,279,182,643,33,20,0,148,0,7,2532
PRESTO,atencion odontologica,primera consulta,2024-01-01,4,4,12,18,5,14,12,33,4,3,0,1,0,0,110
PUCARA,atencion odontologica,primera consulta,2024-01-01,0,0,2,2,2,1,0,4,0,0,0,0,0,0,11
PUCARANI,atencion odontologica,primera consulta,2024-01-01,25,19,88,113,67,97,62,161,21,19,0,27,0,5,704
PUERTO ACOSTA,atencion odontologica,primera consulta,2024-01-01,9,9,20,15,25,13,21,40,16,13,0,7,0,0,188
PUERTO CARABUCO,atencion odontologica,primera consulta,2024-01-01,4,5,38,44,34,30,55,84,13,9,0,1,0,1,318
PUERTO GONZALO MORENO,atencion odontologica,primera consulta,2024-01-01,6,4,27,21,8,26,13,36,1,4,0,4,0,4,154
PUERTO PEREZ,atencion odontologica,primera consulta,2024-01-01,0,2,9,2,5,1,6,15,5,0,0,1,0,0,46
PUERTO QUIJARRO,atencion odontologica,primera consulta,2024-01-01,12,14,31,21,14,19,13,44,6,8,0,8,0,0,190
PUERTO RICO,atencion odontologica,primera consulta,2024-01-01,10,7,14,15,7,11,15,32,2,3,0,10,0,3,129
PUERTO SUAREZ,atencion odontologica,primera consulta,2024-01-01,0,0,9,8,1,2,3,10,0,0,0,1,0,0,34
PUERTO VILLARROEL,atencion odontologica,primera consulta,2024-01-01,2,14,45,52,17,25,35,72,9,4,0,4,0,5,284
PUNA,atencion odontologica,primera consulta,2024-01-01,11,10,36,36,15,30,27,81,22,21,0,4,0,5,298
PUNATA,atencion odontologica,primera consulta,2024-01-01,15,17,67,64,20,32,24,78,14,13,0,4,0,3,351
QUIABAYA,atencion odontologica,primera consulta,2024-01-01,3,6,4,8,5,7,17,15,2,4,0,0,0,0,71
QUILLACOLLO,atencion odontologica,primera consulta,2024-01-01,82,64,242,258,93,133,100,284,33,28,0,15,0,6,1338
QUIME,atencion odontologica,primera consulta,2024-01-01,5,5,18,19,15,21,26,33,4,3,0,0,0,0,149
QUIRUSILLAS,atencion odontologica,primera consulta,2024-01-01,1,3,8,11,6,3,12,24,2,2,0,0,0,2,74
RAVELO,atencion odontologica,primera consulta,2024-01-01,29,32,11,22,10,17,54,105,91,85,0,6,0,10,472
REYES,atencion odontologica,primera consulta,2024-01-01,2,2,3,5,5,7,8,13,3,1,0,0,0,0,49
RIBERALTA,atencion odontologica,primera consulta,2024-01-01,91,83,204,213,92,146,119,343,37,27,0,162,0,1,1518
ROBORE,atencion odontologica,primera consulta,2024-01-01,0,0,2,2,1,0,4,2,0,0,0,0,0,0,11
RURRENABAQUE,atencion odontologica,primera consulta,2024-01-01,12,14,24,39,8,14,37,43,2,0,0,7,0,3,203
SABAYA,atencion odontologica,primera consulta,2024-01-01,6,1,10,13,9,9,11,23,4,5,0,0,0,0,91
SACABA,atencion odontologica,primera consulta,2024-01-01,79,816,300,382,164,210,203,447,50,51,0,14,0,6,2722
SACABAMBA,atencion odontologica,primera consulta,2024-01-01,3,1,8,15,10,12,8,18,2,7,0,0,0,1,85
SACACA,atencion odontologica,primera consulta,2024-01-01,3,2,30,26,18,14,29,58,3,10,0,3,0,1,197
SALINAS DE GARCI MENDOZA,atencion odontologica,primera consulta,2024-01-01,27,20,42,55,13,19,31,68,22,27,0,5,0,0,329
SAMAIPATA,atencion odontologica,primera consulta,2024-01-01,10,14,30,47,10,19,29,74,6,5,0,15,0,8,267
SAN ANDRES,atencion odontologica,primera consulta,2024-01-01,4,6,9,14,13,15,15,19,2,4,0,3,0,0,104
SAN ANDRES DE MACHACA,atencion odontologica,primera consulta,2024-01-01,4,11,4,7,2,7,11,29,28,34,0,5,0,0,142
SAN ANTONIO DE ESMORUCO,atencion odontologica,primera consulta,2024-01-01,1,2,0,1,0,1,2,7,1,1,0,1,0,2,19
SAN ANTONIO DE LOMERIO,atencion odontologica,primera consulta,2024-01-01,4,1,9,8,4,4,7,24,6,5,0,3,0,0,75
SAN BENITO,atencion odontologica,primera consulta,2024-01-01,12,12,46,42,21,31,19,54,8,11,0,1,0,0,257
SAN BORJA,atencion odontologica,primera consulta,2024-01-01,23,23,81,107,48,82,82,176,18,7,0,34,0,3,684
SAN BUENA VENTURA,atencion odontologica,primera consulta,2024-01-01,7,11,30,44,14,20,8,38,1,1,0,3,0,0,177
