,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES
ARANI,atencion odontologica,consulta nueva,2024-01-01,35,21,73,141,3,78,147,133,7,16,0,3,0,0,657
ARBIETO,atencion odontologica,consulta nueva,2024-01-01,87,52,269,293,83,100,92,263,29,21,0,10,0,3,1302
ARQUE,atencion odontologica,consulta nueva,2024-01-01,47,28,94,122,42,35,70,144,5,22,0,12,0,3,624
ASCENCION DE GUARAYOS,atencion odontologica,consulta nueva,2024-01-01,80,59,288,361,110,153,182,129,34,5,0,3,0,0,1404
ATOCHA,atencion odontologica,consulta nueva,2024-01-01,15,16,127,104,90,85,138,236,26,8,0,9,0,0,854
AUCAPATA,atencion odontologica,consulta nueva,2024-01-01,10,19,17,33,17,24,40,60,4,2,0,2,0,1,229
AYATA,atencion odontologica,consulta nueva,2024-01-01,15,10,27,54,18,8,80,68,8,7,0,4,0,0,299
AYO AYO,atencion odontologica,consulta nueva,2024-01-01,14,1,43,49,68,63,45,95,9,13,0,5,0,0,405
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta nueva,2024-01-01,37,17,161,199,100,131,150,258,37,32,0,17,0,9,1148
AZURDUY,atencion odontologica,consulta nueva,2024-01-01,37,20,45,86,54,65,65,84,4,0,0,3,0,0,463
BATALLAS,atencion odontologica,consulta nueva,2024-01-01,18,15,58,74,64,85,40,118,20,21,0,2,0,0,515
BAURES,atencion odontologica,consulta nueva,2024-01-01,0,0,19,6,1,11,4,5,3,0,0,0,0,1,50
BELEN DE ANDAMARCA,atencion odontologica,consulta nueva,2024-01-01,14,0,21,25,0,3,18,30,9,2,0,0,0,0,122
BELEN DE URMIRI,atencion odontologica,consulta nueva,2024-01-01,5,5,14,27,0,18,8,31,3,4,0,2,0,0,117
BELLA FLOR,atencion odontologica,consulta nueva,2024-01-01,9,8,1,20,2,10,6,24,2,0,0,12,0,2,96
BERMEJO,atencion odontologica,consulta nueva,2024-01-01,18,11,170,175,68,116,104,214,39,28,0,12,0,0,955
BETANZOS,atencion odontologica,consulta nueva,2024-01-01,69,46,134,244,96,149,102,321,22,22,0,22,0,6,1233
BOLIVAR,atencion odontologica,consulta nueva,2024-01-01,0,0,0,0,0,2,0,5,0,3,0,0,0,0,10
BOLPEBRA,atencion odontologica,consulta nueva,2024-01-01,2,0,0,2,2,2,0,1,0,0,0,2,0,0,11
BOYUIBE,atencion odontologica,consulta nueva,2024-01-01,13,11,35,89,28,36,21,105,2,13,0,0,0,1,354
BUENA VISTA,atencion odontologica,consulta nueva,2024-01-01,12,28,50,127,64,100,44,93,7,2,0,2,0,0,529
CABEZAS,atencion odontologica,consulta nueva,2024-01-01,51,63,158,179,53,70,55,181,36,27,0,6,0,6,885
CAIROMA,atencion odontologica,consulta nueva,2024-01-01,24,19,77,57,22,52,23,62,4,3,0,0,0,1,344
"CAIZA ""D""",atencion odontologica,consulta nueva,2024-01-01,20,9,95,83,46,98,29,129,4,20,0,22,0,0,555
CAJUATA,atencion odontologica,consulta nueva,2024-01-01,6,17,97,77,23,43,27,77,16,2,0,13,0,4,402
CALACOTO,atencion odontologica,consulta nueva,2024-01-01,0,0,8,0,7,1,7,4,0,1,0,0,0,0,28
CALAMARCA,atencion odontologica,consulta nueva,2024-01-01,38,50,119,166,94,136,55,169,7,6,0,2,0,1,843
CAMARGO,atencion odontologica,consulta nueva,2024-01-01,21,18,131,249,65,119,73,191,11,12,0,18,0,0,908
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta nueva,2024-01-01,6,1,19,8,22,22,5,29,1,0,0,0,0,0,113
CAMIRI,atencion odontologica,consulta nueva,2024-01-01,52,66,154,155,55,156,66,231,14,15,0,15,0,1,980
CAPINOTA,atencion odontologica,consulta nueva,2024-01-01,51,54,220,231,119,166,40,175,13,12,0,3,0,0,1084
CAQUIAVIRI,atencion odontologica,consulta nueva,2024-01-01,15,15,38,52,21,46,38,47,9,4,0,5,0,3,293
CARACOLLO,atencion odontologica,consulta nueva,2024-01-01,47,45,143,225,79,192,94,258,2,17,0,10,0,0,1112
CARANAVI,atencion odontologica,consulta nueva,2024-01-01,34,40,130,159,112,110,85,221,15,11,0,17,0,0,934
CARANGAS,atencion odontologica,consulta nueva,2024-01-01,0,1,6,10,0,4,21,25,7,12,0,0,0,0,86
CARAPARI,atencion odontologica,consulta nueva,2024-01-01,16,7,112,147,74,185,88,264,18,2,0,3,0,1,917
CARIPUYO,atencion odontologica,consulta nueva,2024-01-01,12,16,31,50,49,29,26,58,19,32,0,6,0,1,329
CARMEN RIVERO TORREZ,atencion odontologica,consulta nueva,2024-01-01,5,17,11,17,8,11,5,23,4,4,0,1,0,0,106
CHACARILLA,atencion odontologica,consulta nueva,2024-01-01,5,0,17,44,12,2,21,52,3,10,0,5,0,6,177
CHALLAPATA,atencion odontologica,consulta nueva,2024-01-01,112,92,325,403,246,233,145,355,80,104,0,44,0,5,2144
CHAQUI,atencion odontologica,consulta nueva,2024-01-01,11,13,36,76,44,52,29,95,22,6,0,4,0,0,388
CHARAGUA,atencion odontologica,consulta nueva,2024-01-01,15,5,41,53,47,67,78,229,11,11,0,2,0,1,560
CHARAÑA,atencion odontologica,consulta nueva,2024-01-01,0,4,37,10,2,26,9,28,0,10,0,1,0,2,129
CHAYANTA,atencion odontologica,consulta nueva,2024-01-01,29,45,32,26,26,20,19,63,3,13,0,0,0,1,277
CHIMORE,atencion odontologica,consulta nueva,2024-01-01,37,22,123,155,52,102,58,152,7,6,0,8,0,3,725
CHIPAYA,atencion odontologica,consulta nueva,2024-01-01,0,0,1,7,0,3,6,26,1,0,0,0,0,0,44
CHOQUE COTA,atencion odontologica,consulta nueva,2024-01-01,6,3,2,14,6,14,13,38,6,13,0,0,0,0,115
CHUA COCANI,atencion odontologica,consulta nueva,2024-01-01,4,4,11,21,38,28,35,35,5,0,0,2,0,0,183
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta nueva,2024-01-01,3,7,11,10,10,9,11,8,0,0,0,0,0,0,69
CHUMA,atencion odontologica,consulta nueva,2024-01-01,16,22,46,75,54,53,80,91,40,49,0,3,0,2,531
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta nueva,2024-01-01,9,5,26,35,9,19,15,67,1,3,0,0,0,3,192
CKOCHAS,atencion odontologica,consulta nueva,2024-01-01,9,10,27,39,10,34,40,75,17,17,0,2,0,1,281
CLIZA,atencion odontologica,consulta nueva,2024-01-01,26,34,120,229,38,84,59,193,29,39,0,0,0,0,851
COBIJA,atencion odontologica,consulta nueva,2024-01-01,74,105,218,227,162,142,214,518,31,10,0,110,0,19,1830
COCAPATA,atencion odontologica,consulta nueva,2024-01-01,8,8,52,44,30,48,50,105,0,7,0,1,0,3,356
COCHABAMBA,atencion odontologica,consulta nueva,2024-01-01,571,737,3140,3674,1484,1755,2082,3924,666,673,0,220,0,13,18939
COIPASA,atencion odontologica,consulta nueva,2024-01-01,5,3,8,5,13,2,0,11,8,7,0,0,0,0,62
COLCAPIRHUA,atencion odontologica,consulta nueva,2024-01-01,25,71,412,549,157,277,265,559,55,51,0,1,0,10,2432
"COLCHA ""K""",atencion odontologica,consulta nueva,2024-01-01,24,46,60,58,106,63,59,99,3,18,0,7,0,1,544
COLLANA,atencion odontologica,consulta nueva,2024-01-01,26,6,92,94,66,42,10,34,0,0,0,1,0,0,371
COLOMI,atencion odontologica,consulta nueva,2024-01-01,28,55,171,243,127,117,70,279,19,23,0,14,0,0,1146
COLPA BELGICA,atencion odontologica,consulta nueva,2024-01-01,0,0,12,13,5,6,0,66,0,0,0,0,0,0,102
COLQUECHACA,atencion odontologica,consulta nueva,2024-01-01,15,21,87,53,64,79,121,174,50,54,0,7,0,1,726
COLQUENCHA,atencion odontologica,consulta nueva,2024-01-01,36,22,171,152,276,98,79,133,9,13,0,11,0,0,1000
COLQUIRI,atencion odontologica,consulta nueva,2024-01-01,49,24,106,134,195,111,124,174,12,27,0,8,0,7,971
COMANCHE,atencion odontologica,consulta nueva,2024-01-01,0,5,5,9,2,21,5,12,5,0,0,0,0,0,64
COMARAPA,atencion odontologica,consulta nueva,2024-01-01,9,17,59,120,73,74,37,131,8,10,0,1,0,2,541
CONCEPCION,atencion odontologica,consulta nueva,2024-01-01,7,11,9,9,5,2,12,11,2,0,0,1,0,1,70
COPACABANA,atencion odontologica,consulta nueva,2024-01-01,8,15,72,64,48,30,31,165,64,71,0,58,0,1,627
CORIPATA,atencion odontologica,consulta nueva,2024-01-01,23,22,59,65,64,44,37,81,15,1,0,8,0,2,421
CORO CORO,atencion odontologica,consulta nueva,2024-01-01,8,13,81,86,63,77,56,77,10,12,0,8,0,0,491
COROICO,atencion odontologica,consulta nueva,2024-01-01,4,17,92,56,45,61,42,108,6,0,0,0,0,0,431
CORQUE,atencion odontologica,consulta nueva,2024-01-01,0,0,20,45,28,32,27,31,14,15,0,0,0,0,212
COTAGAITA,atencion odontologica,consulta nueva,2024-01-01,70,87,229,355,203,214,240,477,74,81,0,39,0,3,2072
COTOCA,atencion odontologica,consulta nueva,2024-01-01,107,108,258,210,76,142,96,370,60,75,0,134,0,11,1647
CRUZ DE MACHACAMARCA,atencion odontologica,consulta nueva,2024-01-01,0,0,17,5,15,10,13,44,6,0,0,0,0,0,110
CUATRO CAÑADAS,atencion odontologica,consulta nueva,2024-01-01,67,87,168,270,52,57,59,290,15,15,0,21,0,11,1112
CUEVO,atencion odontologica,consulta nueva,2024-01-01,1,7,17,32,16,18,16,102,4,1,0,2,0,0,216
CULPINA,atencion odontologica,consulta nueva,2024-01-01,4,7,20,68,13,27,17,70,3,9,0,3,0,0,241
CURAHUARA DE CARANGAS,atencion odontologica,consulta nueva,2024-01-01,18,27,93,82,37,47,51,103,30,41,0,1,0,0,530
CURVA,atencion odontologica,consulta nueva,2024-01-01,6,8,12,17,3,15,22,28,3,0,0,0,0,0,114
DESAGUADERO,atencion odontologica,consulta nueva,2024-01-01,2,3,22,18,52,19,15,21,2,6,0,6,0,0,166
EL ALTO,atencion odontologica,consulta nueva,2024-01-01,794,961,2921,3444,1900,1868,1036,2742,239,163,0,404,0,37,16509
EL CHORO,atencion odontologica,consulta nueva,2024-01-01,9,9,33,21,9,17,12,38,14,15,0,3,0,0,180
EL PUENTE(STC),atencion odontologica,consulta nueva,2024-01-01,32,11,70,100,64,73,32,104,9,12,0,14,0,0,521
EL PUENTE(TJA),atencion odontologica,consulta nueva,2024-01-01,3,24,69,38,13,40,26,83,14,12,0,3,0,0,325
EL TORNO,atencion odontologica,consulta nueva,2024-01-01,133,134,243,289,80,144,131,333,75,51,0,45,0,32,1690
EL VILLAR,atencion odontologica,consulta nueva,2024-01-01,2,11,21,37,25,28,31,49,0,5,0,8,0,0,217
ENTRE RIOS TRJ,atencion odontologica,consulta nueva,2024-01-01,24,28,151,146,89,116,132,287,6,13,0,10,0,0,1002
ENTRE RIOS CBBA,atencion odontologica,consulta nueva,2024-01-01,58,62,137,231,136,230,91,234,0,5,0,24,0,11,1219
ESCOMA,atencion odontologica,consulta nueva,2024-01-01,9,5,18,29,55,31,21,46,13,15,0,1,0,0,243
ESMERALDA,atencion odontologica,consulta nueva,2024-01-01,2,5,10,9,0,3,17,23,11,9,0,0,0,0,89
EUCALIPTUS,atencion odontologica,consulta nueva,2024-01-01,11,0,20,35,13,33,2,42,6,5,0,0,0,0,167
EXALTACION,atencion odontologica,consulta nueva,2024-01-01,1,0,8,9,2,9,4,13,2,1,0,0,0,0,49
FERNANDEZ ALONSO,atencion odontologica,consulta nueva,2024-01-01,16,31,176,158,94,178,87,310,16,9,0,13,0,0,1088
FILADELFIA,atencion odontologica,consulta nueva,2024-01-01,3,4,31,30,12,20,26,49,0,0,0,2,0,0,177
GAIOC JATUN AYLLU YURA,atencion odontologica,consulta nueva,2024-01-01,9,4,24,45,22,25,39,57,15,12,0,2,0,0,254
GENERAL SAAVEDRA,atencion odontologica,consulta nueva,2024-01-01,10,11,84,116,29,65,24,103,6,16,0,2,0,0,466
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta nueva,2024-01-01,13,17,77,78,111,76,100,153,12,25,0,7,0,0,669
GUANAY,atencion odontologica,consulta nueva,2024-01-01,18,9,64,87,43,78,39,122,6,8,0,40,0,0,514
GUAQUI,atencion odontologica,consulta nueva,2024-01-01,18,24,43,37,52,33,32,91,32,29,0,11,0,5,407
GUAYARAMERIN,atencion odontologica,consulta nueva,2024-01-01,28,50,118,232,66,64,53,132,11,6,0,20,0,2,782
GUTIERREZ,atencion odontologica,consulta nueva,2024-01-01,9,1,34,31,18,33,24,126,5,5,0,0,0,1,287
HUACARAJE,atencion odontologica,consulta nueva,2024-01-01,10,4,20,16,7,34,11,24,8,6,0,0,0,0,140
HUACARETA,atencion odontologica,consulta nueva,2024-01-01,13,3,68,102,15,58,30,108,1,6,0,1,0,0,405
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta nueva,2024-01-01,2,4,26,27,20,15,13,22,1,0,0,7,0,0,137
HUACHACALLA,atencion odontologica,consulta nueva,2024-01-01,0,3,17,21,25,9,10,9,3,8,0,0,0,0,105
HUANUNI,atencion odontologica,consulta nueva,2024-01-01,31,42,216,219,143,192,96,190,24,13,0,22,0,0,1188
HUARINA,atencion odontologica,consulta nueva,2024-01-01,5,0,19,38,15,10,10,43,0,3,0,1,0,0,144
HUATAJATA,atencion odontologica,consulta nueva,2024-01-01,1,3,18,38,11,17,8,27,2,4,0,0,0,1,130
HUAYLLAMARCA,atencion odontologica,consulta nueva,2024-01-01,0,7,17,4,19,12,52,18,19,24,0,2,0,0,174
HUMANATA,atencion odontologica,consulta nueva,2024-01-01,4,1,12,17,2,5,7,14,5,1,0,1,0,0,69
ICHOCA,atencion odontologica,consulta nueva,2024-01-01,5,8,27,0,3,11,11,16,3,0,0,0,0,0,84
ICLA,atencion odontologica,consulta nueva,2024-01-01,7,17,41,47,15,62,76,91,11,10,0,14,0,0,391
INCAHUASI,atencion odontologica,consulta nueva,2024-01-01,4,14,47,53,26,21,23,65,2,11,0,0,0,0,266
INQUISIVI,atencion odontologica,consulta nueva,2024-01-01,25,19,46,98,76,71,87,123,49,49,0,8,0,1,652
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta nueva,2024-01-01,37,57,122,132,119,122,91,225,26,18,0,18,0,5,972
IXIAMAS,atencion odontologica,consulta nueva,2024-01-01,2,3,27,46,29,34,11,47,0,3,0,0,0,0,202
JESUS DE MACHACA,atencion odontologica,consulta nueva,2024-01-01,10,11,20,38,36,46,38,56,9,2,0,1,0,1,268
LA ASUNTA,atencion odontologica,consulta nueva,2024-01-01,198,192,291,385,292,254,244,528,43,19,0,60,0,5,2511
LA GUARDIA,atencion odontologica,consulta nueva,2024-01-01,98,142,243,242,105,76,53,265,28,17,0,44,0,15,1328
LA PAZ,atencion odontologica,consulta nueva,2024-01-01,1080,1069,4123,4377,1926,2251,2766,5330,875,794,0,504,0,68,25163
LA RIVERA,atencion odontologica,consulta nueva,2024-01-01,0,0,6,12,5,13,12,15,2,5,0,0,0,0,70
LAGUNILLAS,atencion odontologica,consulta nueva,2024-01-01,27,10,38,40,12,21,23,101,25,19,0,3,0,4,323
LAJA,atencion odontologica,consulta nueva,2024-01-01,158,163,223,347,96,133,62,281,22,46,0,37,0,3,1571
LAS CARRERAS,atencion odontologica,consulta nueva,2024-01-01,2,7,26,45,17,27,36,83,6,2,0,2,0,0,253
LICOMA PAMPA,atencion odontologica,consulta nueva,2024-01-01,3,2,1,8,0,0,4,4,0,0,0,0,0,0,22
LLALLAGUA,atencion odontologica,consulta nueva,2024-01-01,70,86,228,239,180,189,114,376,6,26,0,8,0,3,1525
LORETO,atencion odontologica,consulta nueva,2024-01-01,0,0,5,6,0,2,1,4,2,2,0,0,0,0,22
LURIBAY,atencion odontologica,consulta nueva,2024-01-01,11,4,39,22,37,18,43,75,20,3,0,6,0,2,280
MACHACAMARCA,atencion odontologica,consulta nueva,2024-01-01,20,4,68,110,34,53,46,139,30,40,0,7,0,0,551
MACHARETI,atencion odontologica,consulta nueva,2024-01-01,20,4,24,32,11,8,15,56,5,6,0,0,0,0,181
MAGDALENA,atencion odontologica,consulta nueva,2024-01-01,0,3,19,12,9,17,3,21,0,0,0,7,0,1,92
MAIRANA,atencion odontologica,consulta nueva,2024-01-01,43,39,121,269,61,138,36,183,9,11,0,21,0,1,932
MALLA,atencion odontologica,consulta nueva,2024-01-01,7,35,49,48,3,23,41,78,6,16,0,3,0,0,309
MAPIRI,atencion odontologica,consulta nueva,2024-01-01,15,16,70,79,21,23,27,75,7,4,0,15,0,1,353
MECAPACA,atencion odontologica,consulta nueva,2024-01-01,14,15,104,113,76,109,91,137,23,15,0,7,0,0,704
MINEROS,atencion odontologica,consulta nueva,2024-01-01,13,21,24,16,13,16,4,83,13,19,0,32,0,0,254
MIZQUE,atencion odontologica,consulta nueva,2024-01-01,33,39,214,287,75,140,90,346,133,49,0,12,0,9,1427
MOCOMOCO,atencion odontologica,consulta nueva,2024-01-01,19,6,43,47,34,57,62,71,23,22,0,4,0,1,389
MOJINETE,atencion odontologica,consulta nueva,2024-01-01,0,2,10,18,6,8,3,16,0,0,0,3,0,0,66
MOJOCOYA,atencion odontologica,consulta nueva,2024-01-01,3,9,39,94,33,39,47,127,5,8,0,0,0,0,404
MONTEAGUDO,atencion odontologica,consulta nueva,2024-01-01,32,32,273,302,88,193,153,247,11,4,0,10,0,1,1346
MONTERO,atencion odontologica,consulta nueva,2024-01-01,283,306,818,990,222,459,322,1195,119,99,0,128,0,9,4950
MORO MORO,atencion odontologica,consulta nueva,2024-01-01,7,15,19,14,5,11,6,28,1,5,0,4,0,0,115
MOROCHATA,atencion odontologica,consulta nueva,2024-01-01,8,10,68,54,19,107,65,169,17,26,0,1,0,4,548
NAZACARA DE PACAJES,atencion odontologica,consulta nueva,2024-01-01,6,2,2,1,6,2,2,7,0,6,0,2,0,0,36
OCURI,atencion odontologica,consulta nueva,2024-01-01,18,10,119,139,52,91,102,224,79,71,0,25,0,10,940
OKINAWA,atencion odontologica,consulta nueva,2024-01-01,7,3,37,25,13,24,22,100,2,19,0,0,0,0,252
OMEREQUE,atencion odontologica,consulta nueva,2024-01-01,13,7,31,48,15,7,14,36,3,7,0,1,0,2,184
ORURO,atencion odontologica,consulta nueva,2024-01-01,918,764,3202,3635,1754,1890,1957,4194,433,409,0,367,0,72,19595
PADCAYA,atencion odontologica,consulta nueva,2024-01-01,6,14,64,115,66,94,49,157,12,5,0,4,0,0,586
PADILLA,atencion odontologica,consulta nueva,2024-01-01,5,25,62,87,54,99,52,123,12,9,0,6,0,0,534
PAILON,atencion odontologica,consulta nueva,2024-01-01,21,22,116,122,32,30,46,143,13,7,0,2,0,3,557
PALCA,atencion odontologica,consulta nueva,2024-01-01,67,49,147,134,98,118,103,196,18,22,0,6,0,0,958
PALOS BLANCOS,atencion odontologica,consulta nueva,2024-01-01,46,52,199,254,146,179,130,282,28,24,0,17,0,2,1359
PAMPA AULLAGAS,atencion odontologica,consulta nueva,2024-01-01,7,1,58,31,29,17,15,68,3,11,0,3,0,3,246
PAMPA GRANDE,atencion odontologica,consulta nueva,2024-01-01,5,20,58,67,11,67,39,83,5,32,0,6,0,0,393
PAPEL PAMPA,atencion odontologica,consulta nueva,2024-01-01,6,9,15,10,31,10,8,35,8,6,0,3,0,1,142
PASORAPA,atencion odontologica,consulta nueva,2024-01-01,1,6,21,47,52,45,21,59,8,8,0,0,0,0,268
PATACAMAYA,atencion odontologica,consulta nueva,2024-01-01,49,54,131,238,145,111,61,167,11,9,0,46,0,6,1028
PAZÑA,atencion odontologica,consulta nueva,2024-01-01,10,22,62,84,47,45,39,79,7,16,0,8,0,2,421
PELECHUCO,atencion odontologica,consulta nueva,2024-01-01,23,14,43,65,30,45,65,67,0,9,0,3,0,2,366
POCOATA,atencion odontologica,consulta nueva,2024-01-01,32,36,140,125,43,93,91,192,35,24,0,11,0,10,832
POCONA,atencion odontologica,consulta nueva,2024-01-01,5,30,35,80,37,65,43,77,11,5,0,13,0,0,401
POJO (CBBA),atencion odontologica,consulta nueva,2024-01-01,17,12,132,151,65,82,46,119,4,5,0,4,0,7,644
POOPO,atencion odontologica,consulta nueva,2024-01-01,22,48,87,139,78,93,109,215,52,68,0,9,0,6,926
PORCO,atencion odontologica,consulta nueva,2024-01-01,22,35,52,104,11,52,18,100,8,1,0,39,0,5,447
POROMA,atencion odontologica,consulta nueva,2024-01-01,23,30,7,29,14,11,18,23,0,3,0,1,0,0,159
PORONGO,atencion odontologica,consulta nueva,2024-01-01,58,50,116,139,49,56,46,112,5,10,0,1,0,0,642
PORTACHUELO,atencion odontologica,consulta nueva,2024-01-01,0,0,0,7,2,0,1,9,0,0,0,0,0,0,19
PORVENIR,atencion odontologica,consulta nueva,2024-01-01,14,5,35,58,8,18,10,48,0,1,0,2,0,2,201
POTOSI,atencion odontologica,consulta nueva,2024-01-01,299,369,1214,1287,512,886,498,1511,97,63,0,110,0,6,6852
PRESTO,atencion odontologica,consulta nueva,2024-01-01,8,13,68,73,21,59,56,91,5,3,0,0,0,0,397
PUCARA,atencion odontologica,consulta nueva,2024-01-01,0,0,8,3,5,1,0,6,0,0,0,0,0,0,23
PUCARANI,atencion odontologica,consulta nueva,2024-01-01,48,30,154,180,128,161,95,249,36,36,0,11,0,3,1131
PUERTO ACOSTA,atencion odontologica,consulta nueva,2024-01-01,12,10,25,25,59,29,34,62,25,21,0,3,0,0,305
PUERTO CARABUCO,atencion odontologica,consulta nueva,2024-01-01,4,7,66,62,55,45,70,112,14,12,0,1,0,1,449
PUERTO GONZALO MORENO,atencion odontologica,consulta nueva,2024-01-01,9,6,64,47,20,48,36,82,1,5,0,4,0,5,327
PUERTO PEREZ,atencion odontologica,consulta nueva,2024-01-01,0,3,12,4,6,1,8,21,5,0,0,1,0,0,61
PUERTO QUIJARRO,atencion odontologica,consulta nueva,2024-01-01,24,33,53,54,40,68,27,109,11,8,0,8,0,0,435
PUERTO RICO,atencion odontologica,consulta nueva,2024-01-01,15,7,19,23,10,9,32,35,3,9,0,1,0,3,166
PUERTO SUAREZ,atencion odontologica,consulta nueva,2024-01-01,0,0,11,9,1,4,3,12,0,0,0,2,0,0,42
PUERTO VILLARROEL,atencion odontologica,consulta nueva,2024-01-01,7,27,159,156,82,100,83,156,14,5,0,5,0,3,797
PUNA,atencion odontologica,consulta nueva,2024-01-01,26,17,78,77,39,65,44,131,36,30,0,3,0,1,547
PUNATA,atencion odontologica,consulta nueva,2024-01-01,59,60,271,277,83,145,113,289,63,32,0,7,0,2,1401
QUIABAYA,atencion odontologica,consulta nueva,2024-01-01,3,9,6,10,10,6,24,26,3,4,0,0,0,0,101
QUILLACOLLO,atencion odontologica,consulta nueva,2024-01-01,257,217,1179,1248,427,704,361,1117,122,87,0,69,0,16,5804
QUIME,atencion odontologica,consulta nueva,2024-01-01,14,28,82,110,62,64,37,68,6,6,0,0,0,0,477
QUIRUSILLAS,atencion odontologica,consulta nueva,2024-01-01,1,8,20,31,11,5,19,60,2,2,0,6,0,2,167
RAVELO,atencion odontologica,consulta nueva,2024-01-01,41,41,60,69,41,49,97,189,123,113,0,8,0,13,844
REYES,atencion odontologica,consulta nueva,2024-01-01,0,2,1,2,0,0,1,0,0,0,0,0,0,0,6
RIBERALTA,atencion odontologica,consulta nueva,2024-01-01,125,111,346,319,185,251,211,775,72,54,0,112,0,1,2562
ROBORE,atencion odontologica,consulta nueva,2024-01-01,0,6,34,40,11,25,25,28,6,4,0,0,0,0,179
RURRENABAQUE,atencion odontologica,consulta nueva,2024-01-01,25,20,57,97,29,39,39,113,7,7,0,10,0,5,448
SABAYA,atencion odontologica,consulta nueva,2024-01-01,17,4,22,40,39,32,29,54,15,12,0,0,0,0,264
SACABA,atencion odontologica,consulta nueva,2024-01-01,301,410,1572,2012,965,1213,647,1664,155,181,0,35,0,8,9163
SACABAMBA,atencion odontologica,consulta nueva,2024-01-01,3,0,16,46,41,37,20,40,5,14,0,0,0,3,225
SACACA,atencion odontologica,consulta nueva,2024-01-01,7,2,53,33,54,30,54,96,3,13,0,6,0,2,353
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta nueva,2024-01-01,67,39,137,186,47,59,81,215,43,58,0,13,0,0,945
SAMAIPATA,atencion odontologica,consulta nueva,2024-01-01,20,26,112,146,29,89,71,182,21,12,0,15,0,8,731
SAN ANDRES,atencion odontologica,consulta nueva,2024-01-01,5,6,9,25,13,9,13,23,4,4,0,3,0,0,114
SAN ANDRES DE MACHACA,atencion odontologica,consulta nueva,2024-01-01,8,21,12,25,4,15,24,46,39,39,0,3,0,0,236
