,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES
ARAMPAMPA,atencion odontologica,medidas preventivas,2024-01-01,0,0,0,1,0,0,0,13,0,0,0,0,0,0,14
ARANI,atencion odontologica,medidas preventivas,2024-01-01,3,4,10,28,2,2,7,4,0,0,0,0,0,0,60
ARBIETO,atencion odontologica,medidas preventivas,2024-01-01,39,26,121,133,24,41,29,83,8,8,0,0,0,0,512
ARQUE,atencion odontologica,medidas preventivas,2024-01-01,42,21,47,49,11,7,17,39,2,7,0,0,0,0,242
ASCENCION DE GUARAYOS,atencion odontologica,medidas preventivas,2024-01-01,72,39,121,191,41,80,21,118,15,15,0,0,0,0,713
ATOCHA,atencion odontologica,medidas preventivas,2024-01-01,4,3,60,46,32,30,67,53,6,1,0,0,0,0,302
AUCAPATA,atencion odontologica,medidas preventivas,2024-01-01,7,15,0,0,0,0,0,0,0,0,0,0,0,0,22
AYATA,atencion odontologica,medidas preventivas,2024-01-01,6,6,3,14,2,1,10,10,2,2,0,0,0,0,56
AYO AYO,atencion odontologica,medidas preventivas,2024-01-01,2,0,0,4,0,1,0,2,0,3,0,0,0,0,12
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,medidas preventivas,2024-01-01,24,13,176,207,62,82,113,158,12,12,0,0,0,0,859
AZURDUY,atencion odontologica,medidas preventivas,2024-01-01,25,4,15,50,20,14,8,3,0,0,0,0,0,0,139
BATALLAS,atencion odontologica,medidas preventivas,2024-01-01,8,4,11,12,0,9,1,4,0,1,0,0,0,0,50
BAURES,atencion odontologica,medidas preventivas,2024-01-01,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5
BELEN DE ANDAMARCA,atencion odontologica,medidas preventivas,2024-01-01,10,0,5,12,0,1,3,7,2,1,0,0,0,0,41
BELEN DE URMIRI,atencion odontologica,medidas preventivas,2024-01-01,3,1,2,8,0,4,1,14,1,0,0,0,0,0,34
BELLA FLOR,atencion odontologica,medidas preventivas,2024-01-01,4,8,0,4,2,2,1,5,0,0,0,0,0,0,26
BERMEJO,atencion odontologica,medidas preventivas,2024-01-01,14,7,149,141,60,38,40,80,6,9,0,0,0,0,544
BETANZOS,atencion odontologica,medidas preventivas,2024-01-01,50,24,14,30,14,27,11,29,1,0,0,0,0,0,200
BOLIVAR,atencion odontologica,medidas preventivas,2024-01-01,0,0,0,0,0,2,0,5,0,4,0,0,0,0,11
BOLPEBRA,atencion odontologica,medidas preventivas,2024-01-01,1,0,0,2,1,2,0,3,0,0,0,0,0,0,9
BOYUIBE,atencion odontologica,medidas preventivas,2024-01-01,5,4,8,18,3,5,2,10,0,1,0,0,0,0,56
BUENA VISTA,atencion odontologica,medidas preventivas,2024-01-01,4,7,10,28,15,31,3,8,1,0,0,0,0,0,107
CABEZAS,atencion odontologica,medidas preventivas,2024-01-01,42,49,62,57,12,18,8,20,1,0,0,0,0,0,269
CAIROMA,atencion odontologica,medidas preventivas,2024-01-01,1,4,33,19,2,2,1,0,0,0,0,0,0,0,62
"CAIZA ""D""",atencion odontologica,medidas preventivas,2024-01-01,8,1,29,29,7,6,4,19,1,0,0,0,0,0,104
CAJUATA,atencion odontologica,medidas preventivas,2024-01-01,1,9,58,35,5,13,0,9,0,0,0,0,0,0,130
CALACOTO,atencion odontologica,medidas preventivas,2024-01-01,0,0,4,0,5,0,0,1,0,0,0,0,0,0,10
CALAMARCA,atencion odontologica,medidas preventivas,2024-01-01,22,33,28,43,15,19,7,19,1,1,0,0,0,0,188
CAMARGO,atencion odontologica,medidas preventivas,2024-01-01,7,5,28,67,15,15,5,14,0,0,0,0,0,0,156
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,medidas preventivas,2024-01-01,0,0,15,4,20,5,1,6,0,0,0,0,0,0,51
CAMIRI,atencion odontologica,medidas preventivas,2024-01-01,14,15,32,32,6,11,8,29,5,3,0,0,0,0,155
CAPINOTA,atencion odontologica,medidas preventivas,2024-01-01,20,19,115,176,85,115,50,110,16,9,0,0,0,0,715
CAQUIAVIRI,atencion odontologica,medidas preventivas,2024-01-01,13,10,5,19,8,21,0,0,0,1,0,0,0,0,77
CARACOLLO,atencion odontologica,medidas preventivas,2024-01-01,17,19,57,113,36,67,25,74,7,3,0,0,0,0,418
CARANAVI,atencion odontologica,medidas preventivas,2024-01-01,16,30,102,84,25,39,42,71,9,3,0,0,0,0,421
CARANGAS,atencion odontologica,medidas preventivas,2024-01-01,0,1,1,4,0,2,9,7,2,5,0,0,0,0,31
CARAPARI,atencion odontologica,medidas preventivas,2024-01-01,4,1,28,39,18,44,8,40,7,0,0,0,0,0,189
CARIPUYO,atencion odontologica,medidas preventivas,2024-01-01,0,0,0,6,12,1,0,0,0,0,0,0,0,0,19
CARMEN RIVERO TORREZ,atencion odontologica,medidas preventivas,2024-01-01,7,13,0,6,0,0,0,0,0,0,0,0,0,0,26
CHACARILLA,atencion odontologica,medidas preventivas,2024-01-01,1,0,6,14,2,2,6,13,1,3,0,0,0,0,48
CHALLAPATA,atencion odontologica,medidas preventivas,2024-01-01,35,32,77,112,26,42,0,10,0,0,0,0,0,0,334
CHAQUI,atencion odontologica,medidas preventivas,2024-01-01,8,6,6,16,3,1,1,12,2,0,0,0,0,0,55
CHARAGUA,atencion odontologica,medidas preventivas,2024-01-01,26,19,12,7,6,12,5,22,2,1,0,0,0,0,112
CHARAÑA,atencion odontologica,medidas preventivas,2024-01-01,0,2,12,0,0,5,0,1,0,0,0,0,0,0,20
CHAYANTA,atencion odontologica,medidas preventivas,2024-01-01,18,14,2,7,4,5,3,4,0,0,0,0,0,0,57
CHIMORE,atencion odontologica,medidas preventivas,2024-01-01,24,14,69,99,24,53,10,40,1,1,0,0,0,0,335
CHIPAYA,atencion odontologica,medidas preventivas,2024-01-01,0,0,0,2,0,1,0,1,0,0,0,0,0,0,4
CHOQUE COTA,atencion odontologica,medidas preventivas,2024-01-01,4,2,0,5,0,0,0,0,0,0,0,0,0,0,11
CHUA COCANI,atencion odontologica,medidas preventivas,2024-01-01,0,0,2,5,0,0,0,0,0,0,0,0,0,0,7
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,medidas preventivas,2024-01-01,0,1,4,1,0,0,0,0,0,0,0,0,0,0,6
CHUMA,atencion odontologica,medidas preventivas,2024-01-01,13,14,15,27,3,12,2,8,2,3,0,0,0,0,99
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,medidas preventivas,2024-01-01,2,1,6,13,6,17,3,14,0,1,0,0,0,0,63
CKOCHAS,atencion odontologica,medidas preventivas,2024-01-01,5,8,8,6,1,6,8,16,1,0,0,0,0,0,59
CLIZA,atencion odontologica,medidas preventivas,2024-01-01,8,7,47,102,8,13,7,27,2,9,0,0,0,0,230
COBIJA,atencion odontologica,medidas preventivas,2024-01-01,54,88,124,143,117,83,121,252,12,5,0,0,0,0,999
COCAPATA,atencion odontologica,medidas preventivas,2024-01-01,2,0,5,8,1,3,6,8,0,0,0,0,0,0,33
COCHABAMBA,atencion odontologica,medidas preventivas,2024-01-01,666,716,3272,3523,1729,1572,2217,3517,769,724,0,0,0,0,18705
COIPASA,atencion odontologica,medidas preventivas,2024-01-01,0,0,3,1,3,0,0,2,2,1,0,0,0,0,12
COLCAPIRHUA,atencion odontologica,medidas preventivas,2024-01-01,6,26,116,158,36,57,25,58,4,3,0,0,0,0,489
"COLCHA ""K""",atencion odontologica,medidas preventivas,2024-01-01,11,30,16,14,28,11,9,12,1,3,0,0,0,0,135
COLLANA,atencion odontologica,medidas preventivas,2024-01-01,5,1,7,14,9,2,0,0,0,0,0,0,0,0,38
COLOMI,atencion odontologica,medidas preventivas,2024-01-01,18,32,94,104,45,31,21,81,7,10,0,0,0,0,443
COLPA BELGICA,atencion odontologica,medidas preventivas,2024-01-01,0,0,6,7,2,4,0,36,0,0,0,0,0,0,55
COLQUECHACA,atencion odontologica,medidas preventivas,2024-01-01,7,8,16,21,11,10,17,23,10,6,0,0,0,0,129
COLQUENCHA,atencion odontologica,medidas preventivas,2024-01-01,17,9,71,65,89,39,14,23,1,1,0,0,0,0,329
COLQUIRI,atencion odontologica,medidas preventivas,2024-01-01,16,7,23,33,26,15,16,8,4,3,0,0,0,0,151
COMANCHE,atencion odontologica,medidas preventivas,2024-01-01,0,4,3,0,0,10,1,2,0,0,0,0,0,0,20
COMARAPA,atencion odontologica,medidas preventivas,2024-01-01,8,6,21,15,22,21,4,16,0,1,0,0,0,0,114
CONCEPCION,atencion odontologica,medidas preventivas,2024-01-01,22,11,33,39,3,8,4,9,0,0,0,0,0,0,129
COPACABANA,atencion odontologica,medidas preventivas,2024-01-01,6,12,53,32,19,15,13,91,37,62,0,0,0,0,340
CORIPATA,atencion odontologica,medidas preventivas,2024-01-01,14,13,25,31,14,1,0,12,0,0,0,0,0,0,110
CORO CORO,atencion odontologica,medidas preventivas,2024-01-01,8,18,65,105,66,36,43,46,2,6,0,0,0,0,395
COROICO,atencion odontologica,medidas preventivas,2024-01-01,0,1,1,3,0,0,0,2,0,0,0,0,0,0,7
CORQUE,atencion odontologica,medidas preventivas,2024-01-01,0,0,7,18,4,8,8,7,2,7,0,0,0,0,61
COTAGAITA,atencion odontologica,medidas preventivas,2024-01-01,42,47,100,132,35,55,85,139,21,25,0,0,0,0,681
COTOCA,atencion odontologica,medidas preventivas,2024-01-01,54,70,63,62,13,24,11,44,0,4,0,0,0,0,345
CRUZ DE MACHACAMARCA,atencion odontologica,medidas preventivas,2024-01-01,0,0,3,2,2,2,4,11,2,0,0,0,0,0,26
CUATRO CAÑADAS,atencion odontologica,medidas preventivas,2024-01-01,42,54,36,86,7,13,7,46,0,0,0,0,0,0,291
CUEVO,atencion odontologica,medidas preventivas,2024-01-01,1,4,0,0,0,0,0,2,0,0,0,0,0,0,7
CULPINA,atencion odontologica,medidas preventivas,2024-01-01,2,9,16,20,2,5,1,17,0,0,0,0,0,0,72
CURAHUARA DE CARANGAS,atencion odontologica,medidas preventivas,2024-01-01,7,12,21,24,3,24,5,11,2,4,0,0,0,0,113
CURVA,atencion odontologica,medidas preventivas,2024-01-01,5,6,7,8,1,3,2,4,1,0,0,0,0,0,37
DESAGUADERO,atencion odontologica,medidas preventivas,2024-01-01,0,1,3,1,1,0,0,2,0,1,0,0,0,0,9
EL ALTO,atencion odontologica,medidas preventivas,2024-01-01,426,556,1782,1996,906,986,472,1284,175,72,0,0,0,0,8655
EL CHORO,atencion odontologica,medidas preventivas,2024-01-01,1,4,13,6,0,0,2,7,2,6,0,0,0,0,41
EL PUENTE(STC),atencion odontologica,medidas preventivas,2024-01-01,28,9,38,51,35,20,9,42,0,5,0,0,0,0,237
EL PUENTE(TJA),atencion odontologica,medidas preventivas,2024-01-01,0,11,15,6,0,1,0,1,0,0,0,0,0,0,34
EL TORNO,atencion odontologica,medidas preventivas,2024-01-01,94,95,98,108,15,46,26,67,6,10,0,0,0,0,565
EL VILLAR,atencion odontologica,medidas preventivas,2024-01-01,1,6,15,18,5,3,5,3,0,0,0,0,0,0,56
ENTRE RIOS TRJ,atencion odontologica,medidas preventivas,2024-01-01,16,2,23,16,2,7,5,12,0,1,0,0,0,0,84
ENTRE RIOS CBBA,atencion odontologica,medidas preventivas,2024-01-01,19,16,46,83,39,65,21,57,0,1,0,0,0,0,347
ESCOMA,atencion odontologica,medidas preventivas,2024-01-01,1,1,2,6,0,0,0,1,0,0,0,0,0,0,11
ESMERALDA,atencion odontologica,medidas preventivas,2024-01-01,1,5,6,8,0,2,6,7,4,3,0,0,0,0,42
EUCALIPTUS,atencion odontologica,medidas preventivas,2024-01-01,9,0,7,9,6,3,0,6,0,0,0,0,0,0,40
FERNANDEZ ALONSO,atencion odontologica,medidas preventivas,2024-01-01,6,6,48,23,10,12,6,26,1,1,0,0,0,0,139
FILADELFIA,atencion odontologica,medidas preventivas,2024-01-01,2,4,12,23,5,7,13,17,0,0,0,0,0,0,83
GAIOC JATUN AYLLU YURA,atencion odontologica,medidas preventivas,2024-01-01,5,0,0,3,0,0,0,0,0,0,0,0,0,0,8
GENERAL SAAVEDRA,atencion odontologica,medidas preventivas,2024-01-01,2,1,34,38,3,12,2,4,0,1,0,0,0,0,97
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,medidas preventivas,2024-01-01,6,8,22,26,24,28,30,49,4,10,0,0,0,0,207
GUANAY,atencion odontologica,medidas preventivas,2024-01-01,8,3,18,33,8,43,5,40,1,2,0,0,0,0,161
GUAQUI,atencion odontologica,medidas preventivas,2024-01-01,7,3,6,3,2,0,0,2,3,1,0,0,0,0,27
GUAYARAMERIN,atencion odontologica,medidas preventivas,2024-01-01,10,42,156,275,76,117,133,237,37,15,0,0,0,0,1098
GUTIERREZ,atencion odontologica,medidas preventivas,2024-01-01,4,0,12,10,1,3,2,2,0,0,0,0,0,0,34
HUACARAJE,atencion odontologica,medidas preventivas,2024-01-01,1,2,9,3,0,3,1,1,0,0,0,0,0,0,20
HUACARETA,atencion odontologica,medidas preventivas,2024-01-01,3,1,17,27,3,5,2,13,0,1,0,0,0,0,72
HUACAYA (VILLA DE HUACAYA),atencion odontologica,medidas preventivas,2024-01-01,2,2,12,13,2,6,4,4,0,0,0,0,0,0,45
HUACHACALLA,atencion odontologica,medidas preventivas,2024-01-01,0,0,7,9,2,3,0,0,0,0,0,0,0,0,21
HUANUNI,atencion odontologica,medidas preventivas,2024-01-01,15,35,111,90,36,59,47,67,10,5,0,0,0,0,475
HUARINA,atencion odontologica,medidas preventivas,2024-01-01,1,0,13,19,1,0,1,5,0,0,0,0,0,0,40
HUATAJATA,atencion odontologica,medidas preventivas,2024-01-01,0,0,1,1,1,1,0,3,0,0,0,0,0,0,7
HUAYLLAMARCA,atencion odontologica,medidas preventivas,2024-01-01,0,5,2,0,4,0,5,3,6,8,0,0,0,0,33
HUMANATA,atencion odontologica,medidas preventivas,2024-01-01,5,5,25,17,13,18,23,17,9,13,0,0,0,0,145
ICHOCA,atencion odontologica,medidas preventivas,2024-01-01,4,4,10,0,1,2,2,2,1,0,0,0,0,0,26
ICLA,atencion odontologica,medidas preventivas,2024-01-01,7,9,8,3,0,8,5,8,0,0,0,0,0,0,48
INCAHUASI,atencion odontologica,medidas preventivas,2024-01-01,1,4,19,22,5,0,0,3,0,0,0,0,0,0,54
INQUISIVI,atencion odontologica,medidas preventivas,2024-01-01,10,7,10,25,13,7,4,1,0,2,0,0,0,0,79
IRUPANA (VILLA DE LANZA),atencion odontologica,medidas preventivas,2024-01-01,8,19,16,18,8,18,2,7,1,2,0,0,0,0,99
IXIAMAS,atencion odontologica,medidas preventivas,2024-01-01,0,2,7,6,4,0,0,1,0,0,0,0,0,0,20
JESUS DE MACHACA,atencion odontologica,medidas preventivas,2024-01-01,9,8,4,6,4,4,1,2,0,1,0,0,0,0,39
LA ASUNTA,atencion odontologica,medidas preventivas,2024-01-01,164,156,125,152,40,54,48,132,5,3,0,0,0,0,879
LA GUARDIA,atencion odontologica,medidas preventivas,2024-01-01,54,77,101,101,33,25,9,58,2,2,0,0,0,0,462
LA PAZ,atencion odontologica,medidas preventivas,2024-01-01,779,823,3463,3950,1380,1422,1738,3019,666,586,0,0,0,0,17826
LA RIVERA,atencion odontologica,medidas preventivas,2024-01-01,0,0,3,3,1,3,5,6,1,1,0,0,0,0,23
LAGUNILLAS,atencion odontologica,medidas preventivas,2024-01-01,10,0,2,8,0,0,0,4,0,0,0,0,0,0,24
LAJA,atencion odontologica,medidas preventivas,2024-01-01,96,101,97,171,25,52,18,97,5,13,0,0,0,0,675
LAS CARRERAS,atencion odontologica,medidas preventivas,2024-01-01,2,4,5,13,4,5,1,5,0,0,0,0,0,0,39
LICOMA PAMPA,atencion odontologica,medidas preventivas,2024-01-01,3,2,1,3,0,0,0,0,0,0,0,0,0,0,9
LLALLAGUA,atencion odontologica,medidas preventivas,2024-01-01,35,54,78,78,45,61,17,63,11,7,0,0,0,0,449
LORETO,atencion odontologica,medidas preventivas,2024-01-01,0,0,3,2,0,1,0,0,2,2,0,0,0,0,10
LURIBAY,atencion odontologica,medidas preventivas,2024-01-01,6,2,11,9,1,5,4,15,2,0,0,0,0,0,55
MACHACAMARCA,atencion odontologica,medidas preventivas,2024-01-01,6,3,25,52,20,19,3,16,0,3,0,0,0,0,147
MACHARETI,atencion odontologica,medidas preventivas,2024-01-01,16,1,4,2,0,0,0,2,0,0,0,0,0,0,25
MAGDALENA,atencion odontologica,medidas preventivas,2024-01-01,0,1,4,2,0,6,0,3,0,0,0,0,0,0,16
MAIRANA,atencion odontologica,medidas preventivas,2024-01-01,18,16,69,146,21,60,2,13,2,1,0,0,0,0,348
MALLA,atencion odontologica,medidas preventivas,2024-01-01,3,14,15,25,1,7,18,26,5,9,0,0,0,0,123
MAPIRI,atencion odontologica,medidas preventivas,2024-01-01,8,8,33,23,5,5,0,10,0,0,0,0,0,0,92
MECAPACA,atencion odontologica,medidas preventivas,2024-01-01,2,2,19,15,10,9,0,6,1,0,0,0,0,0,64
MINEROS,atencion odontologica,medidas preventivas,2024-01-01,7,8,6,8,4,6,2,36,6,8,0,0,0,0,91
MIZQUE,atencion odontologica,medidas preventivas,2024-01-01,7,8,26,30,9,12,3,25,1,0,0,0,0,0,121
MOCOMOCO,atencion odontologica,medidas preventivas,2024-01-01,5,1,4,5,1,2,4,4,0,0,0,0,0,0,26
MOJINETE,atencion odontologica,medidas preventivas,2024-01-01,0,1,3,5,2,1,1,5,0,0,0,0,0,0,18
MOJOCOYA,atencion odontologica,medidas preventivas,2024-01-01,0,2,7,20,12,7,5,19,1,0,0,0,0,0,73
MONTEAGUDO,atencion odontologica,medidas preventivas,2024-01-01,12,5,88,105,23,50,28,55,1,3,0,0,0,0,370
MONTERO,atencion odontologica,medidas preventivas,2024-01-01,51,53,175,221,46,72,56,134,28,27,0,0,0,0,863
MORO MORO,atencion odontologica,medidas preventivas,2024-01-01,3,7,0,0,0,0,0,0,0,0,0,0,0,0,10
MOROCHATA,atencion odontologica,medidas preventivas,2024-01-01,3,5,41,15,2,47,20,33,5,8,0,0,0,0,179
NAZACARA DE PACAJES,atencion odontologica,medidas preventivas,2024-01-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
OCURI,atencion odontologica,medidas preventivas,2024-01-01,3,2,7,21,0,14,9,18,12,21,0,0,0,0,107
OKINAWA,atencion odontologica,medidas preventivas,2024-01-01,4,2,6,7,2,5,3,8,0,4,0,0,0,0,41
OMEREQUE,atencion odontologica,medidas preventivas,2024-01-01,2,2,7,10,1,1,1,0,0,0,0,0,0,0,24
ORURO,atencion odontologica,medidas preventivas,2024-01-01,348,366,1357,1426,716,544,500,856,138,116,0,0,0,0,6367
PADCAYA,atencion odontologica,medidas preventivas,2024-01-01,4,7,30,30,8,5,10,14,0,1,0,0,0,0,109
PADILLA,atencion odontologica,medidas preventivas,2024-01-01,5,19,19,31,24,45,1,17,0,0,0,0,0,0,161
PAILON,atencion odontologica,medidas preventivas,2024-01-01,7,5,30,43,6,9,15,44,4,2,0,0,0,0,165
PALCA,atencion odontologica,medidas preventivas,2024-01-01,27,16,37,30,21,20,3,11,2,0,0,0,0,0,167
PALOS BLANCOS,atencion odontologica,medidas preventivas,2024-01-01,25,28,112,117,34,47,23,80,12,4,0,0,0,0,482
PAMPA AULLAGAS,atencion odontologica,medidas preventivas,2024-01-01,1,0,10,3,7,5,1,3,0,1,0,0,0,0,31
PAMPA GRANDE,atencion odontologica,medidas preventivas,2024-01-01,1,2,6,12,0,7,3,5,0,0,0,0,0,0,36
PAPEL PAMPA,atencion odontologica,medidas preventivas,2024-01-01,6,8,2,6,2,1,0,5,3,2,0,0,0,0,35
PASORAPA,atencion odontologica,medidas preventivas,2024-01-01,1,2,9,19,19,25,3,3,0,2,0,0,0,0,83
PATACAMAYA,atencion odontologica,medidas preventivas,2024-01-01,29,15,38,65,8,4,0,4,1,0,0,0,0,0,164
PAZÑA,atencion odontologica,medidas preventivas,2024-01-01,4,1,21,26,12,2,1,3,0,0,0,0,0,0,70
PELECHUCO,atencion odontologica,medidas preventivas,2024-01-01,16,10,28,27,4,7,9,13,0,1,0,0,0,0,115
POCOATA,atencion odontologica,medidas preventivas,2024-01-01,23,36,52,57,10,33,28,52,9,8,0,0,0,0,308
POCONA,atencion odontologica,medidas preventivas,2024-01-01,1,12,14,30,11,15,12,14,3,2,0,0,0,0,114
POJO (CBBA),atencion odontologica,medidas preventivas,2024-01-01,10,5,33,50,12,17,3,18,0,1,0,0,0,0,149
POOPO,atencion odontologica,medidas preventivas,2024-01-01,8,13,19,35,15,16,22,39,14,19,0,0,0,0,200
PORCO,atencion odontologica,medidas preventivas,2024-01-01,9,21,19,39,3,18,2,44,3,0,0,0,0,0,158
POROMA,atencion odontologica,medidas preventivas,2024-01-01,20,21,3,13,0,2,0,0,0,0,0,0,0,0,59
PORONGO,atencion odontologica,medidas preventivas,2024-01-01,36,33,34,49,16,12,6,20,0,2,0,0,0,0,208
PORTACHUELO,atencion odontologica,medidas preventivas,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PORVENIR,atencion odontologica,medidas preventivas,2024-01-01,13,5,13,34,3,6,1,3,0,0,0,0,0,0,78
POTOSI,atencion odontologica,medidas preventivas,2024-01-01,97,143,394,467,167,255,151,348,46,24,0,0,0,0,2092
PRESTO,atencion odontologica,medidas preventivas,2024-01-01,6,8,17,28,3,11,7,20,0,0,0,0,0,0,100
PUCARANI,atencion odontologica,medidas preventivas,2024-01-01,22,13,21,16,8,12,11,25,3,3,0,0,0,0,134
PUERTO ACOSTA,atencion odontologica,medidas preventivas,2024-01-01,3,8,6,4,8,4,7,11,6,6,0,0,0,0,63
PUERTO CARABUCO,atencion odontologica,medidas preventivas,2024-01-01,3,1,15,5,1,3,2,3,0,0,0,0,0,0,33
PUERTO GONZALO MORENO,atencion odontologica,medidas preventivas,2024-01-01,4,2,14,21,2,9,8,14,0,0,0,0,0,0,74
PUERTO PEREZ,atencion odontologica,medidas preventivas,2024-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
PUERTO QUIJARRO,atencion odontologica,medidas preventivas,2024-01-01,13,23,13,12,7,20,2,19,0,1,0,0,0,0,110
PUERTO RICO,atencion odontologica,medidas preventivas,2024-01-01,9,6,5,5,0,0,1,0,0,0,0,0,0,0,26
PUERTO SUAREZ,atencion odontologica,medidas preventivas,2024-01-01,0,0,2,2,0,0,0,1,0,0,0,0,0,0,5
PUERTO VILLARROEL,atencion odontologica,medidas preventivas,2024-01-01,2,14,66,55,18,31,6,12,3,0,0,0,0,0,207
PUNA,atencion odontologica,medidas preventivas,2024-01-01,6,7,26,16,4,8,5,12,9,11,0,0,0,0,104
PUNATA,atencion odontologica,medidas preventivas,2024-01-01,58,60,226,203,54,104,124,184,47,10,0,0,0,0,1070
QUIABAYA,atencion odontologica,medidas preventivas,2024-01-01,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3
QUILLACOLLO,atencion odontologica,medidas preventivas,2024-01-01,165,138,807,768,320,435,291,789,112,82,0,0,0,0,3907
QUIME,atencion odontologica,medidas preventivas,2024-01-01,8,9,39,76,22,48,17,22,3,3,0,0,0,0,247
QUIRUSILLAS,atencion odontologica,medidas preventivas,2024-01-01,0,6,2,13,6,0,2,8,1,0,0,0,0,0,38
RAVELO,atencion odontologica,medidas preventivas,2024-01-01,16,9,13,0,0,0,0,6,18,8,0,0,0,0,70
REYES,atencion odontologica,medidas preventivas,2024-01-01,0,0,28,21,12,2,7,4,1,1,0,0,0,0,76
RIBERALTA,atencion odontologica,medidas preventivas,2024-01-01,124,105,459,386,202,243,142,387,58,44,0,0,0,0,2150
ROBORE,atencion odontologica,medidas preventivas,2024-01-01,0,28,122,123,41,71,44,49,20,8,0,0,0,0,506
RURRENABAQUE,atencion odontologica,medidas preventivas,2024-01-01,10,12,20,42,9,19,27,28,3,1,0,0,0,0,171
SABAYA,atencion odontologica,medidas preventivas,2024-01-01,11,0,2,8,3,3,0,1,1,0,0,0,0,0,29
SACABA,atencion odontologica,medidas preventivas,2024-01-01,137,168,802,1020,457,546,210,470,65,65,0,0,0,0,3940
SACABAMBA,atencion odontologica,medidas preventivas,2024-01-01,0,0,6,7,3,3,0,0,0,0,0,0,0,0,19
SACACA,atencion odontologica,medidas preventivas,2024-01-01,1,0,9,7,2,3,9,9,3,3,0,0,0,0,46
SALINAS DE GARCI MENDOZA,atencion odontologica,medidas preventivas,2024-01-01,21,17,41,76,8,16,5,24,6,4,0,0,0,0,218
