,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES
ARBIETO,atencion odontologica,consulta repetida,2024-01-01,2,0,2,2,2,1,1,8,1,0,0,0,0,0,19
ARQUE,atencion odontologica,consulta repetida,2024-01-01,0,2,19,35,18,15,23,53,1,6,0,7,0,0,179
ASCENCION DE GUARAYOS,atencion odontologica,consulta repetida,2024-01-01,0,0,5,5,0,7,0,17,1,0,0,7,0,0,42
ATOCHA,atencion odontologica,consulta repetida,2024-01-01,3,5,12,14,25,31,70,83,12,7,0,0,0,0,262
AYO AYO,atencion odontologica,consulta repetida,2024-01-01,1,0,1,1,3,5,9,11,3,2,0,0,0,0,36
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta repetida,2024-01-01,4,0,8,14,8,14,14,27,0,3,0,1,0,0,93
AZURDUY,atencion odontologica,consulta repetida,2024-01-01,5,2,4,8,21,6,2,11,0,0,0,0,0,0,59
BATALLAS,atencion odontologica,consulta repetida,2024-01-01,1,0,4,3,4,9,2,5,4,3,0,0,0,0,35
BAURES,atencion odontologica,consulta repetida,2024-01-01,0,0,1,0,2,1,3,0,0,0,0,0,0,1,8
BELEN DE ANDAMARCA,atencion odontologica,consulta repetida,2024-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
BELEN DE URMIRI,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BERMEJO,atencion odontologica,consulta repetida,2024-01-01,0,4,19,31,5,18,23,32,7,8,0,0,0,0,147
BETANZOS,atencion odontologica,consulta repetida,2024-01-01,7,8,22,37,7,37,23,63,1,0,0,2,0,3,210
BOLIVAR,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BOLPEBRA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,1,0,0,3,0,0,0,1,0,0,5
BOYUIBE,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,4,1,3,13,0,1,0,0,0,0,22
BUENA VISTA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,3,4,2,5,3,0,0,0,0,0,0,17
CABEZAS,atencion odontologica,consulta repetida,2024-01-01,0,0,1,6,4,10,4,8,1,1,0,0,0,0,35
CAIROMA,atencion odontologica,consulta repetida,2024-01-01,3,0,6,9,4,6,2,10,0,1,0,0,0,0,41
"CAIZA ""D""",atencion odontologica,consulta repetida,2024-01-01,2,1,16,9,8,23,5,16,2,2,0,0,0,0,84
CAJUATA,atencion odontologica,consulta repetida,2024-01-01,2,0,2,5,2,1,5,2,0,0,0,0,0,0,19
CALAMARCA,atencion odontologica,consulta repetida,2024-01-01,0,0,1,4,6,10,7,14,1,0,0,0,0,0,43
CAMARGO,atencion odontologica,consulta repetida,2024-01-01,5,1,19,35,7,28,28,57,1,3,0,3,0,0,187
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta repetida,2024-01-01,0,0,2,0,1,2,1,3,0,0,0,0,0,0,9
CAMIRI,atencion odontologica,consulta repetida,2024-01-01,0,11,6,12,4,16,12,16,5,0,0,0,0,0,82
CAPINOTA,atencion odontologica,consulta repetida,2024-01-01,0,0,4,13,6,3,11,14,0,0,0,1,0,0,52
CAQUIAVIRI,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,2,0,3,0,0,0,0,0,0,5
CARACOLLO,atencion odontologica,consulta repetida,2024-01-01,0,1,10,16,15,28,10,44,0,3,0,0,0,0,127
CARANAVI,atencion odontologica,consulta repetida,2024-01-01,2,1,1,4,2,7,10,16,0,1,0,1,0,0,45
CARANGAS,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,0,4,6,0,0,0,0,0,0,10
CARAPARI,atencion odontologica,consulta repetida,2024-01-01,1,0,12,15,5,17,13,39,4,0,0,0,0,0,106
CARIPUYO,atencion odontologica,consulta repetida,2024-01-01,0,0,4,4,11,7,4,11,3,6,0,0,0,0,50
CHALLAPATA,atencion odontologica,consulta repetida,2024-01-01,4,2,12,18,2,15,3,29,4,1,0,0,0,0,90
CHAQUI,atencion odontologica,consulta repetida,2024-01-01,2,1,6,10,2,12,8,22,6,0,0,0,0,0,69
CHARAGUA,atencion odontologica,consulta repetida,2024-01-01,0,0,1,3,0,1,1,2,0,0,0,0,0,0,8
CHAYANTA,atencion odontologica,consulta repetida,2024-01-01,2,7,14,2,1,2,0,6,0,0,0,0,0,0,34
CHIMORE,atencion odontologica,consulta repetida,2024-01-01,0,0,3,3,1,7,3,5,0,0,0,0,0,0,22
CHOQUE COTA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,4,3,2,0,0,0,0,0,0,9
CHUA COCANI,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,2,0,5,6,2,0,0,0,0,0,15
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta repetida,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta repetida,2024-01-01,0,0,11,2,8,19,6,16,0,0,0,0,0,0,62
CKOCHAS,atencion odontologica,consulta repetida,2024-01-01,0,0,1,1,0,6,0,0,0,0,0,0,0,0,8
CLIZA,atencion odontologica,consulta repetida,2024-01-01,1,2,2,10,4,7,7,18,8,3,0,0,0,0,62
COBIJA,atencion odontologica,consulta repetida,2024-01-01,3,8,46,48,67,48,66,91,12,2,0,1,0,0,392
COCAPATA,atencion odontologica,consulta repetida,2024-01-01,17,16,19,21,5,16,24,35,3,4,0,3,0,0,163
COCHABAMBA,atencion odontologica,consulta repetida,2024-01-01,184,169,842,811,730,671,1346,1826,323,318,0,14,0,0,7234
COIPASA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
COLCAPIRHUA,atencion odontologica,consulta repetida,2024-01-01,1,0,8,7,3,5,6,12,0,2,0,0,0,0,44
"COLCHA ""K""",atencion odontologica,consulta repetida,2024-01-01,0,0,1,1,2,2,3,7,0,0,0,0,0,0,16
COLLANA,atencion odontologica,consulta repetida,2024-01-01,0,0,4,2,0,0,0,0,0,0,0,0,0,0,6
COLOMI,atencion odontologica,consulta repetida,2024-01-01,1,0,6,7,2,4,1,12,0,0,0,0,0,0,33
COLPA BELGICA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6
COLQUECHACA,atencion odontologica,consulta repetida,2024-01-01,0,0,16,21,7,37,6,28,2,0,0,0,0,0,117
COLQUENCHA,atencion odontologica,consulta repetida,2024-01-01,0,0,4,3,7,9,9,17,0,0,0,0,0,0,49
COLQUIRI,atencion odontologica,consulta repetida,2024-01-01,4,10,4,4,13,12,16,26,1,0,0,0,0,0,90
COMARAPA,atencion odontologica,consulta repetida,2024-01-01,0,1,27,15,26,12,5,31,1,5,0,0,0,0,123
CONCEPCION,atencion odontologica,consulta repetida,2024-01-01,6,0,0,0,0,0,0,1,0,0,0,0,0,0,7
COPACABANA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CORIPATA,atencion odontologica,consulta repetida,2024-01-01,1,1,0,5,7,4,11,15,3,0,0,0,0,0,47
CORO CORO,atencion odontologica,consulta repetida,2024-01-01,0,0,3,0,2,11,6,14,0,3,0,1,0,0,40
CORQUE,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,2,1,0,1,0,0,0,0,0,4
COTAGAITA,atencion odontologica,consulta repetida,2024-01-01,9,8,45,43,39,61,43,100,15,3,0,8,0,0,374
COTOCA,atencion odontologica,consulta repetida,2024-01-01,2,10,0,0,1,0,2,2,0,0,0,0,0,0,17
CUATRO CAÑADAS,atencion odontologica,consulta repetida,2024-01-01,3,14,7,3,1,4,6,13,0,0,0,0,0,0,51
CUEVO,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,6,5,2,18,2,0,0,0,0,0,33
CULPINA,atencion odontologica,consulta repetida,2024-01-01,0,4,11,5,5,21,9,27,2,4,0,0,0,0,88
CURAHUARA DE CARANGAS,atencion odontologica,consulta repetida,2024-01-01,0,0,1,5,1,4,6,14,1,1,0,1,0,0,34
CURVA,atencion odontologica,consulta repetida,2024-01-01,0,0,2,2,0,0,0,2,0,0,0,0,0,0,6
DESAGUADERO,atencion odontologica,consulta repetida,2024-01-01,0,0,3,1,3,2,4,4,1,2,0,0,0,0,20
EL ALTO,atencion odontologica,consulta repetida,2024-01-01,82,90,205,269,136,171,228,387,68,34,0,39,0,1,1710
EL CHORO,atencion odontologica,consulta repetida,2024-01-01,0,0,1,2,2,0,0,4,1,1,0,0,0,0,11
EL PUENTE(STC),atencion odontologica,consulta repetida,2024-01-01,2,0,2,5,4,0,1,11,0,0,0,0,0,0,25
EL PUENTE(TJA),atencion odontologica,consulta repetida,2024-01-01,1,0,1,0,1,1,3,4,1,1,0,0,0,0,13
EL TORNO,atencion odontologica,consulta repetida,2024-01-01,13,15,15,13,10,15,10,19,8,5,0,3,0,6,132
EL VILLAR,atencion odontologica,consulta repetida,2024-01-01,1,2,0,6,11,9,11,16,0,0,0,1,0,0,57
ENTRE RIOS TRJ,atencion odontologica,consulta repetida,2024-01-01,10,4,12,11,17,24,27,21,0,0,0,0,0,0,126
ENTRE RIOS CBBA,atencion odontologica,consulta repetida,2024-01-01,1,0,0,6,2,4,9,7,2,0,0,1,0,2,34
ESCOMA,atencion odontologica,consulta repetida,2024-01-01,0,0,1,1,4,5,3,6,3,0,0,0,0,0,23
EUCALIPTUS,atencion odontologica,consulta repetida,2024-01-01,0,0,6,11,2,3,0,5,0,0,0,0,0,0,27
EXALTACION,atencion odontologica,consulta repetida,2024-01-01,3,0,3,8,7,0,0,6,0,0,0,0,0,0,27
FERNANDEZ ALONSO,atencion odontologica,consulta repetida,2024-01-01,0,0,0,4,3,2,3,5,0,1,0,0,0,0,18
GAIOC JATUN AYLLU YURA,atencion odontologica,consulta repetida,2024-01-01,0,2,0,6,1,2,7,5,0,0,0,0,0,0,23
GENERAL SAAVEDRA,atencion odontologica,consulta repetida,2024-01-01,1,0,0,3,2,3,2,14,1,0,0,0,0,0,26
GUANAY,atencion odontologica,consulta repetida,2024-01-01,3,0,3,8,6,8,6,19,0,1,0,0,0,0,54
GUAQUI,atencion odontologica,consulta repetida,2024-01-01,0,0,0,3,5,6,6,13,0,0,0,1,0,1,35
GUAYARAMERIN,atencion odontologica,consulta repetida,2024-01-01,1,1,1,1,1,1,7,3,0,0,0,0,0,0,16
HUACARAJE,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,1,3,3,0,0,0,0,0,0,7
HUACARETA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,2,1,1,1,0,0,0,0,0,0,0,5
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,2,2,0,1,0,0,0,0,0,5
HUACHACALLA,atencion odontologica,consulta repetida,2024-01-01,0,0,2,0,0,0,2,0,0,2,0,0,0,0,6
HUANUNI,atencion odontologica,consulta repetida,2024-01-01,10,8,17,24,12,24,10,27,3,4,0,1,0,0,140
HUARINA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,2,1,0,2,1,0,0,0,0,0,0,6
HUMANATA,atencion odontologica,consulta repetida,2024-01-01,7,3,22,11,8,11,19,25,10,11,0,0,0,0,127
ICLA,atencion odontologica,consulta repetida,2024-01-01,0,4,1,8,0,6,4,2,0,0,0,0,0,0,25
INCAHUASI,atencion odontologica,consulta repetida,2024-01-01,0,0,3,3,3,2,0,15,1,4,0,0,0,0,31
INQUISIVI,atencion odontologica,consulta repetida,2024-01-01,0,0,0,2,2,0,4,3,0,0,0,1,0,0,12
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta repetida,2024-01-01,0,0,0,4,0,5,0,0,0,0,0,0,0,0,9
IXIAMAS,atencion odontologica,consulta repetida,2024-01-01,0,0,0,2,0,4,0,1,0,0,0,0,0,0,7
JESUS DE MACHACA,atencion odontologica,consulta repetida,2024-01-01,0,0,1,0,1,6,4,6,0,0,0,0,0,0,18
LA ASUNTA,atencion odontologica,consulta repetida,2024-01-01,4,1,6,8,15,12,8,20,2,0,0,1,0,0,77
LA GUARDIA,atencion odontologica,consulta repetida,2024-01-01,5,5,6,16,6,2,3,15,0,3,0,0,0,0,61
LA PAZ,atencion odontologica,consulta repetida,2024-01-01,243,255,1048,1143,568,666,1182,1883,407,334,0,10,0,0,7739
LAGUNILLAS,atencion odontologica,consulta repetida,2024-01-01,0,0,4,0,3,2,1,5,0,2,0,0,0,0,17
LAJA,atencion odontologica,consulta repetida,2024-01-01,3,6,7,9,8,2,4,6,3,4,0,0,0,0,52
LAS CARRERAS,atencion odontologica,consulta repetida,2024-01-01,0,0,3,9,4,5,28,58,1,0,0,2,0,0,110
LLALLAGUA,atencion odontologica,consulta repetida,2024-01-01,0,0,1,12,21,34,11,49,0,4,0,2,0,0,134
LURIBAY,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,5,1,0,0,0,0,0,0,0,0,6
MACHACAMARCA,atencion odontologica,consulta repetida,2024-01-01,0,0,6,7,2,12,5,12,6,6,0,0,0,0,56
MACHARETI,atencion odontologica,consulta repetida,2024-01-01,3,4,5,8,2,1,2,11,0,0,0,7,0,0,43
MAIRANA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6
MALLA,atencion odontologica,consulta repetida,2024-01-01,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3
MECAPACA,atencion odontologica,consulta repetida,2024-01-01,1,1,2,10,1,15,18,14,0,0,0,0,0,0,62
MINEROS,atencion odontologica,consulta repetida,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MIZQUE,atencion odontologica,consulta repetida,2024-01-01,2,2,23,33,6,25,10,29,14,2,0,0,0,0,146
MOCOMOCO,atencion odontologica,consulta repetida,2024-01-01,0,0,2,0,4,1,1,3,0,1,0,0,0,0,12
MOJINETE,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
MOJOCOYA,atencion odontologica,consulta repetida,2024-01-01,0,0,11,27,3,12,10,43,1,1,0,0,0,0,108
MONTEAGUDO,atencion odontologica,consulta repetida,2024-01-01,4,1,16,14,6,2,20,9,4,0,0,0,0,2,78
MONTERO,atencion odontologica,consulta repetida,2024-01-01,4,5,21,30,12,24,17,43,12,8,0,1,0,0,177
MORO MORO,atencion odontologica,consulta repetida,2024-01-01,0,2,0,0,0,0,4,5,0,0,0,0,0,0,11
MOROCHATA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,3,1,1,2,0,0,0,0,0,7
NAZACARA DE PACAJES,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
OCURI,atencion odontologica,consulta repetida,2024-01-01,0,0,2,10,1,8,7,13,0,1,0,2,0,2,46
OKINAWA,atencion odontologica,consulta repetida,2024-01-01,0,0,1,2,3,4,3,15,0,0,0,0,0,0,28
OMEREQUE,atencion odontologica,consulta repetida,2024-01-01,4,1,3,2,1,0,0,2,1,0,0,0,0,0,14
ORURO,atencion odontologica,consulta repetida,2024-01-01,132,132,473,554,272,399,535,979,173,116,0,17,0,13,3795
PADCAYA,atencion odontologica,consulta repetida,2024-01-01,0,0,4,8,3,8,8,28,1,0,0,0,0,0,60
PADILLA,atencion odontologica,consulta repetida,2024-01-01,0,0,3,0,0,6,1,6,0,0,0,0,0,0,16
PAILON,atencion odontologica,consulta repetida,2024-01-01,0,5,5,7,8,2,2,7,0,0,0,0,0,0,36
PALCA,atencion odontologica,consulta repetida,2024-01-01,0,1,14,7,3,13,18,14,0,0,0,0,0,0,70
PALOS BLANCOS,atencion odontologica,consulta repetida,2024-01-01,0,0,0,5,2,10,0,8,0,0,0,1,0,0,26
PAMPA AULLAGAS,atencion odontologica,consulta repetida,2024-01-01,0,0,2,0,4,0,1,17,0,5,0,0,0,0,29
PAMPA GRANDE,atencion odontologica,consulta repetida,2024-01-01,1,0,2,5,1,3,5,24,0,2,0,6,0,0,49
PASORAPA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,4,0,0,1,7,1,1,0,0,0,0,14
PATACAMAYA,atencion odontologica,consulta repetida,2024-01-01,1,1,1,8,12,10,5,16,0,0,0,0,0,0,54
PAZÑA,atencion odontologica,consulta repetida,2024-01-01,0,0,1,1,2,3,2,4,0,1,0,0,0,0,14
POCOATA,atencion odontologica,consulta repetida,2024-01-01,0,0,2,3,0,4,1,10,0,0,0,0,0,0,20
POCONA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,1,0,7,1,5,0,0,0,0,0,0,14
POJO (CBBA),atencion odontologica,consulta repetida,2024-01-01,1,1,6,4,0,1,3,7,1,0,0,1,0,0,25
POOPO,atencion odontologica,consulta repetida,2024-01-01,1,0,4,9,7,8,14,26,1,4,0,0,0,0,74
PORCO,atencion odontologica,consulta repetida,2024-01-01,13,13,21,50,7,35,7,60,1,0,0,23,0,0,230
POROMA,atencion odontologica,consulta repetida,2024-01-01,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3
PORONGO,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,0,2,5,0,0,0,0,0,0,7
PORTACHUELO,atencion odontologica,consulta repetida,2024-01-01,1,0,1,0,1,0,1,0,3,0,0,0,0,0,7
PORVENIR,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
POTOSI,atencion odontologica,consulta repetida,2024-01-01,92,135,328,463,216,371,325,628,44,29,0,4,0,3,2638
PRESTO,atencion odontologica,consulta repetida,2024-01-01,0,1,4,5,0,5,5,2,0,0,0,0,0,0,22
PUCARA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PUCARANI,atencion odontologica,consulta repetida,2024-01-01,0,0,0,3,0,7,1,5,2,2,0,0,0,0,20
PUERTO ACOSTA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,3,3,1,0,3,8,9,0,0,0,0,27
PUERTO CARABUCO,atencion odontologica,consulta repetida,2024-01-01,0,0,4,6,5,9,9,7,4,0,0,0,0,0,44
PUERTO QUIJARRO,atencion odontologica,consulta repetida,2024-01-01,1,4,0,1,1,0,0,4,1,0,0,0,0,0,12
PUERTO RICO,atencion odontologica,consulta repetida,2024-01-01,0,0,0,2,4,5,9,19,1,7,0,0,0,0,47
PUERTO SUAREZ,atencion odontologica,consulta repetida,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PUERTO VILLARROEL,atencion odontologica,consulta repetida,2024-01-01,0,0,2,2,4,2,5,2,0,0,0,0,0,0,17
PUNA,atencion odontologica,consulta repetida,2024-01-01,0,0,3,0,0,5,3,8,0,1,0,0,0,0,20
PUNATA,atencion odontologica,consulta repetida,2024-01-01,8,2,21,19,5,12,17,34,12,1,0,0,0,0,131
QUIABAYA,atencion odontologica,consulta repetida,2024-01-01,0,0,1,0,1,0,2,2,0,0,0,0,0,0,6
QUILLACOLLO,atencion odontologica,consulta repetida,2024-01-01,16,7,45,65,29,38,36,87,13,15,0,10,0,0,361
QUIME,atencion odontologica,consulta repetida,2024-01-01,1,0,4,2,6,7,3,7,1,0,0,0,0,0,31
QUIRUSILLAS,atencion odontologica,consulta repetida,2024-01-01,0,0,3,1,3,1,1,8,0,1,0,0,0,0,18
RAVELO,atencion odontologica,consulta repetida,2024-01-01,0,3,11,7,14,14,2,17,1,0,0,1,0,4,74
REYES,atencion odontologica,consulta repetida,2024-01-01,0,2,46,37,14,3,23,29,9,6,0,0,0,0,169
RIBERALTA,atencion odontologica,consulta repetida,2024-01-01,4,5,43,38,20,31,42,57,5,7,0,6,0,0,258
ROBORE,atencion odontologica,consulta repetida,2024-01-01,1,9,33,21,20,14,32,36,18,12,0,0,0,0,196
RURRENABAQUE,atencion odontologica,consulta repetida,2024-01-01,0,0,10,9,4,16,7,15,0,2,0,0,0,0,63
SABAYA,atencion odontologica,consulta repetida,2024-01-01,3,0,4,4,2,3,0,5,0,0,0,0,0,0,21
SACABA,atencion odontologica,consulta repetida,2024-01-01,2,9,34,55,20,23,31,86,26,12,0,0,0,0,298
SACABAMBA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3
SACACA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta repetida,2024-01-01,5,2,2,3,8,8,19,20,8,0,0,1,0,0,76
SAMAIPATA,atencion odontologica,consulta repetida,2024-01-01,0,0,1,2,3,0,0,8,0,0,0,0,0,0,14
SAN ANTONIO DE ESMORUCO,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
SAN BENITO,atencion odontologica,consulta repetida,2024-01-01,1,1,2,7,5,6,3,8,3,2,0,0,0,0,38
SAN BORJA,atencion odontologica,consulta repetida,2024-01-01,16,2,8,14,10,19,23,22,3,3,0,0,0,0,120
SAN BUENA VENTURA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
SAN CARLOS,atencion odontologica,consulta repetida,2024-01-01,0,0,0,2,0,1,0,1,0,0,0,0,0,0,4
SAN IGNACIO,atencion odontologica,consulta repetida,2024-01-01,0,0,1,1,1,0,6,3,0,1,0,0,0,0,13
SAN IGNACIO DE VELASCO,atencion odontologica,consulta repetida,2024-01-01,0,1,11,5,6,10,11,25,5,2,0,0,0,0,76
SAN JAVIER(STC),atencion odontologica,consulta repetida,2024-01-01,4,11,9,2,8,6,1,10,0,0,0,0,0,0,51
SAN JOAQUIN,atencion odontologica,consulta repetida,2024-01-01,2,0,2,5,8,2,22,9,0,0,0,2,0,1,53
SAN JULIAN,atencion odontologica,consulta repetida,2024-01-01,0,2,4,3,6,0,3,2,0,1,0,0,0,0,21
SAN LORENZO(TJA),atencion odontologica,consulta repetida,2024-01-01,1,0,14,26,11,29,20,56,2,7,0,1,0,0,167
SAN LUCAS,atencion odontologica,consulta repetida,2024-01-01,12,10,6,8,5,6,12,12,0,0,0,0,0,0,71
SAN MATIAS,atencion odontologica,consulta repetida,2024-01-01,0,1,11,2,6,8,7,34,18,0,0,0,0,0,87
SAN MIGUEL DE VELASCO,atencion odontologica,consulta repetida,2024-01-01,0,0,0,4,8,2,0,4,1,0,0,0,0,0,19
SAN PABLO DE LIPEZ,atencion odontologica,consulta repetida,2024-01-01,0,0,0,1,0,0,1,5,0,0,0,0,0,0,7
SAN PEDRO,atencion odontologica,consulta repetida,2024-01-01,0,0,5,5,11,8,8,33,8,1,0,0,0,2,81
SAN PEDRO DE BUENA VISTA,atencion odontologica,consulta repetida,2024-01-01,4,0,8,16,24,10,6,18,0,4,0,0,0,4,94
SAN PEDRO DE CURAHUARA,atencion odontologica,consulta repetida,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SAN PEDRO DE MACHA,atencion odontologica,consulta repetida,2024-01-01,1,1,14,31,54,27,23,82,7,9,0,1,0,0,250
SAN PEDRO DE QUEMES,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SAN RAFAEL,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SANTA ANA,atencion odontologica,consulta repetida,2024-01-01,0,3,2,1,0,1,0,0,0,0,0,0,0,0,7
SANTA CRUZ DE LA SIERRA,atencion odontologica,consulta repetida,2024-01-01,206,160,644,566,269,317,933,1726,212,277,0,13,0,1,5324
SANTA ROSA,atencion odontologica,consulta repetida,2024-01-01,10,1,3,4,4,1,14,6,0,0,0,1,0,0,44
SANTA ROSA DEL SARA,atencion odontologica,consulta repetida,2024-01-01,0,0,4,1,0,12,0,50,0,0,0,0,0,0,67
SANTIAGO DE HUARI,atencion odontologica,consulta repetida,2024-01-01,2,1,4,8,0,3,7,14,2,14,0,1,0,0,56
SANTIAGO DE MACHACA,atencion odontologica,consulta repetida,2024-01-01,0,0,0,2,1,1,0,2,0,1,0,0,0,0,7
SANTIVAÑES,atencion odontologica,consulta repetida,2024-01-01,1,0,2,5,2,0,1,11,7,3,0,0,0,1,33
SANTUARIO DE QUILLACAS,atencion odontologica,consulta repetida,2024-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
SAPAHAQUI,atencion odontologica,consulta repetida,2024-01-01,0,0,1,0,0,4,2,3,1,0,0,0,0,0,11
