,group,variable,month,TOTAL 1613 PERSONAS CON DISCAPACIDAD CANTIDAD,TOTAL 1613 PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,0.0,1.0,1.0
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,2.0,0.0,2.0
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,1.0,2.0
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,10.0,7.0,17.0
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,2.0,3.0
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,0.0,1.0
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,0.0,1.0
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,29.0,14.0,43.0
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,2.0,0.0,2.0
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,18.0,18.0,36.0
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,0.0,1.0,1.0
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,0.0,1.0
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,0.0,1.0
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,2.0,3.0
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-01-01,1.0,0.0,1.0
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,0.0,1.0,1.0
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,0.0,2.0,2.0
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,2.0,1.0,3.0
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,1.0,1.0,2.0
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,1.0,0.0,1.0
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,3.0,1.0,4.0
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,0.0,1.0,1.0
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,33.0,55.0,88.0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,61.0,48.0,109.0
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,0.0,1.0,1.0
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,1.0,0.0,1.0
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,0.0,1.0,1.0
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,1.0,3.0,4.0
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,1.0,0.0,1.0
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,2.0,0.0,2.0
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,0.0,1.0,1.0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,18.0,15.0,33.0
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,0.0,1.0,1.0
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,1.0,0.0,1.0
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,0.0,1.0,1.0
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,51.0,28.0,79.0
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,4.0,18.0,22.0
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,1.0,0.0,1.0
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,2.0,2.0,4.0
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,0.0,1.0,1.0
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,0.0,2.0,2.0
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,3.0,0.0,3.0
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,4.0,2.0,6.0
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,2.0,2.0,4.0
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,0.0,1.0,1.0
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,2.0,2.0,4.0
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,3.0,0.0,3.0
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,0.0,2.0,2.0
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,9.0,12.0,21.0
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,2.0,2.0,4.0
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,0.0,1.0,1.0
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,1.0,1.0,2.0
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,64.0,50.0,114.0
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,0.0,2.0,2.0
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,12.0,10.0,22.0
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,2.0,1.0,3.0
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,2.0,3.0,5.0
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,1.0,0.0,1.0
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-02-01,1.0,0.0,1.0
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,0.0,1.0
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,0.0,3.0,3.0
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,0.0,1.0,1.0
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,2.0,0.0,2.0
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,0.0,1.0
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,2.0,1.0,3.0
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,1.0,2.0
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,3.0,1.0,4.0
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,0.0,1.0,1.0
COCAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,2.0,0.0,2.0
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,13.0,29.0,42.0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,11.0,2.0,13.0
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,2.0,0.0,2.0
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,0.0,8.0,8.0
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,2.0,0.0,2.0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,17.0,15.0,32.0
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,2.0,3.0
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,0.0,1.0
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,0.0,1.0
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,0.0,1.0
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,61.0,30.0,91.0
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,0.0,1.0
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,1.0,2.0
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,6.0,11.0,17.0
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,2.0,2.0,4.0
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,0.0,1.0,1.0
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,2.0,1.0,3.0
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,0.0,1.0,1.0
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,0.0,1.0
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,2.0,1.0,3.0
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,0.0,1.0,1.0
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,0.0,2.0,2.0
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,2.0,1.0,3.0
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,0.0,1.0
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,0.0,1.0,1.0
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,2.0,0.0,2.0
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,0.0,1.0,1.0
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,0.0,1.0
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,8.0,15.0,23.0
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,5.0,6.0
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,0.0,1.0
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,121.0,130.0,251.0
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,0.0,1.0,1.0
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,0.0,1.0
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,2.0,3.0
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-03-01,1.0,0.0,1.0
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,0.0,1.0
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,1.0,2.0
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,3.0,0.0,3.0
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,0.0,1.0,1.0
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,1.0,2.0
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,0.0,1.0,1.0
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,3.0,0.0,3.0
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,0.0,1.0
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,19.0,29.0,48.0
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,0.0,1.0,1.0
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,2.0,3.0
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,3.0,1.0,4.0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,11.0,10.0,21.0
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,0.0,1.0,1.0
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,0.0,5.0,5.0
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,0.0,1.0,1.0
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,2.0,0.0,2.0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,14.0,14.0,28.0
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,0.0,1.0
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,1.0,2.0
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,0.0,1.0
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,3.0,0.0,3.0
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,49.0,23.0,72.0
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,0.0,1.0,1.0
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,4.0,6.0,10.0
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,2.0,2.0,4.0
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,2.0,3.0
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,2.0,4.0,6.0
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,0.0,2.0,2.0
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,0.0,1.0,1.0
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,0.0,1.0
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,3.0,2.0,5.0
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,0.0,1.0
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,2.0,0.0,2.0
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,3.0,3.0,6.0
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,0.0,1.0
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,3.0,2.0,5.0
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,9.0,7.0,16.0
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,4.0,5.0
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,0.0,1.0
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,0.0,1.0
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,2.0,1.0,3.0
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,0.0,1.0,1.0
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,0.0,1.0,1.0
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,175.0,158.0,333.0
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,0.0,1.0,1.0
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,3.0,0.0,3.0
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,17.0,4.0,21.0
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,0.0,1.0,1.0
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,1.0,2.0
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-04-01,1.0,0.0,1.0
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,0.0,2.0,2.0
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,2.0,1.0,3.0
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,2.0,3.0
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,1.0,2.0
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,2.0,3.0
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,0.0,4.0,4.0
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,1.0,2.0
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,0.0,1.0
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,0.0,1.0,1.0
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,4.0,11.0,15.0
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,0.0,1.0,1.0
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,2.0,0.0,2.0
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,8.0,9.0,17.0
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,4.0,0.0,4.0
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,0.0,1.0,1.0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,80.0,44.0,124.0
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,2.0,1.0,3.0
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,2.0,1.0,3.0
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,2.0,0.0,2.0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,16.0,7.0,23.0
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,0.0,1.0
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,0.0,1.0,1.0
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,0.0,1.0,1.0
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,45.0,14.0,59.0
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,7.0,2.0,9.0
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,0.0,1.0,1.0
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,2.0,5.0,7.0
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,2.0,1.0,3.0
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,1.0,1.0,2.0
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,0.0,2.0,2.0
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       personas con discapacidad,2014-05-01,3.0,1.0,4.0
