,group,variable,month,TOTAL 16.6 HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,TOTAL 16.6 HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,7,28,35
CHOQUE COTA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,5,9
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,2,5
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,26,34,60
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,161,200,361
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,3,5
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,2,3
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,17,26,43
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,0,2
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,2,3
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,14,10,24
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,7,7
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,13,9,22
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,4,7
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,12,13,25
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,24,28,52
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,6,10
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,2,3
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,2,3
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,0,2
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,8,11
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,696,501,1197
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,6,9,15
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,40,43,83
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,5,12,17
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,2,2
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,3,4
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,3,4
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,9,10,19
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,3,5
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,1,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,6,17,23
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,12,7,19
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,4,5
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,2,6
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,31,18,49
HUATAJATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,0,1
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,3,5
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,5,3,8
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,4,6
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,4,7
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,6,1,7
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,1,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,45,77,122
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,595,862,1457
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,7,20,27
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,9,12
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,9,13,22
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,4,8
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,0,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,2,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,0,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,9,21,30
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,8,5,13
MAPIRI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,0,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,1,3
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,1,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,20,29,49
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,33,54,87
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,1,3
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,10,0,10
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,192,136,328
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,0,1
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,12,6,18
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
PAMPA AULLAGAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,10,12
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,0,2
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,24,13,37
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,12,14,26
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,23,15,38
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,8,0,8
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,108,138,246
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,0,2
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,0,4
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,6,3,9
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,3,4
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,5,5,10
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,2,3
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,3,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,13,15
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,13,32,45
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,23,48,71
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,4,7
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,5,9
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,9,29,38
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,42,32,74
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,86,128,214
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,5,9
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,11,16,27
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,4,7
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,2,2
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,5,2,7
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,7,8,15
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,2,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,2,5
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,7,17,24
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,5,6
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,38,53,91
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,8,18,26
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,30,41,71
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,1,4
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,9,11,20
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,15,16,31
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,1,3
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,2,3
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,7,10,17
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,0,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,3,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,1,3
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,13,5,18
SAN PEDRO DE TIQUINA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,2,5
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,5,9,14
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,14,18
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,15,23,38
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1474,2493,3967
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,34,32,66
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,12,17,29
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,4,4
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,2,3
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,4,4
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,2,6
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,4,8
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,0,3
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,1,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,7,9
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,4,7
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,0,1
TACOBAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,1,2
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,5,9,14
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,79,218,297
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,7,2,9
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,1,4
TINGUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,3,6
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,2,4,6
TITO YUPANQUI (PARQUIPUJIO),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,1,2
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,3,7
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,15,19
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,0,1,1
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,223,423,646
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,1,4
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,0,1
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,14,3,17
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,7,10,17
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,34,41,75
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,18,15,33
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,7,15,22
VILLA CHARCAS,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,4,3,7
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,53,46,99
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,5,6,11
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,3,3,6
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,18,31,49
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,14,0,14
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,19,23,42
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",       hipertension arterial sistemica en mayores de 5 anos,2014-01-01,1,1,2
