,group,variable,month,TOTAL 16.4 CÁNCER OTROS CANTIDAD,TOTAL 16.4 CÁNCER OTROS CANTIDAD,TOTALES
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-01-01,6,8,14
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,15,20,35
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,1,1,2
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,2,2,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,219,122,341
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,6,9,15
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,0,1,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,0,2,2
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,78,51,129
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,2,1,3
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,0,4,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,2,1,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,1,1,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,0,10,10
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,144,177,321
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,0,1,1
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,1,0,1
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,3,2,5
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,4,13,17
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,2,1,3
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,0,1,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-02-01,1,0,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,1,0,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,2,1,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,1,1,2
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,3,1,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,124,89,213
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,0,2,2
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,1,1,2
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,5,10,15
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,5,1,6
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,44,35,79
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,2,1,3
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,4,7,11
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,0,2,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,3,0,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,2,0,2
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,2,0,2
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,0,5,5
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,1,0,1
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,129,197,326
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,1,0,1
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,7,10,17
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,7,13,20
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,1,10,11
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,1,2,3
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-03-01,10,14,24
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,2,2
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,1,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,1,0,1
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,154,143,297
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,1,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,5,8,13
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,11,14,25
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,1,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,1,2,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,49,45,94
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,1,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,3,3,6
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,4,4
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,5,3,8
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,2,2
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,1,1
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,2,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,6,6
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,147,326,473
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,7,9,16
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,2,4,6
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,2,1,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-04-01,1,91,92
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,0,2,2
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,1,4,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,100,160,260
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,11,12,23
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,0,1,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,69,41,110
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,1,0,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,1,0,1
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,4,3,7
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,1,3,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,4,2,6
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,4,9,13
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,1,3,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,0,2,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,2,1,3
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,2,1,3
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,0,1,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,132,247,379
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,0,3,3
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,8,13,21
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,3,4,7
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,1,2,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,0,4,4
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-05-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,0,1,1
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,117,141,258
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,4,2,6
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,8,10,18
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,6,3,9
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,0,2,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,0,1,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,0,8,8
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,62,40,102
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,3,4,7
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,2,5,7
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,6,0,6
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,1,4,5
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,1,1,2
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,163,181,344
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,0,2,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,7,11,18
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,0,1,1
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,2,4,6
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,5,0,5
VILLA CHARCAS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,0,4,4
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-06-01,1,1,2
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,0,2,2
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,154,235,389
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,7,5,12
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,2,0,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,14,12,26
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,1,1,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,1,1,2
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,63,65,128
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,0,1,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,2,4,6
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,5,4,9
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,3,6,9
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,5,3,8
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,0,3,3
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,292,354,646
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       cancer otros,2014-07-01,1,1,2
