,group,variable,month,TOTAL 1610 EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,TOTAL 1610 EPISODIOS DEPRESIVOS / ANSIEDAD CANTIDAD,TOTALES
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,121,230,351
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,1,0,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,20,13,33
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,46,72,118
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,2,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,2,3,5
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,4,16,20
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,1,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,2,2,4
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,7,8,15
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,1,2,3
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,1,0,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,4,0,4
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-01-01,0,4,4
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,2,2
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,2,2
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,2,7,9
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,2,2
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,0,1
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,4,5
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,6,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,47,113,160
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,23,47,70
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,1,2
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,2,3
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,4,8,12
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,70,169,239
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,1,1
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,2,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,5,6
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,3,3
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,2,1,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,11,11
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,2,0,2
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,19,29,48
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,0,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,3,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,5,5,10
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,3,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,3,4
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,3,3
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,2,1,3
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,2,2,4
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,102,252,354
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,2,3
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,35,87,122
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,6,10,16
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,2,3
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,2,6,8
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,8,9
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,1,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,3,2,5
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,1,2,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,18,75,93
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-02-01,7,3,10
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,2,2
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,4,4
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,4,4
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,8,9
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,2,2
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,8,9
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,47,116,163
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,2,2,4
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,9,35,44
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,0,1
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,10,11
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,78,186,264
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,2,3
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,0,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,1,2
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,5,6,11
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,3,3,6
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,12,13
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,3,6,9
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,2,3
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,3,7,10
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,1,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,3,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,1,2
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,82,172,254
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,9,15,24
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,1,2
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,42,80,122
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,4,9,13
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,4,7,11
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,2,1,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,0,2,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,1,2,3
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,10,16,26
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-03-01,5,9,14
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,2,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,1,0,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,3,7,10
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,2,2
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,1,1,2
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,1,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,2,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,1,3,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,56,130,186
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,1,1
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,1,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,9,64,73
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,1,0,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,5,5
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,2,0,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,5,13,18
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,109,145,254
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,1,2,3
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,5,5
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,5,5
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,7,6,13
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,6,11,17
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,1,0,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,3,4,7
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,2,13,15
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,2,3,5
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,2,6,8
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,1,1,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,2,2
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,1,0,1
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,3,1,4
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,1,1,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,2,2
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,2,5,7
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,2,3,5
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,173,261,434
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,1,1
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,2,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,3,3
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,44,102,146
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,0,1,1
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,1,1,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       episodios depresivos / ansiedad,2014-04-01,1,13,14
