,group,variable,month,TOTAL 16.8 ABUSO DE ALCOHOL CANTIDAD,TOTAL 16.8 ABUSO DE ALCOHOL CANTIDAD,TOTALES
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,2,0,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,70,38,108
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,3,0,3
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,0,1,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,0,4,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,94,10,104
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,3,3,6
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,192,225,417
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,2,0,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,2,1,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,4,0,4
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,1,0,1
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,2,0,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,3,3,6
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-01-01,23,5,28
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,0,2,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,1,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,2,0,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,2,0,2
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,0,1,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,4,5,9
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,27,33,60
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,0,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,3,0,3
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,41,26,67
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,6,0,6
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,2,0,2
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,2,0,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,3,3,6
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,100,125,225
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,2,0,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,22,44,66
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,6,2,8
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,2,1,3
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,20,10,30
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,3,2,5
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,2,0,2
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,2,1,3
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,3,0,3
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,0,2,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,2,0,2
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,2,0,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,0,2,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,64,29,93
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,6,0,6
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,78,25,103
TITO YUPANQUI (PARQUIPUJIO),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,0,1
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,2,7,9
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,1,2
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,2,0,2
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,5,0,5
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,4,2,6
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,3,2,5
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-02-01,9,5,14
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,4,0,4
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,1,2
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,3,1,4
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,9,2,11
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,18,8,26
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,2,0,2
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,0,1,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,0,1,1
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,31,12,43
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,5,5,10
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,118,82,200
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,2,0,2
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,2,0,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,30,5,35
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,2,1,3
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,5,2,7
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,54,12,66
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,3,1,4
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,2,0,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,2,1,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,2,0,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,9,0,9
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,2,0,2
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,1,2
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,3,0,3
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,71,32,103
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,3,3,6
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,2,0,2
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,77,18,95
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,3,4
TODOS SANTOS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,0,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,1,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,10,1,11
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,7,0,7
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,2,1,3
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,3,2,5
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,3,0,3
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,2,1,3
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,1,2,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-03-01,4,5,9
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,2,0,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,2,0,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,2,1,3
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,2,2,4
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,5,6,11
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,25,121,146
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,3,0,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,21,5,26
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,4,1,5
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,7,3,10
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,106,49,155
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,2,0,2
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,3,0,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,7,4,11
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,10,2,12
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,33,13,46
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,2,0,2
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,3,0,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,12,1,13
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,1,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,3,1,4
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,3,0,3
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,6,1,7
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,2,0,2
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,4,2,6
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,58,32,90
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,2,0,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,76,17,93
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,2,0,2
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,3,1,4
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,2,0,2
VILLA CHARCAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,10,1,11
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-04-01,1,0,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,2,0,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,7,8
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,2,0,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,3,0,3
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,0,1,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,0,1
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       abuso de alcohol,2014-05-01,11,6,17
