,group,variable,month,TOTAL 1612 TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,TOTAL 1612 TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,TOTALES
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,2,7,9
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,1,2,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,15,5,20
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,36,39,75
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,1,2,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,2,0,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-02-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,0,1,1
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,12,2,14
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,11,15,26
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,5,2,7
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,1,1,2
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,14,10,24
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,48,36,84
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,0,1,1
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,0,2,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,3,1,4
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-03-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-04-01,0,1,1
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-04-01,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-04-01,4,3,7
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-04-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-04-01,11,16,27
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-04-01,3,1,4
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-04-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-04-01,3,7,10
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-04-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-04-01,3,2,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-04-01,2,0,2
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-04-01,8,10,18
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-04-01,69,41,110
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-04-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-04-01,2,1,3
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,1,0,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,3,6,9
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,8,5,13
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,4,9,13
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,3,3,6
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,5,7,12
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,0,2,2
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,4,0,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,6,5,11
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,72,53,125
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,3,1,4
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-05-01,1,0,1
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-06-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-06-01,7,7,14
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-06-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-06-01,10,12,22
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-06-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-06-01,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-06-01,11,8,19
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-06-01,4,0,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-06-01,7,2,9
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-06-01,4,2,6
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-06-01,5,24,29
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-06-01,25,12,37
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-06-01,70,49,119
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-06-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-06-01,0,0,0
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-06-01,1,0,1
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,1,1,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,7,2,9
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,18,27,45
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,3,3,6
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,3,2,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,4,5,9
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,0,6,6
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,11,10,21
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,66,48,114
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,1,3,4
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,1,4,5
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,0,0,0
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-07-01,2,1,3
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,0,1,1
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,6,3,9
CUCHUMUELA (V. G. VILLARROEL),"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,0,0,0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,3,8,11
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,1,4,5
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,2,7,9
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,6,7,13
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,11,5,16
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,4,3,7
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,53,32,85
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,3,0,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,1,1,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,0,0,0
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-08-01,1,2,3
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,2,0,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,2,1,3
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,10,3,13
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,6,12,18
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,1,2,3
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,11,2,13
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,4,3,7
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,2,4,6
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,21,15,36
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,46,37,83
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,0,1,1
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,0,0,0
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-09-01,2,2,4
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-10-01,0,1,1
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-10-01,1,2,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-10-01,0,0,0
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-10-01,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-10-01,0,0,0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-10-01,41,8,49
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-10-01,0,0,0
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-10-01,3,1,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-10-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-10-01,3,6,9
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-10-01,3,0,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-10-01,3,2,5
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-10-01,10,6,16
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-10-01,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-10-01,5,2,7
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-10-01,7,6,13
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-11-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-11-01,2,1,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-11-01,25,1,26
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-11-01,3,0,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-11-01,1,0,1
QUIABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       trastornos de comportamiento y consumo de sustancias psicoactivas,2014-11-01,0,1,1
