,group,variable,month,TOTAL 16.5 DIABETES MELLITUS I - II CANTIDAD,TOTAL 16.5 DIABETES MELLITUS I - II CANTIDAD,TOTALES
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,5.0,6.0
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,2.0,2.0
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,0.0,1.0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,95.0,205.0,300.0
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,2.0,3.0
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,39.0,40.0,79.0
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,5.0,12.0,17.0
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,1.0,3.0
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,5.0,9.0,14.0
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,9.0,23.0,32.0
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,1.0,3.0
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,14.0,15.0,29.0
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,0.0,2.0
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,21.0,46.0,67.0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,248.0,384.0,632.0
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,2.0,4.0
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,8.0,9.0
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,0.0,1.0
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,7.0,2.0,9.0
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,6.0,5.0,11.0
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,0.0,1.0
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,0.0,1.0
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,13.0,15.0,28.0
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,45.0,96.0,141.0
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,135.0,162.0,297.0
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,0.0,1.0
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,4.0,4.0
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,8.0,9.0
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,12.0,14.0,26.0
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,5.0,6.0
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,57.0,111.0,168.0
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,3.0,5.0
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,4.0,6.0
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,3.0,9.0,12.0
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,8.0,15.0,23.0
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,21.0,33.0,54.0
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,2.0,2.0
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,10.0,10.0,20.0
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,15.0,19.0,34.0
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,39.0,93.0,132.0
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,0.0,1.0
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,22.0,32.0,54.0
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,5.0,5.0
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
SAN ANTONIO DE LOMERIO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,2.0,2.0
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,0.0,1.0
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,6.0,12.0,18.0
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,8.0,10.0
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,11.0,25.0,36.0
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,3.0,3.0,6.0
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,48.0,27.0,75.0
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,3.0,2.0,5.0
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,7.0,20.0,27.0
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,4.0,6.0,10.0
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,1.0,2.0
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,3.0,8.0,11.0
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,3.0,3.0
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,3.0,7.0,10.0
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,2.0,2.0
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,3.0,5.0,8.0
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,5.0,13.0,18.0
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,7.0,15.0,22.0
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,949.0,1499.0,2448.0
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,4.0,21.0,25.0
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,7.0,9.0
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,1.0,2.0
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,4.0,6.0
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,3.0,2.0,5.0
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,5.0,7.0
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,53.0,115.0,168.0
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,2.0,4.0
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,4.0,5.0
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,4.0,4.0
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,1.0,1.0
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,2.0,3.0
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,75.0,156.0,231.0
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,5.0,5.0
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,17.0,34.0,51.0
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,8.0,12.0,20.0
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,50.0,67.0,117.0
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,19.0,25.0,44.0
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,0.0,3.0,3.0
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,13.0,44.0,57.0
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,4.0,11.0,15.0
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,5.0,5.0,10.0
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,18.0,26.0,44.0
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,2.0,0.0,2.0
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,4.0,7.0,11.0
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,57.0,107.0,164.0
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,3.0,7.0,10.0
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-01-01,1.0,0.0,1.0
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,1.0,1.0
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,5.0,17.0,22.0
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,3.0,3.0
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,3.0,3.0
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,1.0,1.0
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,3.0,2.0,5.0
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,0.0,1.0
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,4.0,2.0,6.0
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,37.0,57.0,94.0
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,10.0,11.0
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,1.0,2.0
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,3.0,11.0,14.0
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,2.0,2.0
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,4.0,7.0,11.0
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,27.0,44.0,71.0
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,3.0,4.0,7.0
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,3.0,4.0
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,2.0,15.0,17.0
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,0.0,1.0
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,31.0,42.0,73.0
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,349.0,336.0,685.0
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,4.0,10.0,14.0
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,2.0,1.0,3.0
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,3.0,3.0
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,4.0,13.0,17.0
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,2.0,2.0
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,0.0,1.0
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,0.0,1.0
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,7.0,8.0
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,11.0,19.0,30.0
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,2.0,14.0,16.0
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,7.0,8.0
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,2.0,2.0
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,3.0,3.0,6.0
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,66.0,158.0,224.0
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,1.0,1.0
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,3.0,7.0,10.0
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,5.0,8.0,13.0
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,1.0,2.0
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,0.0,1.0
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,1.0,1.0
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,4.0,8.0,12.0
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,1.0,1.0
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,11.0,17.0,28.0
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,5.0,5.0,10.0
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,15.0,21.0,36.0
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,5.0,0.0,5.0
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,23.0,51.0,74.0
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,215.0,322.0,537.0
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,5.0,6.0,11.0
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,2.0,3.0
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,7.0,8.0,15.0
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,3.0,8.0,11.0
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,4.0,6.0,10.0
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,1.0,1.0
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,14.0,18.0,32.0
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,47.0,89.0,136.0
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,1.0,1.0
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,3.0,6.0,9.0
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,111.0,120.0,231.0
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,0.0,1.0
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,5.0,6.0
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,1.0,2.0
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,15.0,24.0,39.0
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,4.0,4.0
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,2.0,2.0
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,63.0,71.0,134.0
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,0.0,1.0,1.0
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,0.0,1.0
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,2.0,2.0,4.0
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,2.0,2.0,4.0
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,7.0,8.0
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,1.0,2.0,3.0
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,6.0,3.0,9.0
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,4.0,13.0,17.0
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       diabetes mellitus i - ii,2014-02-01,2.0,1.0,3.0
