,group,variable,month,TOTAL 16.2 REUMÁTICAS CANTIDAD,TOTAL 16.2 REUMÁTICAS CANTIDAD,TOTALES
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,2,2
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,9,15,24
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,1,2
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,1,4
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,7,10
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,1,2
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,7,4,11
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,8,7,15
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,9,33,42
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,1,4
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,3,4
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,4,7,11
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,4,3,7
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,4,5,9
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,216,408,624
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,0,1
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,2,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,33,29,62
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,4,4
ESCARA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,3,4
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,6,17,23
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,4,9,13
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,1,2
GUANAY,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,5,8
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,7,10
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,4,9,13
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,2,3
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,16,32,48
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,41,23,64
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,6,8
HUATAJATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,9,5,14
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,8,19,27
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,17,31,48
ICHOCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,8,8,16
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,4,6
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,4,5,9
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,0,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,3,4
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,20,32,52
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,182,525,707
LA RIVERA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,4,4
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,8,10
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,29,15,44
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,2,4
LLICA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,1,2
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,20,9,29
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,0,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,1,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,5,3,8
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,1,2
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,22,29,51
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,1,3
MOCOMOCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,5,7
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,8,16,24
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,7,13,20
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,26,47,73
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,3,3
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,2,2
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,81,109,190
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,0,1
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,0,2
PAMPA AULLAGAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,2,2
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,13,24,37
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,4,6
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,4,9,13
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,8,11
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,1,2
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,1,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,12,8,20
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,10,13,23
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,9,4,13
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,28,46,74
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,7,7,14
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,33,40,73
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,9,21,30
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,13,18,31
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,7,5,12
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,36,55,91
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,3,3
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,4,1,5
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,22,35,57
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,14,22,36
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,15,38,53
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,0,1
RAVELO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,1,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,4,7
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,11,17,28
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,15,17,32
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,4,7
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,13,37,50
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,20,21,41
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,3,3
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,6,8,14
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,7,9
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,0,3
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,8,6,14
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,13,34,47
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,5,8
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,4,7,11
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,29,35,64
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,6,6
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,13,12,25
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,17,26,43
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,9,4,13
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,0,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,36,69,105
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,10,21,31
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,8,7,15
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,13,3,16
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,3,3
SAN PEDRO DE TIQUINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,5,4,9
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,4,2,6
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,1,2
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,6,8
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,13,12,25
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,355,749,1104
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,23,33,56
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,6,10,16
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,5,7
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,4,4,8
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,4,4,8
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,2,3
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,38,49,87
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,7,5,12
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,3,3
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,7,10
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,8,16,24
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,39,32,71
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,3,3
TACOBAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,3,3
TAHUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,1,2
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,17,22,39
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,53,54,107
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,30,97,127
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,11,25,36
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,15,37,52
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,0,2,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,7,15,22
TITO YUPANQUI (PARQUIPUJIO),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,0,1
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,1,2
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,15,23,38
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,5,8
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,0,1
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,2,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,24,52,76
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,6,7
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,34,50,84
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,9,23,32
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,4,3,7
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,1,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,6,9
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,6,25,31
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,6,2,8
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,9,10,19
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,3,7,10
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,5,7
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,3,5
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,2,1,3
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,6,15,21
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,5,4,9
YUNGUYO DE LITORAL,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-01-01,6,4,10
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,6,7
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,12,20,32
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,10,11,21
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,2,2,4
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,4,3,7
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,1,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,4,5,9
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,8,15,23
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,25,14,39
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,3,4,7
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,14,21,35
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,14,15,29
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,23,34,57
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,21,24,45
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,30,26,56
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,31,71,102
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,9,5,14
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,4,5
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,17,23,40
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,10,30,40
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,12,0,12
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,2,2
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,5,5
CHACARILLA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,2,2
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,8,9
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,10,11,21
CHIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,3,4
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,12,15,27
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,3,5,8
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,2,7,9
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,19,24,43
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,151,319,470
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,1,1
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,9,9,18
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,3,4
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,6,11,17
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,4,5
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,11,16,27
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,4,4,8
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,7,3,10
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,4,6,10
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,9,19,28
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,0,1,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,6,8,14
CUEVO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,3,4
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,8,14,22
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,2,1,3
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,5,6,11
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,197,388,585
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,3,4
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       reumaticas,2014-02-01,1,7,8
