,group,variable,month,TOTAL 16.9 HABITO DE FUMAR CANTIDAD,TOTAL 16.9 HABITO DE FUMAR CANTIDAD,TOTALES
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,3,0,3
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,5,1,6
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,2,0,2
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,2,3,5
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,1,0,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,1,4,5
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,0,1,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,2,0,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,0,3,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,16,4,20
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,2,1,3
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,12,0,12
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-02-01,0,1,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,7,0,7
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,5,7,12
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,3,4,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,1,2,3
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,3,0,3
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,5,0,5
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,2,0,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,5,3,8
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,10,14,24
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,4,0,4
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,3,0,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,15,52,67
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,12,0,12
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,3,0,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,3,0,3
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,1,1,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,9,0,9
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,33,21,54
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,6,0,6
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,10,3,13
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,0,1,1
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,2,1,3
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-03-01,3,0,3
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,5,7,12
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,0,3,3
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,2,1,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,9,6,15
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,1,0,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,2,0,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,7,5,12
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,2,0,2
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,16,16,32
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,3,2,5
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,3,10,13
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,5,0,5
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,2,2,4
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,17,2,19
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,6,0,6
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,1,2,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,21,51,72
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,5,4,9
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,1,0,1
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-04-01,13,0,13
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,1,2,3
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,5,7,12
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,1,0,1
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,5,1,6
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,8,5,13
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,5,4,9
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,3,1,4
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,7,9,16
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,3,0,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,10,19,29
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,4,0,4
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,5,0,5
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,1,0,1
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,1,0,1
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,3,1,4
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,18,2,20
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,0,1,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,2,0,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,2,1,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,1,0,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,35,21,56
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,9,3,12
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,3,1,4
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-05-01,5,2,7
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,5,7,12
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,2,0,2
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,2,0,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,5,0,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,6,7,13
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,7,2,9
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,7,2,9
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,4,0,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,29,15,44
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,6,1,7
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,23,49,72
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,9,0,9
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,1,0,1
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,1,0,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,2,1,3
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,3,0,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,5,2,7
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,6,1,7
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,86,43,129
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,9,6,15
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-06-01,3,0,3
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,1,2,3
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,1,0,1
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,0,1,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,2,3,5
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,1,3,4
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,3,0,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,1,0,1
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,3,0,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,2,0,2
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,20,19,39
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,1,0,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,0,1,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,3,0,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,10,0,10
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,5,1,6
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,19,44,63
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,0,10,10
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,2,0,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,0,1,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,6,0,6
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,2,0,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,12,0,12
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,0,1,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,6,0,6
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,1,0,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,2,0,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,115,52,167
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,27,6,33
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,2,0,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,3,1,4
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-07-01,15,5,20
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,0,1,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,5,7,12
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,2,1,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,2,0,2
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,12,0,12
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,4,5,9
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,3,0,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,6,16,22
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,1,0,1
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,21,13,34
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,5,10,15
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,3,1,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,27,38,65
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,16,0,16
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,3,0,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,2,0,2
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,3,0,3
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,6,0,6
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,71,34,105
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,7,0,7
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,2,2,4
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,2,1,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-08-01,5,0,5
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,5,7,12
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,7,2,9
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,9,3,12
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,2,0,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,1,0,1
FILADELFIA,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,3,3,6
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,11,6,17
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       habito de fumar,2014-09-01,1,0,1
