,group,variable,month,TOTAL 16.1 CARDIOVASCULARES CANTIDAD,TOTAL 16.1 CARDIOVASCULARES CANTIDAD,TOTALES
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,7,11,18
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,9,11,20
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,6,7
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,4,3,7
IXIAMAS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,2,3,5
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,19,24,43
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,155,317,472
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,5,4,9
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,2,3
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,10,8,18
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,3,2,5
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,0,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,2,5,7
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,13,19,32
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,19,22,41
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,10,10,20
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,38,38,76
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,3,5,8
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,1,2
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,5,5,10
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,6,0,6
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,6,3,9
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,0,1
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,8,9,17
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,56,79,135
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,3,1,4
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,2,12,14
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,4,0,4
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,0,1
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,1,2
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,4,5
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,4,3,7
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,2,3
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,3,4,7
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,2,2
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,7,5,12
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,13,10,23
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,0,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,6,2,8
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,5,5
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,4,3,7
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,7,5,12
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,3,4
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,11,1,12
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,0,1
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,2,1,3
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,4,1,5
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,7,4,11
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,11,5,16
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,0,1
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,3,3,6
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,403,430,833
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,4,5,9
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,2,2
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,0,1
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,4,4,8
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,0,1
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,5,6,11
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,3,4
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,2,1,3
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,23,16,39
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,2,3
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,52,41,93
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,2,1,3
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,3,4
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,4,5
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,257,490,747
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,15,18,33
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,4,1,5
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,9,19,28
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,14,17,31
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,17,19,36
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,2,3
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,1,2,3
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,8,6,14
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,29,30,59
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,5,4,9
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,72,90,162
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,15,3,18
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-01-01,4,5,9
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,2,0,2
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,4,4,8
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,2,2,4
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,1,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,3,4
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,3,2,5
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,3,1,4
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,11,37,48
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,9,30,39
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,3,4,7
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,4,0,4
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,4,1,5
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,5,6,11
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,40,28,68
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,3,4
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,8,4,12
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,2,5,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,43,51,94
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,8,4,12
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,9,2,11
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,10,12,22
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,4,3,7
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,339,342,681
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,1,2
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,5,4,9
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,4,6,10
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,1,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,6,6,12
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,25,32,57
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,3,8,11
HUATAJATA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,0,2,2
ICHOCA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,2,3
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,5,10,15
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,19,22,41
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,195,316,511
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,0,2,2
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,0,1,1
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,4,4,8
LLICA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,2,1,3
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,0,2,2
LURIBAY,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,2,0,2
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,3,6,9
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,2,2,4
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,4,4,8
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,4,4,8
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,6,4,10
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,7,14,21
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,44,40,84
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,9,35,44
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,2,0,2
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,22,17,39
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,51,79,130
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,4,3,7
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,3,1,4
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,1,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,3,4,7
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,3,4
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,8,11,19
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,71,78,149
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,2,0,2
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,7,9,16
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,0,1,1
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,2,5,7
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,4,2,6
QUIABAYA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,3,3,6
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,1,2
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,2,2,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,5,5,10
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,6,7
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,4,4,8
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,8,6,14
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,2,4,6
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,3,0,3
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,0,1,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,1,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,3,4,7
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,6,7,13
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,9,10,19
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,1,2
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,1,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,2,4,6
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,7,13,20
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,5,14,19
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,3,4
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,7,11,18
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,4,1,5
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,0,2,2
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,3,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,649,931,1580
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,2,3,5
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,0,1,1
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,3,9,12
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,1,1,2
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,8,14,22
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,3,0,3
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,51,48,99
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,4,6,10
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,2,3,5
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",       cardiovasculares,2014-02-01,2,16,18
