,group,variable,month,TOTAL 16.7 SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,TOTAL 16.7 SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,4,7,11
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,3,1,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,53,263,316
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,1,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,2,3,5
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,54,38,92
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,1,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,5,5,10
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,2,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,15,67,82
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,4,33,37
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,0,1
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,1,2
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,2,3
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,2,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,4,5
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,12,30,42
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,0,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,9,18,27
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,201,452,653
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,6,9,15
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,3,4
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,1,1
SENA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,8,8
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,12,56,68
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,6,6
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,2,2
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,51,215,266
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,7,8,15
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,12,57,69
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,6,7,13
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,3,8,11
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,252,560,812
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,23,53,76
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,2,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,194,252,446
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,0,3,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,5,3,8
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,2,1,3
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,1,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,2,4,6
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,9,22,31
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-01-01,31,8,39
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,39,90,129
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,3,3
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,16,27,43
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,3,4
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,44,144,188
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,6,6,12
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,3,0,3
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,11,13,24
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,0,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,13,158,171
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,106,593,699
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,0,1
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,2,3
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,1,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,2,2,4
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,89,449,538
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,2,13,15
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,2,0,2
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,1,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,3,2,5
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,2,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,246,843,1089
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,3,7,10
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,6,7
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,6,11,17
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,3,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,85,484,569
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,0,1
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,2,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,3,2,5
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,9,122,131
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,1,2
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,3,7,10
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,2,12,14
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,3,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,8,49,57
REYES,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,4,5,9
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,8,70,78
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,7,17,24
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,6,23,29
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,4,6,10
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,193,800,993
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,3,8,11
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,5,3,8
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,41,42
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,0,1
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,2,2,4
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
TACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,83,260,343
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,4,5
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,15,10,25
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,5,5
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,2,1,3
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,1,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,389,568,957
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,18,0,18
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,0,6,6
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,1,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,4,4,8
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,2,3,5
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,5,6,11
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,4,8,12
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,11,50,61
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-02-01,1,0,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,4,4,8
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,5,18,23
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,2,2
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,39,67,106
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,3,18,21
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,1,2,3
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,1,1
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,2,1,3
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,79,283,362
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,95,587,682
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,1,1
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,1,0,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,1,5,6
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,2,6,8
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,148,579,727
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,7,5,12
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,8,11,19
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,1,1
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,5,5
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,3,10,13
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,3,3,6
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,2,3,5
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,2,2,4
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,212,812,1024
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,1,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,1,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,1,1
MOCOMOCO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,2,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,4,9,13
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,16,20,36
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,74,462,536
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,1,1
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,1,1
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,3,2,5
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,2,5,7
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,2,0,2
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,1,3,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,16,110,126
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",       sobrepeso en mayores de 5 anos,2014-03-01,0,1,1
