,group,variable,month,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTALES
PUERTO QUIJARRO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,4,2,6
QUILLACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,8,4,12
REYES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,0,1,1
RIBERALTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,1,2
SACABA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,3,8,11
SAN ANDRES DE MACHACA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,3,1,4
SAN CARLOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,0,2,2
SAN JULIAN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,1,2
SAN LUCAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,3,2,5
SAN PEDRO(PND),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,88,61,149
SANTA ROSA DEL SARA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,1,2
SANTIAGO DE HUATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
SIPE SIPE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,2,0,2
SUCRE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,4,5,9
TARIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,4,3,7
TEOPONTE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,0,1,1
TIPUANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,5,0,5
TIQUIPAYA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,2,0,2
TRINIDAD,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,6,3,9
VALLEGRANDE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
VIACHA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,2,0,2
VILLA RIVERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,4,1,5
VILLAZON,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,2,0,2
VINTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,2,3
WARNES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,4,4,8
YACUIBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,8,5,13
YANACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,1,0,1
YAPACANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,5,0,5
YOTALA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-01-01,0,1,1
ACHACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,1,2
ALTO BENI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
ARBIETO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,3,4
BUENA VISTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,0,1,1
CABEZAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,0,1,1
CARACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,0,1,1
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,10,3,13
CARAPARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,0,1,1
CHARAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,0,1,1
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,3,1,4
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,22,15,37
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
COLOMI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
CORIPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,4,3,7
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,4,2,6
CUATRO CAÑADAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,2,3
CULPINA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,0,1,1
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,30,16,46
EL VILLAR,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,4,0,4
EUCALIPTUS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
GUANAY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,2,0,2
INCAHUASI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,0,1,1
LA ASUNTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,1,2
LA GUARDIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,6,2,8
LA PAZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,18,4,22
LLALLAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
MINEROS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
MONTERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,7,7,14
ORURO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,9,3,12
PALOS BLANCOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,0,2,2
PAMPA GRANDE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,2,0,2
POJO (CBBA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
PORTACHUELO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,1,2
PORVENIR,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,1,2
POTOSI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,8,1,9
PUERTO QUIJARRO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
PUERTO RICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,5,3,8
QUILLACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,6,5,11
REYES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,5,2,7
SACABA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,4,4,8
SAN BORJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,2,2,4
SAN CARLOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,1,2
SAN JULIAN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,3,0,3
SAN LUCAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,1,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
SAN PEDRO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,112,54,166
SANTA ROSA DEL SARA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,2,0,2
SHINAOTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,2,0,2
SIPE SIPE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
SORATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,2,0,2
SUCRE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,3,5,8
TARABUCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
TARIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,6,7
TIQUIPAYA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,0,2,2
TRINIDAD,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,8,6,14
VIACHA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,2,0,2
VILLA MONTES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,6,0,6
VILLA TUNARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,5,0,5
VILLAZON,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,2,3
VINTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,2,1,3
WARNES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,7,1,8
YACUIBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,3,1,4
YAMPARAEZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,1,1,2
YANACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,0,1,1
YAPACANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-02-01,8,3,11
ACHACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,0,1
ACHOCALLA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,1,2
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,3,5,8
CABEZAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,1,2
CAMARGO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,2,0,2
CAMIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,2,3
CAPINOTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,1,1
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,5,1,6
CARMEN RIVERO TORREZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,0,1
CHALLAPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,0,1
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,3,4,7
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,5,3,8
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,25,12,37
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,1,1
COLOMI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,0,1
COLQUECHACA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,1,1
CONCEPCION,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,1,1
CORIPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,2,0,2
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,1,1
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,5,6,11
CUATRO CAÑADAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,2,0,2
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,28,13,41
EL TORNO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,2,3
ENTRE RIOS TRJ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,1,1
GUANAY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,3,1,4
GUAYARAMERIN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,0,1
GUTIERREZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,0,1
HUACARETA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,0,1
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,0,1
INCAHUASI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,2,2
LA GUARDIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,6,7,13
LA PAZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,61,49,110
LAGUNILLAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,1,1
LAS CARRERAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,1,1
LLALLAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,3,0,3
MAPIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,2,0,2
MINEROS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,1,2
MIZQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,1,1
MONTERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,11,5,16
OKINAWA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,1,1
ORURO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,6,1,7
PALOS BLANCOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,2,2
POTOSI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,2,1,3
PUERTO PEREZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,6,2,8
PUNATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,4,1,5
RIBERALTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,4,2,6
RURRENABAQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,1,2
SACABA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,5,0,5
SAN BENITO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,1,1
SAN BUENA VENTURA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,3,0,3
SAN JULIAN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,4,0,4
SAN LORENZO(TJA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,1,2
SAN LUCAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,3,0,3
SAN MATIAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,1,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,94,47,141
SHINAOTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,3,1,4
SICAYA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,0,1
SIPE SIPE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,3,1,4
SORATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,1,2
SUCRE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,6,6,12
TAPACARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,0,1
TARIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,2,2
TEOPONTE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,1,2
TIPUANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,0,1
TOMINA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,2,0,2
TRINIDAD,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,5,1,6
TUPIZA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,2,2
VILLA MONTES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,3,0,3
VILLA TUNARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,3,2,5
VINTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,3,1,4
WARNES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,1,4,5
YACUIBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,9,5,14
YAPACANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,4,1,5
YOCALLA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-03-01,0,1,1
ACHOCALLA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,3,0,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,1,0,1
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,2,1,3
BOYUIBE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,1,0,1
BUENA VISTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,2,0,2
CAMIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,1,2,3
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,3,4,7
CARAPARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,2,0,2
CHARAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,1,1,2
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,1,0,1
CLIZA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,1,1,2
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,6,1,7
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,21,7,28
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,1,0,1
COLQUIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,1,0,1
CONCEPCION,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,0,1,1
COPACABANA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,0,1,1
CORIPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,5,1,6
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,1,0,1
COTAGAITA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,1,0,1
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,2,7,9
CULPINA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2019-04-01,1,0,1
