,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-05-01,2,1,3
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-05-01,1,0,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-05-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-06-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-06-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-06-01,0,0,0
PORVENIR,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-06-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-06-01,1,0,1
RAVELO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-06-01,1,0,1
SANTIAGO DE HUARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-06-01,1,0,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-06-01,3,1,4
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-06-01,0,1,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-07-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-07-01,0,0,0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-07-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-07-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-07-01,2,1,3
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-07-01,0,1,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-07-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-07-01,1,1,2
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-08-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-08-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-08-01,2,0,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-08-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-08-01,1,0,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-08-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-08-01,1,0,1
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-09-01,1,0,1
CAIROMA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-09-01,1,0,1
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-09-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-09-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-09-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-09-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-09-01,2,0,2
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-09-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-09-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-09-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-09-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-09-01,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-09-01,1,0,1
ARAMPAMPA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-10-01,0,1,1
CAIROMA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-10-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-10-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-10-01,0,1,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-10-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-10-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-11-01,1,0,1
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-11-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-11-01,2,0,2
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-11-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-11-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-11-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-12-01,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-12-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-12-01,0,1,1
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-12-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2019-12-01,1,0,1
