,group,variable,month,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-09-01,4,5,9
TARIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-09-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-09-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-09-01,0,1,1
AUCAPATA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-10-01,0,1,1
CARANAVI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-10-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-10-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-10-01,1,0,1
SACABA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-10-01,3,6,9
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-11-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-11-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-11-01,2,6,8
SHINAOTA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-11-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-11-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-11-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-12-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-12-01,1,0,1
SACABA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2019-12-01,2,5,7
