,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,2,2
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,11,3,14
OCURI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,10,5,15
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,3,1,4
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,3,0,3
PORCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,66,20,86
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,2,0,2
PUERTO CARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,4,2,6
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,6,3,9
QUIME,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
REYES,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,1,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,3,8,11
SAN ANDRES DE MACHACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,3,0,3
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,1,2
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,3,2,5
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,2,0,2
SAN PEDRO DE TIQUINA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
SAN PEDRO(PND),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,110,75,185
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,2,1,3
SANTIAGO DE HUATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,1,2
SICA SICA (VILLA AROMA),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,5,5,10
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,2,6,8
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,5,0,5
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,2,3
TOMAVE,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,7,2,9
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,2,1,3
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,2,2,4
VILLA RIVERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,6,1,7
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,2,3
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,6,7,13
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,8,5,13
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,5,0,5
YOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,0,1,1
YUNCHARA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-01-01,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,1,2
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
ARBIETO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,0,2
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,2,3
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,1,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,1,1
CARACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,9,1,10
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,0,2
CHIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,1,1
CHUMA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,1,1
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,1,3
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,1,3
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,22,24,46
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,2,4
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,0,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,4,2,6
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,2,3
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,35,17,52
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
EL VILLAR,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,4,0,4
EUCALIPTUS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,0,2
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,1,1
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,1,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,7,2,9
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,88,55,143
LICOMA PAMPA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
MALLA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,8,5,13
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,9,3,12
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,1,1
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,3,4
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,2,2
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,0,2
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
PORCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,1,2
PORVENIR,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,1,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,12,8,20
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
PUERTO RICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,5,3,8
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,5,6,11
QUIME,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
REYES,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,4,2,6
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,4,5,9
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,3,5
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,1,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,3,0,3
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,1,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,1,2
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,3,3
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,3,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,107,55,162
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,0,2
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,0,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,4,6
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,7,9
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,1,3
TIRAQUE (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,2,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,8,3,11
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,2,4
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,1,3
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,4,0,4
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,5,0,5
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,2,4
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,2,1,3
VITICHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,8,2,10
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,3,2,5
YAMPARAEZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,1,0,1
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-02-01,8,3,11
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,1,2
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,2,3,5
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,1,2
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,2,0,2
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,2,3
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,5,1,6
CARMEN RIVERO TORREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,3,4,7
CHUMA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,5,3,8
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,25,13,38
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,2,0,2
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,2,0,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,5,6,11
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,2,0,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,23,18,41
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,2,0,2
EL PUENTE(TJA),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,2,3
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,3,1,4
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
HUACARETA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
ICHOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,2,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,3,3
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,7,8,15
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,92,56,148
LAS CARRERAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,3,0,3
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,2,0,2
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,1,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,10,7,17
OMEREQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,4,1,5
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,2,0,2
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,3,3
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,2,3
PELECHUCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,5,1,6
PRESTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
PUERTO PEREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,6,2,8
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,6,1,7
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,5,2,7
ROBORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
SABAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,5,0,5
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,1,0,1
SAN BENITO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,4,0,4
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,4,0,4
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema i,2019-03-01,2,1,3
