,group,variable,month,DPT 2DA DOSIS,DPT 2DA DOSIS,TOTALES,TOTALES,TOTALES
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,12,5,12,5,17
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,10,0,10,0,10
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,20,0,20,0,20
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,3,0,3,0,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,1,0,1,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,3,0,3,0,3
PAILON,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,5,0,5,5
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,1,0,1,0,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,5,0,5,5
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,3,0,3,0,3
PUNATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,1,0,1,0,1
REYES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,2,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,15,3,15,3,18
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,4,0,4,0,4
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,4,0,4,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,1,0,1,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,1,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,1,0,1,0,1
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,52,24,52,24,76
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,1,0,1,0,1
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,2,0,2,0,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,3,0,3,0,3
TURCO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,1,0,1,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,0,18,0,18,18
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,1,2,1,2,3
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,10,0,10,0,10
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,1,0,1,0,1
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-03-01,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,3,0,3,0,3
BERMEJO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,3,0,3,0,3
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,2,0,2,0,2
CALACOTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,3,0,3,3
CHAQUI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,3,0,3,3
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,1,12,1,12,13
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,3,6,3,6,9
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,11,8,11,8,19
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,1,0,1,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,2,1,2,1,3
COMANCHE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,2,0,2,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,1,0,1,1
COPACABANA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,6,0,6,0,6
COROICO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,1,0,1,0,1
CORQUE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,2,0,2,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,19,1,19,1,20
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,1,0,1,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,1,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,6,0,6,6
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,1,0,1,0,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,1,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,3,0,3,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,21,7,21,7,28
MIZQUE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,3,1,3,1,4
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,11,0,11,0,11
PADCAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,1,0,1,0,1
PADILLA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,2,0,2,2
PAILON,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,3,0,3,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,2,0,2,0,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,4,0,4,0,4
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,1,0,1,0,1
PUNA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,2,0,2,0,2
RAVELO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,8,12,8,12,20
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,5,0,5,0,5
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,2,2,2,2,4
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,2,0,2,0,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,2,0,2,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,5,0,5,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,3,0,3,3
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,44,19,44,19,63
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,1,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,2,5,2,5,7
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,1,1,1,1,2
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,2,0,2,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,6,1,6,1,7
TAPACARI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,2,0,2,0,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,10,0,10,0,10
UNCIA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,1,5,1,5,6
VIACHA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,6,0,6,6
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,1,1,1,1,2
YOTALA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-04-01,0,1,0,1,1
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,4,0,4,0,4
ARQUE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,4,0,4,0,4
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,1,0,1,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,2,16,2,16,18
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,6,2,6,2,8
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,2,0,2,0,2
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,14,0,14,0,14
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,2,0,2,0,2
CORIPATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,1,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,3,0,3,0,3
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,10,0,10,10
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,1,0,1,1
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,3,0,3,3
CUEVO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,37,7,37,7,44
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,1,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,3,0,3,0,3
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,11,0,11,11
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,1,0,1,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,4,0,4,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,17,6,17,6,23
MINEROS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,1,0,1,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,8,0,8,8
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,1,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,8,41,8,41,49
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,5,0,5,5
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,3,2,3,2,5
PORCO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,2,0,2,0,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,2,0,2,2
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,5,0,5,0,5
PUNATA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,2,0,2,0,2
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,29,2,29,2,31
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,1,2,1,2,3
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,12,0,12,0,12
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,3,0,3,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 2da dosis,2011-05-01,1,0,1,0,1
