,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS,ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES,TOTALES,TOTALES
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,1,0,1,0,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,0,5,0,5,5
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,1,0,1,0,1
REYES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,2,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,2,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,3,1,3,1,4
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,0,4,0,4,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,0,1,0,1,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,0,1,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,37,9,37,9,46
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,0,5,0,5,5
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,1,0,1,0,1
TURCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,0,2,0,2,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,1,2,1,2,3
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,2,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,8,0,8,0,8
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-03-01,1,0,1,0,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,7,0,7,7
CAJUATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,5,0,5,0,5
CHAQUI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,11,8,11,8,19
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,1,0,1,1
COMANCHE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,2,0,2,2
CORQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,2,0,2,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,10,1,10,1,11
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,1,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,6,6,6,6,12
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,1,0,1,0,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,15,7,15,7,22
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,5,0,5,0,5
MACHARETI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,5,0,5,5
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,2,0,2,0,2
PADCAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,1,0,1,0,1
PADILLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,2,0,2,2
PAILON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,3,0,3,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,2,0,2,0,2
RAVELO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,12,0,12,12
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,4,0,4,0,4
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,2,2,2,2,4
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,2,0,2,2
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,44,19,44,19,63
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,1,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,2,5,2,5,7
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,1,1,1,1,2
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,2,0,2,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,3,3,3,3,6
TAPACARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,1,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,2,1,2,1,3
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,2,0,2,0,2
UNCIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,2,0,2,0,2
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-04-01,1,1,1,1,2
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,0,1,0,1
ARQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,4,0,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,1,0,1,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,2,16,2,16,18
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,6,0,6,0,6
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,2,0,2,0,2
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,2,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,14,1,14,1,15
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,2,0,2,0,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,1,0,1,1
CUEVO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,23,15,23,15,38
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,3,0,3,0,3
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,11,0,11,11
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,0,1,0,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,4,0,4,4
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,22,2,22,2,24
MINEROS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,8,1,8,1,9
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,5,0,5,5
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,3,4,3,4,7
PORCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,0,1,0,1
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,1,0,1,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,2,0,2,0,2
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,1,0,1,1
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,2,0,2,0,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,3,0,3,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,45,6,45,6,51
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,1,0,1,1
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,2,0,2,0,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,4,0,4,0,4
TACACOMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,2,2,2,2,4
TAPACARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,4,0,4,4
TARABUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,1,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,3,0,3,3
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,3,0,3,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,0,1,0,1
UNCIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,1,0,1,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,2,1,2,3
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,0,2,0,2,2
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,4,1,4,1,5
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-05-01,1,0,1,0,1
APOLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-06-01,2,0,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-06-01,2,0,2,0,2
AYATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-06-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-06-01,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-06-01,3,3,3,3,6
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-06-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-06-01,1,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-06-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2011-06-01,16,2,16,2,18
