,group,variable,month,ANTI AMARÍLICA,ANTI AMARÍLICA,TOTALES,TOTALES,TOTALES
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,4,3,4,3,7
HUMANATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,8,7,8,7,15
ICHOCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,2,0,2,2
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,7,8,7,8,15
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,2,16,2,16,18
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,13,8,13,8,21
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,31,0,31,0,31
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,15,4,15,4,19
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,65,7,65,7,72
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,88,24,88,24,112
LA PAZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,445,22,445,22,467
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,10,0,10,10
LAJA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,7,0,7,0,7
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,0,1,0,1
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,4,0,4,0,4
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,8,9,8,9,17
LLICA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,3,0,3,0,3
LORETO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,2,20,2,20,22
LURIBAY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,11,0,11,0,11
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,6,2,6,2,8
MACHARETI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,5,4,5,4,9
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,9,24,9,24,33
MAIRANA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,30,0,30,0,30
MALLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,3,0,3,3
MAPIRI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,15,0,15,0,15
MECAPACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,10,1,10,11
MINEROS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,31,1,31,1,32
MIZQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,37,30,37,30,67
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,4,7,4,7,11
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,7,0,7,7
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,33,30,33,30,63
MONTERO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,247,31,247,31,278
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,5,0,5,5
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,2,0,2,0,2
OCURI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,3,17,3,17,20
OKINAWA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,10,11,10,11,21
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,13,0,13,13
ORURO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,658,0,658,0,658
PADCAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,3,13,3,13,16
PADILLA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,11,0,11,0,11
PAILON,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,48,67,48,67,115
PALCA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,7,0,7,7
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,41,13,41,13,54
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,10,0,10,0,10
PASORAPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,0,1,0,1
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,24,9,24,9,33
PAZÑA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,5,0,5,5
POCOATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,5,0,5,5
POCONA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,24,0,24,24
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,10,20,10,20,30
POOPO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,3,0,3,3
PORCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,3,14,3,14,17
POROMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,4,12,4,12,16
PORONGO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,5,6,5,6,11
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,29,15,29,15,44
POTOSI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,51,4,51,4,55
PUCARA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,5,0,5,5
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,4,12,4,12,16
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,6,1,6,1,7
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,3,1,3,4
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,18,24,18,24,42
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,12,1,12,13
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,11,37,11,37,48
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,66,10,66,10,76
PUNA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,5,10,5,10,15
PUNATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,43,2,43,2,45
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,17,0,17,0,17
QUIME,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,13,0,13,13
RAVELO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,1,0,1,1
REYES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,24,0,24,0,24
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,82,50,82,50,132
ROBORE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,11,4,11,4,15
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,15,7,15,7,22
SABAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,3,2,3,2,5
SACABA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,193,28,193,28,221
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,3,7,3,7,10
SACACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,4,0,4,4
SAIPINA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,7,0,7,7
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,5,4,5,4,9
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,5,19,5,19,24
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,2,3,2,3,5
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,8,8,8,8,16
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,16,23,16,23,39
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,36,5,36,5,41
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,4,5,4,5,9
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,54,10,54,10,64
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,14,16,14,16,30
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,59,20,59,20,79
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,2,4,2,4,6
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,24,6,24,6,30
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,30,0,30,0,30
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,13,5,13,5,18
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,61,32,61,32,93
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,9,1,9,1,10
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,30,35,30,35,65
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,10,31,10,31,41
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,5,1,5,6
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,16,10,16,10,26
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,5,2,5,2,7
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,9,1,9,1,10
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,9,1,9,10
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,30,0,30,0,30
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,2439,34,2439,34,2473
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,11,8,11,8,19
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,7,8,7,8,15
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,9,0,9,9
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,12,0,12,12
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,4,1,4,5
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,7,0,7,7
SENA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,16,0,16,16
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,27,2,27,2,29
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,31,5,31,5,36
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,14,0,14,0,14
SORACACHI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,5,0,5,5
SUCRE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,339,33,339,33,372
TACACOMA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,3,1,3,1,4
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,5,8,5,8,13
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,10,8,10,8,18
TAHUA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,3,4,3,4,7
TAPACARI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,32,14,32,14,46
TARABUCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,4,6,4,6,10
TARACO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,6,0,6,6
TARATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,21,3,21,3,24
TARIJA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,311,11,311,11,322
TARVITA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,5,1,5,1,6
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,8,1,8,9
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,2,23,2,23,25
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,21,14,21,14,35
TIPUANI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,6,0,6,0,6
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,54,5,54,5,59
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,36,31,36,31,67
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,2,1,2,1,3
TOCO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,8,1,8,9
TODOS SANTOS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,0,1,0,1
TOLATA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,15,2,15,2,17
TOLEDO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,5,0,5,5
TOMAVE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,2,1,2,3
TOMINA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,11,1,11,12
TORO TORO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,6,8,6,8,14
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,31,4,31,4,35
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,167,8,167,8,175
UNCIA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,10,6,10,6,16
URUBICHA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,10,9,10,9,19
UYUNI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,10,0,10,0,10
VACAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,2,15,2,15,17
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,13,11,13,11,24
VIACHA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,27,12,27,12,39
VILA VILA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,4,0,4,4
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,18,4,18,4,22
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,75,19,75,19,94
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,2,0,2,0,2
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,4,13,4,13,17
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,11,16,11,16,27
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,159,37,159,37,196
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,6,5,6,5,11
VILLAZON,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,0,1,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,69,20,69,20,89
WARNES,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,120,24,120,24,144
YACO,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,4,8,4,8,12
YACUIBA,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,116,21,116,21,137
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,anti amarilica,2011-01-01,6,7,6,7,13
