,group,variable,month,ANTIPOLIOMIELÍTICA 4TA DOSIS,ANTIPOLIOMIELÍTICA 4TA DOSIS,TOTALES,TOTALES,TOTALES
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,2,0,2,0,2
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,0,3,0,3,3
CAMARGO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,2,0,2,0,2
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,3,0,3,0,3
CATACORA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,30,2,30,2,32
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,241,6,241,6,247
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,4,0,4,0,4
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,0,4,0,4,4
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,32,0,32,0,32
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,123,22,123,22,145
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,3,0,3,0,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,19,1,19,1,20
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,4,6,4,6,10
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,8,1,8,1,9
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,7,0,7,0,7
MAPIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,13,0,13,0,13
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,2,2,2,2,4
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,8,0,8,0,8
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,35,0,35,0,35
PAILON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,0,7,0,7,7
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,1,0,1,0,1
PAZÑA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,1,0,1,0,1
POCONA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,0,3,0,3,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,40,0,40,0,40
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,13,0,13,0,13
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,9,1,9,1,10
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,4,0,4,0,4
REYES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,0,8,0,8,8
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,1,0,1,0,1
SABAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,20,7,20,7,27
SACACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,3,0,3,0,3
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,3,0,3,0,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,26,0,26,0,26
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,5,3,5,3,8
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,11,1,11,1,12
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,5,0,5,0,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,3,0,3,0,3
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,2,0,2,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,6,2,6,2,8
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,3,0,3,0,3
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,2,6,2,6,8
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,0,2,0,2,2
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,6,1,6,1,7
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,275,49,275,49,324
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,1,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,0,7,0,7,7
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,12,0,12,0,12
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,3,0,3,0,3
TARABUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,6,0,6,0,6
TARATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,17,0,17,0,17
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,52,0,52,0,52
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,4,0,4,0,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,3,0,3,0,3
TUPIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,8,7,8,7,15
UYUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,4,0,4,0,4
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,9,0,9,0,9
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,18,5,18,5,23
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,9,2,9,2,11
VILLAZON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,22,0,22,0,22
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,30,4,30,4,34
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,43,6,43,6,49
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-02-01,1,5,1,5,6
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,11,1,11,1,12
ALCALA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,6,0,6,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,1,0,1,0,1
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,2,0,2,0,2
CAMARGO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,5,0,5,0,5
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,1,1,1,1,2
CARAPARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,1,0,1,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,2,3,2,3,5
CATACORA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,1,0,1,0,1
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,1,2,1,2,3
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,51,2,51,2,53
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,326,5,326,5,331
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,5,9,5,9,14
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,1,0,1,0,1
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,7,0,7,7
CORO CORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,2,0,2,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,10,0,10,10
CULPINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,10,7,10,7,17
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,181,21,181,21,202
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,4,0,4,0,4
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,27,2,27,2,29
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,4,0,4,0,4
ICLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,4,0,4,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,8,0,8,0,8
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,1,0,1,1
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,1,1,1,1,2
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,4,0,4,0,4
LLICA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,1,0,1,0,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,4,0,4,0,4
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,6,1,6,1,7
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,3,0,3,3
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,78,0,78,0,78
PADCAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,1,0,1,1
PAILON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,31,0,31,31
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,1,0,1,0,1
POCONA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,3,3,3,3,6
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,1,0,1,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,2,12,2,12,14
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,49,4,49,4,53
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,17,0,17,0,17
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,12,8,12,8,20
PUNA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,7,0,7,7
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,5,0,5,0,5
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,39,0,39,0,39
SACACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,3,0,3,0,3
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,5,1,5,1,6
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,1,1,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,1,0,1,1
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,19,11,19,11,30
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,8,0,8,0,8
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,1,0,1,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,2,12,2,12,14
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,17,0,17,0,17
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,4,15,4,15,19
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,13,25,13,25,38
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,0,1,0,1,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,5,2,5,2,7
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,6,1,6,1,7
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,359,104,359,104,463
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,2,0,2,0,2
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,8,0,8,0,8
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,17,1,17,1,18
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,14,1,14,1,15
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta dosis,2011-03-01,2,8,2,8,10
