,group,variable,month,SRP DOSIS ÚNICA,SRP DOSIS ÚNICA,TOTALES,TOTALES,TOTALES
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,7,2,7,9
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1333,47,1333,47,1380
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,8,1,8,9
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,9,4,9,4,13
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,33,4,33,4,37
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,74,6,74,6,80
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,0,1,0,1
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,14,4,14,4,18
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,55,12,55,12,67
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,7,3,7,3,10
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,6,5,6,5,11
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,0,2,0,2,2
EXALTACION,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,14,4,14,4,18
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,5,5,5,5,10
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,30,9,30,9,39
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,5,10,5,10,15
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,22,4,22,26
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,3,5,3,5,8
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,66,26,66,26,92
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,24,9,24,9,33
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,8,9,8,9,17
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,3,2,3,2,5
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,0,2,0,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,43,0,43,0,43
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,2,2,2,4
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,4,4,4,8
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,10,5,10,5,15
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,11,4,11,15
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,11,8,11,8,19
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,18,4,18,22
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,12,17,12,17,29
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,33,0,33,0,33
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,14,2,14,2,16
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,62,5,62,5,67
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,118,12,118,12,130
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1288,44,1288,44,1332
LA RIVERA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,0,1,0,1,1
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,8,1,8,1,9
LAJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,26,10,26,10,36
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,3,1,3,1,4
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,0,4,0,4
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,51,45,51,45,96
LLICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,3,1,3,1,4
LORETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,20,2,20,22
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,5,4,5,4,9
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,8,3,8,3,11
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,7,3,7,3,10
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,17,13,17,13,30
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,19,0,19,0,19
MALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,0,3,0,3,3
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,17,0,17,0,17
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,5,12,5,12,17
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,29,2,29,2,31
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,37,36,37,36,73
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,6,7,6,7,13
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,8,2,8,10
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,45,11,45,11,56
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,192,25,192,25,217
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,0,1,0,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,11,17,11,17,28
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,0,2,0,2
OCURI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,10,25,10,25,35
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,6,11,6,11,17
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,6,2,6,8
ORURO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,531,0,531,0,531
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,17,5,17,5,22
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,16,4,16,4,20
PAILON,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,52,34,52,34,86
PALCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,6,13,6,13,19
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,40,9,40,9,49
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,6,3,6,3,9
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,11,2,11,2,13
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,4,1,4,5
PASORAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,3,1,3,1,4
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,25,2,25,2,27
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,3,4,3,7
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,6,2,6,8
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,8,28,8,28,36
POCONA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,16,18,16,18,34
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,15,10,15,10,25
POOPO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,8,1,8,1,9
PORCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,7,21,7,21,28
POROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,12,11,12,11,23
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,9,10,9,10,19
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,38,14,38,14,52
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,0,3,0,3,3
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,378,4,378,4,382
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,5,4,5,9
PUCARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,3,1,3,4
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,35,6,35,6,41
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,14,4,14,18
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,5,2,5,2,7
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,3,3,3,3,6
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,7,7,7,7,14
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,18,21,18,21,39
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,3,8,3,8,11
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,18,16,18,16,34
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,67,9,67,9,76
PUNA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,20,23,20,23,43
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,35,2,35,2,37
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,0,9,0,9,9
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,181,14,181,14,195
QUIME,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,0,16,0,16,16
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,10,24,10,24,34
REYES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,15,0,15,0,15
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,72,37,72,37,109
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,28,7,28,7,35
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,12,6,12,6,18
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,3,4,3,7
SACABA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,185,29,185,29,214
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,6,12,6,12,18
SACACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,30,6,30,6,36
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,0,5,0,5,5
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,5,9,5,9,14
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,5,2,5,2,7
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,5,19,5,19,24
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,3,2,3,5
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,8,8,8,8,16
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,14,12,14,12,26
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,59,5,59,5,64
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,7,3,7,3,10
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,42,5,42,5,47
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,60,17,60,17,77
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,85,14,85,14,99
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,1,4,1,5
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,15,4,15,4,19
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,8,6,8,6,14
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,26,0,26,0,26
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,16,6,16,6,22
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,52,24,52,24,76
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,11,2,11,2,13
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,35,6,35,6,41
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,28,30,28,30,58
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,11,12,11,12,23
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,4,2,4,6
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,15,2,15,2,17
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,31,27,31,27,58
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,3,2,3,5
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,3,4,3,7
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,8,2,8,2,10
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,8,1,8,9
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,19,0,19,0,19
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,30,0,30,0,30
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2152,57,2152,57,2209
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,14,3,14,3,17
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,17,12,17,12,29
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,0,11,0,11,11
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,4,4,4,8
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,0,5,0,5,5
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,2,1,2,1,3
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,1,4,1,4,5
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,3,11,3,11,14
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2011-01-01,4,3,4,3,7
