,group,variable,month,DPT 4TA DOSIS,DPT 4TA DOSIS,TOTALES,TOTALES,TOTALES
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,1,0,1,0,1
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,16,0,16,0,16
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,3,2,3,2,5
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,19,3,19,3,22
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,8,2,8,2,10
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,34,0,34,0,34
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,9,0,9,0,9
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-01-01,41,0,41,0,41
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,16,1,16,1,17
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,117,6,117,6,123
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,1,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,24,3,24,3,27
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,2,0,2,0,2
CAJUATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,4,1,4,1,5
CARANAVI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,2,4,2,4,6
CARAPARI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,6,0,6,0,6
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,3,0,3,0,3
CATACORA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,1,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,2,5,2,5,7
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,2,0,2,0,2
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,10,0,10,10
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,30,2,30,2,32
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,234,4,234,4,238
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,1,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,4,0,4,4
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,5,4,5,4,9
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,3,0,3,3
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,10,4,10,4,14
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,174,22,174,22,196
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,32,1,32,1,33
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,3,0,3,0,3
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,6,0,6,6
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,20,3,20,3,23
HUANUNI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,1,0,1,0,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,6,11,6,11,17
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,4,9,4,9,13
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,43,2,43,2,45
LURIBAY,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,10,0,10,10
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,6,0,6,0,6
MAIRANA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,2,0,2,0,2
MIZQUE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,2,2,2,2,4
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,23,4,23,4,27
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,10,0,10,0,10
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,42,0,42,0,42
PAILON,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,7,7,7,7,14
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,1,0,1,0,1
PAZÑA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,1,0,1,0,1
POCOATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,10,0,10,0,10
POCONA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,3,0,3,3
POROMA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,4,0,4,4
PORONGO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,2,0,2,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,45,0,45,0,45
PUCARANI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,4,7,4,7,11
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,13,0,13,0,13
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,5,0,5,0,5
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,4,2,4,2,6
QUIME,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,1,0,1,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,30,0,30,30
REYES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,8,0,8,8
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,6,0,6,0,6
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,1,0,1,0,1
SABAYA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,20,7,20,7,27
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,3,0,3,0,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,26,20,26,20,46
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,19,4,19,4,23
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,10,1,10,1,11
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,10,0,10,10
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,5,0,5,0,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,3,0,3,0,3
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,2,0,2,2
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,2,0,2,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,6,2,6,2,8
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,3,0,3,0,3
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,2,6,2,6,8
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,2,0,2,2
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,6,1,6,1,7
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,698,75,698,75,773
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,1,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,7,0,7,7
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,4,0,4,4
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,3,0,3,0,3
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,42,0,42,0,42
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,3,0,3,0,3
TARABUCO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,7,0,7,0,7
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,140,0,140,0,140
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,4,0,4,0,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,11,0,11,0,11
TUPIZA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,3,7,3,7,10
UNCIA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,2,0,2,0,2
UYUNI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,2,0,2,0,2
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,9,0,9,0,9
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,6,20,6,20,26
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,18,5,18,5,23
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,10,2,10,2,12
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,20,0,20,0,20
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,30,4,30,4,34
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,43,6,43,6,49
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,1,7,1,7,8
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-02-01,5,1,5,1,6
AIQUILE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,11,1,11,1,12
ALCALA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,0,6,0,6,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,1,0,1,0,1
AZURDUY,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,0,5,0,5,5
BERMEJO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,29,30,29,30,59
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,2,0,2,0,2
CAJUATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,1,0,1,0,1
CAMARGO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,5,0,5,0,5
CAMIRI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,1,1,1,1,2
CARAPARI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,10,0,10,0,10
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,2,3,2,3,5
CATACORA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,1,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,4,45,4,45,49
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,1,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,15,0,15,0,15
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,51,2,51,2,53
COCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,1,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,338,5,338,5,343
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,5,9,5,9,14
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,1,0,1,0,1
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,8,8,8,8,16
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,7,6,7,6,13
CORO CORO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,0,2,0,2,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,0,4,0,4,4
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,4,0,4,0,4
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,0,1,0,1,1
CULPINA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,10,7,10,7,17
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,336,25,336,25,361
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,3,0,3,0,3
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,7,0,7,0,7
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,4,0,4,0,4
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,32,2,32,2,34
HUANUNI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,4,0,4,0,4
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,38,17,38,17,55
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,29,2,29,2,31
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,0,1,0,1,1
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,1,1,1,1,2
LLICA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,1,0,1,0,1
LORETO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,0,2,0,2,2
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,1,0,1,0,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,5,0,5,0,5
MIZQUE,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,1,2,1,2,3
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,23,3,23,3,26
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 4ta dosis,2011-03-01,4,0,4,0,4
