,group,variable,month,DPT 3RA DOSIS,DPT 3RA DOSIS,TOTALES,TOTALES,TOTALES
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,8,0,8,0,8
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
TARATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,2,1,2,3
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,0,2,0,2,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,1,1,1,2
VACAS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,0,2,0,2,2
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,2,0,2,0,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,2,0,2,0,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,7,0,7,0,7
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,6,1,6,1,7
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,2,1,2,1,3
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-02-01,0,5,0,5,5
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,3,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,1,1,1,1,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,3,0,3,0,3
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,2,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,0,1,0,1,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,2,0,2,0,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,34,12,34,12,46
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,3,0,3,0,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,2,0,2,0,2
CORO CORO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,0,2,0,2,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,28,7,28,7,35
EL TORNO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,2,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,2,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,36,0,36,0,36
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,1,2,1,2,3
MAIRANA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,4,1,4,1,5
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,1,0,1,0,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,7,0,7,0,7
PAILON,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,0,9,0,9,9
PAZÑA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,10,0,10,0,10
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,1,1,1,1,2
PUNATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,2,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,2,1,2,1,3
REYES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,0,25,0,25,25
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,2,1,2,1,3
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,1,0,1,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,0,1,0,1,1
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,0,4,0,4,4
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,51,21,51,21,72
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,4,0,4,0,4
TARATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,5,0,5,0,5
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,3,0,3,0,3
UNCIA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,2,0,2,0,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,4,8,4,8,12
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,3,0,3,0,3
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,2,2,2,2,4
YANACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-03-01,2,0,2,0,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,1,1,1,2
BAURES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,0,1,0,1
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,1,0,1,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,2,0,2,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,0,1,0,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,13,5,13,5,18
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,3,0,3,0,3
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,2,0,2,0,2
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,3,0,3,3
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,1,0,1,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,5,1,5,6
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,15,0,15,15
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,27,7,27,7,34
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,3,0,3,0,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,1,1,1,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,1,0,1,1
ICLA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,2,0,2,2
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,0,1,0,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,5,0,5,5
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,22,6,22,6,28
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,3,1,3,1,4
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,9,0,9,0,9
PAILON,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,2,0,2,2
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,2,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,9,0,9,0,9
PUCARANI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,5,0,5,0,5
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,2,0,2,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,1,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,0,1,0,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,1,0,1,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,2,0,2,2
SACACA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,2,1,2,3
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,1,0,1,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,38,1,38,1,39
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,2,1,2,3
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,2,0,2,0,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,1,1,1,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,2,0,2,0,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,7,1,7,1,8
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,1,1,1,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,2,2,2,2,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,2,2,2,2,4
UNCIA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,1,0,1,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,3,0,3,0,3
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,5,0,5,0,5
VILLAZON,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,2,6,2,6,8
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,2,0,2,0,2
YOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-04-01,0,4,0,4,4
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-05-01,1,0,1,0,1
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-05-01,3,0,3,0,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-05-01,4,0,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-05-01,0,1,0,1,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-05-01,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-05-01,0,1,0,1,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-05-01,2,0,2,0,2
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-05-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-05-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-05-01,13,0,13,0,13
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-05-01,1,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-05-01,0,1,0,1,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-05-01,0,4,0,4,4
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 3ra dosis,2011-05-01,1,0,1,0,1
