,group,variable,month,DPT 1RA DOSIS,DPT 1RA DOSIS,TOTALES,TOTALES,TOTALES
ANZALDO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,12,2,12,2,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,5,0,5,5
BATALLAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,2,0,2,2
CABEZAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,4,12,4,12,16
CAMIRI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,1,0,1,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,4,0,4,0,4
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,1,1,1,1,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,3,0,3,0,3
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,8,0,8,0,8
COCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,27,2,27,2,29
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,3,0,3,0,3
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,2,0,2,0,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,1,0,1,0,1
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,4,0,4,0,4
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,18,2,18,2,20
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,1,0,1,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,22,0,22,0,22
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,9,0,9,9
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,1,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,2,5,2,5,7
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,116,23,116,23,139
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,7,0,7,7
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,4,6,4,6,10
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,13,2,13,2,15
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,1,6,1,6,7
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,3,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,3,0,3,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,2,0,2,0,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,3,0,3,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,7,0,7,0,7
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,51,11,51,11,62
MINEROS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,11,0,11,0,11
MONTERO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,4,0,4,0,4
OKINAWA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,6,0,6,0,6
PADCAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,3,0,3,0,3
PAILON,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,8,0,8,8
POROMA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,2,1,2,1,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,1,0,1,0,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,3,0,3,0,3
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,9,3,9,3,12
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,2,0,2,0,2
PUNA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,10,0,10,0,10
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,20,15,20,15,35
ROBORE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,3,1,3,1,4
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,8,3,8,3,11
SAIPINA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,1,2,1,2,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,6,4,6,4,10
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,13,0,13,13
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,13,2,13,2,15
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,2,0,2,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,9,0,9,9
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,187,69,187,69,256
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,1,0,1,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,4,0,4,0,4
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,12,0,12,0,12
TAPACARI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,1,1,1,1,2
TARATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,1,1,1,1,2
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,4,0,4,4
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,20,0,20,20
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,1,0,1,0,1
TOLATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,8,0,8,0,8
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,4,0,4,0,4
VACAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,1,1,1,1,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,6,30,6,30,36
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,1,2,1,2,3
VINTO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,21,0,21,0,21
YACUIBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,2,6,2,6,8
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-02-01,0,1,0,1,1
ACACIO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,5,2,5,2,7
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,2,5,2,5,7
BERMEJO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,7,3,7,3,10
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,6,3,6,3,9
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,2,8,2,8,10
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,11,0,11,0,11
COCAPATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,4,0,4,0,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,32,2,32,2,34
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,7,10,7,10,17
COLOMI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,3,0,3,0,3
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,3,0,3,0,3
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,3,2,3,2,5
COMARAPA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,7,0,7,0,7
CORIPATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,0,1,0,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,2,1,2,1,3
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,4,6,4,6,10
EL ALTO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,106,3,106,3,109
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,5,0,5,0,5
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,7,0,7,0,7
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,2,6,2,6,8
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,0,1,0,1
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,3,0,3,0,3
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,0,1,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,5,0,5,0,5
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,5,1,5,1,6
LA PAZ,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,91,12,91,12,103
LURIBAY,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,5,6,5,6,11
MINEROS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,2,0,2,0,2
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,7,0,7,0,7
PADCAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,3,0,3,0,3
PAILON,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,0,15,0,15,15
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,5,0,5,0,5
POTOSI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,14,0,14,0,14
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,5,2,5,2,7
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,0,1,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,14,13,14,13,27
ROBORE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,2,2,2,2,4
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,2,0,2,0,2
SAIPINA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,2,1,2,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,0,1,0,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,0,4,0,4,4
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,2,8,2,8,10
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,0,22,0,22,22
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,15,0,15,0,15
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,5,1,5,6
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,3,0,3,0,3
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,172,17,172,17,189
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,0,7,0,7,7
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,2,0,2,0,2
SENA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,3,1,3,4
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,17,11,17,11,28
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,4,3,4,3,7
TACACOMA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,10,0,10,0,10
TARABUCO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,0,4,0,4,4
TARIJA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,7,0,7,0,7
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,0,2,0,2,2
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,0,1,0,1
TOLATA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,1,0,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,2,7,2,7,9
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,18,0,18,0,18
TURCO,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,0,1,0,1,1
UNCIA,vacunaciones en ninos de 12 a 23 meses,dpt 1ra dosis,2011-03-01,0,10,0,10,10
