,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,0,0,2,1,2,1,3
REYES,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,1,0,1,0,2,0,2
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,3,0,0,0,3,0,3
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,5,0,3,0,8,0,8
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,4,0,1,0,5,0,5
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,0,0,1,2,1,2,3
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,0,0,1,0,1,0,1
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,1,1,0,0,1,1,2
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,1,0,2,0,3,0,3
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,0,1,0,1,0,2,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,10,2,7,2,17,4,21
YANACACHI,leishmaniasis,tratamientos de leishmania cutanea,2017-01-01,0,0,1,0,1,0,1
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,4,2,4,2,8,4,12
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,0,1,1,1,1,2,3
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,0,1,0,1,0,2,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,5,2,0,0,5,2,7
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,0,1,3,3,3,4,7
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,0,0,0,2,0,2,2
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,12,2,5,0,17,2,19
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,1,0,1,0,2,0,2
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,2,0,1,0,3,0,3
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,7,1,1,0,8,1,9
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,2,0,1,0,3,0,3
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,1,1,0,0,1,1,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,11,5,1,1,12,6,18
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,0,0,1,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,7,6,3,1,10,7,17
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,0,1,0,1,0,2,2
REYES,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,0,0,1,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,0,0,2,0,2,0,2
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,3,0,5,0,8,0,8
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,3,1,6,1,9,2,11
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,1,0,0,0,1,0,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,1,2,0,0,1,2,3
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,0,0,1,1,1,1,2
SENA,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,1,0,1,0,2,0,2
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,1,1,1,1,2,2,4
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2017-02-01,4,4,11,1,15,5,20
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,0,1,0,1,0,2,2
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,4,0,1,0,5,0,5
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,1,1,2,1,3,2,5
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,4,1,4,1,8,2,10
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,6,1,6,1,12,2,14
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,6,3,14,1,20,4,24
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,2,1,1,0,3,1,4
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,3,1,8,1,11,2,13
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,0,1,0,1,0,2,2
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,1,1,1,0,2,1,3
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,0,1,0,0,0,1,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,2,0,0,0,2,0,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,4,1,12,5,16,6,22
LA PAZ,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,2,0,0,0,2,0,2
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,0,1,0,1,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,3,1,0,0,3,1,4
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,1,0,1,0,2,0,2
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,0,0,4,2,4,2,6
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,1,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,1,0,1,0,2,0,2
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,3,2,1,1,4,3,7
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,1,0,2,0,3,0,3
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,0,0,1,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,0,3,0,3,0,6,6
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,2,0,1,1,3,1,4
SENA,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,3,0,0,0,3,0,3
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,3,1,2,1,5,2,7
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2017-03-01,4,4,5,7,9,11,20
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,0,0,2,0,2,0,2
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,0,0,1,1,1,1,2
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,1,1,1,1,2,2,4
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,1,1,1,1,2,2,4
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,2,3,5,1,7,4,11
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,1,0,1,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,11,8,0,0,11,8,19
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,11,3,10,2,21,5,26
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,2,0,0,0,2,0,2
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,1,0,2,1,3,1,4
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,0,0,1,1,1,1,2
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,2,0,0,1,2,1,3
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,1,0,1,1,2,1,3
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,0,0,2,0,2,0,2
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,11,12,4,1,15,13,28
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,0,0,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,3,0,2,0,5,0,5
PADILLA,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,1,0,0,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,6,1,0,1,6,2,8
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,1,1,1,1,2,2,4
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,2,0,1,0,3,0,3
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,14,1,2,2,16,3,19
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,2,0,2,0,4,0,4
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,1,0,1,0,2,0,2
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,4,1,2,1,6,2,8
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,0,2,0,1,0,3,3
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,2,2,2,3,4,5,9
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,1,1,0,0,1,1,2
SENA,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,1,0,4,0,5,0,5
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,1,0,1,0,2,0,2
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2017-04-01,9,6,1,3,10,9,19
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,6,1,3,1,9,2,11
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,1,0,1,0,2,0,2
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,0,2,0,0,0,2,2
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,1,1,1,1,2,2,4
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,3,2,4,4,7,6,13
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,5,8,15,15,20,23,43
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,18,4,12,3,30,7,37
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,1,0,1,0,2,0,2
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,3,0,0,0,3,0,3
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,0,1,2,0,2,1,3
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,2,0,0,0,2,0,2
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,3,0,4,0,7,0,7
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,14,1,1,0,15,1,16
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,9,3,3,0,12,3,15
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,39,22,12,12,51,34,85
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,0,0,2,0,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,3,3,2,2,5,5,10
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,0,0,1,3,1,3,4
PADILLA,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,0,0,1,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,5,7,3,3,8,10,18
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,2,0,0,0,2,0,2
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,3,1,4,0,7,1,8
REYES,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,2,0,0,0,2,0,2
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,21,6,0,0,21,6,27
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,9,2,5,1,14,3,17
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,7,2,5,1,12,3,15
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,3,0,1,1,4,1,5
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,3,0,2,2,5,2,7
SAN IGNACIO DE VELASCO,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,1,0,0,0,1,0,1
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,1,0,2,1,3,1,4
SENA,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,3,0,2,0,5,0,5
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,1,0,2,0,3,0,3
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,0,21,0,0,0,21,21
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,7,3,8,5,15,8,23
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2017-05-01,1,1,0,0,1,1,2
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,0,1,0,1,0,2,2
ARQUE,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,1,1,1,1,2,2,4
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,7,2,11,1,18,3,21
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,0,0,0,2,0,2,2
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,1,0,1,0,2,0,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,0,0,1,0,1,0,1
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,2,1,1,1,3,2,5
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,0,1,2,3,2,4,6
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,7,4,17,5,24,9,33
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,1,0,1,0,2,0,2
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,1,1,1,0,2,1,3
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,0,1,1,0,1,1,2
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,3,2,1,0,4,2,6
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,4,0,3,0,7,0,7
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,2,0,0,1,2,1,3
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,2,0,0,0,2,0,2
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,1,1,2,1,3,2,5
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,6,0,7,0,13,0,13
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,2,0,3,0,5,0,5
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,13,10,39,22,52,32,84
LA PAZ,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,5,0,0,0,5,0,5
MAGDALENA,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,0,1,0,0,0,1,1
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,1,0,1,0,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,1,2,0,0,1,2,3
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,1,1,1,2,2,3,5
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,0,0,3,1,3,1,4
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,0,0,2,0,2,0,2
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,4,0,1,0,5,0,5
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,1,0,0,0,1,0,1
REYES,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,0,0,1,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,11,2,21,2,32,4,36
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,9,3,10,1,19,4,23
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,3,1,6,2,9,3,12
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,0,2,3,0,3,2,5
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,3,1,2,0,5,1,6
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,1,0,0,0,1,0,1
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,1,2,0,0,1,2,3
SENA,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,2,0,2,0,4,0,4
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,3,1,1,1,4,2,6
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,0,5,0,0,0,5,5
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,8,4,8,3,16,7,23
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,0,0,1,1,1,1,2
YANACACHI,leishmaniasis,tratamientos de leishmania cutanea,2017-06-01,0,4,0,0,0,4,4
ARQUE,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,0,0,1,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,0,2,1,2,1,4,5
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,0,1,0,0,0,1,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,3,1,1,0,4,1,5
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,1,3,1,3,2,6,8
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,2,2,2,3,4,5,9
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,7,7,7,7,14,14,28
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,7,2,6,2,13,4,17
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,2,0,2,0,4,0,4
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,1,1,0,0,1,1,2
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,1,0,0,1,1,1,2
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,4,0,4,0,8,0,8
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,0,0,2,0,2,0,2
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,4,2,2,0,6,2,8
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,1,0,3,0,4,0,4
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,0,1,0,0,0,1,1
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,2,1,1,0,3,1,4
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,22,11,13,10,35,21,56
LA PAZ,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,0,0,5,0,5,0,5
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,8,1,1,0,9,1,10
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,0,1,0,1,0,2,2
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,2,0,2,0,4,0,4
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,0,1,0,0,0,1,1
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,11,3,15,3,26,6,32
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,5,2,6,3,11,5,16
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,3,0,3,0,6,0,6
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,0,0,0,1,0,1,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,1,1,2,2,3,3,6
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,3,1,3,0,6,1,7
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,0,0,1,2,1,2,3
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,1,0,1,0,2,0,2
TAPACARI,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,1,0,1,0,2,0,2
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,0,0,2,1,2,1,3
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,7,6,3,2,10,8,18
YACUIBA,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,1,0,0,0,1,0,1
YANACACHI,leishmaniasis,tratamientos de leishmania cutanea,2017-07-01,0,2,0,6,0,8,8
ARQUE,leishmaniasis,tratamientos de leishmania cutanea,2017-08-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2017-08-01,0,0,0,1,0,1,1
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2017-08-01,2,1,0,0,2,1,3
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2017-08-01,0,0,2,1,2,1,3
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2017-08-01,0,1,0,0,0,1,1
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2017-08-01,5,1,0,1,5,2,7
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2017-08-01,1,0,0,0,1,0,1
