,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
MONTEAGUDO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-05-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-05-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-05-01,1,0,0,0,1,0,1
ALCALA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-06-01,0,1,1,0,1,1,2
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-06-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-06-01,1,0,1,0,2,0,2
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-06-01,0,0,1,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-06-01,0,0,1,0,1,0,1
ALCALA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-07-01,0,0,0,1,0,1,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-07-01,1,0,1,0,2,0,2
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-07-01,0,1,1,0,1,1,2
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-07-01,0,0,1,0,1,0,1
MONTEAGUDO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-07-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-07-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-07-01,1,0,0,0,1,0,1
SAN LORENZO(TJA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-07-01,1,0,0,0,1,0,1
BAURES,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-08-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-08-01,0,0,0,1,0,1,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-08-01,1,0,1,0,2,0,2
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-08-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-08-01,0,0,1,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-08-01,1,0,1,0,2,0,2
YACUIBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-08-01,1,0,0,0,1,0,1
BAURES,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-09-01,1,0,0,0,1,0,1
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-09-01,0,0,1,0,1,0,1
CARAPARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-09-01,0,0,1,1,1,1,2
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-09-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-09-01,0,0,1,0,1,0,1
YACUIBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-09-01,0,0,1,0,1,0,1
ALCALA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-10-01,2,0,0,0,2,0,2
BAURES,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-10-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-10-01,1,0,0,0,1,0,1
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-10-01,0,1,0,0,0,1,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-10-01,1,0,1,0,2,0,2
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-10-01,3,0,0,0,3,0,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-10-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-10-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-10-01,0,1,0,0,0,1,1
ALCALA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-11-01,0,0,2,0,2,0,2
BAURES,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-11-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-11-01,0,0,1,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-11-01,0,0,0,1,0,1,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-11-01,0,0,1,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-11-01,1,0,3,0,4,0,4
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-11-01,0,0,1,0,1,0,1
LA PAZ,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-11-01,0,0,0,0,0,0,0
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-11-01,1,1,2,1,3,2,5
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-11-01,0,0,0,1,0,1,1
BAURES,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-12-01,0,0,1,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-12-01,1,0,0,0,1,0,1
LA PAZ,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-12-01,0,0,0,0,0,0,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-12-01,0,1,0,0,0,1,1
SAN LUCAS,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2017-12-01,1,0,0,0,1,0,1
